"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"aceeiwq",2015-01-01,96,12.4,12.6,13.2,12.7208333333333,0.230293481712571,0.5,96,39.3,42.275,50.08,44.0394791666667,3.39309837287139,6,96,25,27.1,32.8,28.4114583333333,2.4348725154855,4.3,96,62.2,81.75,92.2,81.1354166666667,8.51171303392741,11.75,96,5.6,7.35,8,7.20208333333333,0.688244015274672,0.899999999999999,96,1.35,2.65,3.63,2.5865625,0.668221249406134,1.17,96,1.22,2.52,3.49,2.44947916666667,0.671197468459668,1.1925,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,0,96,0
"aceeiwq",2015-01-02,96,12.6,12.85,13.2,12.8802083333333,0.167721443042147,0.199999999999999,96,38.21,41.23,50,43.3679166666667,3.65899782559642,6.29,96,24.3,26.4,32.7,27.9385416666667,2.62451478389381,4.525,96,57.4,80.9,93.6,79.7125,9.11839378745829,13.55,96,5.2,7.2,8,7.06875,0.727549962111483,1.025,96,1.35,2.585,3.56,2.51302083333333,0.682700704696416,1.2925,96,1.22,2.455,3.44,2.38583333333333,0.684143208564231,1.2875,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,0,96,0
"aceeiwq",2015-01-03,96,12.9,13.2,13.8,13.2614583333333,0.2584853825315,0.4,96,38.34,41.94,49.98,43.8430208333333,4.12637093513153,8.52,96,24.4,26.9,32.7,28.29375,2.96402331477442,6.15,96,57.7,81.65,93.9,80.3864583333333,10.045565869594,13.775,96,5.2,7.25,8,7.05729166666667,0.794288134338464,1.125,96,1.33,2.655,3.61,2.57083333333333,0.685825920319768,1.2775,96,1.2,2.54,3.49,2.4596875,0.6868776848518,1.285,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,0,96,0
"aceeiwq",2015-01-04,96,13.6,14.35,15,14.265625,0.477235046359427,0.925000000000001,96,37.43,39.71,49.51,41.5078125,3.62920556860734,3.9575,96,23.8,25.4,32.4,26.6510416666667,2.58542452145491,2.725,96,60.2,82.15,91.7,80.7322916666667,7.83477396700346,10.025,96,5.3,7.1,7.8,7.01666666666667,0.645578755710379,0.725000000000001,96,1.22,2.425,3.44,2.33229166666667,0.722366693827226,1.3475,96,1.16,2.345,3.36,2.25375,0.719943345724253,1.345,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,0,96,0
"aceeiwq",2015-01-05,96,13.9,14.5,15.2,14.45625,0.381634297256032,0.6,96,34.45,38.125,45.86,39.0527083333333,2.98539408636066,4.18500000000001,96,21.7,24.25,29.7,24.9083333333333,2.10576485250255,2.9,96,56.4,81.75,94,81.2177083333333,7.18409053382859,9.55,96,4.9,7.2,8.1,7.11354166666667,0.626035107753831,0.8,96,1.01,2.305,3.23,2.22416666666667,0.754733367581129,1.4725,96,0.9,2.145,3.07,2.07302083333333,0.741770456467309,1.47,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,0,96,1
"aceeiwq",2015-01-06,96,13.3,13.9,14.3,13.8791666666667,0.261942808810853,0.4,96,35.34,37.185,48.75,39.6854166666667,3.96834419046976,5.90000000000001,96,22.3,23.6,31.8,25.3541666666667,2.80997908464464,4.175,96,54.5,82.1,93.9,81.3489583333333,8.01944997184203,9.34999999999999,96,4.8,7.3,8.1,7.18333333333333,0.688196218449157,0.699999999999999,96,1.21,2.39,3.34,2.3184375,0.706411730433985,1.385,96,1.12,2.27,3.2,2.19864583333333,0.708009247325376,1.38,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,0,96,1
"aceeiwq",2015-01-07,96,12.9,13.2,13.7,13.2145833333333,0.186930421430382,0.200000000000001,96,34,37.09,46.5,38.9722916666667,3.25869605151207,4.80250000000001,96,21.4,23.5,30.2,24.834375,2.29424121729994,3.35,96,61.3,86.55,93.9,85.046875,5.68088119786099,6.27500000000001,96,5.6,7.8,8.3,7.64895833333333,0.488821308792717,0.6,96,1.15,2.32,3.24,2.25520833333333,0.702223504930726,1.3725,96,1.07,2.235,3.15,2.1703125,0.689807682008467,1.34,0,NA,NA,NA,NA,NA,NA,45,7.6,7.7,7.9,7.75333333333333,0.115993730238084,0.2,45,8,17,51,19.4444444444444,10.3540847353627,13,96,0,96,0
"aceeiwq",2015-01-08,96,10.9,11.4,12.8,11.5427083333333,0.507158190138502,0.800000000000001,96,36.83,40.035,51.39,42.1858333333333,5.38465200296012,10.2375,96,23.3,25.5,33.6,27.06875,3.82097569518021,7.175,96,82,89.8,94.2,89.1916666666667,3.05006183428836,5,96,7.6,8.2,8.6,8.19479166666667,0.266505570857807,0.4,96,1.52,2.48,3.48,2.50020833333333,0.643246664919317,1.255,96,1.32,2.27,3.24,2.295625,0.636746355350882,1.265,0,NA,NA,NA,NA,NA,NA,96,7.6,7.8,8,7.8375,0.123330962518702,0.225000000000001,96,4,15,59,19.5,13.3936355663506,13.25,96,0,96,0
"aceeiwq",2015-01-09,96,9.8,10.5,10.9,10.446875,0.306062644086571,0.5,96,37.78,40.96,50.84,42.3202083333333,3.99457025662182,6.73249999999999,96,23.9,26.15,33.2,27.1010416666667,2.84780598066455,4.8,96,83.9,91.8,95.7,90.9270833333333,2.76304481807058,4.42500000000001,96,8,8.5,9.1,8.55,0.237087592074721,0.299999999999999,96,1.56,2.545,3.32,2.4653125,0.555553688958852,1.015,96,1.46,2.405,3.18,2.33583333333333,0.548052372961537,1.0025,0,NA,NA,NA,NA,NA,NA,96,7.7,7.9,8,7.88020833333333,0.0969207942129923,0.2,96,4,11,55,14.0520833333333,10.336822062456,12,96,0,96,0
"aceeiwq",2015-01-10,96,9.7,10.3,10.7,10.2208333333333,0.247478512269425,0.225000000000001,96,38.31,41.02,50.85,42.6763541666667,4.19011521504491,6.48999999999999,96,24.2,26.15,33.2,27.3375,2.98488296517459,4.575,96,85.9,92.85,96.8,92.4375,2.5194924300865,4.05,96,8.2,8.8,9.2,8.72291666666667,0.24983327774071,0.300000000000001,96,1.66,2.51,3.37,2.50697916666667,0.553484882676011,1.0625,96,1.5,2.32,3.17,2.32260416666667,0.543089107337619,1.0475,0,NA,NA,NA,NA,NA,NA,96,7.8,7.9,8,7.909375,0.0768842260189067,0.124999999999999,96,3,9,39,11.9375,7.78637473918045,10,96,0,96,0
