"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"acefcwq",2002-10-16,23,20.1,21.1,21.9,21.1826086956522,0.545770659387458,0.949999999999999,23,7.71,12.61,21.92,14.4186956521739,4.5059095584151,7.18,23,4.3,7.3,13.2,8.43478260869565,2.84902035725395,4.5,23,51.4,56.3,61.7,56.5434782608696,3.69333873184444,7.34999999999999,23,4.4,4.8,5.1,4.78695652173913,0.218058265412308,0.4,23,1.03,2.18,2.62,2.02782608695652,0.516491278829294,0.785,0,NA,NA,NA,NA,NA,NA,23,6.8,6.9,7.1,6.9304347826087,0.114553610350214,0.2,23,13,30,75,33.4782608695652,14.1256361569292,10,23,0,23,16
"acefcwq",2002-10-17,48,19.7,20.6,21.8,20.6770833333333,0.542350904439275,0.849999999999998,48,4.46,9.51,22.9,11.1041666666667,4.73629033097537,5.9,48,2.4,5.4,13.9,6.39166666666667,2.94978061451337,3.625,48,49,54.15,61.8,54.6541666666667,3.55712998903122,5.90000000000001,48,4.3,4.7,5.3,4.71875,0.221845499237453,0.325000000000001,48,0.84,2.085,2.65,1.89854166666667,0.59397324097379,1,0,NA,NA,NA,NA,NA,NA,48,6.7,6.8,7.2,6.86458333333333,0.122889992898567,0.100000000000001,48,10,28.5,61,30.9583333333333,12.2907305209084,8.75,48,0,48,43
"acefcwq",2002-10-18,48,18.9,19.7,21.1,19.9104166666667,0.607835218198378,1,48,3.83,7.18,25.81,10.8177083333333,6.52277882291704,9.1775,48,2,4,15.8,6.26041666666667,4.07283369299314,5.55,48,47.3,55.55,64.6,55.3270833333333,4.6002654679797,6.175,48,4.3,4.9,5.7,4.86041666666667,0.324030195160708,0.5,48,0.74,2.14,2.73,1.95,0.63766195272844,1.1725,0,NA,NA,NA,NA,NA,NA,48,6.7,6.8,7.3,6.88541666666667,0.159773221378,0.2,48,8,34,67,36.4791666666667,13.9405875869528,14.25,48,0,48,30
"acefcwq",2002-10-19,48,18.2,19.25,20.4,19.2916666666667,0.591727846202654,0.950000000000003,48,3.51,7.24,23.05,10.1133333333333,5.95275989391559,8.14,48,1.9,4,14,5.81875,3.68057906232736,4.95,48,48.5,56.3,62.6,55.5520833333333,3.54604902003374,5.64999999999999,48,4.5,4.9,5.7,4.95625,0.268887582299543,0.3,48,0.79,2.085,2.67,1.913125,0.648681662247493,1.14,0,NA,NA,NA,NA,NA,NA,48,6.6,6.8,7.2,6.8625,0.140856045421966,0.125000000000001,48,10,33.5,64,35.25,11.6664640306617,11.75,48,0,48,26
"acefcwq",2002-10-20,48,19.2,20.25,21.7,20.2416666666667,0.77920672518105,1.6,48,3.04,6.095,22.22,8.805625,5.53971076372627,7.475,48,1.6,3.3,13.4,5.0125,3.40604125360757,4.45,48,49,55.9,65,55.4708333333333,3.7600338575509,5.7,48,4.5,4.85,5.6,4.87083333333333,0.249218637100066,0.3,48,0.68,1.965,2.62,1.791875,0.666660959638693,1.24,0,NA,NA,NA,NA,NA,NA,48,6.6,6.8,7.1,6.82083333333333,0.125407138371824,0.2,48,10,31.5,69,34.6458333333333,12.0168137231438,10.25,48,0,48,32
"acefcwq",2002-10-21,48,19.9,20.9,22,20.9041666666667,0.652314482743686,1.2,48,2.45,5.155,21.16,7.919375,5.32110826972024,6.365,48,1.3,2.8,12.7,4.48958333333333,3.24497907302916,3.75,48,46.7,55.1,60.7,53.8666666666667,3.56247184883739,4.77500000000001,48,4.2,4.7,5.2,4.68958333333333,0.225255961579156,0.2,48,0.55,1.92,2.52,1.72729166666667,0.691494648779569,1.2775,0,NA,NA,NA,NA,NA,NA,48,6.6,6.8,7.1,6.8125,0.126533150983734,0.2,48,11,34,85,38.3333333333333,14.0898837005504,17.25,48,0,48,44
"acefcwq",2002-10-22,48,20.3,20.8,21.3,20.6979166666667,0.294264017604493,0.5,48,2.37,4.975,23.97,8.87145833333333,6.69967734681443,8.8875,48,1.2,2.65,14.6,5.08958333333333,4.13743879987306,5.325,48,45.1,51.1,59.3,51.85625,3.79310159115875,5.3,48,4,4.5,4.9,4.50208333333333,0.235642700437556,0.3,48,0.57,1.93,2.64,1.77833333333333,0.690452621615007,1.3375,0,NA,NA,NA,NA,NA,NA,48,6.6,6.8,7.2,6.84791666666667,0.151572724393744,0.100000000000001,48,11,42.5,125,47.7916666666667,20.6593014787202,14.75,48,0,48,48
"acefcwq",2002-10-23,48,19.3,20.6,21.1,20.28125,0.648945544055074,1.4,48,3.18,6.89,30.84,11.3541666666667,8.52741232689658,11.145,48,1.7,3.75,19.2,6.64583333333333,5.39033644129516,6.825,48,46,58.1,66.5,56.7104166666667,6.51934077020171,11.35,48,4.2,5,5.6,4.92916666666667,0.422232331594789,0.625000000000001,48,0.74,2.03,2.71,1.841875,0.63648855933961,1.125,0,NA,NA,NA,NA,NA,NA,48,6.7,6.9,7.4,6.93541666666667,0.182756183739526,0.2,48,16,38.5,92,43.9166666666667,19.3674802382794,14.25,48,0,48,19
"acefcwq",2002-10-24,48,19.6,20.65,21.1,20.4125,0.507234890403404,1,48,4.58,7.84,29.63,12.31125,8.01200658187979,11.6275,48,2.5,4.35,18.4,7.21041666666667,5.08900523587667,7.175,48,47.7,59.15,68.6,58.525,6.46251054569286,10.85,48,4.3,5.2,5.6,5.05208333333333,0.39517816253159,0.625000000000001,48,0.83,1.94,2.63,1.825625,0.581852895973881,1.0125,0,NA,NA,NA,NA,NA,NA,48,6.7,6.9,7.4,6.96458333333333,0.186216053120337,0.225000000000001,48,10,32,115,39.625,19.1262602143554,17,48,0,48,17
"acefcwq",2002-10-25,48,19.7,20.35,20.8,20.2416666666667,0.340733460024315,0.699999999999999,48,5.98,9.71,31.51,13.863125,8.11193949478306,12.165,48,3.3,5.45,19.7,8.175,5.19482148035579,7.575,48,48,57.85,74.8,59.90625,7.77457411435343,10.525,48,4.3,5.1,6,5.15833333333333,0.488084982717774,0.625,48,0.8,1.965,2.63,1.81416666666667,0.579592055116881,1.0575,0,NA,NA,NA,NA,NA,NA,48,6.8,6.9,7.5,7.01875,0.204893589403679,0.199999999999999,48,13,34,117,45,24.4844718485437,24,48,0,48,13
"acefcwq",2002-10-26,48,19.6,20.7,21.6,20.5729166666667,0.682529582659737,1.6,48,7.77,9.48,29.96,13.5214583333333,7.04210830059975,8.83,48,4.3,5.35,18.6,7.93333333333333,4.51476694496802,5.425,48,46.9,58.15,73.9,59.1729166666667,7.99078563983817,11.525,48,4.2,5.05,5.9,5.06666666666667,0.527673873061815,0.725000000000001,48,0.83,1.815,2.53,1.73854166666667,0.56808371267792,1.07,0,NA,NA,NA,NA,NA,NA,48,6.8,6.9,7.5,7.00833333333333,0.169897758157518,0.125,48,15,30,80,35.9583333333333,16.154781037037,13.5,48,0,48,18
"acefcwq",2002-10-27,48,20.4,20.95,22.2,21.2125,0.672127457517498,1.425,48,7.42,9.25,28.29,12.6327083333333,6.22656482582024,6.79,48,4.1,5.2,17.5,7.35625,3.96945284026197,4.25,48,45,53.9,71,56.1875,7.84869212576888,12.15,48,4,4.6,5.7,4.77083333333333,0.553118175720213,0.925,48,0.81,1.795,2.51,1.71270833333333,0.558206625296424,1.015,0,NA,NA,NA,NA,NA,NA,48,6.9,6.9,7.4,6.99583333333333,0.158393978680597,0.125,48,11,27,87,31.8333333333333,14.5504746333835,14.75,48,0,48,32
"acefcwq",2002-10-28,48,21.2,21.65,23.7,22.15625,0.893452840794299,1.825,48,7.95,10.48,29.84,13.8202083333333,6.69947806464447,7.5625,48,4.4,5.95,18.5,8.09375,4.28864935590127,4.65,48,39.3,51.4,71.3,54.35,9.58693703443011,15.85,48,3.4,4.35,5.6,4.50833333333333,0.678494369858054,1.025,48,0.84,1.755,2.49,1.70729166666667,0.550348978582636,1.0475,0,NA,NA,NA,NA,NA,NA,48,6.9,6.9,7.5,7.01666666666667,0.181405075503525,0.199999999999999,48,11,31,112,35.3125,18.7027774134946,21,48,0,48,32
