"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"acemcwq",2002-10-15,25,22.9,24.1,24.4,23.924,0.43806392227619,0.599999999999998,25,21.27,29.69,39.52,30.3772,5.73297153897232,8.86,25,12.8,18.4,25.2,18.892,3.91225851224924,6.1,25,54,70,77.6,68.632,7.68199843790664,13.3,25,4.3,5.3,5.6,5.172,0.432550575077643,0.7,25,3,3.92,4.4,3.8428,0.453224741895968,0.77,0,NA,NA,NA,NA,NA,NA,25,7.1,7.4,7.6,7.38,0.160727512683216,0.3,25,18,32,81,36.52,15.8380343898267,14,25,0,25,7
"acemcwq",2002-10-16,48,21.7,22.85,23.5,22.7916666666667,0.483706141376842,0.600000000000001,48,20.96,28.97,34.19,27.8677083333333,4.1421565149052,7.4925,48,12.6,17.9,21.5,17.1916666666667,2.78444259545351,5.025,48,51.5,68.35,73.6,64.6729166666667,7.17417767793703,13.5,48,4.2,5.3,5.6,5.04375,0.44859413964926,0.800000000000001,48,2.69,3.745,4.24,3.61520833333333,0.49432089492871,0.83,0,NA,NA,NA,NA,NA,NA,48,7.1,7.3,7.5,7.32291666666667,0.111545398320705,0.2,48,13,25.5,42,26.7708333333333,7.00832205411427,10.25,48,0,48,18
"acemcwq",2002-10-17,48,21.4,22.1,22.6,22.0416666666667,0.398845852660395,0.699999999999999,48,20.95,24.52,29.44,24.826875,2.78492840066105,5.2725,48,12.6,14.9,18.2,15.1395833333333,1.85090427391739,3.45,48,51.2,64.3,70.7,61.9833333333333,6.1368552946767,10.625,48,4.2,5.1,5.5,4.95,0.409462543425018,0.625000000000001,48,2.61,3.64,4.29,3.54104166666667,0.557804356700994,1.025,0,NA,NA,NA,NA,NA,NA,48,7.2,7.2,7.4,7.26458333333333,0.0757644258669618,0.0999999999999996,48,14,27,47,27.2083333333333,7.09497374782102,9.5,48,0,48,17
"acemcwq",2002-10-18,48,20.7,21.45,21.9,21.4166666666667,0.36222323746395,0.550000000000001,48,20.02,21.635,28.08,22.8985416666667,2.23244259851709,3.5025,48,12,13.05,17.3,13.8645833333333,1.47943197600674,2.325,48,51.1,63.9,73.2,62.4645833333333,5.8462022436586,8.97500000000001,48,4.2,5.2,5.8,5.08958333333333,0.418324715234334,0.625000000000001,48,2.48,3.725,4.35,3.58479166666667,0.594950345088199,1.0425,0,NA,NA,NA,NA,NA,NA,48,7.2,7.2,7.5,7.25208333333333,0.0824868353992586,0.0999999999999996,48,17,28,54,29.125,9.04980310118473,12.25,48,0,48,14
"acemcwq",2002-10-19,48,20.2,21,21.3,20.85625,0.349410597946666,0.600000000000001,48,19.33,21.115,25.96,22.1077083333333,1.87637863028345,2.6025,48,11.5,12.7,15.9,13.3479166666667,1.23649979279766,1.725,48,53.9,64.2,70.2,62.7604166666667,4.77412082062541,7.925,48,4.5,5.3,5.7,5.18958333333333,0.342232708767521,0.525,48,2.52,3.615,4.28,3.53479166666667,0.598017965941369,1.1475,0,NA,NA,NA,NA,NA,NA,48,7.2,7.2,7.4,7.25625,0.0769256341637127,0.0999999999999996,48,17,28,63,29.625,9.62847063704879,10.25,48,0,48,14
"acemcwq",2002-10-20,48,20.2,21.05,21.7,21.05,0.422756909175142,0.524999999999999,48,18.12,20.5,25.05,21.0702083333333,1.70801301702067,1.93,48,10.7,12.3,15.3,12.6666666666667,1.12521077615714,1.3,48,53.7,63.4,68.4,62.4,4.14487635521254,6.77500000000001,48,4.5,5.3,5.6,5.17083333333333,0.294602749718742,0.5,48,2.43,3.51,4.23,3.435,0.621994047997793,1.195,0,NA,NA,NA,NA,NA,NA,48,7.2,7.2,7.4,7.24583333333333,0.0682870453847279,0.0999999999999996,48,17,28,58,30.3125,9.77002852845418,11,48,0,48,14
"acemcwq",2002-10-21,48,20.9,21.6,22,21.51875,0.327892204653207,0.5,48,17.04,20.09,24.36,20.2760416666667,1.73640217371013,1.9175,48,10.1,12,14.8,12.1458333333333,1.12646279997003,1.25,48,55.7,62.7,66.7,62.0229166666667,3.20533063872451,5.34999999999999,48,4.6,5.2,5.4,5.10625,0.237366984027651,0.399999999999999,48,2.32,3.475,4.2,3.379375,0.647615614421512,1.1925,0,NA,NA,NA,NA,NA,NA,48,7.1,7.2,7.4,7.23333333333333,0.0724446474927901,0.0999999999999996,48,16,28,72,30.5,11.3118277395172,13.25,48,0,48,14
"acemcwq",2002-10-22,48,21.4,21.6,21.8,21.5833333333333,0.103827461896994,0.100000000000001,48,16.22,19.495,25.61,20.0152083333333,2.15504849092241,2.5725,48,9.5,11.6,15.7,11.975,1.40825831769662,1.65,48,55.5,61.95,67.8,62.3041666666667,3.56394225502646,6.97500000000001,48,4.6,5.1,5.5,5.12291666666667,0.266769151405937,0.5,48,2.33,3.55,4.24,3.41916666666667,0.641002649887753,1.2575,0,NA,NA,NA,NA,NA,NA,48,7.1,7.2,7.4,7.2625,0.0841098572410297,0.0999999999999996,48,14,29,58,30.4375,10.4635258082745,12.25,48,0,48,14
"acemcwq",2002-10-23,48,21,21.3,21.4,21.2458333333333,0.151528851733923,0.299999999999997,48,16.7,19.28,29.46,20.860625,3.26492540480425,4.1425,48,9.8,11.5,18.3,12.5416666666667,2.15740519215111,2.725,48,56.7,66.5,73.1,65.9020833333333,4.53119164183501,5.35,48,4.7,5.5,5.8,5.4375,0.318657422934865,0.4,48,2.47,3.545,4.35,3.48645833333333,0.610843468417074,1.1225,0,NA,NA,NA,NA,NA,NA,48,7.2,7.3,7.6,7.3375,0.095927721017308,0.100000000000001,48,14,27,54,28.3958333333333,8.9887390149016,11.5,48,0,48,6
"acemcwq",2002-10-24,48,20.9,21.2,21.4,21.16875,0.113280390220508,0.0999999999999979,48,18.11,19.555,31.52,21.84875,3.91719158244999,5.305,48,10.7,11.65,19.7,13.1895833333333,2.59748156124214,3.45,48,60.8,68.6,76.3,69.025,4.36653131726784,6.65000000000001,48,5.1,5.7,6.1,5.67916666666667,0.282811367352068,0.425000000000001,48,2.57,3.565,4.31,3.49166666666667,0.567837755271747,1.0475,0,NA,NA,NA,NA,NA,NA,48,7.3,7.3,7.6,7.37708333333333,0.105668255128227,0.125000000000001,48,10,23.5,41,23.7708333333333,7.08080889517074,10.75,48,0,48,0
