"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"apaebmet",2002-01-01,95,0.1,4.4,9.7,4.54105263157895,2.9656004643616,4.85,95,49,78,100,76.3578947368421,18.0277066840648,41,95,1017,1018,1020,1018.30526315789,0.91178669830322,1,95,1.5,2.9,5.4,3.01157894736842,0.891909636427408,1.2,0,NA,NA,NA,NA,NA,NA,95,0,27,355,119.778947368421,151.386934070913,317,95,8342.7,95,2.1
"apaebmet",2002-01-02,96,2.2,4.7,6.2,4.54791666666667,1.08073845773854,1.525,96,100,100,100,100,0,0,96,1012,1015,1018,1015.01041666667,1.57943888548511,2,96,1.4,4.1,7.1,4.36041666666667,1.13429590186267,1.275,0,NA,NA,NA,NA,NA,NA,96,0,25,355,54.0625,95.1869973981962,34.25,96,1899.9,96,5.2
"apaebmet",2002-01-03,96,-1.7,1.7,6.3,2.50208333333333,1.91245112309978,3.2,96,61,84,100,85.9166666666667,12.7919931097268,22.25,96,1014,1018,1024,1018.40625,2.96142968673472,3.25,96,1.3,3.9,10.6,4.26458333333333,1.89347795654711,2.425,0,NA,NA,NA,NA,NA,NA,96,0,326,355,311.822916666667,68.010369920084,27,96,14997.6,96,8.7
"apaebmet",2002-01-04,96,-3.8,0.3,9.3,1.56354166666667,4.2431894605645,7.7,96,42,87,100,80.6458333333333,17.4934448875883,31.5,96,1024,1025,1028,1025.45833333333,1.20452363736975,1.25,96,0.2,2.2,4.6,2.16979166666667,1.18367134411423,1.75,0,NA,NA,NA,NA,NA,NA,96,0,211.5,355,195.302083333333,127.273358504786,240.5,96,18312.6,96,0
"apaebmet",2002-01-05,96,-1.4,9.5,14.2,6.50833333333333,5.72546788098059,11.925,96,60,85,100,81.96875,13.7354348694401,27.25,96,1011,1023.5,1025,1020.86458333333,4.48064795987711,8,96,0.6,2.4,9.2,3.034375,1.80034079376217,2.025,0,NA,NA,NA,NA,NA,NA,96,0,72.5,355,70.1354166666667,57.9924894940655,96.5,96,16466.7,96,0
"apaebmet",2002-01-06,96,8.3,13.65,16.6,12.7802083333333,2.57345231124371,4.95,96,73,84,100,86.6875,7.90244798847334,14,96,1003,1009,1015,1008.91666666667,3.14447440731287,6,96,1.1,5.7,12.1,5.68229166666667,2.38406970896259,3.7,0,NA,NA,NA,NA,NA,NA,96,125,270,326,254.791666666667,53.2523123622799,39,96,7499.1,96,3.6
"apaebmet",2002-01-07,96,0.9,5.75,9.7,5.85,2.24485376384579,4.1,96,56,88,100,84,13.6836437129574,21.5,96,1013,1016,1023,1016.8125,2.98879486362683,5.25,96,0.2,2.85,10.1,3.69479166666667,2.18209796642766,2.725,0,NA,NA,NA,NA,NA,NA,96,13,315,346,304.083333333333,55.4840264669252,22,96,15053.7,96,13.3
"apaebmet",2002-01-08,96,-1.6,2.5,9.8,2.99375,3.47677444282999,6.65,96,53,90,100,83.7291666666667,16.2062230845644,34,96,1022,1023,1025,1023.19791666667,1.06246774976855,2,96,0.2,2.1,5.3,2.275,1.10995495404093,1.325,0,NA,NA,NA,NA,NA,NA,96,12,288,351,259.59375,81.9027122647095,101.75,96,18444.6,96,27.2
"apaebmet",2002-01-09,96,-0.3,8.95,16.2,8.04270833333333,6.15022027490273,13.375,96,71,100,100,92.4270833333333,11.2387907119346,19.25,96,1020,1021,1023,1021.375,0.954215025971334,1,96,0.2,0.85,5.9,1.63333333333333,1.72289026847126,2.625,0,NA,NA,NA,NA,NA,NA,96,0,71.5,355,126.791666666667,97.9801179258932,166,96,18249.9,96,0
"apaebmet",2002-01-10,96,6.4,12.6,19.2,12.3822916666667,4.62796976725936,9.725,96,74,100,100,94.6354166666667,8.28329935747912,11.25,96,1018,1019,1021,1019.1875,1.08881877086569,2,96,0.2,0.2,5.4,1.58958333333333,1.78952973338435,3.1,0,NA,NA,NA,NA,NA,NA,96,51,161,275,142.0625,74.7880953797215,157.25,96,18638,96,1.1
