"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"apapcwq",2017-01-01,96,15.9,16.6,17.3,16.5895833333333,0.348071126024452,0.425000000000004,96,46.64,48.105,49.41,48.0796875,0.814251290741184,1.2975,96,30.4,31.4,32.4,31.3979166666667,0.587408074181854,0.924999999999997,96,69,89.2,109.9,89.1322916666667,10.5046605675934,13.7,96,5.6,7.25,8.8,7.19479166666667,0.831405885000843,1.1,96,2.03,2.37,2.48,2.31083333333333,0.150533553991105,0.255,96,1.96,2.32,2.42,2.25052083333333,0.154172629092857,0.2375,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.2,8.3,8.4,8.309375,0.0633754476782696,0.0250000000000004,96,2,5,18,5.53125,2.37066779399259,2,96,0,96,0
"apapcwq",2017-01-02,96,16.6,17,17.6,17.08125,0.305842236593003,0.549999999999997,96,45.66,47.115,47.48,46.9779166666667,0.428920104611979,0.437499999999993,96,29.7,30.7,31,30.6020833333333,0.310849148273654,0.300000000000001,96,72.3,83.2,95.8,83.05625,5.35807924147215,7.34999999999999,96,5.8,6.7,7.7,6.66979166666667,0.418548819177749,0.6,96,1.89,2.285,2.47,2.22375,0.181631495066247,0.3075,96,1.83,2.24,2.4,2.16572916666667,0.182956680473342,0.3125,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.2,8.3,8.3,8.28854166666667,0.0320190458671967,0,96,2,4,11,4.89583333333333,1.91107116101315,3,96,0,96,0
"apapcwq",2017-01-03,96,17.5,18.3,19.6,18.2989583333333,0.651879031669085,1.1,96,43.78,46.825,47.55,46.5884375,0.776019978208646,1.17,96,28.3,30.5,31,30.325,0.565313140983315,0.900000000000002,96,63.9,86.9,101.9,86.7166666666667,9.57982162966202,13.5,96,5.1,6.85,8,6.81354166666667,0.714749833551155,1,96,1.9,2.195,2.34,2.14270833333333,0.133286230715125,0.2325,96,1.9,2.18,2.33,2.1340625,0.132320011813466,0.2325,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.2,8.3,8.3,8.25625,0.0498682474653284,0.100000000000001,96,1,4,8,3.94791666666667,1.81438574014323,3,96,0,96,0
"apapcwq",2017-01-04,96,17.4,18.3,19,18.3125,0.401379201202422,0.699999999999999,96,37.99,42.805,47.57,43.3089583333333,3.13587542689158,6.72749999999999,96,24.2,27.6,31,27.96875,2.25184427338547,4.8,96,74.6,88.1,103.5,88.1645833333333,6.87027126050948,9.40000000000001,96,6,7,8.3,7.028125,0.581414450420606,0.9,96,1.82,2.075,2.2,2.0534375,0.108441865337584,0.175,96,1.83,2.07,2.19,2.05208333333333,0.10505053086533,0.17,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.2,8.3,8.3,8.275,0.0435285750066013,0.0250000000000004,96,1,2,9,2.65625,1.65960125204504,1,96,0,96,0
"apapcwq",2017-01-05,96,17,17.5,18.3,17.5385416666667,0.253136032356504,0.200000000000003,96,36.48,40.625,41.87,39.8355208333333,1.4473277516216,2.2525,96,23.1,26.05,26.9,25.4927083333333,1.01879648209533,1.6,96,67.1,84.7,101.4,83.828125,7.87202512732671,13.2,96,5.5,6.9,8.2,6.88020833333333,0.639838761213227,1,96,1.88,2.035,2.21,2.03625,0.0931919354992977,0.17,96,1.87,2.02,2.2,2.0228125,0.0888961916773539,0.14,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.2,8.3,8.3,8.26979166666667,0.0461571495668917,0.100000000000001,96,1,4,23,6.1875,5.25419631793183,8,96,0,96,0
"apapcwq",2017-01-06,96,17.5,17.9,18.4,17.8854166666667,0.18636645658581,0.124999999999996,96,40.37,44.22,46.87,44.2908333333333,1.46430272011642,2.36999999999999,96,25.9,28.6,30.5,28.665625,1.04658121368679,1.7,96,41,83.15,102.5,78.6958333333333,15.5595421165661,23,96,3.3,6.7,8.1,6.290625,1.22268712915017,1.8,96,1.9,2.145,2.58,2.155,0.175030824352981,0.1825,96,1.9,2.14,2.6,2.15125,0.180182655862556,0.1875,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8,8.2,8.3,8.21979166666667,0.0901691879532051,0.100000000000001,96,1,4,11,4.64583333333333,2.11251492260898,3,96,0,96,14
"apapcwq",2017-01-07,96,10.9,14.85,18.1,15.125,1.69624973335141,2.575,96,39.05,41.785,43.78,41.7030208333333,1.11848593129676,1.35,96,24.8,26.85,28.3,26.7770833333333,0.824426967390929,0.925000000000004,96,92.1,95.75,100.2,96.2645833333333,2.37411386977682,3.72499999999998,96,7.5,8.35,9,8.24166666666667,0.452517325441316,0.8,96,1.92,2.04,2.46,2.07822916666667,0.135662078568049,0.15,96,1.73,1.945,2.46,1.97458333333333,0.192024760830289,0.2125,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.3,8.3,8.4,8.31666666666667,0.0374634324632676,0,96,8,35,182,35.28125,20.1273331436056,18.25,96,0,96,0
"apapcwq",2017-01-08,96,5.8,10.05,11.4,9.35520833333333,1.67902664733355,3,96,32.71,37.785,41.68,38.4184375,2.21506389506274,4.1425,96,20.4,23.85,26.5,24.2854166666667,1.4679006969616,2.8,96,94.4,98.4,103.2,98.678125,2.57253522813586,4.12499999999999,96,9,9.7,10.3,9.68958333333333,0.283020983661958,0.225000000000001,96,1.47,1.87,2.3,1.88989583333333,0.234957979632492,0.4025,96,1.23,1.645,2.05,1.65052083333333,0.234742276557736,0.435,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.2,8.3,8.4,8.278125,0.0440170421541481,0,96,11,33,118,32.3125,15.6563842703561,14.25,96,0,96,0
"apapcwq",2017-01-09,96,7.8,10.05,11.1,9.89895833333333,0.878814367760596,1.5,96,29.51,32.71,36.1,32.1341666666667,2.13052534498279,3.74000000000001,96,18.2,20.4,22.8,19.99375,1.48059820769565,2.625,96,88.8,95.85,100.3,95.6979166666667,2.33684353761613,2.12500000000001,96,8.5,9.6,10.1,9.54166666666667,0.394078983979145,0.5,96,1.83,2.16,2.34,2.10979166666667,0.150367823872464,0.2425,96,1.56,1.925,2.12,1.87270833333333,0.167102106614751,0.28,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.2,8.3,8.3,8.28125,0.0392361272835453,0,96,5,18,65,18.8958333333333,11.1019004221104,13,96,0,96,0
"apapcwq",2017-01-10,96,10,11.3,13.1,11.421875,0.94670654876455,1.325,96,30.65,34,42.97,34.708125,3.35136337143086,4.9525,96,19,21.3,27.6,21.8208333333333,2.34533878897862,3.45,96,76.5,96.1,106.8,95.7572916666667,5.51323278536414,5.52499999999999,96,7.2,9.1,10.4,9.13333333333333,0.676004775234873,1.025,96,1.84,2.285,2.49,2.22125,0.217760128775243,0.3925,96,1.65,2.095,2.34,2.0484375,0.22955484667412,0.4225,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.2,8.3,8.4,8.321875,0.0440170421541474,0,96,3,6,34,7.5625,5.15407350395884,3,96,0,96,0
