"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"cbmmbwq",2020-01-01,96,7.9,8.8,9.7,8.79166666666667,0.446192468894585,0.6,96,20.52,21.34,23.1,21.4991666666667,0.711756414078901,1.175,96,12.2,12.8,13.9,12.8770833333333,0.461229288034,0.699999999999999,96,79.6,85.3,90.4,85.2364583333333,2.7079656295598,3.5,96,8.6,9.2,9.6,9.12083333333333,0.316200025522376,0.525,96,0.81,1.21,1.54,1.204375,0.197221822748957,0.3325,96,0.8,1.24,1.59,1.23375,0.204775872345198,0.3425,96,7.3,7.4,7.5,7.38645833333333,0.0400520494689932,0,96,1,1,3,1.5,0.580381000088009,1,96,0,96,0
"cbmmbwq",2020-01-02,96,6.7,7.6,8,7.53958333333333,0.299641598779773,0.5,96,20.45,20.825,21.78,20.9170833333333,0.395013435258964,0.640000000000001,96,12.2,12.4,13,12.4697916666667,0.252198665077091,0.425000000000001,96,80.2,87.25,92.9,86.6635416666667,3.97749246032344,6.95,96,9,9.65,10.2,9.571875,0.392750925490551,0.6,96,0.78,1.055,1.32,1.0546875,0.165057904512644,0.305,96,0.77,1.055,1.3,1.05052083333333,0.164466408611009,0.31,96,7.3,7.4,7.5,7.40104166666667,0.0589286663628005,0,96,1,2,12,2.64583333333333,1.86930421430382,1,96,0,96,0
"cbmmbwq",2020-01-03,96,7.6,8.3,8.8,8.13854166666667,0.44066213138309,0.8,96,19.97,20.44,21.56,20.6273958333333,0.490297964811446,0.855,96,11.9,12.2,12.9,12.2958333333333,0.317528835546488,0.525,96,87.1,91.65,97.7,91.540625,2.76681759522798,3.875,96,9.6,9.9,10.5,9.975,0.247513954949488,0.4,96,0.73,0.995,1.23,0.9875,0.176396682150442,0.345,96,0.75,1.03,1.27,1.0228125,0.177631807992055,0.3425,96,7.4,7.45,7.5,7.45,0.0502624689950033,0.0999999999999996,96,2,3,6,2.9375,0.88034084308295,1,96,0,96,0
"cbmmbwq",2020-01-04,96,8.8,9.35,9.9,9.25416666666667,0.365028237311975,0.699999999999999,96,19.72,20.345,22.16,20.69375,0.805376995737498,1.4825,96,11.7,12.15,13.3,12.371875,0.523088625881232,0.925000000000001,96,84.7,89.8,94.4,89.8114583333333,2.0078723901403,2.625,96,8.9,9.5,10.1,9.5375,0.26127219120055,0.299999999999999,96,0.7,1.07,1.36,1.05666666666667,0.215404963372746,0.4125,96,0.76,1.175,1.46,1.14989583333333,0.217751644101191,0.385,96,7.3,7.4,7.5,7.40729166666667,0.0547622452860721,0,96,1,2.5,4,2.47916666666667,0.710510071289288,1,96,0,96,0
"cbmmbwq",2020-01-05,96,7.9,8.4,9.7,8.59479166666667,0.569648052317193,0.925000000000001,96,15.6,17.555,19.58,17.3947916666667,1.04289473573538,1.6925,96,9.1,10.35,11.7,10.2375,0.675004873276755,1.1,96,81.3,90.35,98.7,89.9510416666667,5.7258599867373,11.325,96,8.8,9.9,11,9.83958333333333,0.764815652596193,1.6,96,0.7,1.01,1.33,1.0059375,0.170556847291144,0.2425,96,0.65,1.01,1.3,0.986979166666667,0.180327887277106,0.2675,96,7.3,7.4,7.5,7.39479166666667,0.0812660240608994,0.2,96,4,9,15,9.38541666666667,2.93927950952061,4.25,96,0,96,0
"cbmmbwq",2020-01-06,96,6.7,7.3,8,7.334375,0.336492159914924,0.6,96,14.77,16.425,19.76,16.9464583333333,1.47004259098104,2.75,96,8.5,9.6,11.7,9.93541666666667,0.929513643813305,1.725,96,86.6,95.4,108.8,95.7875,6.42138286467462,10.475,96,9.9,10.7,12.2,10.8135416666667,0.669897052839844,1.125,96,0.68,1.145,1.57,1.143125,0.243476195745574,0.3175,96,0.67,1.11,1.5,1.10614583333333,0.229761293939999,0.33,96,7.3,7.5,7.7,7.49166666666667,0.0902238930505271,0.199999999999999,96,5,11.5,16,10.6041666666667,3.1101841768672,5,96,0,96,0
"cbmmbwq",2020-01-07,96,5.9,6.4,7,6.43333333333333,0.195564858896193,0.2,96,14.72,16.93,20.76,17.3101041666667,1.87504918941325,3.1475,96,8.5,9.9,12.3,10.14375,1.1845329970299,1.95,96,90.8,96.75,106.3,97.5739583333333,4.29244733999925,5.875,96,10.5,11.1,12.3,11.2416666666667,0.508592829940284,0.699999999999999,96,0.92,1.275,1.63,1.2753125,0.235197355539197,0.445,96,0.86,1.25,1.59,1.2490625,0.23516210814088,0.4475,96,7.3,7.5,7.6,7.48229166666667,0.0807788295176749,0.0999999999999996,96,6,12,18,11.03125,3.0794843211503,5,96,0,96,0
"cbmmbwq",2020-01-08,96,5,5.6,6.4,5.55833333333333,0.357672789797328,0.6,96,14.84,16.165,21.79,17.1107291666667,2.18517697454639,3.335,96,8.6,9.4,13,9.9875,1.38641909058439,2.05,96,90.3,95.95,110,98.8802083333333,6.5082558063087,12.875,96,10.8,11.2,13,11.65625,0.763484050086734,1.6,96,0.94,1.235,1.75,1.27479166666667,0.267357356622837,0.46,96,0.81,1.155,1.7,1.1978125,0.283609082791975,0.52,96,7.3,7.55,7.7,7.51145833333333,0.122147272341018,0.199999999999999,96,6,13,19,11.9895833333333,3.06248881129356,4.25,96,0,96,0
"cbmmbwq",2020-01-09,96,3.7,4.5,5.4,4.496875,0.411276094996767,0.5,96,14.16,15.59,18.63,15.9280208333333,1.43103982789966,2.665,96,8.1,9,10.9,9.2125,0.897628454375898,1.7,96,94.4,100.7,123.4,105.9,9.10131280293355,17,96,11.7,12.25,14.8,12.8875,1.08465371626641,2.2,96,0.88,1.22,1.64,1.23270833333333,0.254667912415434,0.495,96,0.61,0.96,1.36,0.971041666666667,0.256529383426935,0.4975,96,7.3,7.55,8,7.609375,0.181269282095944,0.3,96,8,13,17,12.2708333333333,2.06972750134518,3,96,0,96,0
"cbmmbwq",2020-01-10,96,3.7,4.85,6.5,5.08958333333333,1.00173314722316,2.025,96,14.42,16.34,19.93,16.6763541666667,1.69900225816378,2.855,96,8.3,9.55,11.8,9.69583333333333,1.07114465745434,1.7,96,102.9,107.85,132.2,113.197916666667,10.1667153435706,17.975,96,12.1,13.2,15.4,13.5104166666667,0.993926733153502,1.525,96,0.85,1.225,1.68,1.240625,0.270383012935744,0.5225,96,0.62,1.025,1.49,1.039375,0.271067334808162,0.5,96,7.5,7.6,8.1,7.71458333333333,0.194112917039036,0.300000000000001,96,7,12,21,11.8645833333333,2.57771743854567,3,96,0,96,0
