"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"delllwq",2002-01-01,48,0,0.2,0.8,0.279166666666667,0.253451353621326,0.5,48,2.61,6.315,22.01,8.13479166666667,5.46195857225551,6.2525,48,1.3,3.35,12.8,4.48125,3.22586991401198,3.525,48,83.8,86.65,88.6,86.4645833333333,1.08460985893513,1.25000000000001,48,11.6,12.2,12.7,12.16875,0.359761297931506,0.699999999999999,48,1.32,2.2,2.65,2.12145833333333,0.378597577761037,0.585,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.9,7,7.2,7.025,0.088726210476566,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"delllwq",2002-01-02,48,-0.1,0,0.3,0.0416666666666667,0.125194883542612,0.3,48,2.67,5.935,21.92,8.24791666666667,5.52403874696894,7.6325,48,1.4,3.15,12.7,4.5375,3.23100834007234,4.325,48,83.6,84.95,88.4,85.2083333333333,1.05927179589974,0.625000000000014,48,11.8,12.1,12.4,12.0625,0.202773324864479,0.4,48,1.42,2.22,2.67,2.15541666666667,0.374245103058304,0.63,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.9,7,7.2,7.00416666666667,0.0944374910526112,0.199999999999999,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"delllwq",2002-01-03,48,-0.3,0,0.2,-0.0145833333333333,0.12880726709599,0.2,48,2.78,7.995,26.1,10.1716666666667,6.66804521208087,9.2975,48,1.4,4.3,15.3,5.66458333333333,3.959663083848,5.375,48,82.2,83.45,90.3,84.3729166666667,2.14394144721306,2.14999999999999,48,11.7,11.9,12,11.8604166666667,0.0764632670350525,0.0999999999999996,48,1.48,2.235,2.6,2.169375,0.329986500368624,0.5375,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.9,7,7.2,7.025,0.0999999999999998,0.199999999999999,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"delllwq",2002-01-04,48,-0.4,-0.1,0.4,-0.0395833333333333,0.219999597033802,0.3,48,3.87,10.805,26.04,11.9175,6.85967231398987,11.4825,48,2,5.95,15.3,6.69791666666667,4.0849745218265,6.7,48,82.3,84.55,91.4,85.375,2.5025518890618,3.5,48,11.8,11.9,12.1,11.9166666666667,0.0807763746093833,0.0999999999999996,48,1.74,2.335,2.67,2.27208333333333,0.283413526406829,0.4775,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.9,7.1,7.2,7.05208333333333,0.0967329804334906,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"delllwq",2002-01-05,48,-0.3,0.25,1.1,0.266666666666667,0.356300932653746,0.5,48,3.36,8.705,23.13,10.37375,6.10675545883758,9.8575,48,1.7,4.75,13.5,5.78333333333333,3.60751776117085,5.775,48,82.2,84.45,89.8,84.8854166666667,2.03637031946898,2.75000000000001,48,11.7,11.8,12,11.825,0.0601416767025642,0.0999999999999996,48,1.61,2.3,2.61,2.22208333333333,0.309934504634641,0.4825,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.9,7,7.2,7.0125,0.0866025403784436,0.199999999999999,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"delllwq",2002-01-06,48,0.1,0.4,1,0.43125,0.258602010819715,0.4,48,3.33,9.38,24.97,11.0816666666667,6.66115807876938,11.14,48,1.7,5.15,14.6,6.2125,3.95838055216331,6.6,48,82,83.8,90.7,84.8020833333333,2.57214949296972,3.95000000000002,48,11.5,11.7,12.1,11.73125,0.150398407076218,0.225000000000001,48,1.58,2.25,2.5,2.17708333333333,0.26899306590235,0.4025,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.8,7,7.1,6.98125,0.0866792816787287,0.125,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"delllwq",2002-01-07,48,0.5,0.9,1.6,0.98125,0.31193033182891,0.325,48,2.58,5.67,16.71,7.29645833333333,4.22271289705953,6.8725,48,1.3,3,9.5,3.98333333333333,2.44717234421066,3.925,48,84.7,85.6,86.7,85.5416666666667,0.48238473800587,0.75,48,11.5,11.9,12.1,11.8458333333333,0.142855876387497,0.225000000000001,48,1.68,2.17,2.46,2.135,0.239991134588032,0.445,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.8,7,7.1,6.95208333333333,0.0683843435277132,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"delllwq",2002-01-08,48,0.5,1,2,1.12291666666667,0.449699466231702,0.725,48,1.42,4.01,13.06,5.12666666666667,3.45240855384977,5.3475,48,0.7,2.1,7.3,2.75416666666667,1.94169900743163,2.975,48,83.9,85.35,89.6,85.9208333333333,1.67433166511975,2.22500000000001,48,11.6,11.95,12.4,11.9479166666667,0.246671099250954,0.425000000000001,48,1.51,2.24,2.56,2.15583333333333,0.323668028862601,0.5325,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.8,6.9,7,6.9125,0.0788885559211167,0.124999999999999,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"delllwq",2002-01-09,48,0.4,1.2,2.2,1.19791666666667,0.502118737900065,0.75,48,1.28,3.12,15.05,4.62020833333333,3.84376394075774,3.9775,48,0.6,1.6,8.5,2.475,2.17808231093122,2.175,48,83.3,85.85,90.7,86.1854166666667,2.04419152029139,3.02500000000001,48,11.5,12,12.4,11.9729166666667,0.276559087860107,0.4,48,1.48,2.09,2.55,2.07395833333333,0.29767710325354,0.425,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.8,6.9,7,6.89375,0.0726584841511915,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"delllwq",2002-01-10,48,1.1,2.2,3.5,2.18541666666667,0.635472544339981,0.8,48,0.96,2.775,12.09,4.055,3.20051724543047,4.445,48,0.5,1.4,6.7,2.1625,1.78642934011789,2.45,48,82.7,87.15,91.9,86.775,2.97239068478199,5.14999999999999,48,11.2,11.9,12.2,11.7666666666667,0.367471714548083,0.699999999999999,48,1.2,2.08,2.48,1.98625,0.385898371584397,0.6575,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.8,6.9,7,6.86666666666667,0.0663111085759196,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
