"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"grbgbwq",2002-04-10,20,9.5,11.1,12.2,10.84,0.754913728078981,1,20,25.36,28.64,31.98,28.828,2.07028246229451,3.3525,20,15.5,17.65,19.9,17.785,1.37123647620832,2.25,20,117.2,121.55,128.4,121.82,3.27664783774997,4.95000000000002,20,11.3,12,12.7,12.05,0.33950428258674,0.425000000000001,18,3.45,4.175,5.5,4.29777777777778,0.664924193428496,0.9875,0,NA,NA,NA,NA,NA,NA,20,8.3,8.4,8.5,8.415,0.0587142948612398,0.0250000000000004,20,9,15,32,16.95,7.62595981879624,11.75,20,0,20,0
"grbgbwq",2002-04-11,48,9.3,9.9,11.6,10.1833333333333,0.637926605974331,0.9,48,25.56,30.25,32.64,29.8810416666667,2.15168933095611,3.24,48,15.6,18.7,20.3,18.4770833333333,1.44843856990214,2.225,48,110.2,118.1,136.2,120.777083333333,7.5160039060868,12.3,48,11.2,11.85,13.3,12.0645833333333,0.578879910132153,0.925000000000001,48,3.53,4.565,5.59,4.57916666666667,0.657347452842761,1.1125,0,NA,NA,NA,NA,NA,NA,48,8.2,8.4,8.7,8.4125,0.139337337483609,0.199999999999999,48,6,10,22,10.875,3.43092940698941,4,48,0,48,0
"grbgbwq",2002-04-12,48,9.5,10.1,12.2,10.38125,0.737348974799788,0.974999999999998,48,25.81,31.24,33.41,30.6120833333333,2.35891604960372,3.5325,48,15.8,19.4,20.9,18.9791666666667,1.59105990811335,2.375,48,112.5,120,140,122.508333333333,7.17154048359217,8.80000000000001,48,11.4,12,13.6,12.1354166666667,0.531753255582601,0.525,48,3.46,4.495,5.58,4.52229166666667,0.669935657702285,1.185,0,NA,NA,NA,NA,NA,NA,48,8.3,8.4,8.7,8.46666666666667,0.119098266835082,0.199999999999999,48,5,10,18,9.77083333333333,2.26198541422892,3,48,0,48,0
"grbgbwq",2002-04-13,48,10.1,11.15,12.9,11.375,0.858127600490396,1.625,48,27.62,32.02,34.09,31.8839583333333,1.72020006207014,2.715,48,17,20,21.4,19.8645833333333,1.15895947156818,1.825,48,112.2,120.15,133,121.475,5.31979442891898,5.75000000000001,48,11,11.7,12.5,11.71875,0.384074599358433,0.4,48,3.33,4.415,5.48,4.41958333333333,0.674019250729985,1.1625,0,NA,NA,NA,NA,NA,NA,48,8.3,8.4,8.6,8.44375,0.082271605194481,0.0999999999999996,48,6,9,15,9.3125,1.81197259384657,2,48,0,48,0
"grbgbwq",2002-04-14,48,10.9,12.05,14.5,12.3020833333333,0.957943182993632,1.325,48,28.83,32.93,35.11,32.8229166666667,1.54158796042143,2.2575,48,17.8,20.6,22.1,20.525,1.04951863332774,1.525,48,109.4,119.1,128.5,119.0625,4.45610387021304,5.30000000000001,48,10.4,11.25,11.8,11.2166666666667,0.333475147138232,0.4,48,3.32,4.465,5.52,4.47645833333333,0.674929435502558,1.1725,0,NA,NA,NA,NA,NA,NA,48,8.2,8.4,8.5,8.40833333333333,0.0678964585086304,0.0250000000000004,48,7,10.5,21,11.3958333333333,3.89073959677708,5.25,48,0,48,0
"grbgbwq",2002-04-15,48,11.4,12.15,13.5,12.1354166666667,0.485311737205586,0.800000000000001,48,26.49,33.855,35.72,33.1464583333333,2.31216808045382,2.5925,48,16.2,21.2,22.5,20.75,1.57439620307447,1.8,48,102.9,114.55,124.9,114.25,5.3245717038826,7.09999999999998,48,9.9,10.8,11.5,10.7833333333333,0.439212706349031,0.625,48,3.43,4.49,5.64,4.531875,0.680936952278787,1.1575,0,NA,NA,NA,NA,NA,NA,48,8.1,8.3,8.5,8.32708333333333,0.0791969893402987,0.0999999999999996,48,6,10,25,10.6458333333333,3.33574823870998,2,48,0,48,0
"grbgbwq",2002-04-16,48,11.3,12,14.7,12.3895833333333,0.914711809826166,1.325,48,28.24,33.61,35.96,33.0454166666667,2.18325051274892,3.36749999999999,48,17.4,21.1,22.7,20.69375,1.49629418116751,2.275,48,105,113.95,126,114.225,5.75320447247685,7.07500000000002,48,10,10.7,11.5,10.7145833333333,0.392476904501878,0.425000000000001,48,3.37,4.485,5.59,4.49854166666667,0.673138061092062,1.1525,0,NA,NA,NA,NA,NA,NA,48,8.2,8.3,8.5,8.3,0.07145896010105,0,48,7,8,14,8.52083333333333,1.52970005867279,1,48,0,48,0
"grbgbwq",2002-04-17,48,11.7,13.3,15.7,13.3583333333333,1.05444012235461,1.325,48,28.56,33.62,35.83,33.1752083333333,2.12837465665188,4.1675,48,17.6,21.1,22.6,20.7895833333333,1.45283868623703,2.8,48,108,115.45,119.1,115.010416666667,2.91651494032915,4.42500000000001,48,10,10.65,11,10.56875,0.260242317523087,0.4,48,3.36,4.58,5.64,4.550625,0.670532992984574,1.155,0,NA,NA,NA,NA,NA,NA,48,8.2,8.3,8.3,8.26666666666667,0.0476393067340338,0.100000000000001,48,6,8,13,8.1875,1.80609193705813,2,48,0,48,0
"grbgbwq",2002-04-18,48,12.4,13.95,15.3,13.9,0.864180832140067,1.325,48,28.77,33.915,35.94,33.3891666666667,2.17575795874345,3.79,48,17.8,21.3,22.7,20.9520833333333,1.48137221942437,2.625,48,105.9,113,120,112.822916666667,3.27974049202608,4.55000000000001,48,9.6,10.3,10.8,10.2479166666667,0.308040881048544,0.425000000000001,48,3.55,4.665,5.72,4.63020833333333,0.659204838804712,1.1925,0,NA,NA,NA,NA,NA,NA,48,8.1,8.2,8.3,8.225,0.069954392437335,0.100000000000001,48,5,8,11,7.5625,1.33538184833068,1,48,0,48,0
"grbgbwq",2002-04-19,48,12.8,13.4,14.6,13.5020833333333,0.498717326379589,0.850000000000001,48,30.06,34.51,35.77,33.9191666666667,1.72682322190672,2.34249999999999,48,18.7,21.75,22.6,21.3125,1.18494546063557,1.6,48,100.8,110,113.3,109.23125,2.94821664451219,3.10000000000001,48,9.2,10.1,10.3,9.97916666666667,0.263332435585147,0.324999999999999,48,3.42,4.6,5.65,4.55708333333333,0.651074262304586,1.09,0,NA,NA,NA,NA,NA,NA,48,8,8.2,8.2,8.16875,0.0589130264105574,0.0250000000000004,48,5,6,12,6.75,1.43660355952296,1,48,0,48,0
