"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"grblrwq",2002-04-19,17,15.5,16.4,16.8,16.1764705882353,0.458979046042281,0.800000000000001,17,0.34,4.77,17.73,8.28470588235294,6.76387288988995,12.69,17,0.2,2.6,10.5,4.78235294117647,4.0512706793853,7.7,17,87.7,95.1,104.9,94.5647058823529,5.32329094363517,7.8,17,8.2,9.2,10.2,9.04705882352941,0.640427247096444,1,17,0.74,1.83,2.31,1.65235294117647,0.550551194392546,1,0,NA,NA,NA,NA,NA,NA,17,6.7,7.1,7.3,7.08823529411765,0.199632014407686,0.399999999999999,6,1,3,88,17.3333333333333,34.7198310287747,5.75,17,0,17,0
"grblrwq",2002-04-20,48,14.4,15.5,16.5,15.4729166666667,0.7587053876494,1.525,48,0.64,10.425,27.45,12.4185416666667,10.0038407495775,20.215,48,0.3,5.95,16.9,7.40625,6.19070704551623,12.45,48,85.2,90.7,99,92.4479166666667,4.96395473702225,10.125,48,7.9,8.7,9.7,8.8375,0.669907900942123,1.325,48,0.43,1.58,2.63,1.56270833333333,0.643364625061203,1.0675,0,NA,NA,NA,NA,NA,NA,48,6.5,7.2,7.6,7.17083333333333,0.319546442756001,0.5,15,0,5,11,4.46666666666667,3.0441200151549,3.5,48,0,48,0
"grblrwq",2002-04-21,48,13.7,14.75,15.4,14.6375,0.60797011404712,1.2,48,1.57,16.8,28.55,14.9885416666667,10.1664257594118,19.5575,48,0.8,9.9,17.6,8.98333333333333,6.35768368542912,12.175,48,86.2,90.75,98.8,92.5854166666667,4.32297127838699,7.575,48,8.1,8.75,9.8,8.91875,0.644339097324092,1.3,48,0.42,1.61,2.68,1.57916666666667,0.661959802512089,1.1775,0,NA,NA,NA,NA,NA,NA,48,6.8,7.4,7.6,7.30625,0.256329450578825,0.4,18,2,4.5,8,4.83333333333333,2.03643286742515,3.75,48,0,48,0
"grblrwq",2002-04-22,48,11.9,13.2,14.3,13.2916666666667,0.671560055245559,1.05,48,2.15,13.9,25.62,13.4470833333333,8.45611725153047,15.8225,48,1.1,8.1,15.7,7.95208333333333,5.25612063008586,9.725,48,85.7,90.15,97.2,91.5104166666667,4.1504288208766,8.57499999999999,48,8.4,8.9,10.1,9.14166666666667,0.640090862344353,1.3,48,0.47,1.685,2.74,1.63979166666667,0.700852033381537,1.2375,0,NA,NA,NA,NA,NA,NA,48,6.9,7.3,7.6,7.28125,0.19423198456945,0.300000000000001,22,2,6.5,13,6.72727272727273,3.66686343431105,5.75,48,0,48,0
"grblrwq",2002-04-23,48,10.5,11.6,12.5,11.4791666666667,0.643116856240094,1.225,48,2.28,16.575,26.82,14.74125,8.91393735984941,18.48,48,1.2,9.75,16.4,8.7625,5.55543149979695,11.525,48,83.5,88.35,97.8,90.1583333333333,4.68968235250277,9.39999999999999,48,8.4,9,10.5,9.31666666666667,0.720323016588357,1.35,48,0.48,1.61,2.81,1.690625,0.726976853651257,1.365,0,NA,NA,NA,NA,NA,NA,48,6.9,7.3,7.6,7.30625,0.188393262290868,0.324999999999999,27,0,6,17,7.40740740740741,4.55107138070265,5,48,0,48,0
"grblrwq",2002-04-24,48,10.2,10.55,11,10.54375,0.217242143554537,0.299999999999999,48,1.56,9.125,24.16,11.9683333333333,8.27452057705713,17.59,48,0.8,5.15,14.7,7.025,5.11254194177251,10.9,48,86.5,93.7,99,93.05625,4.57732181521029,9.27500000000001,48,8.8,10.1,11.1,9.93958333333333,0.807343841256118,1.625,48,0.44,1.64,2.9,1.69270833333333,0.754960164042302,1.265,0,NA,NA,NA,NA,NA,NA,48,7,7.3,7.6,7.3,0.202116461055965,0.4,20,0,4.5,12,4.85,3.31305233726751,5,48,0,48,0
"grblrwq",2002-04-25,48,10.1,10.35,11,10.45625,0.264901627666622,0.299999999999999,48,1.15,6.855,19.37,9.31625,6.80191575798491,13.2525,48,0.6,3.75,11.5,5.375,4.10694792718337,8.05,48,88.6,94.85,100,94.83125,3.59853139370624,6.72499999999998,48,9.1,10.35,11.2,10.2625,0.688391588213717,1.325,48,0.44,1.64,2.87,1.66270833333333,0.76995644967567,1.32,0,NA,NA,NA,NA,NA,NA,48,6.9,7.2,7.5,7.23958333333333,0.198654605993089,0.300000000000001,22,2,8.5,24,8.95454545454546,5.26875129985657,5.75,48,0,48,0
"grblrwq",2002-04-26,48,9.7,9.9,10.5,10.0020833333333,0.266170304890823,0.324999999999999,48,0.16,3.31,20.79,7.25916666666667,7.95004960063032,15.38,48,0.1,1.75,12.5,4.22083333333333,4.75734407995002,9.1,48,87.2,98,100.9,95.66875,4.77792602785556,9.05000000000001,48,9,11,11.5,10.5458333333333,0.89203528537531,1.725,48,0.4,1.61,2.94,1.608125,0.779273137186459,1.3775,0,NA,NA,NA,NA,NA,NA,48,6.5,7.1,7.5,7.05833333333333,0.339482292543153,0.625000000000001,18,0,15.5,22,14.1111111111111,6.28620234078422,6.25,48,0,48,0
"grblrwq",2002-04-27,48,9.3,9.7,9.8,9.60208333333333,0.164368013833687,0.225,48,0.15,0.175,16.83,1.46916666666667,3.67473133094243,0.4425,48,0.1,0.1,9.9,0.83125,2.13762208808979,0.2,48,90,101.5,103.2,100.8125,2.64853431968574,1.075,48,9.6,11.5,11.7,11.4354166666667,0.455925331388176,0.0999999999999996,48,0.43,1.54,2.92,1.59375,0.768121845941623,1.3025,0,NA,NA,NA,NA,NA,NA,48,6.4,6.6,7.4,6.67708333333333,0.25115866252006,0.2,3,8,14,17,13,4.58257569495584,4.5,48,0,48,0
"grblrwq",2002-04-28,48,9.2,9.55,9.9,9.56666666666667,0.175442702452885,0.199999999999999,48,0.14,0.15,12.29,1.03541666666667,2.62357637856884,0.0975,48,0.1,0.1,7.1,0.583333333333333,1.49101326867868,0.025,48,95.1,102.85,103.9,102.58125,1.71149508486934,0.700000000000003,48,10.3,11.7,11.8,11.6645833333333,0.311816628692374,0.100000000000001,48,0.42,1.59,2.97,1.65708333333333,0.783068047730136,1.405,0,NA,NA,NA,NA,NA,NA,48,6.4,6.5,7.3,6.58333333333333,0.227225011109602,0.199999999999999,3,5,13,13,10.3333333333333,4.61880215351701,4,48,0,48,0
