"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"grborwq",2002-04-17,19,14.3,14.8,16.1,15.0315789473684,0.681544513569443,1.3,19,28.65,31.75,32.54,30.8736842105263,1.51045324517112,2.6,19,17.7,19.8,20.4,19.2263157894737,1.02460946775028,1.75,19,88.4,111.4,119.2,105.773684210526,10.4259208016081,19.4,19,7.8,10.1,10.7,9.48421052631579,1.00125652051961,1.85,19,0.88,1.71,2.38,1.65842105263158,0.561834921958544,1.04,0,NA,NA,NA,NA,NA,NA,19,7.6,7.9,8,7.81052631578947,0.162940810119317,0.300000000000001,19,7,12,15,11.3157894736842,2.70909233629083,4,19,0,19,0
"grborwq",2002-04-18,48,14.2,16.3,18.1,16.1791666666667,1.27295239558219,2.125,48,23.42,29.285,32.51,28.9747916666667,2.44843935494075,3.605,48,14.2,18.15,20.4,17.95,1.6608124133509,2.425,48,83.1,97.95,116.1,99.1958333333333,9.04280502361051,11.375,48,7.2,8.75,10.1,8.75833333333333,0.762368463250458,1.025,48,0.71,1.785,2.75,1.72604166666667,0.635475160079459,1.1125,0,NA,NA,NA,NA,NA,NA,48,7.4,7.7,7.9,7.6875,0.152462063645564,0.2,47,7,13,27,13.1063829787234,3.58277304886927,4,48,0,48,0
"grborwq",2002-04-19,48,14,14.85,17.7,15.1145833333333,0.933305629021448,1.35,48,21.95,28.765,32.26,28.3527083333333,3.09690355965461,4.93,48,13.3,17.8,20.2,17.5416666666667,2.07239540026402,3.35,48,76.8,90.6,101.7,89.0104166666667,8.29468529107731,14.9,48,6.8,8.15,9.3,8.04583333333333,0.793312026652316,1.525,48,0.59,1.655,2.69,1.65645833333333,0.626307957638587,1.08,0,NA,NA,NA,NA,NA,NA,48,7.3,7.6,7.9,7.59583333333333,0.180964711892553,0.399999999999999,48,6,12,21,12.8125,3.48037812814838,4.25,48,0,48,0
"grborwq",2002-04-20,48,13.1,13.7,14.8,13.8,0.56153285650634,1,48,24.57,30.925,33.5,30.5595833333333,2.44754584712092,4.005,48,15,19.25,21,19.0145833333333,1.65786193806172,2.725,48,75,91.1,106.2,91.7458333333333,8.50756755328801,9.85000000000001,48,6.9,8.45,9.8,8.44375,0.796242839575005,0.950000000000001,48,0.55,1.635,2.63,1.62354166666667,0.625614556012754,1.07,0,NA,NA,NA,NA,NA,NA,48,7.4,7.7,7.9,7.68958333333333,0.162741909408776,0.3,48,5,12,21,12.25,3.68146594298544,4,48,0,48,0
"grborwq",2002-04-21,48,11.9,12.9,14.8,12.9979166666667,0.825005372860218,1.35,48,21.89,31.68,33.8,31.1010416666667,3.0620173016614,3.2075,48,13.2,19.75,21.2,19.3770833333333,2.06554712584294,2.125,48,83,96.85,111.2,97.4833333333333,8.70994377521324,13.6,48,7.7,9,10.3,9.11041666666667,0.801923109630135,1.075,48,0.55,1.675,2.69,1.64104166666667,0.644123153228342,1.155,0,NA,NA,NA,NA,NA,NA,48,7.5,7.8,8,7.79166666666667,0.144153188809584,0.2,48,6,12,39,13.5208333333333,6.52324675502547,5.25,48,0,48,0
"grborwq",2002-04-22,48,10.6,11.45,13.4,11.6833333333333,0.913802747310878,0.800000000000002,48,24.21,30.73,33.53,30.8495833333333,2.12508618932427,3.0675,48,14.7,19.1,21,19.1729166666667,1.43952409147227,2.025,48,78.6,90.85,98.9,90.2104166666667,5.75907201387454,8.175,48,7.6,8.7,9.7,8.6875,0.58732172487542,0.75,48,0.62,1.75,2.74,1.698125,0.681414849272094,1.3025,0,NA,NA,NA,NA,NA,NA,48,7.5,7.7,7.9,7.73125,0.132337817241862,0.2,48,6,12,19,11.8958333333333,2.75402671021313,4,48,0,48,0
"grborwq",2002-04-23,48,10,10.5,10.9,10.46875,0.257777943364258,0.424999999999999,48,27.11,31.505,34.3,31.4804166666667,2.08030476320212,3.865,48,16.6,19.6,21.5,19.575,1.41052276411446,2.65,48,79.8,94.75,104.8,93.5854166666667,7.35726561091168,8.97499999999999,48,7.9,9.3,10.4,9.225,0.705148241544423,0.874999999999998,48,0.65,1.74,2.82,1.75958333333333,0.707873526188128,1.29,0,NA,NA,NA,NA,NA,NA,48,7.5,7.8,8,7.8,0.148753687599562,0.2,48,6,10.5,20,10.6875,3.0398505702356,3,48,0,48,0
"grborwq",2002-04-24,48,9.2,10.4,12.1,10.5625,0.817527408610737,1.225,48,21.66,31.59,34.29,30.9910416666667,3.19629255949554,3.92,48,13,19.6,21.5,19.2479166666667,2.14793216574744,2.75,48,85.4,102.75,113.7,101.045833333333,8.17458329560214,13.6,48,8.6,10.1,10.9,9.95,0.708309344608395,1.15,48,0.62,1.76,2.92,1.764375,0.735497823159485,1.3675,0,NA,NA,NA,NA,NA,NA,48,7.6,7.9,8,7.88541666666667,0.118482574952505,0.2,48,5,10,26,11.9166666666667,4.92856775765982,4.25,48,0,48,0
"grborwq",2002-04-25,48,10.3,11.05,11.7,11.0270833333333,0.372307116037932,0.600000000000001,48,24.27,31.285,34.19,30.8310416666667,3.00761108253026,4.1925,48,14.7,19.45,21.4,19.1541666666667,2.04231390811765,2.85,48,92,103.05,110.1,102.552083333333,4.42593851489022,6.15000000000001,48,9.3,10.1,10.6,10.0166666666667,0.349670564311752,0.5,48,0.6,1.75,2.93,1.73979166666667,0.755908610887708,1.385,0,NA,NA,NA,NA,NA,NA,48,7.7,7.9,8,7.90416666666667,0.0988407989956541,0.2,48,7,12.5,62,17.3541666666667,12.0662878060504,9.25,48,0,48,0
"grborwq",2002-04-26,48,8.5,10.1,10.6,9.89166666666667,0.531090140737571,0.700000000000001,48,1.08,30.85,34.35,25.2491666666667,10.8985665333689,13.59,48,0.5,19.1,21.5,15.5666666666667,6.9727839714175,9.075,48,90.5,99.05,104.1,98.2979166666667,3.532492916578,4.75,48,8.9,10,11.5,10.0895833333333,0.614103596268866,0.399999999999999,48,0.54,1.645,2.95,1.66895833333333,0.765087227910685,1.3975,0,NA,NA,NA,NA,NA,NA,48,7.3,7.9,8,7.79791666666667,0.210864061618545,0.4,45,7,21,77,25.9333333333333,17.1893201515571,17,48,0,48,0
