"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"gtmfmwq",2002-01-01,48,14.1,16.65,17.3,16.1958333333333,0.994015782513802,1.5,48,52.26,53.585,54.61,53.6091666666667,0.546161979454282,0.835000000000001,48,34.4,35.4,36.2,35.4416666666667,0.414540675484573,0.625,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.7,2.415,3.21,2.44125,0.448257263709229,0.7775,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8.1,8.00833333333333,0.0403881873046916,0,48,0,2,6,2.08333333333333,1.30193527527021,1,0,NA,0,NA
"gtmfmwq",2002-01-02,48,14.5,15.7,17.4,15.9229166666667,1.03373719515769,1.925,48,43.52,53.855,55.74,53.683125,1.70241525080405,1.06250000000001,48,28.1,35.65,37,35.4958333333333,1.24711724326132,0.799999999999997,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.77,2.5,3.31,2.53645833333333,0.444409670994859,0.702500000000001,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8,7.97291666666667,0.0449092860289628,0.0999999999999996,48,0,2,6,2.20833333333333,1.48694078826341,1.25,0,NA,0,NA
"gtmfmwq",2002-01-03,48,13.3,14.5,17.1,14.68125,0.931175475384445,1.55,48,51.53,53.7,54.61,53.6777083333333,0.536411399689,0.707499999999996,48,33.9,35.5,36.2,35.4666666666667,0.402298361457272,0.5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.89,2.49,3.18,2.51041666666667,0.399041182396287,0.68,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8.1,8.00416666666667,0.0410414079086056,0,48,1,3,6,3.27083333333333,1.34859396178348,2,0,NA,0,NA
"gtmfmwq",2002-01-04,48,10.8,12.5,15,12.7229166666667,1.21694412944243,1.525,48,53.15,54.61,55.66,54.5295833333333,0.614636922173807,0.725000000000001,48,35.1,36.05,36.8,36.0125,0.41545924346285,0.5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.87,2.47,3.17,2.46541666666667,0.394267207875159,0.675,0,NA,NA,NA,NA,NA,NA,48,8,8,8.1,8.03541666666667,0.0483321105250061,0.0999999999999996,48,1,3,10,3.58333333333333,2.02991807122517,3,0,NA,0,NA
"gtmfmwq",2002-01-05,48,11.6,13.1,15,13.1708333333333,1.11850172073662,2,48,52.99,54.135,55.1,54.1747916666667,0.555804915964162,0.889999999999993,48,35,35.7,36.5,35.76875,0.396879450050441,0.600000000000001,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.84,2.455,3.05,2.465625,0.390787019591044,0.7225,0,NA,NA,NA,NA,NA,NA,48,7.9,8.05,8.1,8.04791666666667,0.0545370587778789,0.0999999999999996,48,1,2,5,2.45833333333333,0.921569736993269,1,0,NA,0,NA
"gtmfmwq",2002-01-06,48,12.8,14.9,15.5,14.5104166666667,0.936548571591647,1.475,48,48.46,53.53,55.41,53.4889583333333,1.34781973601077,1.0625,48,31.6,35.35,36.7,35.3145833333333,0.975004546270543,0.824999999999996,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.38,2.175,2.94,2.16458333333333,0.440333327964523,0.665,0,NA,NA,NA,NA,NA,NA,48,7.8,8,8.1,8.03541666666667,0.0668105716355539,0.0999999999999996,48,1,3,10,2.66666666666667,1.40414785748288,1,0,NA,0,NA
"gtmfmwq",2002-01-07,48,12.9,13.8,14.9,13.8708333333333,0.628391507362108,1.1,48,48,53.73,55.47,53.7570833333333,1.18411104700159,1.09750000000001,48,31.3,35.45,36.8,35.5,0.871779788708135,0.824999999999996,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.46,2.165,2.67,2.13041666666667,0.359443768474341,0.6175,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8.1,8.02708333333333,0.0573884981186303,0.0999999999999996,48,1,2,4,2.39583333333333,0.736281148120753,1,0,NA,0,NA
"gtmfmwq",2002-01-08,48,11.5,12.5,14.3,12.8291666666667,1.05969853869287,2.025,48,48.13,55.11,55.67,54.8452083333333,1.14147718699925,0.45750000000001,48,31.4,36.4,36.8,36.2479166666667,0.824618437446003,0.300000000000004,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.57,2.3,2.89,2.27729166666667,0.36573877192715,0.6,0,NA,NA,NA,NA,NA,NA,48,7.9,8.1,8.1,8.06458333333333,0.0525502123943854,0.0999999999999996,48,1,2,7,2.33333333333333,1.11724077546186,1,0,NA,0,NA
"gtmfmwq",2002-01-09,48,10.7,13.5,14.8,13.0604166666667,1.31969364325844,2.4,48,51.67,55.765,56.23,55.5641666666667,0.889644522203405,0.57,48,33.9,36.95,37.3,36.7875,0.678429036411922,0.424999999999997,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.6,2.315,2.92,2.29458333333333,0.376568822413891,0.625,0,NA,NA,NA,NA,NA,NA,48,7.9,8.1,8.2,8.1,0.0922531208028882,0.199999999999999,48,1,2,4,2.10416666666667,0.750590783864747,1,0,NA,0,NA
"gtmfmwq",2002-01-10,48,11.6,13.8,15.4,13.7729166666667,1.09422849209285,2.125,48,47.55,56.105,56.57,55.5777083333333,1.86772274536295,0.535000000000004,48,30.9,37.2,37.5,36.8333333333333,1.38354052964238,0.5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.53,2.265,2.93,2.23666666666667,0.406166999158811,0.685,0,NA,NA,NA,NA,NA,NA,48,7.9,8.2,8.2,8.17708333333333,0.0691578008502272,0,48,2,2,4,2.39583333333333,0.573884981186305,1,0,NA,0,NA
