"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"gtmpcwq",2002-02-18,16,15.9,17,17.1,16.8125,0.332415402771893,0.399999999999999,16,21.77,27.335,35.59,27.78625,3.87482795316988,2.9975,16,13.1,16.85,22.5,17.1625,2.62649957167329,2.025,16,84.4,88.4,102.4,90.475,5.93649728375243,7.7,16,7.5,7.8,8.8,7.91875,0.444550334607905,0.574999999999999,16,1.22,1.35,1.67,1.390625,0.151897717779652,0.2375,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16,7.6,7.7,7.8,7.69375,0.0771902411793962,0.125000000000001,0,NA,NA,NA,NA,NA,NA,16,0,16,0
"gtmpcwq",2002-02-19,48,14.8,16,17.3,16.0833333333333,0.79018805554157,1.425,48,20.13,27.175,36.66,28.0720833333333,4.33507218930952,6.8,48,12.1,16.75,23.2,17.36875,2.9333124294065,4.525,48,76.4,86.05,97.1,86.4645833333333,5.27948617677707,4.84999999999998,48,6.9,7.65,8.5,7.66666666666667,0.400177265685635,0.325,48,1.09,1.355,1.65,1.36083333333333,0.151205557329669,0.2275,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.5,7.7,7.8,7.675,0.0837930581596393,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"gtmpcwq",2002-02-20,48,17.1,17.4,18.6,17.7041666666667,0.527925822212615,1,48,13.79,28.65,33.4,26.806875,5.37926086682959,8.35,48,8,17.75,21,16.525,3.57559695953295,5.625,48,77.4,85.85,94.1,85.5895833333333,3.61823041168701,4.27500000000001,48,6.6,7.4,8.1,7.39166666666667,0.328655114667585,0.399999999999999,48,1.01,1.225,1.55,1.24583333333333,0.143657887540094,0.205,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.4,7.7,7.8,7.68125,0.0937544325193283,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"gtmpcwq",2002-02-21,48,18.1,18.9,20.2,19.00625,0.436332027586644,0.5,48,19.71,28.225,31.91,27.759375,2.83654750158065,3.005,48,11.8,17.4,20,17.1354166666667,1.89899072671297,2.05,48,62.8,77.7,84.3,76.5458333333333,5.2503681059738,7.92500000000001,48,5.2,6.5,7.2,6.425,0.476467497942666,0.725000000000001,48,0.98,1.135,1.42,1.159375,0.120731921249149,0.185,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.5,7.6,7.7,7.63958333333333,0.0573884981186307,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"gtmpcwq",2002-02-22,48,19.3,20.05,20.5,20.0729166666667,0.268755669575691,0.300000000000001,48,23.73,28.29,30.91,27.8691666666667,2.0439353295067,3.1825,48,14.4,17.5,19.3,17.19375,1.38662398069188,2.225,48,62.1,68.3,79.5,69.5895833333333,4.34757156883004,6.8,48,5.2,5.65,6.6,5.71458333333333,0.366692858510047,0.6,48,0.97,1.155,1.44,1.17041666666667,0.135080091818424,0.2225,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.5,7.6,7.7,7.61041666666667,0.0592132221193787,0,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"gtmpcwq",2002-02-23,48,16.5,17.95,20,18.0875,1.05237825899246,1.15,48,22.61,29.035,39.59,29.63375,4.3630813945329,5.855,48,13.7,18,25.3,18.4145833333333,2.99275647389772,4,48,60.2,69.75,84,70.2708333333333,6.58444195710805,8.375,48,5,5.85,7.2,5.96458333333333,0.649873828452725,1.025,48,0.96,1.355,1.62,1.32979166666667,0.204829867994624,0.335,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.5,7.6,7.8,7.61666666666667,0.083368786784558,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"gtmpcwq",2002-02-24,48,14.1,16.3,17.1,15.9166666666667,0.960570161654521,1.25,48,15.61,22.44,40.13,24.81625,7.26788933773292,10.2375,48,9.2,13.6,25.7,15.23125,4.883500499402,6.8,48,68.8,75.95,87.2,76.5708333333333,5.74767143723044,10.325,48,6.2,6.9,7.6,6.89166666666667,0.424681774896307,0.725000000000001,48,1.18,1.58,1.84,1.54333333333333,0.199588228593041,0.3375,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.3,7.5,7.8,7.52916666666667,0.151528851733924,0.199999999999999,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"gtmpcwq",2002-02-25,48,14,15.9,17.3,15.8479166666667,1.13531129545541,1.925,48,11.39,17.96,37.85,20.514375,8.09436313088812,12.7025,48,6.5,10.65,24.1,12.41875,5.34645065201841,8.25,48,61.9,73.35,87.9,74.29375,7.45698034401753,11.725,48,5.9,6.8,7.7,6.81458333333333,0.499782754222712,0.899999999999999,48,1.23,1.505,1.84,1.50791666666667,0.18878061491418,0.3175,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.2,7.3,7.8,7.40416666666667,0.186750867534324,0.2,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"gtmpcwq",2002-02-26,48,15.6,16.65,18.7,16.8875,0.835292024358815,0.824999999999999,48,8.47,16.7,38.94,20.740625,9.50518165657386,15.97,48,4.7,9.85,24.8,12.6020833333333,6.29455994721458,10.475,48,62.3,76,91.6,76.2333333333333,8.12258038167291,13.025,48,6,6.9,7.7,6.82291666666667,0.449699466231702,0.625,48,1.12,1.38,1.74,1.39270833333333,0.194408427093124,0.3375,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.2,7.3,7.8,7.42916666666667,0.211336510256453,0.3,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"gtmpcwq",2002-02-27,48,14.3,16,18.4,16.34375,1.07898814893024,1.55,48,7.66,20.93,30.34,19.6485416666667,6.09756874799496,9.7775,48,4.3,12.6,18.9,11.8145833333333,3.94741981893874,6.375,48,70,83.2,90.2,82.0916666666667,5.1490479736997,5.84999999999999,48,6.6,7.6,8.3,7.50416666666667,0.484639955559612,0.8,48,1.05,1.29,1.64,1.32020833333333,0.185901936896429,0.3275,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.2,7.5,7.7,7.51041666666667,0.135645946106161,0.199999999999999,0,NA,NA,NA,NA,NA,NA,48,0,48,0
