"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"gtmsswq",2002-02-18,14,15.7,16.6,16.9,16.4571428571429,0.367348683058828,0.449999999999999,14,51.7,52.57,53.05,52.5464285714286,0.35690134691336,0.270000000000003,14,34,34.7,35,34.6642857142857,0.256026269256595,0.199999999999996,14,101.3,103.25,106.6,103.35,1.39821314541096,1.52500000000001,14,8.1,8.2,8.4,8.2,0.0784464540552739,0,14,3.01,3.195,3.94,3.31928571428571,0.320971225303029,0.475,0,NA,NA,NA,NA,NA,NA,14,8,8,8.1,8.03571428571428,0.0497245158098845,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,14,0,14,0
"gtmsswq",2002-02-19,48,15.2,16,17.9,16.2354166666667,0.801193148368674,1.3,48,51.7,52.55,53.45,52.6329166666667,0.429140448830794,0.614999999999995,48,34.1,34.7,35.3,34.7291666666667,0.309397721960925,0.424999999999997,48,94.4,99.7,108.4,100.554166666667,4.08249810534455,6.77500000000001,48,7.6,8,8.4,7.99375,0.227293277600885,0.399999999999999,48,2.81,3.38,4.07,3.39125,0.373679946113863,0.6225,0,NA,NA,NA,NA,NA,NA,48,8,8,8.1,8.04166666666667,0.0498223795452012,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"gtmsswq",2002-02-20,48,15.9,16.6,17.7,16.6875,0.562148235163886,1.1,48,51.58,52.455,53.47,52.5460416666667,0.462664528910589,0.617499999999993,48,34,34.6,35.3,34.6729166666667,0.338167516925482,0.424999999999997,48,90,100.15,105,99.4166666666667,3.4669462516827,4.39999999999998,48,7.2,7.9,8.2,7.8375,0.237562981570711,0.3,48,2.69,3.255,3.96,3.294375,0.382438459797017,0.6425,0,NA,NA,NA,NA,NA,NA,48,8,8,8.1,8.02916666666667,0.0459339643185102,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"gtmsswq",2002-02-21,48,16.3,17.2,19.1,17.3895833333333,0.735495081006255,1.025,48,51.78,52.5,53.81,52.6685416666667,0.515500127260579,0.43249999999999,48,34.1,34.65,35.6,34.7729166666667,0.377415389043061,0.299999999999997,48,90.6,98.65,106.3,98.125,3.76905089921204,4.39999999999999,48,7.1,7.7,8.2,7.64166666666667,0.268829878447503,0.324999999999999,48,2.64,3.21,3.8,3.20104166666667,0.364307793547868,0.6575,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8.1,8.0125,0.048924605479008,0,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"gtmsswq",2002-02-22,48,16.7,17.4,18,17.3520833333333,0.382037974793603,0.699999999999999,48,51.86,52.86,54.01,52.9827083333333,0.625469150159637,0.994999999999997,48,34.2,34.9,35.8,34.9979166666667,0.464249375087897,0.724999999999994,48,87.2,94.4,99.9,93.9083333333333,3.28846037397529,5.3,48,6.8,7.35,7.7,7.30208333333333,0.269348768078208,0.4,48,2.67,3.32,3.88,3.27895833333333,0.375665308165214,0.68,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8.1,8.00625,0.0665446578574244,0.0250000000000004,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"gtmsswq",2002-02-23,48,15.7,16.4,17.7,16.3916666666667,0.468057703904548,0.625000000000002,48,50.77,53.18,54.05,53.1227083333333,0.774530027942363,1.0275,48,33.4,35.1,35.8,35.0979166666667,0.571853865923481,0.800000000000004,48,87,93,100,92.7604166666667,3.3565268005962,4.45000000000002,48,6.9,7.3,8,7.34791666666667,0.274435267981462,0.324999999999999,48,2.91,3.555,4.03,3.51354166666667,0.366306984287208,0.710000000000001,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8.1,8.03125,0.0589130264105574,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"gtmsswq",2002-02-24,48,14.7,15.7,16.4,15.7,0.288797948952462,0.225000000000001,48,51.16,53.03,53.99,52.9258333333333,0.740574341042093,1.12,48,33.6,35,35.7,34.9395833333333,0.552264037735473,0.824999999999996,48,88.8,93.6,101.4,94.1458333333333,3.63815234456578,6.02499999999999,48,7.2,7.55,8.1,7.5625,0.275700268947769,0.5,48,2.92,3.64,4.38,3.66104166666667,0.437372423141678,0.7825,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8.1,8.02708333333333,0.0573884981186303,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"gtmsswq",2002-02-25,48,14.8,15.8,16.2,15.7041666666667,0.385899520233327,0.699999999999999,48,50.39,52.625,53.65,52.5408333333333,0.924737647288168,1.61249999999999,48,33.1,34.7,35.5,34.65,0.681362839571498,1.2,48,87.6,93.8,102.2,94.7833333333333,3.88342540906883,5.55000000000001,48,7.1,7.6,8.2,7.62916666666667,0.309397721960925,0.5,48,2.77,3.565,4.39,3.53666666666667,0.523792769373754,0.9225,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8.1,7.99791666666667,0.0757644258669616,0.199999999999999,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"gtmsswq",2002-02-26,48,15.6,16.2,17.3,16.2645833333333,0.492708356761579,0.65,48,50.2,52.58,53.63,52.40625,1.00387255485095,1.8725,48,32.9,34.7,35.5,34.5645833333333,0.739605870698463,1.325,24,88.9,96.55,99.6,94.7875,4.23148781522939,8.22499999999999,24,7.1,7.7,8,7.60416666666667,0.347011046894284,0.625000000000001,48,2.5,3.45,4.35,3.39791666666667,0.600400427847004,1.075,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8.1,7.99166666666667,0.0820828158172112,0.199999999999999,0,NA,NA,NA,NA,NA,NA,24,0,24,0
"gtmsswq",2002-02-27,48,14.2,16.2,17.1,16.1083333333333,0.680998432632724,0.950000000000001,48,50.09,52.53,53.96,52.4570833333333,1.15485277376729,2.11500000000001,48,32.9,34.65,35.7,34.6,0.838184461493627,1.6,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,2.27,3.375,4.21,3.29020833333333,0.663570258215852,1.265,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8.1,7.99583333333333,0.0874176410779378,0.199999999999999,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
