"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"heelcmet",2021-10-13,28,24.1,24.7,25,24.6357142857143,0.236038737740833,0.300000000000001,28,75,78,83,77.9642857142857,1.81520619902356,2,28,1018,1020,1021,1019.71428571429,1.08379111207058,2,28,1.1,1.5,2.2,1.56785714285714,0.296964359288839,0.4,28,2,2.85,3.7,2.85,0.418551293374164,0.625,28,102,117,127,115.714285714286,7.92958428155643,14.5,28,547.1,28,0
"heelcmet",2021-10-14,96,22.2,23.9,25.8,24.0333333333333,0.872705010348697,0.949999999999996,96,75,81,91,82.1770833333333,3.84158627232544,4.5,96,1016,1018,1020,1017.94791666667,1.0091141677277,2,96,0.5,1.65,2.4,1.540625,0.520440729220513,0.7,96,1.6,3.15,4.7,3.08229166666667,0.732694348805783,1,96,61,110,139,109.583333333333,15.0001169586084,21.25,96,24945.3,96,4.1
"heelcmet",2021-10-15,96,21.2,24.3,25.5,24.1875,0.801741525483251,0.725000000000005,96,71,77,90,77.6979166666667,4.67945069125959,7,96,1015,1017,1018,1016.91666666667,0.890495623874902,2,96,0.4,1.8,2.6,1.778125,0.416300277507272,0.5,96,1.5,3.3,5.3,3.33854166666667,0.611016373571061,0.6,96,33,113,134,112.177083333333,12.2586122608313,12.25,96,17104.8,96,5.2
"heelcmet",2021-10-16,96,20.8,23.9,25.7,23.846875,1.12885159390091,1.225,96,70,76,94,77.5104166666667,5.68839037757776,4.25,96,1016,1017,1019,1017.125,1.03872391347319,2,96,0.2,1.3,2.4,1.259375,0.505043640636498,0.725,96,0.7,2.55,4.1,2.47708333333333,0.732620267355709,0.925,96,0,121,147,113.885416666667,25.8228253954425,12,96,24538.7,96,5.5
"heelcmet",2021-10-17,96,23.5,24.6,26.6,24.6739583333333,0.838952328068723,1.1,96,65,74,80,73.7916666666667,2.67509632553245,2.25,96,1017,1018,1019,1017.96875,0.851662460936503,2,96,0.8,1.8,2.7,1.80104166666667,0.481334721410255,0.8,96,1.5,3.3,4.8,3.28229166666667,0.759223258429529,1.225,96,102,127,136,126.03125,5.47809633665603,6.25,96,31799.3,96,0.3
"heelcmet",2021-10-18,96,22,24.35,26.9,24.6489583333333,1.05561105194217,1.35,96,65,75,86,74.0729166666667,3.88314791365179,4,96,1017,1018,1020,1018.35416666667,0.917423929634859,1,96,0.4,1.5,2.3,1.45833333333333,0.470982548937335,0.8,96,0.9,2.65,4.3,2.71666666666667,0.670532650277165,0.9,96,94,120,139,118.145833333333,11.8862850348553,19.75,96,34699.6,96,0
"heelcmet",2021-10-19,96,21.7,23.85,26.1,24.3604166666667,1.05575906009963,1.9,96,66,73,83,73.0208333333333,4.23265293606657,8,96,1017,1018,1020,1017.91666666667,0.854297700689583,1,96,0.2,1.4,2.1,1.434375,0.438376940663242,0.6,96,0.9,2.7,3.5,2.546875,0.53290724481747,0.7,96,79,96.5,126,97.34375,9.76333433660965,15.25,96,42775.9,96,0
"heelcmet",2021-10-20,96,19.1,22.6,25.9,22.7770833333333,2.24074607719307,4.6,96,64,79,93,78.4375,10.7113442077473,23,96,1016,1017,1019,1017.30208333333,0.930419166054421,1,96,0.1,0.65,1.8,0.839583333333333,0.575916508325125,1.2,96,0.4,1.5,2.9,1.603125,0.813110094830823,1.625,96,0,73.5,143,54.2083333333333,42.2336649622117,85.25,96,44756.7,96,0
"heelcmet",2021-10-21,96,21.4,22.55,25.4,22.9739583333333,1.26933424669177,2.425,96,76,93,97,90.125,6.24120433722109,10,96,1015,1017,1018,1016.86458333333,0.889941354267284,2,96,0,0.5,1.6,0.567708333333333,0.425872427566523,0.7,96,0,1.1,3,1.28125,0.694536952902701,1.025,96,0,44,146,52.625,51.08141077061,94,96,23871.5,96,4.5
"heelcmet",2021-10-22,96,21.3,24.7,26.7,24.1895833333333,1.67837510183396,3.325,96,69,77,96,82.1770833333333,9.85472880522652,21,96,1017,1018,1019,1017.92708333333,0.836594496083493,2,96,0.1,1.5,2.2,1.271875,0.703630154795005,1.4,96,0.4,2.7,4.1,2.38020833333333,1.11691490432744,2.075,96,0,128.5,146,98,55.6468186067508,39.75,96,29081.1,96,2.9
