"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"heephwq",2022-06-27,31,20.7,20.9,21.2,20.9161290322581,0.167524673194823,0.25,31,0.14,0.14,0.14,0.14,0,0,31,0.1,0.1,0.1,0.1,0,0,31,99.2,99.5,102.7,100.135483870968,1.09986313909103,1.34999999999999,31,8.9,8.9,9.1,8.93870967741936,0.0667204084461852,0.0999999999999996,31,0.36,0.37,0.38,0.370322580645161,0.00874980798560439,0.02,31,0.32,0.32,0.33,0.321612903225806,0.00373878250552983,0,31,7.8,7.9,8,7.91612903225806,0.0454369467397651,0,31,0,0,1,0.225806451612903,0.425023718503241,0,31,0,31,0
"heephwq",2022-06-28,96,20.4,20.7,21.4,20.815625,0.305847614275303,0.524999999999999,96,0.14,0.14,0.14,0.14,0,0,96,0.1,0.1,0.1,0.1,0,0,96,99.1,99.8,105.9,101.126041666667,2.1435457487987,3.69999999999999,96,8.9,9,9.4,9.04166666666667,0.164583472129633,0.299999999999999,85,0.36,0.38,0.39,0.375176470588235,0.00839667801458841,0.01,85,0.32,0.32,0.33,0.321647058823529,0.00373116183345764,0,96,7.8,7.9,8.1,7.93645833333333,0.0952777564659924,0.0999999999999996,96,0,0,5,0.645833333333333,1.09524490572144,1,96,0,96,0
"heephwq",2022-06-29,96,20.4,20.7,21.1,20.7322916666667,0.204422056522731,0.299999999999997,96,0.14,0.14,0.14,0.14,0,0,96,0.1,0.1,0.1,0.1,0,0,96,99.2,100.45,105.1,101.266666666667,1.92143951884034,3.52500000000001,96,8.9,9,9.4,9.078125,0.155734676529295,0.299999999999999,86,0.37,0.38,0.4,0.38546511627907,0.0068008609739003,0.01,86,0.32,0.32,0.33,0.323604651162791,0.00482951482100353,0.01,96,7.8,7.9,8.1,7.940625,0.0658197298847788,0.0999999999999996,96,0,0,6,0.677083333333333,1.17423920872122,1,96,0,96,0
"heephwq",2022-06-30,96,20.5,20.9,21.4,20.8770833333333,0.281529344704641,0.5,96,0.14,0.14,0.15,0.140104166666667,0.00102062072615966,0,96,0.1,0.1,0.1,0.1,0,0,96,99.3,100,105.3,101.219791666667,1.95171286669814,3.52499999999999,96,8.9,9,9.3,9.05416666666667,0.145758752859263,0.299999999999999,60,0.38,0.39,0.41,0.392333333333333,0.00744850494990106,0.01,60,0.32,0.32,0.34,0.324666666666667,0.00595652801459883,0.01,96,7.8,7.9,8.1,7.91458333333333,0.0858139562525776,0.0999999999999996,96,0,1,17,1.16666666666667,2.37826414657355,1,96,0,96,0
"heephwq",2022-07-01,96,20.7,20.95,21.4,20.9854166666667,0.222416946848962,0.399999999999999,96,0.14,0.14,0.14,0.14,0,0,96,0.1,0.1,0.1,0.1,0,0,96,98.6,100.15,105.1,101.277083333333,1.90762895910448,3.62499999999999,96,8.8,8.95,9.3,9.025,0.149384702944057,0.299999999999999,41,0.38,0.39,0.4,0.390731707317073,0.00565254097837381,0,41,0.32,0.32,0.33,0.322926829268293,0.00460646417495263,0.01,96,7.8,7.9,8.1,7.925,0.0753937034925052,0.0999999999999996,96,0,0,3,0.4375,0.677650740659072,1,96,0,96,0
"heephwq",2022-07-02,96,20.6,20.9,21.8,21.01875,0.337580399780244,0.600000000000001,96,0.14,0.14,0.14,0.14,0,0,96,0.1,0.1,0.1,0.1,0,0,96,99.5,100.05,106.3,101.403125,2.16388797866491,3.72499999999999,96,8.9,9,9.3,9.03229166666667,0.155255166312322,0.299999999999999,51,0.38,0.38,0.39,0.384313725490196,0.00500196039999692,0.01,51,0.31,0.32,0.33,0.320980392156863,0.00412548274061803,0,96,7.8,7.9,8.1,7.95416666666667,0.0819713257524483,0.0999999999999996,96,0,0,4,0.572916666666667,0.914730810752732,1,96,0,96,0
"heephwq",2022-07-03,96,20.6,20.7,20.8,20.7260416666667,0.0757347054792919,0.100000000000001,96,0.14,0.14,0.14,0.14,0,0,96,0.1,0.1,0.1,0.1,0,0,96,99.4,100.1,103.1,100.797916666667,1.2254304650046,2.39999999999999,96,8.9,9,9.2,9.03958333333333,0.112838185648081,0.225,50,0.37,0.38,0.4,0.381,0.00886405260427919,0.02,50,0.32,0.32,0.33,0.3212,0.00328260722659316,0,96,7.8,7.9,8,7.90625,0.0722750593948308,0.0999999999999996,96,0,1,3,0.666666666666667,0.735085625755927,1,96,0,96,0
"heephwq",2022-07-04,96,20.6,20.7,21,20.7333333333333,0.141173030573843,0.299999999999997,96,0.14,0.14,0.14,0.14,0,0,96,0.1,0.1,0.1,0.1,0,0,96,99.8,100.4,104.1,101.297916666667,1.59525475059573,3.19999999999999,96,9,9,9.3,9.09479166666667,0.117311812719388,0.199999999999999,89,0.38,0.39,0.4,0.388089887640449,0.00705117728635407,0.01,89,0.31,0.32,0.33,0.320449438202247,0.00257174876810533,0,96,7.9,7.9,8,7.93333333333333,0.0473879102207272,0.0999999999999996,96,0,0,5,0.614583333333333,0.955535580506574,1,96,0,96,0
"heephwq",2022-07-05,96,20.5,20.6,21,20.6770833333333,0.145442458628592,0.199999999999999,96,0.14,0.14,0.14,0.14,0,0,96,0.1,0.1,0.1,0.1,0,0,96,99.7,100.1,103.8,101.166666666667,1.54883091168225,2.90000000000001,96,8.9,9,9.3,9.08854166666667,0.122147272341018,0.199999999999999,67,0.38,0.39,0.4,0.38910447761194,0.00792604897628644,0.02,67,0.32,0.33,0.34,0.325970149253731,0.00523962220837311,0.01,96,7.9,7.9,8,7.93020833333333,0.0461571495668909,0.0999999999999996,96,0,0,2,0.458333333333333,0.59677495831946,1,96,0,96,0
"heephwq",2022-07-06,96,20.4,20.8,21.5,20.78125,0.316331771204987,0.5,96,0.14,0.14,0.14,0.14,0,0,96,0.1,0.1,0.1,0.1,0,0,96,99.5,100.15,106.1,101.346875,1.99947114718394,3.55,96,8.9,9,9.4,9.07291666666667,0.14901724850123,0.199999999999999,59,0.35,0.37,0.39,0.371016949152542,0.00959434374572661,0.02,59,0.32,0.32,0.35,0.323728813559322,0.00584226723961882,0.01,96,7.8,7.9,8.1,7.94583333333333,0.0819713257524483,0.0999999999999996,96,0,0,3,0.447916666666667,0.630284675309359,1,96,0,96,0
