"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"hudbmwq",2020-01-01,96,1,1.25,2.7,1.36666666666667,0.40017540013998,0.3,96,0.17,0.24,0.25,0.23875,0.0150262927458575,0.01,96,0.1,0.1,0.1,0.1,0,0,96,91.3,94.75,95.4,94.496875,0.899292485059344,0.599999999999994,96,12.5,13.4,13.5,13.2989583333333,0.260564081083478,0.0999999999999996,96,1.71,2.19,2.68,2.18427083333333,0.308308610910243,0.59,96,1.75,2.275,2.8,2.27020833333333,0.326361050200111,0.595,96,7.3,7.6,7.6,7.54895833333333,0.085833120422151,0.0999999999999996,96,6,21,52,21.1770833333333,6.34780491138334,3.25,96,0,96,0
"hudbmwq",2020-01-02,96,0.7,1,2.5,1.05,0.307108758379966,0.325,96,0.19,0.25,0.26,0.244375,0.0102405283580796,0.01,96,0.1,0.1,0.1,0.1,0,0,96,92.1,95.2,96.3,95.23125,0.649098565218274,0.5,96,12.6,13.5,13.6,13.509375,0.158332179127834,0.0999999999999996,96,1.9,2.23,2.69,2.26052083333333,0.2610399033488,0.5,96,1.95,2.265,2.73,2.29166666666667,0.262227970994572,0.4975,96,7.3,7.6,7.7,7.60104166666667,0.0606886647990193,0,96,7,20,29,19.7395833333333,2.89189353981332,2,96,0,96,0
"hudbmwq",2020-01-03,96,0.7,1,2.2,1.071875,0.316128929394322,0.4,96,0.21,0.25,0.26,0.246458333333333,0.0089418197449332,0.01,96,0.1,0.1,0.1,0.1,0,0,96,95,95.4,96,95.396875,0.23905653372328,0.325000000000003,96,13.1,13.6,13.7,13.53125,0.103935708873069,0.0999999999999996,96,1.9,2.3,2.72,2.3071875,0.251432540392888,0.465,96,1.95,2.355,2.78,2.3659375,0.254903813128341,0.475000000000001,96,7.5,7.6,7.7,7.61979166666667,0.0515441388095102,0.0249999999999995,96,9,18,23,17.71875,2.53274606535652,2,96,0,96,0
"hudbmwq",2020-01-04,96,0.7,0.9,2.2,1.0125,0.276919140772746,0.3,96,0.23,0.25,0.38,0.268125,0.0329692839505277,0.02,96,0.1,0.1,0.2,0.113541666666667,0.0343964247428089,0,96,95.1,95.6,96.3,95.66875,0.2143840626441,0.200000000000003,96,13.2,13.6,13.7,13.596875,0.106081522772273,0.0999999999999996,96,1.75,2.37,2.78,2.35197916666667,0.274500962673671,0.46,96,1.88,2.48,2.85,2.4590625,0.267814067965072,0.475,96,7.5,7.6,7.7,7.63125,0.05091272201678,0.100000000000001,96,12,18,27,17.9479166666667,2.20224665986288,2,96,0,96,0
"hudbmwq",2020-01-05,96,0.7,1.05,3.5,1.18645833333333,0.527081296369408,0.3,96,0.19,0.25,0.38,0.263333333333333,0.0351438148085584,0.0125,96,0.1,0.1,0.2,0.115625,0.0364998197544216,0,96,92.9,96.4,97.6,96.2791666666667,0.692807661721745,0.600000000000009,96,12.3,13.7,13.8,13.615625,0.253534228977387,0.200000000000001,96,1.6,2.035,2.42,2.02239583333333,0.248514512089935,0.4425,96,1.64,2.08,2.51,2.07333333333333,0.256616308570912,0.39,96,7.3,7.6,7.7,7.59270833333333,0.0684332816331916,0,96,12,16,110,20.1458333333333,13.9238373164166,3,96,0,96,0
"hudbmwq",2020-01-06,96,0.8,1.1,1.8,1.16770833333333,0.2447317722546,0.3,96,0.22,0.6,2.05,0.78875,0.50350612811825,0.745,96,0.1,0.3,1,0.3875,0.259249930213664,0.325,96,92.4,96.4,96.9,96.165625,0.684847754883099,0.425000000000011,96,12.9,13.6,13.8,13.5802083333333,0.151913958796395,0.199999999999999,96,1.66,2.39,2.86,2.36291666666667,0.329774776944465,0.5025,96,1.67,2.405,2.89,2.3796875,0.332374085774955,0.485,96,7.5,7.6,7.7,7.64375,0.057697030845799,0.100000000000001,96,11,15,33,15.96875,3.972148099746,4,96,0,96,0
"hudbmwq",2020-01-07,96,1,1.2,1.6,1.253125,0.191917265617519,0.3,96,0.3,0.805,1.85,0.947083333333333,0.505039689251546,0.955,96,0.1,0.4,0.9,0.465625,0.254156240798533,0.5,96,95.4,96.5,97,96.415625,0.257243740653223,0.325000000000003,96,13.4,13.6,13.7,13.56875,0.100851636732276,0.125,96,1.73,2.32,2.9,2.32125,0.362805588072789,0.6775,96,1.72,2.32,2.87,2.31447916666667,0.358475925321475,0.6675,96,7.6,7.6,7.7,7.63541666666667,0.0480770580295005,0.100000000000001,96,11,14,25,15.2708333333333,2.98938179374464,4,96,0,96,0
"hudbmwq",2020-01-08,96,0.8,1.2,1.9,1.28333333333333,0.301109061083632,0.4,96,0.28,0.755,2.44,1.04572916666667,0.70156928575822,1.345,96,0.1,0.4,1.2,0.516666666666667,0.368686621077309,0.7,96,95.5,96.4,96.8,96.359375,0.252389892616041,0.299999999999997,96,13.3,13.6,13.8,13.55,0.145818921593656,0.299999999999999,96,1.75,2.145,2.96,2.2290625,0.39980015566991,0.6725,96,1.65,2.105,3,2.228125,0.424458323538428,0.7225,96,7.6,7.65,7.7,7.65,0.0502624689950037,0.100000000000001,96,13,17,28,18.0520833333333,3.27789981436017,6,96,0,96,0
"hudbmwq",2020-01-09,96,-0.1,1.1,1.5,1.040625,0.319400136769572,0.3,96,0.25,0.3,1.22,0.444270833333333,0.283183945395611,0.1925,96,0.1,0.1,0.6,0.20625,0.153425792108793,0.1,96,92.3,96.4,97.3,96.2479166666667,0.820010162538652,0.5,96,13.4,13.7,13.8,13.6489583333333,0.083344297524333,0.0999999999999996,96,1.29,2.11,2.76,2.08541666666667,0.484924121392999,0.8975,96,1.1,1.845,2.52,1.84875,0.460096671764121,0.875,96,7.5,7.6,7.7,7.603125,0.0306186217847898,0,96,11,18,78,20.5833333333333,8.97560045394022,7,96,0,96,0
"hudbmwq",2020-01-10,96,0.1,1.3,1.8,1.315625,0.294270954626586,0.2,96,0.3,0.565,1.91,0.7475,0.476301540932566,0.645,96,0.1,0.3,1,0.378125,0.237621160230889,0.3,96,92.6,96.5,97,96.3854166666667,0.688244015274672,0.199999999999989,96,13.3,13.6,13.7,13.5541666666667,0.0939391366976976,0.0999999999999996,96,1.78,2.34,3.06,2.38177083333333,0.41723398658475,0.7775,96,1.58,2.185,2.87,2.20541666666667,0.421670653888645,0.82,96,7.5,7.6,7.7,7.603125,0.0306186217847898,0,96,15,20,41,21.8854166666667,6.11791122192029,6,96,0,96,0
