"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"hudskwq",2002-04-05,24,6.8,7.1,7.5,7.1125,0.215310695628838,0.399999999999999,24,0.35,0.36,0.36,0.356666666666667,0.00481543412343077,0.01,24,0.2,0.2,0.2,0.2,0,0,24,97.1,98.85,102.2,99.2666666666667,1.92120131499893,3.64999999999999,24,11.8,11.95,12.4,12.0083333333333,0.226344613494492,0.399999999999999,24,0.53,0.53,0.55,0.535,0.00589767824619589,0.01,0,NA,NA,NA,NA,NA,NA,24,7.5,7.8,7.9,7.77083333333333,0.0954584665735822,0.0999999999999996,24,0,0,0,0,0,0,24,0,24,0
"hudskwq",2002-04-06,48,5.8,6.6,7.5,6.6875,0.510162677434177,0.749999999999998,48,0.36,0.36,0.36,0.36,0,0,48,0.2,0.2,0.2,0.2,0,0,48,97.1,98.4,103.4,99.4854166666667,2.21753069333584,4.5,48,11.9,12.1,12.6,12.175,0.225501804493417,0.4,48,0.52,0.53,0.53,0.527291666666667,0.0044909286028963,0.01,0,NA,NA,NA,NA,NA,NA,48,7.7,7.7,7.9,7.77708333333333,0.0880995165860463,0.2,48,0,0,0,0,0,0,48,0,48,0
"hudskwq",2002-04-07,48,5.1,6.65,7.7,6.49791666666667,0.818792464114552,1.325,48,0.36,0.36,0.37,0.361041666666667,0.00308709278188584,0,48,0.2,0.2,0.2,0.2,0,0,48,98.4,99.75,106,101.266666666667,2.76831105537127,5.24999999999999,48,12,12.4,13.1,12.4520833333333,0.328108430010525,0.525,48,0.52,0.52,0.52,0.52,0,0,0,NA,NA,NA,NA,NA,NA,48,7.7,7.7,7.9,7.77916666666667,0.0898185720579259,0.2,48,0,0,1,0.0208333333333333,0.144337567297406,0,48,0,48,0
"hudskwq",2002-04-08,48,7,7.6,7.9,7.575,0.205767892373701,0.2,48,0.37,0.37,0.37,0.37,0,0,48,0.2,0.2,0.2,0.2,0,0,48,99.2,100.55,106.1,101.583333333333,2.28960029340191,3.42500000000001,48,11.9,12,12.7,12.1479166666667,0.253477585843054,0.325000000000001,48,0.51,0.52,0.52,0.518125,0.00394442779605584,0,0,NA,NA,NA,NA,NA,NA,48,7.7,7.7,7.9,7.77291666666667,0.0843992117875198,0.124999999999999,43,0,0,0,0,0,0,48,0,48,0
"hudskwq",2002-04-09,48,7.8,10,11.5,9.775,1.48846629619001,3.025,48,0.37,0.38,0.38,0.37625,0.00489246054790082,0.01,48,0.2,0.2,0.2,0.2,0,0,48,99.8,100.8,108.6,102.38125,2.79503025903767,4.375,48,10.9,11.8,12.2,11.6166666666667,0.416333199893227,0.624999999999998,48,0.52,0.52,0.52,0.52,0,0,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,8,7.81666666666667,0.115470053837925,0.2,35,0,0,2,0.142857142857143,0.429969707746757,0,48,0,48,0
"hudskwq",2002-04-10,48,11,11.95,13.9,12.2208333333333,0.91766547776301,1.425,48,0.38,0.38,0.38,0.38,0,0,48,0.2,0.2,0.2,0.2,0,0,48,100.3,102.4,111.9,104.4125,4.09569701547285,7.30000000000001,48,10.9,11,12,11.1958333333333,0.346998272932935,0.5,48,0.51,0.52,0.52,0.518333333333333,0.00376621788577355,0,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,8.1,7.84375,0.135122088214341,0.3,21,0,0,1,0.0476190476190476,0.218217890235992,0,48,0,48,0
"hudskwq",2002-04-11,48,11.1,12.05,14.5,12.3791666666667,1.12966919152002,1.85,48,0.38,0.38,0.39,0.380833333333333,0.00279310193865464,0,48,0.2,0.2,0.2,0.2,0,0,48,101.7,103.5,114.2,106.04375,4.53238494590567,7.89999999999999,48,10.9,11.2,12.1,11.33125,0.371973603501818,0.6,48,0.51,0.51,0.51,0.51,0,0,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,8.1,7.85416666666667,0.152926534070105,0.3,26,0,0,0,0,0,0,48,0,48,0
"hudskwq",2002-04-12,48,10.9,12.4,14.7,12.4395833333333,1.24690929959578,2.075,48,0.38,0.39,0.39,0.388541666666667,0.00356673957637417,0,48,0.2,0.2,0.2,0.2,0,0,48,101.7,103.3,115.6,106.172916666667,4.76756504081902,7.40000000000001,48,10.9,11.2,12.1,11.31875,0.373970217269043,0.525,48,0.51,0.51,0.51,0.51,0,0,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,8.1,7.85208333333333,0.148738787645841,0.3,26,0,0,0,0,0,0,48,0,48,0
"hudskwq",2002-04-13,48,12.4,14.6,15.4,14.0833333333333,1.07986077379454,2.025,48,0.39,0.39,0.4,0.391875,0.00394442779605584,0,48,0.2,0.2,0.2,0.2,0,0,48,102.3,103.5,112.5,105.714583333333,3.63751081497746,6.52499999999999,48,10.4,10.9,11.5,10.8625,0.312590412452856,0.5,48,0.51,0.51,0.52,0.51125,0.00334218682391596,0,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,8.1,7.86875,0.127423318618138,0.2,16,0,0,6,0.6875,1.62147052599382,0.25,48,0,48,0
"hudskwq",2002-04-14,48,14.1,16.2,17.5,15.7479166666667,1.30660996855568,2.5,48,0.39,0.4,0.4,0.399791666666667,0.00144337567297407,0,48,0.2,0.2,0.2,0.2,0,0,48,102.4,104.45,116.2,107.08125,4.99457817740525,8.75000000000001,48,10,10.5,11.4,10.6166666666667,0.436296470223033,0.550000000000001,48,0.52,0.52,0.52,0.52,0,0,0,NA,NA,NA,NA,NA,NA,48,7.7,7.85,8.1,7.91458333333333,0.133670893620932,0.3,23,0,0,0,0,0,0,48,0,48,0
"hudskwq",2002-04-15,48,16.5,18.05,19.3,17.8625,0.98404830360597,1.725,48,0.39,0.4,0.4,0.397083333333333,0.00459339643185104,0.01,48,0.2,0.2,0.2,0.2,0,0,48,102.6,104.25,114.9,106.260416666667,4.05859946409215,5.02499999999998,48,9.6,10,10.8,10.0875,0.34984799130662,0.5,48,0.52,0.54,0.54,0.537708333333333,0.00515280685061223,0,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,8.1,7.87708333333333,0.122456389689908,0.2,40,0,0,23,1.85,4.45806673058614,1.25,48,0,48,0
"hudskwq",2002-04-16,48,17.9,19.75,21,19.6104166666667,1.20693732025962,2.3,48,0.38,0.38,0.4,0.38375,0.00530956583551821,0.01,48,0.2,0.2,0.2,0.2,0,0,48,102.4,104.65,115.7,107.202083333333,4.60506148841215,7.57500000000002,48,9.2,9.7,10.7,9.825,0.431474463631346,0.625,48,0.53,0.54,0.54,0.5375,0.00437594974493684,0.00249999999999995,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,8.1,7.85208333333333,0.159773221378,0.3,25,0,0,2,0.12,0.439696865275764,0,48,0,48,0
"hudskwq",2002-04-17,48,19.9,21.3,22.9,21.2895833333333,0.971561494496695,1.55,48,0.38,0.38,0.38,0.38,0,0,48,0.2,0.2,0.2,0.2,0,0,48,102.3,104.2,116.9,107.179166666667,5.01478487832594,7.95,48,9.1,9.35,10.3,9.50625,0.381155159113909,0.525,48,0.52,0.53,0.53,0.5275,0.00437594974493684,0.00249999999999995,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,8.1,7.84583333333333,0.163678893391432,0.3,13,0,0,3,0.538461538461538,1.05003052458683,0,48,0,48,0
"hudskwq",2002-04-18,48,21.2,22.3,24.6,22.55,1.19342168538574,2.225,48,0.38,0.38,0.39,0.383541666666667,0.00483321105250063,0.01,48,0.2,0.2,0.2,0.2,0,0,48,100.8,103.75,117.1,106.55625,5.35973587194568,7.95,48,8.7,9.1,10,9.21666666666667,0.391578004149024,0.450000000000001,48,0.52,0.52,0.52,0.52,0,0,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,8.1,7.84791666666667,0.159773221378,0.3,15,0,0,6,0.6,1.59463385855724,0,48,0,48,0
"hudskwq",2002-04-19,45,20.7,21.6,23.4,21.8288888888889,0.859075142819358,1.6,45,0.39,0.39,0.44,0.391333333333333,0.00756787468664269,0,45,0.2,0.2,0.2,0.2,0,0,45,94.6,100.8,108.7,100.231111111111,3.81562709145038,5.40000000000001,45,8.3,8.7,9.6,8.78888888888889,0.358165922838603,0.5,45,0.51,0.51,0.53,0.514888888888889,0.00786887488267491,0.01,0,NA,NA,NA,NA,NA,NA,45,7.7,8,8.3,7.96888888888889,0.235316249701837,0.499999999999999,34,0,1,16,2.17647058823529,3.27960260189881,1.75,45,0,45,0
"hudskwq",2002-04-20,48,16.3,19.25,20.5,18.8083333333333,1.1518409563184,1.55,48,0.39,0.39,0.4,0.393541666666667,0.00483321105250063,0.01,48,0.2,0.2,0.2,0.2,0,0,48,94.4,97.1,104.2,98.0020833333333,2.72595792909679,4.97499999999998,48,8.5,9.3,9.6,9.12916666666667,0.347610893576904,0.700000000000001,48,0.5,0.51,0.51,0.507708333333333,0.00424744395393795,0,0,NA,NA,NA,NA,NA,NA,48,8,8.15,8.3,8.15416666666667,0.12020962777552,0.300000000000001,48,0,1,38,2.45833333333333,6.11227691437603,1,48,0,48,0
"hudskwq",2002-04-21,48,13.8,15.35,16.8,15.35,0.852031364920629,1.25,48,0.38,0.39,0.39,0.386458333333333,0.00483321105250063,0.01,48,0.2,0.2,0.2,0.2,0,0,48,96.3,98.1,106.9,100.14375,3.65145883117209,6.675,48,9.5,10,10.6,10.0166666666667,0.295594124645303,0.424999999999999,48,0.49,0.49,0.5,0.492708333333333,0.0044909286028963,0.01,0,NA,NA,NA,NA,NA,NA,48,8.1,8.2,8.4,8.23125,0.118781490785356,0.225000000000001,48,0,0,3,0.645833333333333,0.785224817606013,1,48,0,48,0
"hudskwq",2002-04-22,48,10.6,12.5,13.8,12.3916666666667,0.88865984046582,1.45,48,0.39,0.39,0.4,0.391458333333333,0.00356673957637417,0,48,0.2,0.2,0.2,0.2,0,0,48,96.8,98.55,100.7,98.6125,0.973177511086804,1.52499999999999,48,10.1,10.7,11,10.5354166666667,0.262953424670795,0.5,48,0.49,0.49,0.49,0.49,0,0,0,NA,NA,NA,NA,NA,NA,48,8.1,8.2,8.2,8.17916666666667,0.0410414079086056,0,48,0,0,2,0.583333333333333,0.709609821867468,1,48,0,48,0
"hudskwq",2002-04-23,48,9.2,9.9,10.5,9.89791666666667,0.366402628981866,0.625,48,0.39,0.4,0.4,0.398333333333333,0.00376621788577355,0,48,0.2,0.2,0.2,0.2,0,0,48,98.7,101.15,105.7,101.79375,2.34959537032556,4.22499999999999,48,11,11.5,11.9,11.5041666666667,0.252610484219457,0.349999999999998,48,0.49,0.49,0.49,0.49,0,0,0,NA,NA,NA,NA,NA,NA,48,8.2,8.2,8.4,8.275,0.0862948927262697,0.200000000000001,44,0,0,1,0.181818181818182,0.390153653257413,0,48,0,48,0
"hudskwq",2002-04-24,48,8.4,10.85,13.2,10.51875,1.69814119278648,3.15,48,0.39,0.39,0.4,0.393333333333333,0.00476393067340331,0.01,48,0.2,0.2,0.2,0.2,0,0,48,99.4,101.4,108.6,102.814583333333,3.15446253191383,5.52500000000001,48,10.9,11.6,12.2,11.4708333333333,0.432685003272285,0.800000000000001,48,0.47,0.48,0.49,0.481875,0.00789727935915881,0.01,0,NA,NA,NA,NA,NA,NA,48,8.2,8.2,8.4,8.28125,0.0914568843889171,0.200000000000001,38,0,0,2,0.0789473684210526,0.358795202246421,0,48,0,48,0
"hudskwq",2002-04-25,48,9.1,10.55,11.7,10.5895833333333,0.722654557813813,0.824999999999999,48,0.39,0.39,0.4,0.393958333333333,0.00494203994978271,0.01,48,0.2,0.2,0.2,0.2,0,0,48,99.1,100.5,105,100.847916666667,1.52440983813734,2.27499999999998,48,11,11.15,11.6,11.2270833333333,0.178336978818708,0.300000000000001,48,0.48,0.48,0.52,0.490416666666667,0.0152926534070105,0.02,0,NA,NA,NA,NA,NA,NA,48,8.2,8.2,8.4,8.24375,0.0615621118629092,0.100000000000001,44,0,0.5,32,4.88636363636364,8.40602195298084,6.25,48,0,48,0
"hudskwq",2002-04-26,48,7.9,8.75,9.4,8.71041666666667,0.519508598963639,0.924999999999999,48,0.38,0.39,0.4,0.390833333333333,0.0076723691404253,0.0125000000000001,48,0.2,0.2,0.2,0.2,0,0,48,100.6,102,105.2,102.4625,1.55421527028368,2.92500000000003,48,11.6,11.85,12.3,11.9166666666667,0.22534449592562,0.425000000000001,48,0.51,0.52,0.52,0.517708333333333,0.00424744395393795,0,0,NA,NA,NA,NA,NA,NA,48,8.2,8.2,8.4,8.2625,0.0732962511014854,0.100000000000001,48,0,1,14,1.29166666666667,2.1334053622592,2,48,0,48,0
"hudskwq",2002-04-27,48,7.9,10.2,11.3,9.86875,1.35366425486293,2.6,48,0.36,0.37,0.39,0.372083333333333,0.0111007635032285,0.02,48,0.2,0.2,0.2,0.2,0,0,48,100.2,102.35,108.2,103.541666666667,2.61979642975047,4.45000000000002,48,11,11.8,12.5,11.725,0.452651761314674,0.799999999999999,48,0.5,0.51,0.52,0.507708333333333,0.00778421297442495,0.01,0,NA,NA,NA,NA,NA,NA,48,8.2,8.3,8.4,8.28958333333333,0.0904823559462769,0.200000000000001,27,0,0,1,0.037037037037037,0.192450089729875,0,48,0,48,0
"hudskwq",2002-04-28,48,9.6,9.9,11.5,10.3645833333333,0.753005208462486,1.6,48,0.31,0.36,0.37,0.351458333333333,0.0136817292880709,0.01,48,0.2,0.2,0.2,0.2,0,0,48,99.6,100,100.9,100.15625,0.409413825915862,0.549999999999997,48,10.9,11.35,11.4,11.2125,0.218919007660124,0.425000000000001,48,0.5,0.575,0.65,0.56,0.0509484512115046,0.1,0,NA,NA,NA,NA,NA,NA,48,8,8.2,8.2,8.16041666666667,0.0573884981186303,0.0999999999999996,45,0,8,113,16.3555555555556,22.2824386167015,14,48,0,48,0
"hudskwq",2002-04-29,48,8.8,9.4,9.7,9.38958333333333,0.242539387749555,0.299999999999999,48,0.27,0.3,0.34,0.298125,0.0186406385152258,0.03,48,0.1,0.1,0.2,0.147916666666667,0.0504852341308647,0.1,48,100.3,101.5,102.2,101.252083333333,0.645438852298757,1.3,48,11.4,11.6,11.8,11.5895833333333,0.113436800913189,0.0999999999999996,48,0.63,0.64,0.66,0.6425,0.00887262104765662,0.0125000000000001,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.1,8.05416666666667,0.0503533612870857,0.0999999999999996,48,5,8.5,44,10.1666666666667,6.0365318115667,3,48,0,48,0
"hudskwq",2002-04-30,48,8.1,9,9.8,8.98125,0.554155001743598,1.025,48,0.27,0.27,0.28,0.271458333333333,0.00356673957637417,0,48,0.1,0.1,0.1,0.1,0,0,48,101.2,101.9,103.4,102.00625,0.621051356357944,0.924999999999983,48,11.5,11.75,12.1,11.79375,0.20254366484838,0.4,48,0.6,0.62,0.64,0.6225,0.0126322788159978,0.02,0,NA,NA,NA,NA,NA,NA,48,8,8.05,8.1,8.05,0.050529115263991,0.0999999999999996,48,3,5.5,13,5.6875,2.01226293700887,3,48,0,48,0
"hudskwq",2002-05-01,48,7.9,10.05,12.3,10.075,1.71606923433213,3.35,48,0.28,0.28,0.29,0.282708333333333,0.00449092860289627,0.00999999999999995,48,0.1,0.1,0.1,0.1,0,0,48,100.3,101.6,104.1,101.89375,1.20378945108901,1.875,48,10.8,11.75,12.2,11.50625,0.527299926764604,1.1,48,0.57,0.59,0.6,0.585833333333333,0.0102797742613955,0.01,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.2,8.09583333333333,0.0742575544787403,0.125,48,1,2,9,2.22916666666667,1.50516251095925,2,48,0,48,0
"hudskwq",2002-05-02,48,10.6,10.8,11.4,10.8145833333333,0.181001449780644,0.200000000000001,48,0.29,0.3,0.31,0.297708333333333,0.00778421297442495,0.01,48,0.1,0.1,0.2,0.13125,0.0468417435218867,0.1,48,99.5,100.3,100.9,100.247916666667,0.393018641392836,0.72499999999998,48,11,11.1,11.2,11.0979166666667,0.0785224817606011,0.199999999999999,48,0.57,0.59,0.63,0.586458333333333,0.0153663882068892,0.02,0,NA,NA,NA,NA,NA,NA,48,8.1,8.1,8.2,8.10625,0.024462302739504,0,48,1,3.5,114,10.7708333333333,20.2192657056026,6.75,48,0,48,0
"hudskwq",2002-05-03,48,9.8,10.9,12.9,11.2041666666667,1.09950827178167,2.1,48,0.29,0.29,0.3,0.294166666666667,0.00498223795452014,0.01,48,0.1,0.1,0.2,0.108333333333333,0.0279310193865464,0,48,99.9,100.9,103,101.2125,0.936181697221627,1.59999999999999,48,10.7,11.2,11.6,11.1104166666667,0.302640565781816,0.525,48,0.58,0.6,0.63,0.603125,0.0167784372766599,0.03,0,NA,NA,NA,NA,NA,NA,48,8.1,8.1,8.2,8.13541666666667,0.0483321105250061,0.0999999999999996,48,1,2,13,4.0625,3.59909119734531,4,48,0,48,0
"hudskwq",2002-05-04,48,9.8,12.1,14.4,12.1458333333333,1.72033622806376,3.425,48,0.3,0.31,0.32,0.305416666666667,0.00544150062740181,0.01,48,0.1,0.2,0.2,0.1625,0.0489246054790082,0.1,48,99.6,101.5,105.3,101.952083333333,1.78002983280443,2.925,48,10.2,11.15,11.7,10.96875,0.539564935062441,1.025,48,0.55,0.57,0.58,0.567083333333333,0.00742575544787402,0.0099999999999999,0,NA,NA,NA,NA,NA,NA,48,8.1,8.1,8.2,8.14166666666667,0.0498223795452012,0.0999999999999996,48,0,0.5,3,0.5625,0.649263084728748,1,48,0,48,0
