"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"jacb9wq",2002-05-13,19,17.2,18.2,19.1,18.2157894736842,0.553035218784821,1,19,40.95,45.65,46.83,44.4763157894737,2.20110631407207,4.19,19,26.3,29.6,30.5,28.8105263157895,1.57405870878867,3,19,94.8,99.4,106.3,100.047368421053,3.31970019078909,4.8,19,7.5,7.9,8.6,7.93157894736842,0.323269120048,0.449999999999998,19,1.96,2.72,3.09,2.57789473684211,0.428039184958164,0.825,0,NA,NA,NA,NA,NA,NA,19,8,8.1,8.2,8.07894736842105,0.0535303379031309,0.0499999999999989,0,NA,NA,NA,NA,NA,NA,19,0,19,0
"jacb9wq",2002-05-14,48,15.7,17.2,19.1,17.19375,0.707529790365974,0.399999999999999,48,40.04,43.935,46.51,43.6377083333333,2.15205516774907,4.06,48,25.6,28.4,30.3,28.1958333333333,1.53926734897847,2.925,48,89.5,92.1,98.3,92.7979166666667,2.27132818799676,3.12500000000001,48,7.2,7.5,8,7.5375,0.181746842871113,0.199999999999999,48,1.9,2.37,2.85,2.37,0.312988341839851,0.58,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.2,8.09583333333333,0.0354804910933733,0,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacb9wq",2002-05-15,48,14.5,15.5,16.1,15.4270833333333,0.463446654339461,0.625,48,38.58,43.075,45.73,42.6683333333333,2.20825755256033,4.1325,48,24.6,27.75,29.7,27.4854166666667,1.57358373788682,2.95,48,89.4,92.75,96.7,92.8333333333333,2.24975964043191,4.2,48,7.6,7.85,8.1,7.85208333333333,0.154354639094292,0.3,48,1.78,2.2,2.95,2.231875,0.334909681378205,0.5125,0,NA,NA,NA,NA,NA,NA,48,8,8,8.1,8.04166666666667,0.0498223795452012,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacb9wq",2002-05-16,48,15.3,15.65,17.8,16.1520833333333,0.913256875455846,1.9,48,39.06,44.775,47.02,43.9089583333333,2.52861684467282,5.00000000000001,48,24.9,29,30.6,28.38125,1.80208581867578,3.575,48,78.4,93.1,108.3,94.1479166666667,7.49655210344838,12.575,48,6.5,7.85,8.6,7.8,0.544215226510576,0.75,48,1.93,2.335,2.92,2.359375,0.29874493675047,0.51,0,NA,NA,NA,NA,NA,NA,48,8,8,8.2,8.05208333333333,0.0618494511691822,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacb9wq",2002-05-17,48,16.4,17.75,19.2,17.8333333333333,0.815366601618843,1.625,48,41.79,44.63,46.87,44.4508333333333,1.51277092995761,2.9625,48,26.9,28.9,30.5,28.7875,1.08267301206959,2.125,48,92,96.5,104,97.05,2.61956631135279,3.89999999999999,48,7.2,7.8,8.3,7.75625,0.198833031632285,0.2,48,1.8,2.24,3.02,2.273125,0.323906712666839,0.4925,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.1,8.09791666666667,0.0144337567297406,0,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacb9wq",2002-05-18,48,15,16.6,18.4,16.89375,0.925158123345134,1.5,48,43.14,45.75,47.42,45.5733333333333,1.11409601429949,1.76499999999999,48,27.8,29.7,30.9,29.58125,0.813099206215906,1.325,48,87.9,91.45,93.7,91.3583333333333,1.27776955491238,1.45,48,7,7.4,7.6,7.41041666666667,0.117128013861781,0.124999999999999,48,2.13,2.625,3.11,2.61708333333333,0.27311410080173,0.4275,0,NA,NA,NA,NA,NA,NA,48,8,8,8.1,8.02083333333333,0.0410414079086056,0,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacb9wq",2002-05-19,48,14.5,15.05,16,15.1916666666667,0.442830995731037,0.725,48,40.18,42.785,47.36,43.2779166666667,2.08374351990296,2.21749999999999,48,25.7,27.6,30.8,27.9125,1.48547936241814,1.6,48,72.6,89.3,94.9,87.75625,4.82757620564156,4.60000000000001,48,6.2,7.6,8,7.43541666666667,0.391119279478961,0.4,48,2.13,2.56,3.25,2.595625,0.331315278593951,0.55,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8,7.98125,0.0394442779605582,0,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacb9wq",2002-05-20,48,14.2,14.75,15.4,14.8479166666667,0.384812517674341,0.625,48,40.6,44.03,46.04,43.59125,1.5331869533891,2.49000000000001,48,26,28.4,29.9,28.125,1.09184598711287,1.825,48,89.8,94.95,106.9,95.25625,3.37417641645509,2.55,48,7.7,8.1,9,8.11458333333333,0.251793214156052,0.199999999999999,48,2.13,2.585,3.1,2.59854166666667,0.318493726070231,0.575,0,NA,NA,NA,NA,NA,NA,48,8,8,8.1,8.0125,0.0334218682391595,0,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacb9wq",2002-05-21,48,13.5,14.5,15.8,14.56875,0.679222412105477,1.05,48,40.16,44.15,46.32,43.640625,1.84641505009953,2.54500000000001,48,25.7,28.55,30.1,28.1666666666667,1.30715434523606,1.775,48,85.5,98.6,115.2,98.5645833333333,6.69211951869378,7.42500000000001,48,7.4,8.4,9.6,8.43333333333333,0.493934845101734,0.5,48,2.06,2.565,3.1,2.56291666666667,0.334008270590258,0.6,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.2,8.08541666666667,0.0651988230324955,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"jacb9wq",2002-05-22,48,13.7,14.85,15.9,14.7645833333333,0.655091217729332,1.125,48,39.09,43.645,45.04,43.1397916666667,1.65708856397757,1.675,48,24.9,28.2,29.1,27.80625,1.17842416414392,1.225,48,93.3,102.3,113.3,102.0125,4.36643995405186,6.05000000000001,48,8.1,8.7,9.5,8.71875,0.294384500343604,0.4,48,2.06,2.595,3.11,2.59333333333333,0.339476025119898,0.6025,0,NA,NA,NA,NA,NA,NA,48,8.1,8.1,8.2,8.13333333333333,0.0476393067340329,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,48,0,48,0
