"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"kacsswq",2004-01-01,96,1.8,3.1,4.4,3.103125,0.607228930210189,0.925,96,40.35,44.23,48.02,44.38,1.94002061844713,3.05499999999999,96,25,27.8,30.6,27.865625,1.42103210267823,2.225,96,98.2,99.8,100.9,99.740625,0.659597664449602,1.09999999999999,96,10.4,11.1,11.8,11.0875,0.336624107089323,0.5,96,0.72,0.78,0.81,0.776458333333333,0.0217148586852252,0.03,0,NA,NA,NA,NA,NA,NA,96,7.8,7.8,7.8,7.8,0,0,96,5,5,6,5.28125,0.451969374835811,1,96,0,96,0
"kacsswq",2004-01-02,96,2.1,3.6,4.6,3.58020833333333,0.47074851743438,0.7,96,43.58,46.625,47.81,46.3072916666667,0.988100228419925,1.47,96,27.2,29.5,30.4,29.2625,0.751454729525549,1.125,96,97.6,99,100.7,99.05,0.691147025260411,0.900000000000006,96,10.3,10.8,11.5,10.7791666666667,0.236606120251254,0.300000000000001,96,0.79,0.85,0.92,0.856354166666667,0.0374761620139823,0.0600000000000001,0,NA,NA,NA,NA,NA,NA,96,7.8,7.8,7.8,7.8,0,0,96,5,5,5,5,0,0,96,0,96,0
"kacsswq",2004-01-03,96,0.6,3.9,4.6,3.65208333333333,0.805635305590585,1.1,96,40.39,47.345,48.46,46.9439583333333,1.44874354213477,1.6475,96,24.8,30.05,30.9,29.7197916666667,1.11908042998344,1.225,96,96,98.6,100.6,98.5989583333333,0.865903214679898,1.12499999999999,96,10.2,10.6,11.9,10.675,0.319539141824432,0.5,96,0.9,0.93,0.96,0.930208333333333,0.0143621700945421,0.0199999999999999,0,NA,NA,NA,NA,NA,NA,96,7.8,7.8,7.8,7.8,0,0,96,4,5,5,4.70833333333333,0.456915670364414,1,96,0,96,0
"kacsswq",2004-01-04,96,0.8,3.6,4.7,3.36458333333333,1.08579140835436,1.725,96,41.92,46.745,48.64,46.2057291666667,2.12692649257669,3.88250000000001,96,25.9,29.6,31.1,29.1645833333333,1.63281991572647,2.925,96,96.5,98.35,99.9,98.3822916666667,0.8985362121592,1.60000000000001,96,10.2,10.7,11.8,10.7802083333333,0.485065332911952,0.799999999999999,96,0.92,0.94,1.01,0.938645833333333,0.0149116550436345,0.0199999999999999,0,NA,NA,NA,NA,NA,NA,96,7.8,7.8,7.8,7.8,0,0,96,4,5,5,4.58333333333333,0.495594627783352,1,96,0,96,0
"kacsswq",2004-01-05,96,3,4.3,4.6,4.08020833333333,0.443815939009966,0.600000000000001,96,46.92,48.555,48.78,48.3028125,0.510489348566647,0.469999999999999,96,29.6,30.9,31.1,30.7229166666667,0.425126400192167,0.399999999999999,96,97.8,99.1,100.4,99.0635416666667,0.552909965387278,0.725000000000009,96,10.3,10.5,10.9,10.5375,0.150961828566729,0.299999999999999,96,0.81,0.91,0.96,0.894479166666667,0.0388484177464605,0.0725,0,NA,NA,NA,NA,NA,NA,96,7.8,7.8,7.8,7.8,0,0,96,4,4,5,4.04166666666667,0.200875277704805,0,96,0,96,0
"kacsswq",2004-01-06,96,3.5,4.3,4.5,4.196875,0.215432551418133,0.2,96,48.22,48.84,49.01,48.7760416666667,0.191550346091359,0.155000000000001,96,30.6,31.1,31.3,31.0770833333333,0.163178408444427,0.124999999999996,96,98.3,99.5,101.2,99.5302083333333,0.657766522594161,0.900000000000006,96,10.4,10.5,10.7,10.5302083333333,0.0600347121810927,0.0999999999999996,96,0.56,0.68,0.8,0.667083333333333,0.0669943700174506,0.1025,0,NA,NA,NA,NA,NA,NA,96,7.8,7.8,7.8,7.8,0,0,96,4,4,6,4.3125,0.509127220167798,1,96,0,96,0
"kacsswq",2004-01-07,96,3.5,3.8,4,3.78333333333333,0.135076326701194,0.2,96,48.68,49.01,49.14,48.9811458333333,0.0989403838753599,0.152500000000003,96,30.9,31.2,31.3,31.1572916666667,0.0830279492151717,0.0999999999999979,96,98.6,99.95,101.6,100.044791666667,0.697796500521715,1,96,10.6,10.7,10.9,10.6885416666667,0.0723584522639555,0.0999999999999996,96,0.41,0.47,0.56,0.473854166666667,0.0401934739836854,0.07,0,NA,NA,NA,NA,NA,NA,96,7.8,7.8,7.8,7.8,0,0,96,5,5,6,5.11458333333333,0.320190458671962,0,96,0,96,0
"kacsswq",2004-01-08,96,2.5,3.25,3.6,3.246875,0.176488034483331,0.225,96,48.32,49.09,49.27,49.048125,0.176225408885445,0.18,96,30.5,31.2,31.3,31.1270833333333,0.146164411153055,0.0999999999999979,96,97.6,99.85,101.2,99.76875,0.741167287033381,1.09999999999999,96,10.7,10.8,10.9,10.8114583333333,0.0540366185132905,0,96,0.38,0.39,0.42,0.394270833333333,0.00926166878979861,0.01,0,NA,NA,NA,NA,NA,NA,96,7.8,7.8,7.8,7.8,0,0,96,5,5,6,5.26041666666667,0.441165720543263,1,96,0,96,0
"kacsswq",2004-01-09,96,1.3,2.95,3.4,2.75729166666667,0.573400712584997,0.9,96,46.79,48.7,49.2,48.4333333333333,0.660662612624098,0.847499999999997,96,29.3,30.8,31.3,30.6104166666667,0.548966333291687,0.699999999999999,96,96.8,99,100.3,98.809375,0.847917340186809,1.2,96,10.7,10.8,11.2,10.8666666666667,0.122832077643609,0.0999999999999996,96,0.38,0.4,0.44,0.397916666666667,0.0130518534006854,0.01,0,NA,NA,NA,NA,NA,NA,96,7.8,7.8,7.8,7.8,0,0,96,5,5,6,5.125,0.332454983102184,0,96,0,96,0
"kacsswq",2004-01-10,96,2.2,3.4,3.9,3.34270833333333,0.325332151457445,0.5,96,47.34,48.745,49.01,48.6701041666667,0.255555101862043,0.342500000000001,96,29.8,30.9,31.2,30.871875,0.225109622418197,0.300000000000001,96,97.6,99.5,100.6,99.5208333333333,0.576361850278225,0.599999999999994,96,10.7,10.8,11,10.7770833333333,0.0703063471966822,0.100000000000001,96,0.42,0.59,0.7,0.564479166666667,0.0904360174134954,0.155,0,NA,NA,NA,NA,NA,NA,96,7.8,7.8,7.8,7.8,0,0,96,4,5,5,4.89583333333333,0.307080194109023,0,96,0,96,0
"kacsswq",2004-01-11,96,2.9,3.6,4,3.58020833333333,0.216974309256172,0.2,96,48.54,48.845,49.02,48.83125,0.121041532671967,0.149999999999999,96,30.7,31,31.2,31.0270833333333,0.114688747364028,0.100000000000001,96,99.1,99.7,100.6,99.7614583333333,0.442569005423339,0.699999999999989,96,10.6,10.7,10.9,10.7229166666667,0.0491596040125093,0,96,0.69,0.71,0.75,0.712395833333333,0.0118539171111153,0.02,0,NA,NA,NA,NA,NA,NA,96,7.8,7.8,7.8,7.8,0,0,96,4,4,5,4.40625,0.493710441453287,1,96,0,96,0
"kacsswq",2004-01-12,96,3.3,3.6,4,3.65416666666667,0.136046947521157,0.1,96,48.82,48.98,49.12,48.9842708333333,0.0671642886262235,0.102500000000006,96,31,31.1,31.3,31.14375,0.0594934759802319,0.0999999999999979,96,99.4,99.9,101.1,100.108333333333,0.516601580507123,0.924999999999983,96,10.6,10.7,10.8,10.7375,0.0528154682286411,0.100000000000001,96,0.63,0.68,0.72,0.675208333333333,0.0282834959004518,0.0499999999999999,0,NA,NA,NA,NA,NA,NA,96,7.8,7.8,7.8,7.8,0,0,96,4,4,5,4.3125,0.465945558148047,1,96,0,96,0
"kacsswq",2004-01-13,96,2.7,3.3,3.5,3.22916666666667,0.19730642301102,0.3,96,48.97,49.13,49.27,49.1378125,0.0585653593499558,0.0799999999999983,96,31,31.2,31.3,31.1854166666667,0.0597876358748924,0,96,99.7,100.7,102.1,100.844791666667,0.597692015685366,0.825000000000003,96,10.8,10.9,11.1,10.9302083333333,0.0796304512854836,0.0999999999999996,96,0.58,0.61,0.65,0.6090625,0.0150142476194762,0.02,0,NA,NA,NA,NA,NA,NA,96,7.8,7.8,7.8,7.8,0,0,96,4,5,7,4.72916666666667,0.512561506792711,1,96,0,96,0
"kacsswq",2004-01-14,96,2.5,2.8,3,2.728125,0.123717100890021,0.2,96,48.92,49.28,49.38,49.2536458333333,0.0894441288905117,0.0800000000000054,96,30.9,31.2,31.3,31.1822916666667,0.072540067573092,0,96,100.2,101.1,102.1,101.21875,0.502480688290867,0.799999999999997,96,11,11.1,11.2,11.1020833333333,0.0739547040127536,0.199999999999999,96,0.56,0.57,0.6,0.574270833333333,0.0109299002419164,0.01,0,NA,NA,NA,NA,NA,NA,96,7.8,7.8,7.8,7.8,0,0,96,4,5,5,4.96875,0.174905989786393,0,96,0,96,0
