"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"marabwq",2007-04-24,61,22.9,23,23.2,23.0360655737705,0.0817165566358214,0.100000000000001,61,30.26,30.92,39.72,32.2880327868852,2.58374200187256,2.39,61,18.8,19.2,25.4,20.1836065573771,1.800294450719,1.7,61,85.6,98.2,103.6,98.0524590163934,3.4016959768806,4.5,61,6.6,7.5,7.9,7.49180327868852,0.283604820109023,0.4,61,2.49,2.54,2.58,2.54393442622951,0.0220815676167998,0.0300000000000002,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,61,8.2,8.2,8.3,8.24262295081967,0.0498632008380356,0.100000000000001,61,8,32,116,37.4918032786885,32.2679526004877,53,61,0,61,0
"marabwq",2007-04-25,96,22.7,22.9,24.1,23.1052083333333,0.389971602654851,0.425000000000004,96,31.95,34.835,42.6,35.6923958333333,3.20021536932871,3.4125,96,19.9,21.9,27.4,22.5447916666667,2.25093523448023,2.4,95,88.3,94.7,113.5,96.8231578947368,6.75862652280802,9.80000000000001,96,6.6,7,8.5,7.278125,0.493153787265937,0.624999999999999,96,2.54,2.64,2.67,2.626875,0.0325192250830182,0.0299999999999998,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.3,8.20104166666667,0.0229176634551959,0,95,7,17,127,27.1368421052632,30.3870810057378,17,96,0,96,0
"marabwq",2007-04-26,96,23,23.85,24.6,23.8822916666667,0.458371210556102,0.699999999999999,96,25.92,29.355,37.95,30.6546875,4.11521923778066,8.2625,96,15.8,18.15,24.1,19.0645833333333,2.8215329602211,5.625,95,80.5,111.6,125.5,108.144210526316,11.9668844110904,14.95,96,6,8.5,9.5,8.184375,0.942150745006227,1.225,96,2.55,2.58,2.64,2.57927083333333,0.0245054147256723,0.0299999999999998,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.3,8.23854166666667,0.0638580525634243,0.100000000000001,94,5,8,20,9.04255319148936,3.96738014804174,4.75,96,0,96,0
"marabwq",2007-04-27,96,23.6,24,24.2,23.9135416666667,0.178661568728003,0.224999999999998,96,24.9,27.345,29.06,27.2215625,0.930699033409552,1.1775,96,15.2,16.8,18,16.7114583333333,0.631601105239969,0.800000000000001,95,69.6,105.4,113.9,102.175789473684,8.7673076945278,10.3,96,5.3,8.1,8.7,7.825,0.669799655828046,0.825000000000001,96,2.5,2.55,2.58,2.5509375,0.0175965382361059,0.02,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.1,8.3,8.3,8.27708333333333,0.0491596040125092,0,96,4,5.5,24,6.35416666666667,2.7757565745943,2,96,0,96,0
"marabwq",2007-04-28,96,23.7,23.9,24.6,24.11875,0.33318637111193,0.699999999999999,96,24.55,25.19,26.14,25.1704166666667,0.457356055391758,0.884999999999998,96,14.9,15.3,16,15.334375,0.308418077495979,0.6,96,85,98.85,105.9,98.09375,5.01563476593573,7.32500000000002,96,6.6,7.6,8.1,7.55416666666667,0.358627989827508,0.600000000000001,96,2.56,2.58,2.61,2.57760416666667,0.0125442200291748,0.02,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.2,8.2,8.3,8.246875,0.0501642040544961,0.100000000000001,94,8,12,46,16.2765957446809,8.66510025793018,9.75,96,0,96,0
"marabwq",2007-04-29,96,24.3,24.6,25.3,24.7489583333333,0.388788886473899,0.725000000000005,96,25.12,25.53,25.66,25.4607291666667,0.169340794921252,0.302500000000002,96,15.3,15.6,15.7,15.5125,0.109784477859793,0.199999999999999,96,89.6,97.9,104.6,97.8979166666667,4.13826760516159,6.65000000000002,96,6.9,7.5,7.9,7.44791666666667,0.268319984412432,0.4,96,2.46,2.56,2.6,2.541875,0.0480200067954136,0.0800000000000001,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.2,8.3,8.3,8.25416666666667,0.0500876424861925,0.100000000000001,94,8,14,25,13.936170212766,4.61136630007981,8.75,96,0,96,0
"marabwq",2007-04-30,96,24.7,25.05,25.5,25.0770833333333,0.26416867285751,0.425000000000004,96,24.96,25.58,26.46,25.5604166666667,0.387330721372961,0.645,96,15.2,15.6,16.2,15.5833333333333,0.25450330022332,0.4,96,85.1,92.3,96.8,92.0375,2.45645229848594,3.12499999999999,96,6.5,7,7.3,6.959375,0.201352335864014,0.224999999999999,96,2.34,2.47,2.52,2.47125,0.0376199834914203,0.04,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.2,8.2,8.3,8.22708333333333,0.0446722960579348,0.100000000000001,93,9,27,101,38.2258064516129,23.8296166804262,37,96,0,96,0
"marabwq",2007-05-01,96,24.9,25.3,25.7,25.2875,0.283307532364985,0.5,96,25.19,25.81,26.61,25.7995833333333,0.434942020737832,0.82,96,15.3,15.7,16.3,15.7354166666667,0.294146102854621,0.5,96,83.3,87.35,92.3,87.7833333333333,2.89441082693658,5.25,96,6.3,6.6,6.9,6.60729166666667,0.194798028557336,0.399999999999999,96,2.38,2.47,2.52,2.46854166666667,0.036446909237718,0.0600000000000001,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.2,8.2,8.2,8.2,0,0,94,23,33,50,33.5212765957447,5.77113455498175,8,96,0,96,0
"marabwq",2007-05-02,96,25.1,25.45,26,25.4791666666667,0.257892946646132,0.399999999999999,96,26.04,26.755,27.16,26.6213541666667,0.324373468288984,0.642499999999998,96,15.9,16.4,16.6,16.2822916666667,0.218123476217469,0.399999999999999,96,81.3,86.6,96.6,87.8822916666667,4.08375458800939,7.25000000000001,96,6.1,6.5,7.2,6.57083333333333,0.275267015504149,0.5,96,2.38,2.46,2.51,2.45989583333333,0.0347167422576263,0.0500000000000003,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.2,8.196875,0.0174905989786393,0,95,15,25,40,25.7263157894737,5.10619587189865,7,96,0,96,0
"marabwq",2007-05-03,96,25.3,25.5,26.1,25.5833333333333,0.250333111406915,0.400000000000002,96,26.54,27.29,28.78,27.4639583333333,0.474222863811313,0.629999999999999,96,16.2,16.7,17.7,16.8520833333333,0.32084728837274,0.400000000000002,96,69.4,83.5,92.8,82.6489583333333,4.51360504280737,6.37499999999999,96,5.1,6.2,6.8,6.146875,0.337468322100094,0.5,96,2.38,2.49,2.58,2.4971875,0.0508186274385371,0.0899999999999999,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.2,8.19791666666667,0.0143575886163795,0,95,10,24,60,27.2842105263158,12.2671184411346,14,96,0,96,0
