"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"marscwq",2007-08-24,63,30.5,31.1,31.4,30.9809523809524,0.297764327060926,0.399999999999999,63,32.4,43.19,49.45,43.0877777777778,5.15822720373043,10.115,63,20.1,27.6,32.2,27.6031746031746,3.68085580222371,7.25,63,82.7,98.2,107.8,96.8968253968254,7.81710218262101,13.1,63,5.2,6.3,7,6.20793650793651,0.589505420725737,1,63,5.3,5.56,5.88,5.58587301587302,0.173926522496871,0.315,0,NA,NA,NA,NA,NA,NA,63,8.1,8.2,8.3,8.15714285714286,0.0559789295449224,0.0999999999999996,62,4,8.5,22,8.40322580645161,3.51791516789468,5,63,0,63,0
"marscwq",2007-08-25,96,30.6,30.9,31.5,30.946875,0.302255773528941,0.525000000000002,96,32.29,47.595,49,44.764375,5.00508537442301,6.4725,96,20,30.8,31.8,28.8020833333333,3.56810370296152,4.7,96,84,93.25,108.4,95.0083333333333,6.52758787828796,9.77499999999998,96,5.3,5.9,7,6.05,0.493110428541967,0.899999999999999,96,5.25,5.745,5.89,5.645625,0.20780969279861,0.3625,0,NA,NA,NA,NA,NA,NA,96,8.1,8.1,8.3,8.13333333333333,0.0495594627783351,0.0999999999999996,96,2,6,26,6.73958333333333,4.39436191803391,6,96,0,96,0
"marscwq",2007-08-26,96,30.5,30.7,31.2,30.771875,0.164606788246542,0.299999999999997,96,31.49,47.955,50.6,44.2732291666667,5.63852640226461,10.6475,96,19.5,31.1,33,28.4645833333333,4.02447719171903,7.625,96,80.2,90.15,104,92.125,7.09631483310361,12.85,96,5.1,5.7,6.8,5.89166666666667,0.557941077188295,1,96,5.34,5.72,5.81,5.64479166666667,0.153964993742882,0.2525,0,NA,NA,NA,NA,NA,NA,96,8.1,8.1,8.3,8.14375,0.0594934759802327,0.0999999999999996,96,0,5,14,4.78125,2.76139981664525,4,96,0,96,0
"marscwq",2007-08-27,96,30.1,30.6,30.9,30.5739583333333,0.184815579012198,0.199999999999999,96,33.14,47.84,48.6,44.5421875,5.26923028497072,7.9425,96,20.6,31,31.6,28.6552083333333,3.74651753503849,5.725,96,86.3,92.25,104,93.4416666666667,4.3197384586196,5.67500000000001,96,5.4,5.8,6.8,5.9875,0.391555602020561,0.6,96,5.25,5.73,5.87,5.62760416666667,0.180004355454128,0.2675,0,NA,NA,NA,NA,NA,NA,96,8.1,8.1,8.3,8.13541666666667,0.0542492622635585,0.0999999999999996,96,0,3,18,3.83333333333333,3.14782018702221,5,96,0,96,0
"marscwq",2007-08-28,96,30,30.5,30.9,30.4979166666667,0.221943172748847,0.225000000000005,96,27.16,48.08,48.98,43.5491666666667,6.78900731704402,9.7425,96,16.6,31.2,31.8,27.9770833333333,4.78487703557929,7,96,79.7,92.15,106.4,92.8197916666667,6.75180474573735,10.95,96,5,5.85,7.1,5.98333333333333,0.560951572479004,0.7,96,5.4,5.71,5.8,5.64625,0.117278346365882,0.2125,0,NA,NA,NA,NA,NA,NA,96,8.1,8.1,8.3,8.15104166666667,0.0739769404564577,0.0999999999999996,88,0,3,12,2.97727272727273,2.37311218487586,3,96,0,96,0
"marscwq",2007-08-29,96,29.4,30.5,30.9,30.4427083333333,0.343279782061119,0.5,96,26.35,47.375,47.86,44.1316666666667,5.51981648563498,6.38999999999999,96,16,30.65,31,28.3677083333333,3.89584109671804,4.55,96,89.3,96,105.6,96.6177083333333,3.42759681936781,4.15000000000002,96,5.8,6.15,6.9,6.20520833333333,0.225887625376526,0.4,96,5.4,5.69,5.83,5.66104166666667,0.0962614768732776,0.12,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.3,8.19791666666667,0.0354791760026156,0,90,0,1,5,1.33333333333333,1.53608286293343,2.75,96,0,96,0
"marscwq",2007-08-30,96,29.2,29.95,30.4,29.9395833333333,0.359964666882055,0.699999999999999,96,28.87,42.13,46.57,40.76625,5.22209460899199,9.2225,96,17.7,26.9,30.1,25.9822916666667,3.66473937586051,6.525,96,78.1,87.35,103.7,89.6895833333333,6.82870842633728,10.825,96,5.1,5.85,6.6,5.88333333333333,0.391129717792385,0.600000000000001,96,5.45,5.65,5.76,5.64677083333333,0.0565591407599937,0.0900000000000007,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.3,8.18854166666667,0.0380298820642999,0,79,0,2,7,2.17721518987342,1.36587995184175,2,96,0,96,0
"marscwq",2007-08-31,96,29.3,30.1,30.6,30.04375,0.39545110816303,0.625000000000004,96,27.16,42.635,47.23,40.9672916666667,5.89461368390297,6.0625,96,16.6,27.3,30.6,26.13125,4.11920565924523,4.3,96,78.8,88.7,95.8,88.128125,4.7266702004911,7.62499999999999,96,5.1,5.8,6.5,5.77708333333333,0.366628785922037,0.5,96,5.43,5.625,5.71,5.6075,0.0657106896695059,0.0700000000000003,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.3,8.17083333333333,0.0614160388218046,0.0999999999999996,75,0,1,9,1.77333333333333,1.92124209072443,3,96,0,96,0
"marscwq",2007-09-01,96,29,30.05,30.5,29.8447916666667,0.537610657723827,1.1,96,22.31,42.63,48.21,39.013125,8.76187234406461,15.6575,96,13.4,27.25,31.3,24.8166666666667,6.07716462049214,10.975,96,68.8,85.55,95.2,85.05,5.57711489269459,5.97500000000001,96,4.5,5.5,6.6,5.63854166666667,0.497651281768282,0.624999999999999,96,5.38,5.6,5.7,5.564375,0.0942428274528931,0.132499999999999,0,NA,NA,NA,NA,NA,NA,96,8.1,8.1,8.3,8.15520833333333,0.0806157770462581,0.0999999999999996,66,0,3,12,2.93939393939394,1.93652176598058,2,96,0,96,7
"marscwq",2007-09-02,96,29.1,30,30.3,29.7416666666667,0.455300170891727,1,96,31.22,46.18,48.57,42.0508333333333,6.31457056366534,12.8475,96,19.3,29.8,31.5,26.9135416666667,4.46197076570825,9.025,96,68,81.4,93.9,81.6645833333333,6.4657963105734,8.3,96,4.3,5.4,6.1,5.359375,0.507953194072467,0.924999999999999,96,5.25,5.61,5.73,5.54572916666667,0.151043700833247,0.2425,0,NA,NA,NA,NA,NA,NA,96,8,8.1,8.2,8.12083333333333,0.0541278538407305,0.0999999999999996,76,0,4,14,4.88157894736842,3.28620188165876,3,96,0,96,25
"marscwq",2007-09-03,96,28.5,29.5,30,29.3489583333333,0.54231371609675,1.2,96,29.99,46.34,48.15,41.341875,6.74562147462688,13.01,96,18.5,29.9,31.3,26.43125,4.74801482062157,9.225,96,80.4,88.9,100.6,89.0489583333333,4.37887259683337,6.15000000000001,96,5.2,5.8,6.8,5.90208333333333,0.410129419026333,0.8,96,5.16,5.615,5.74,5.5353125,0.171758417398882,0.3225,0,NA,NA,NA,NA,NA,NA,96,8.1,8.1,8.3,8.146875,0.0541987084716969,0.0999999999999996,77,0,3,11,3.7012987012987,2.98709916960874,5,96,0,96,0
"marscwq",2007-09-04,96,29.1,29.5,29.6,29.4041666666667,0.16601627483103,0.300000000000001,96,28.51,47.495,49.15,43.5246875,6.06834980657839,9.9725,96,17.5,30.8,32,27.9802083333333,4.29581484928043,7.15,96,87.1,94.3,105.1,95,5.47760992827308,8.72500000000001,96,5.6,6.1,7.2,6.23541666666667,0.514214611486942,0.9,96,5.19,5.59,5.72,5.51666666666667,0.17680596957454,0.3075,0,NA,NA,NA,NA,NA,NA,96,8.1,8.1,8.3,8.15833333333333,0.0675381633505972,0.0999999999999996,43,0,2,6,1.81395348837209,1.5924795573703,3,96,0,96,0
"marscwq",2007-09-05,96,29.2,29.5,29.8,29.4791666666667,0.142840851201363,0.200000000000003,96,33.73,45.32,47.92,43.7091666666667,4.15273674293716,6.27500000000001,96,21,29.2,31.1,28.084375,2.95664561445461,4.475,96,80.3,92.25,104.4,93.16875,6.31209886687963,11.075,96,5.2,6,7,6.10416666666667,0.492451796554571,0.899999999999999,96,5.13,5.56,5.71,5.47458333333333,0.194584126937786,0.3625,0,NA,NA,NA,NA,NA,NA,96,8.1,8.1,8.2,8.13645833333333,0.0483839722628249,0.0999999999999996,42,0,3,16,2.88095238095238,2.89829538591541,3,96,0,96,0
"marscwq",2007-09-06,96,29.6,29.8,30,29.7697916666667,0.109659560906678,0.100000000000001,95,35.85,49.36,50.94,46.646,4.65273550286006,6.94,95,22.5,32.1,33.3,30.1978947368421,3.34193150124513,5.05,95,64,79.9,104.5,82.4852631578947,12.8050602399661,25.25,95,4.1,5.1,7,5.31578947368421,0.91759581672256,1.85,96,4.77,5.47,5.68,5.34583333333333,0.328674104040259,0.607500000000001,0,NA,NA,NA,NA,NA,NA,96,8,8.1,8.2,8.06875,0.0669838943721782,0.0999999999999996,79,0,4,22,4.73417721518987,4.05952144697482,5,95,0,95,35
"marscwq",2007-09-07,96,29.5,29.7,30.4,29.81875,0.301334750035484,0.524999999999999,96,31.98,50.53,52.82,47.4372916666667,6.12964229731087,8.2175,96,19.8,33,34.7,30.7875,4.40364083816777,6.025,96,50.5,73.05,108.5,79.015625,15.9733088430274,26.1,96,3.2,4.65,7.2,5.08020833333333,1.11879820782148,1.825,96,4.97,5.335,5.47,5.28,0.155658195043533,0.27,0,NA,NA,NA,NA,NA,NA,96,7.9,8,8.2,8.015625,0.098758743783445,0.199999999999999,79,0,2,9,2.35443037974684,2.12456918518908,3,96,0,96,55
"marscwq",2007-09-08,96,29.5,29.6,30.8,29.9166666666667,0.447840823852373,0.624999999999996,96,34.4,51.545,53.23,48.8534375,5.60839273873024,3.935,96,21.5,33.75,35,31.809375,4.04006456761848,2.9,96,47.1,72.25,108.5,74.1739583333333,16.4116213304165,23.5,96,3,4.6,7,4.73125,1.11169027303377,1.525,96,5.01,5.4,5.48,5.32822916666667,0.142828530185981,0.199999999999999,0,NA,NA,NA,NA,NA,NA,96,7.9,8,8.2,8.01145833333333,0.0927586473956289,0,65,0,2,6,2.36923076923077,1.57687617191029,3,96,0,96,66
"marscwq",2007-09-09,96,29.8,30.3,30.9,30.2895833333333,0.321666439414518,0.600000000000001,96,38.11,50.685,51.9,49.0039583333333,3.7223915569844,1.9725,96,24.1,33.1,34,31.8822916666667,2.69322716972024,1.5,96,74.8,93.9,108.5,93.578125,9.79073894447949,17.25,96,4.8,5.9,6.9,5.915625,0.615984983583204,1.1,96,5.22,5.45,5.55,5.4215625,0.0856102321110349,0.1025,0,NA,NA,NA,NA,NA,NA,96,8,8.1,8.2,8.07916666666667,0.0647532428233546,0.0999999999999996,44,0,1,6,1,1.32945171422851,1,96,0,96,6
"marscwq",2007-09-10,96,30.3,30.7,31.2,30.73125,0.260490428150239,0.399999999999999,96,37.84,49.66,49.76,47.6855208333333,3.54872693846285,2.7425,96,23.9,32.3,32.4,30.9041666666667,2.55672144775365,2.075,96,90.2,99.5,109.8,99.553125,4.16627949955605,5.84999999999999,96,5.7,6.3,6.9,6.28333333333333,0.284574166326374,0.4,96,5.29,5.525,5.6,5.48447916666667,0.0871039281447491,0.109999999999999,0,NA,NA,NA,NA,NA,NA,96,8.1,8.1,8.2,8.12083333333333,0.0408248290463862,0,42,0,1,4,1.11904761904762,1.23372094232479,2,96,0,96,0
"marscwq",2007-09-11,96,30,30.6,30.9,30.5708333333333,0.191347942470566,0.100000000000001,96,34.8,47.72,48.79,46.3980208333333,3.3535240285538,2.46749999999999,96,21.8,30.9,31.7,29.9770833333333,2.39765144592377,1.825,96,84.9,93.6,102.9,93.7052083333333,4.18755976652819,4.825,96,5.4,5.95,6.6,5.95833333333333,0.291517505718526,0.3,96,5.36,5.53,5.63,5.5184375,0.052682327507229,0.0599999999999996,0,NA,NA,NA,NA,NA,NA,96,8.1,8.1,8.2,8.12083333333333,0.0408248290463862,0,52,0,1,7,1,1.3431014736897,2,96,0,96,0
"marscwq",2007-09-12,96,29.7,30,30.4,30.0583333333333,0.160043853639305,0.100000000000001,96,36.15,44.53,46.65,43.87,2.70773706256719,3.45500000000001,96,22.7,28.6,30.2,28.1666666666667,1.92439555331383,2.525,96,83,88.4,99.7,89.4479166666667,3.99815692187411,5.95,96,5.4,5.7,6.4,5.790625,0.255086414666419,0.4,96,5.42,5.53,5.66,5.52416666666667,0.0468966762747002,0.0699999999999994,0,NA,NA,NA,NA,NA,NA,96,8.1,8.1,8.2,8.12395833333333,0.0429069781262886,0,90,0,1,4,1.03333333333333,0.917372897848996,1,96,0,96,0
"marscwq",2007-09-13,96,28.8,29.8,30,29.6708333333333,0.344556669135302,0.399999999999999,96,27.51,43.65,46.03,41.0364583333333,5.48500289865426,6.62500000000001,96,16.8,28.05,29.7,26.190625,3.83998569418936,4.725,96,70.9,85.15,99.5,86.1229166666667,6.49978913288191,9.22499999999999,96,4.7,5.75,6.4,5.67604166666667,0.403861568692376,0.6,96,5.3,5.45,5.56,5.4478125,0.0563485977969657,0.0725000000000007,0,NA,NA,NA,NA,NA,NA,96,8.1,8.1,8.2,8.14583333333333,0.0500876424861916,0.0999999999999996,78,0,1,6,2.06410256410256,1.9695061256453,3.75,96,0,96,3
"marscwq",2007-09-14,96,29,29.7,30,29.659375,0.278937127418763,0.399999999999999,96,27.82,42.355,45.59,40.5995833333333,5.06382857377315,7.675,96,17,27.1,29.4,25.8666666666667,3.54474159600614,5.425,96,65.2,82.05,97.9,83.9041666666667,7.37693299080839,10.525,96,4.3,5.5,6.3,5.53645833333333,0.440602408590943,0.600000000000001,96,5.3,5.45,5.53,5.43875,0.0585302440938376,0.100000000000001,0,NA,NA,NA,NA,NA,NA,96,8.1,8.1,8.2,8.14270833333333,0.0497251216116987,0.0999999999999996,82,0,2,13,2.30487804878049,2.40210311345295,4,96,0,96,7
"marscwq",2007-09-15,96,29.2,29.8,30.5,29.83125,0.359037455896793,0.599999999999998,96,26.11,43.595,45.77,39.5358333333333,6.83044726387382,12.245,96,15.9,28,29.5,25.14375,4.76188402564407,8.625,96,74.8,86.1,103.8,87.9229166666667,7.80146381900847,11.3,96,5,5.7,6.7,5.80520833333333,0.403242069564507,0.524999999999999,96,5.24,5.445,5.57,5.42302083333333,0.0978948930625051,0.17,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.2,8.15833333333333,0.049559462778335,0.0999999999999996,76,0,4,12,3.96052631578947,3.00417837674434,5,96,0,96,0
"marscwq",2007-09-16,96,29.7,29.9,30.3,29.9385416666667,0.151740631665502,0.199999999999999,96,34.53,44.705,45.51,42.881875,3.55224534255226,5.71250000000001,96,21.6,28.8,29.3,27.4760416666667,2.51988908660122,4.075,96,88.1,94.25,101.2,94.1958333333333,2.66627738386675,4.02499999999999,96,5.7,6.15,6.5,6.13541666666667,0.196805630357342,0.3,96,5.23,5.54,5.65,5.49447916666667,0.110232957070748,0.172499999999999,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.2,8.196875,0.0174905989786393,0,89,0,1,10,2.21348314606742,2.33779183940141,4,96,0,96,0
"marscwq",2007-09-17,96,29.6,29.8,30.1,29.8416666666667,0.0936585811581692,0.0999999999999979,96,33.34,44.51,44.67,42.4922916666667,3.27571462003787,4.215,96,20.8,28.6,28.7,27.19375,2.31647702114087,2.975,96,89.2,94.05,102.3,94.490625,2.65675219710874,4.22499999999998,96,5.8,6.1,6.9,6.178125,0.237177759230675,0.3,96,5.3,5.57,5.65,5.52,0.109390656774122,0.2,0,NA,NA,NA,NA,NA,NA,96,8.2,8.2,8.2,8.2,0,0,75,0,1,7,1.85333333333333,1.70605704202135,3,96,0,96,0
"marscwq",2007-09-18,96,29.5,29.7,29.9,29.7114583333333,0.103486375067259,0.100000000000001,96,34.42,43.89,44.91,41.4222916666667,3.75026608997469,6.67,96,21.5,28.2,28.9,26.4385416666667,2.65343351712919,4.775,96,84,92.15,97.1,92.2614583333333,2.63851512434617,3.72499999999998,96,5.5,6.1,6.5,6.071875,0.201939607960296,0.3,96,5.23,5.505,5.64,5.4671875,0.138645349344061,0.262499999999999,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.2,8.19479166666667,0.022336148028967,0,87,0,2,11,2.70114942528736,2.56140832686773,5,96,0,96,0
"marscwq",2007-09-19,96,29.3,29.5,30.2,29.6552083333333,0.271009726633242,0.5,96,30.9,42.995,45.12,40.8433333333333,3.98495530363012,7.025,96,19.1,27.5,29.1,26.0302083333333,2.81492712036785,4.925,96,89.2,94.7,104,95.9166666666667,4.06400545655111,6.47500000000001,96,5.9,6.25,7.1,6.32916666666667,0.326356816888853,0.525,96,5.25,5.54,5.68,5.49260416666667,0.134917087924529,0.242500000000001,0,NA,NA,NA,NA,NA,NA,96,8.2,8.2,8.3,8.203125,0.0174905989786396,0,77,0,3,7,2.7012987012987,1.95384193096128,3,96,0,96,0
"marscwq",2007-09-20,96,29.4,29.6,30.1,29.709375,0.236677940181212,0.5,96,29.49,43.32,45.13,40.9896875,3.61773335642055,5.76,96,18.1,27.8,29.1,26.1322916666667,2.55163496777496,4.125,96,87.2,98.95,109.3,98.7010416666667,7.16498054930576,13.4,96,5.7,6.45,7.5,6.50833333333333,0.531466029347951,1,96,5.37,5.595,5.81,5.57416666666667,0.121236321348163,0.212499999999999,0,NA,NA,NA,NA,NA,NA,96,7.8,8.2,8.3,8.196875,0.0421853678798454,0,76,0,1,8,1.57894736842105,1.6021914816462,2.25,96,0,96,0
"marscwq",2007-09-21,96,29.5,29.7,30.2,29.821875,0.253482325761944,0.5,96,33.78,44.915,45.69,41.9510416666667,4.08889239388516,7.53999999999999,96,21.1,28.9,29.5,26.8197916666667,2.89560900936016,5.35,96,93.4,101.65,112.4,102.876041666667,5.14913880978714,8.15000000000001,96,6.1,6.6,7.5,6.74270833333333,0.407494214790492,0.625,96,5.37,5.72,5.81,5.65114583333333,0.142834978700425,0.2525,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.3,8.16875,0.0603716559496696,0.0999999999999996,55,0,1,68,6.85454545454545,15.5616077692389,2,96,0,96,0
"marscwq",2007-09-22,96,29.2,29.7,30,29.6166666666667,0.233809038890002,0.400000000000002,96,33.39,44.415,45.67,41.546875,4.02944669376513,7.335,96,20.8,28.55,29.5,26.53125,2.85794598674606,5.225,96,94.4,101,109.4,101.723958333333,3.85188251424012,6.22500000000001,96,6.1,6.6,7.4,6.69791666666667,0.325407976050362,0.5,96,5.37,5.725,5.81,5.65333333333333,0.143509887183073,0.260000000000001,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.3,8.18333333333333,0.0690791562235776,0.0999999999999996,60,0,2,21,3.53333333333333,4.11061736740881,4,96,0,96,0
"marscwq",2007-09-23,96,29.1,29.5,29.9,29.496875,0.235507570556604,0.325000000000003,96,34.22,43.95,45.03,41.6264583333333,3.54817224383623,6.29750000000001,96,21.4,28.2,29,26.590625,2.51166030744605,4.5,96,92.8,100.5,111.2,101.998958333333,5.08861463499731,7.40000000000001,96,6.1,6.6,7.4,6.72291666666667,0.39536236986943,0.625,96,5.36,5.68,5.81,5.6328125,0.142789525821086,0.25,0,NA,NA,NA,NA,NA,NA,96,8.2,8.2,8.3,8.23020833333333,0.0461571495668917,0.100000000000001,57,0,2,14,2.45614035087719,2.55699443710354,2,96,0,96,0
"marscwq",2007-09-24,96,29.1,29.4,29.7,29.378125,0.173631870103934,0.224999999999998,96,40.3,46.905,48.67,46.2530208333333,2.19776159800527,1.66999999999999,96,25.6,30.4,31.6,29.9041666666667,1.58525552757885,1.2,96,88.8,98.3,108.5,98.3322916666667,4.05541859197548,4.75,96,5.7,6.4,7.2,6.38020833333333,0.29651299489289,0.3,96,5.5,5.755,5.85,5.7265625,0.0987375908259122,0.14,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.3,8.20833333333333,0.0313441563987755,0,16,0,0,3,0.5625,0.963932916061417,1,96,0,96,0
