"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"narpcmet",2002-01-01,95,2,6.6,9.1,6.07894736842105,1.90547334471338,1.8,95,65,89,98,85.7473684210526,10.4321194079413,16.5,95,1006,1010,1017,1010.73684210526,3.10528213785078,4.5,95,0.2,1.7,6.1,1.98631578947368,1.46683988932612,1.6,0,NA,NA,NA,NA,NA,NA,95,43,133,351,142.157894736842,48.1123056293037,53.5,95,1022.9,95,2.7
"narpcmet",2002-01-02,96,6.6,9.9,13.5,9.83958333333333,1.77179535272272,2.55,96,65,77.5,96,79.71875,10.9118025188566,21,96,1006,1010,1015,1009.60416666667,3.02438916552771,6,96,0.2,6,11.9,5.58020833333333,2.96167164005546,4.4,0,NA,NA,NA,NA,NA,NA,96,81,163,210,160.28125,17.6818093412113,15.5,96,4144.7,96,0.8
"narpcmet",2002-01-03,96,7.7,9,10.3,8.90729166666667,0.652322940956583,1,96,70,78,93,79.0416666666667,5.57799561560596,7.25,96,1015,1022,1028,1022.07291666667,3.75358016233672,6,96,1.5,4.35,8.3,4.653125,1.4723381422972,1.75,0,NA,NA,NA,NA,NA,NA,96,137,166.5,197,165.458333333333,11.4707102213619,17.25,96,3268.1,96,0
"narpcmet",2002-01-04,96,6,7.6,10.1,7.74375,1.08896981737691,1.6,96,69,86.5,98,85.6875,9.87320936463391,20.25,96,1018,1025,1028,1024.44791666667,3.20483119406563,5.5,96,0.2,2,5.9,2.28645833333333,1.64051466838702,2.65,0,NA,NA,NA,NA,NA,NA,96,0,99,351,112.6875,63.5327205379037,48.75,96,3706.2,96,0
"narpcmet",2002-01-05,96,4.6,8.8,11,8.57083333333333,1.64431503363089,1.825,96,63,79,93,78.4791666666667,6.77919288266316,9,96,1013,1018,1021,1017.47916666667,2.33048071240188,4,96,0.2,3.5,6.8,3.5375,1.6645688551947,2.5,0,NA,NA,NA,NA,NA,NA,96,94,151.5,262,151.104166666667,29.5258955625724,30.25,96,1579.5,96,0
"narpcmet",2002-01-06,96,6.8,10.3,14.1,10.7645833333333,2.25005165632711,4.625,96,79,85.5,92,85.375,3.41590706147453,5.25,96,1004,1011,1017,1011.11458333333,4.32829075700709,8,96,0.2,4.4,12.8,5.09479166666667,3.21864207364622,5.325,0,NA,NA,NA,NA,NA,NA,96,70,163,214,159.5,27.0955424572499,27.25,96,887.2,96,0.3
"narpcmet",2002-01-07,96,11.5,13.4,15.1,13.21875,1.10227635277853,2,96,84,91,97,91.90625,3.83907369584191,7,96,1004,1006,1010,1006.95833333333,1.77061789195135,3.25,96,0.9,6.65,16.5,6.503125,3.45480453023109,5.975,0,NA,NA,NA,NA,NA,NA,96,142,176.5,210,176.010416666667,13.5991445486891,17.25,96,1647.2,96,1.2
"narpcmet",2002-01-08,96,8.1,10.45,11.6,10.2083333333333,1.00772455161608,1.5,96,87,93,98,93.1458333333333,3.52428915316092,6.25,96,1010,1016,1024,1016.28125,4.96875103442558,10,96,0.2,2.9,7.4,2.77916666666667,1.79712733735444,3.05,0,NA,NA,NA,NA,NA,NA,96,87,171,211,162.708333333333,29.915641628337,47,96,2033.5,96,3.8
"narpcmet",2002-01-09,96,4.8,7.6,10.2,7.68854166666667,1.2407018210561,1.6,96,79,97,99,94.09375,5.66071991887958,8.25,96,1025,1026,1027,1025.76041666667,0.736203514006207,1,96,0.2,0.8,3.7,0.946875,0.76598105308435,1.225,0,NA,NA,NA,NA,NA,NA,96,0,111.5,354,131.25,86.3481325796916,71.75,96,4486.9,96,0
"narpcmet",2002-01-10,96,4.4,6.65,8.3,6.46979166666667,1.07675142923094,1.95,96,79,92,97,90.8958333333333,4.49204950684315,7,96,1024,1027,1030,1026.84375,1.80833232274206,4,96,0.2,1.4,4.7,1.46875,1.09758706644214,1.925,0,NA,NA,NA,NA,NA,NA,96,8,129.5,348,149.479166666667,77.024121876703,75,96,1242.6,96,2.1
