"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"nartswq",2002-07-12,27,19.2,20.4,20.9,20.3074074074074,0.493750112697885,0.699999999999999,27,46.88,47.39,47.72,47.3492592592593,0.215690767355738,0.250000000000007,27,30.5,30.9,31.1,30.862962962963,0.157255666763855,0.199999999999999,27,61.8,98.5,106.3,96.7,8.98982330621259,10.9,27,4.8,7.4,8,7.28888888888889,0.626549361634103,0.65,27,0.64,0.66,0.69,0.665925925925926,0.0115223058787524,0.01,0,NA,NA,NA,NA,NA,NA,27,7.7,7.9,7.9,7.86666666666667,0.0554700196225231,0.100000000000001,5,0,0,0,0,0,0,27,0,27,1
"nartswq",2002-07-13,48,19.2,20,21.4,20.1520833333333,0.52994964968917,0.699999999999999,48,47.37,47.59,47.77,47.5908333333333,0.0946400422054668,0.102500000000006,48,30.9,31.05,31.2,31.0520833333333,0.0798658005612593,0.100000000000001,48,78,94,109.3,94.0208333333333,7.9175796412721,12.175,48,5.9,7.1,8.1,7.09375,0.538084170430691,0.8,48,0.63,0.66,0.67,0.66,0.00850531748566243,0.01,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,7.9,7.83958333333333,0.0573884981186307,0.100000000000001,5,0,0,0,0,0,0,48,0,48,0
"nartswq",2002-07-14,48,19.2,20.55,21.5,20.4125,0.60057596468865,0.900000000000002,48,47.45,47.675,47.89,47.66625,0.100628345061356,0.169999999999995,48,30.9,31.1,31.3,31.1041666666667,0.0849488790787587,0.199999999999999,48,72.6,94,103,90.71875,8.32324753134767,15.125,48,5.5,7.05,7.6,6.81666666666667,0.56843695110002,0.949999999999999,48,0.64,0.66,0.67,0.655208333333333,0.00967329804334908,0.01,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,7.9,7.78958333333333,0.0515280685061223,0,6,0,0,3,0.5,1.22474487139159,0,48,0,48,0
"nartswq",2002-07-15,48,19.7,20.7,21.5,20.61875,0.425093856970484,0.699999999999999,48,47.65,47.755,47.88,47.758125,0.0600232667654094,0.0799999999999983,48,31.1,31.2,31.3,31.1729166666667,0.0573884981186298,0.0999999999999979,48,72.3,91.35,100.6,90.4895833333333,6.28037265405158,8.3,48,5.5,6.8,7.5,6.77708333333333,0.434295508441525,0.6,48,0.58,0.6,0.64,0.606041666666667,0.0223834649584487,0.05,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,7.8,7.78541666666667,0.0356673957637415,0,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"nartswq",2002-07-16,48,19.4,20.2,21.1,20.25625,0.336380135776001,0.5,48,47.31,47.73,48.04,47.7164583333333,0.192889446711016,0.307500000000005,48,30.8,31.1,31.4,31.1416666666667,0.152752523165195,0.300000000000001,48,69.9,80.75,88.7,80.7166666666667,3.94058713269414,4.97499999999999,48,5.3,6.1,6.7,6.08333333333333,0.292700800930316,0.399999999999999,48,0.58,0.6,0.65,0.607916666666667,0.0194562611847904,0.03,0,NA,NA,NA,NA,NA,NA,48,7.6,7.7,7.8,7.71666666666667,0.0429414907892782,0,8,0,0,2,0.25,0.707106781186548,0,48,0,48,0
"nartswq",2002-07-17,48,19.4,20.6,21.1,20.5083333333333,0.474827329571289,0.699999999999999,48,47.41,47.715,47.95,47.705,0.12827828790928,0.144999999999996,48,30.9,31.1,31.3,31.1333333333333,0.0996447590904027,0.0999999999999979,48,64.9,85.45,95.3,84.7354166666667,7.73325203628704,12.2,48,4.9,6.45,7.1,6.35208333333333,0.53910468857934,0.825,48,0.6,0.64,0.65,0.631458333333333,0.0150162441593257,0.02,0,NA,NA,NA,NA,NA,NA,48,7.6,7.7,7.8,7.72916666666667,0.0581938555407272,0.0999999999999996,5,0,0,1,0.2,0.447213595499958,0,48,0,48,1
"nartswq",2002-07-18,48,20.2,20.85,21.8,20.95625,0.46945248779602,0.699999999999999,48,47.29,47.695,47.84,47.6585416666667,0.148137221942436,0.190000000000005,48,30.8,31.1,31.2,31.0875,0.114157412784352,0.199999999999999,48,65.6,84.3,100,84.45,7.61703019136528,9.825,48,4.9,6.25,7.3,6.28541666666667,0.544992517353799,0.8,48,0.58,0.59,0.6,0.59,0.00583459965991579,0,0,NA,NA,NA,NA,NA,NA,48,7.6,7.7,7.8,7.72083333333333,0.0581938555407272,0.0999999999999996,1,1,1,1,1,NA,0,48,0,48,1
"nartswq",2002-07-19,48,20.1,21.6,22.4,21.5583333333333,0.457483092738785,0.599999999999998,48,47.18,47.56,47.98,47.5314583333333,0.156965771893427,0.197499999999998,48,30.7,31,31.3,30.99375,0.115604332540471,0.200000000000003,48,79,90.3,108.9,91.2854166666667,8.1952760026045,11.2,48,5.9,6.7,8,6.71875,0.574514133300219,0.750000000000001,48,0.58,0.59,0.61,0.59375,0.00841098572410297,0.01,0,NA,NA,NA,NA,NA,NA,48,7.7,7.7,7.9,7.75,0.0545776822909814,0.0999999999999996,3,0,0,1,0.333333333333333,0.577350269189626,0.5,48,0,48,0
"nartswq",2002-07-20,48,20.3,21,21.7,21.0270833333333,0.374017625784084,0.424999999999997,48,47.24,47.59,47.89,47.6083333333333,0.174908283970252,0.315000000000005,48,30.8,31,31.3,31.0625,0.142358552418914,0.300000000000001,48,65.5,87.1,102.1,87.3291666666667,7.1167754571717,9.39999999999999,48,4.9,6.45,7.6,6.48541666666667,0.524704408512123,0.725,48,0.59,0.64,0.68,0.635,0.029822167964916,0.0525,0,NA,NA,NA,NA,NA,NA,48,7.6,7.7,7.8,7.72916666666667,0.0581938555407272,0.0999999999999996,1,0,0,0,0,NA,0,48,0,48,1
"nartswq",2002-07-21,48,20.4,21.1,22.1,21.09375,0.418409475707353,0.425000000000001,48,47.28,47.735,47.89,47.6920833333333,0.161626813834693,0.25,48,30.8,31.15,31.3,31.1104166666667,0.115297180001559,0.199999999999999,48,76,92.9,118.6,95.75,11.5294996293043,18.725,48,5.7,6.9,8.7,7.10625,0.81564652596523,1.275,46,0.68,0.7,0.71,0.698260869565217,0.00824738283769449,0.01,0,NA,NA,NA,NA,NA,NA,48,7.6,7.8,7.9,7.77916666666667,0.0742575544787406,0.0999999999999996,3,0,0,0,0,0,0,48,0,48,0
