"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"niwolmet",2002-01-01,96,1.2,5.05,9.2,5.11875,2.40018913728415,3.625,96,29,46,82,53.1458333333333,16.4252560128517,30,96,1016,1020,1024,1019.98958333333,2.48148848228625,3.25,96,0.8,2.8,5.2,2.79791666666667,0.920752457351756,1.3,0,NA,NA,NA,NA,NA,NA,96,0,334,363,248.291666666667,149.145560596399,319.75,96,17803.6,96,0
"niwolmet",2002-01-02,96,-0.3,0.8,3.4,1.17604166666667,1.16607707533166,2.3,96,35,58,96,68.5833333333333,22.2013117993968,45,96,1014,1024,1027,1021.88541666667,3.60663071130374,6.25,96,1.9,4,7,4.1,0.930647765353732,1.2,0,NA,NA,NA,NA,NA,NA,96,0,30.5,363,146.364583333333,164.337529416021,345.25,96,2503.6,96,9.5
"niwolmet",2002-01-03,96,-1.1,-0.4,0.8,-0.267708333333333,0.424138704141555,0.4,96,91,95,96,94.59375,1.57999417054221,2,96,1011,1013,1017,1012.91666666667,1.6135392068152,1,28,0,3.2,5.4,2.73928571428571,1.84478028114849,2.15,0,NA,NA,NA,NA,NA,NA,28,7,346,363,299.321428571429,120.83016963565,22.5,96,3550.6,95,0.9
"niwolmet",2002-01-04,96,-2.6,-0.6,4.3,0.0677083333333333,2.05802638168691,3.375,96,54,82,96,78.2916666666667,13.9086619483321,27.25,96,1017,1025,1028,1023.90625,3.04727013294816,4.25,59,0,2.5,6.7,2.85423728813559,2.02351026802251,3.6,0,NA,NA,NA,NA,NA,NA,59,54,318,363,301.254237288136,49.9187592477946,39.5,96,23389.8,96,0
"niwolmet",2002-01-05,96,-2.3,3.55,9.3,3.040625,4.07292932537181,8.1,96,35,78.5,95,75.0833333333333,18.8984358398515,29.25,96,1020,1026,1028,1024.92708333333,2.1435081509018,4,96,0,1.7,7.3,2.24791666666667,1.52329139256633,2.1,0,NA,NA,NA,NA,NA,NA,96,13,235,363,232.71875,55.6739952760712,62.25,96,22967.6,96,0.3
"niwolmet",2002-01-06,96,2.2,11.15,17,11.1645833333333,4.13521409530814,6.375,96,55,88.5,100,82.7395833333333,14.0841417291085,26.25,96,1001,1007,1019,1008.23958333333,5.57011724655333,8.25,96,0,5.1,16.1,5.35625,3.56848228095274,5.125,0,NA,NA,NA,NA,NA,NA,96,6,226.5,356,206.604166666667,92.6944589460354,105.5,96,9576.2,96,14.4
"niwolmet",2002-01-07,96,2.1,5.6,9.6,5.82604166666667,2.01490471456392,3.7,96,46,70,89,67.8958333333333,14.3163352901625,27,96,1008,1011,1018,1011.51041666667,3.08816004380284,4.25,96,1.9,4.1,8.1,4.26145833333333,1.4294916131023,1.9,0,NA,NA,NA,NA,NA,NA,96,242,270.5,342,272.34375,18.0425392803843,25.5,96,20859.6,96,0
"niwolmet",2002-01-08,96,-1.7,1.8,7.4,2.428125,2.76906608330033,4.775,96,34,75,92,67.875,15.8162141986933,25,96,1018,1022,1024,1021.1875,1.36352870388408,2,96,0,2.2,4.1,2.13645833333333,0.900072487334293,1.025,0,NA,NA,NA,NA,NA,NA,96,13,280.5,361,266.520833333333,55.0291748776892,60.25,96,24199,96,0
"niwolmet",2002-01-09,93,-1.8,9,13.8,6.4505376344086,4.84843371517195,9.1,93,31,63,94,59.3763440860215,15.0830411378897,16,93,1017,1021,1022,1019.89247311828,1.60476441174532,3,93,0,4.1,8.8,4.22043010752688,1.91126859417605,2.6,0,NA,NA,NA,NA,NA,NA,93,176,241,290,239.05376344086,21.4472890713174,31,93,22172.9,93,0
"niwolmet",2002-01-10,96,10,12.25,20.3,13.5583333333333,3.47785979762408,4.975,96,45,54,87,58.9791666666667,13.0165717587573,24,96,1016,1018,1019,1017.51041666667,1.025924914321,1,96,1.6,4.6,8.4,4.4625,1.53178602325933,2.15,0,NA,NA,NA,NA,NA,NA,96,183,250,300,249.5,25.6437126797194,27,96,23595.9,96,0
