"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"niwwbwq",2016-05-11,46,23.2,23.65,25,23.7847826086957,0.403301591756149,0.5,46,1.12,6.345,19,8.31304347826087,6.032340201711,10.565,46,0.6,3.5,11.3,4.75217391304348,3.60516537641539,6.175,46,63.3,69.85,80.4,69.9195652173913,3.35318220767593,3.77500000000001,46,5.2,5.8,6.6,5.75434782608696,0.260517878882412,0.2,46,4.34,4.93,5.5,4.92065217391304,0.40305170428681,0.745,46,4.28,4.865,5.44,4.85847826086956,0.400455115483506,0.735,46,6.9,7,7.6,7.0804347826087,0.192780318517554,0.3,46,14,44,574,92.1086956521739,126.788928409186,40,46,0,46,0
"niwwbwq",2016-05-12,96,23.3,23.7,25.2,23.8239583333333,0.378847224218742,0.424999999999997,96,1.11,7.415,18.82,8.54479166666667,5.99438069829906,11.7075,96,0.6,4.1,11.2,4.88020833333333,3.5781682991711,6.95,96,64.9,72.05,82.8,71.3572916666667,3.50124022512525,5.77499999999999,96,5.3,5.85,6.8,5.86145833333333,0.253136032356504,0.3,96,4.32,4.91,5.58,4.91333333333333,0.402906980688743,0.729999999999999,96,4.26,4.875,5.53,4.8675,0.404430724013787,0.744999999999999,96,6.9,7,7.5,7.11041666666667,0.198138264678543,0.399999999999999,96,11,46.5,431,72.9375,89.9782210490844,34.25,96,0,96,0
"niwwbwq",2016-05-13,96,23.6,23.9,24.5,23.9989583333333,0.217882050016283,0.300000000000001,96,1.2,10.83,25.59,10.6758333333333,7.02679483221441,12.1,96,0.6,6.15,15.6,6.184375,4.29014361494369,7.25,96,66.2,72.7,81.2,72.7416666666667,2.76118459195998,4.02500000000001,96,5.4,5.9,6.7,5.91458333333333,0.209248865514961,0.2,96,4.36,4.935,5.52,4.93125,0.387888345301908,0.745,96,4.34,4.93,5.5,4.9303125,0.386494238058773,0.73,96,6.9,7.1,7.6,7.18333333333333,0.215536865410252,0.3,96,11,34,403,54.7604166666667,67.6493660905713,30.25,96,0,96,0
"niwwbwq",2016-05-14,96,23.7,24,24.9,24.0635416666667,0.250103048937272,0.300000000000001,96,1.89,14.23,25.33,12.4040625,7.39278176803136,13.265,96,1,8.25,15.4,7.25208333333333,4.54143448625899,8.075,96,68.3,73.2,80.7,72.8322916666667,3.17319347003072,5.5,96,5.5,5.8,6.6,5.87916666666667,0.198900486446796,0.3,96,4.35,4.965,5.46,4.923125,0.382210502761309,0.74,96,4.38,5,5.48,4.95197916666667,0.385837761900999,0.7525,96,6.9,7.3,7.7,7.26145833333333,0.244247411952745,0.4,96,11,27,182,33.34375,25.2665071107771,20.25,96,0,96,0
"niwwbwq",2016-05-15,96,23.2,23.85,24.1,23.8270833333333,0.210502739907993,0.300000000000001,96,2.1,15.355,29.33,13.6842708333333,7.34974009490943,12.9225,96,1.1,8.95,18.1,8.03645833333333,4.55352078452352,7.975,96,68.9,73.7,81.3,74.075,3.43400947183195,5.80000000000001,96,5.5,5.95,6.5,5.97916666666667,0.23749422892342,0.4,96,4.4,5.015,5.55,4.99010416666667,0.353531044692547,0.635,96,4.35,4.995,5.52,4.96229166666667,0.365756545911612,0.657500000000001,96,7,7.3,7.9,7.315625,0.252702498269366,0.4,96,9,22,141,29.0729166666667,22.4425558126411,18.25,96,0,96,0
"niwwbwq",2016-05-16,96,23.2,23.6,23.9,23.584375,0.171266566620883,0.199999999999999,96,3.41,18.075,31.5,16.6003125,7.49033488860285,10.8975,96,1.8,10.7,19.6,9.86979166666667,4.72650131629966,6.925,96,70.1,76,82.6,76.7083333333333,3.1855485082236,4.87500000000001,96,5.7,6.1,6.6,6.15520833333333,0.218063144725832,0.3,96,4.54,5.12,5.63,5.1046875,0.350602348222238,0.6575,96,4.44,5.045,5.54,5.0178125,0.35508991633699,0.667499999999999,96,7,7.45,7.9,7.43020833333333,0.260008012697045,0.424999999999999,96,7,24,180,29.7291666666667,25.2317590878374,19,96,0,96,0
"niwwbwq",2016-05-17,96,23.1,23.5,23.7,23.471875,0.120265605180674,0.200000000000003,96,1.87,12.575,23.16,11.6116666666667,5.77086396280427,10.34,96,1,7.2,14,6.71458333333333,3.52363386492341,6.225,96,70.8,75.7,81.5,75.6572916666667,2.82763597715446,4.425,96,5.8,6.2,6.6,6.18958333333333,0.177988270853457,0.2,96,4.38,5.01,5.5,4.9959375,0.360997384813388,0.6675,96,4.32,4.955,5.47,4.93760416666667,0.364118964919482,0.6875,96,7,7.2,7.7,7.26354166666667,0.205257113046395,0.300000000000001,96,9,27,168,34.8020833333333,26.7474031367795,19,96,0,96,0
"niwwbwq",2016-05-18,96,23.2,23.4,23.6,23.378125,0.0836070067574921,0.0999999999999979,96,0.91,8.035,26.08,9.75947916666667,6.43849350960655,12.0975,96,0.5,4.45,16,5.615625,3.89126763610388,7.25,96,65.4,70.3,79,71.6052083333333,4.06583634930112,7.42500000000001,96,5.5,5.9,6.3,5.90208333333333,0.23214295353767,0.399999999999999,96,4.26,4.955,5.54,4.921875,0.391279446512538,0.7175,96,4.25,4.95,5.53,4.91708333333333,0.391864414432142,0.7225,96,6.9,7.1,7.8,7.18541666666667,0.241477542452237,0.4,96,13,32.5,318,48.9375,53.2196664282748,22.5,96,0,96,0
"niwwbwq",2016-05-19,96,23,23.3,23.7,23.2885416666667,0.136782417819548,0.199999999999999,96,2.31,15.7,28.03,13.6565625,7.2199400534215,12.9525,96,1.2,9.2,17.3,8.02083333333333,4.44886541814561,8.025,96,64.7,71.85,78.3,71.909375,3.64148836329323,6.2,96,5.5,5.9,6.2,5.85625,0.19402251632763,0.3,96,4.38,5.06,5.59,5.0015625,0.390382614272608,0.74,96,4.34,5.005,5.55,4.95895833333333,0.388764518542,0.75,96,6.9,7.3,7.8,7.30729166666667,0.252667783407244,0.4,96,9,28.5,218,36.9375,32.0262433506944,21.25,96,0,96,0
"niwwbwq",2016-05-20,96,22.8,23,23.3,23.0302083333333,0.119753950965844,0.100000000000001,96,2.76,12.205,22.5,12.85375,6.5094948061719,11.9775,96,1.4,7,13.6,7.50416666666667,4.012819370249,7.45,96,66.2,74.45,85.8,75.2916666666667,5.4218013449924,7.95000000000002,96,5.6,6.1,6.9,6.17708333333333,0.356142835528451,0.5,96,4.48,5.13,5.68,5.08604166666667,0.394193324642849,0.7525,96,4.44,5.08,5.64,5.0353125,0.395306551598683,0.755000000000001,96,7,7.3,7.8,7.321875,0.262057898383665,0.5,96,8,35,224,53.2291666666667,48.7309431938415,31.75,96,0,96,0
