"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"niwwswq",2016-05-11,45,23.3,23.8,24.9,23.9333333333333,0.473382413161821,0.599999999999998,45,0.62,2.39,10.11,3.21111111111111,2.76599005965333,3.51,45,0.3,1.2,5.7,1.72444444444444,1.55886840595052,1.9,45,68.9,72.5,85.3,73.5688888888889,4.06771223518612,4.5,45,5.8,6.1,7,6.14666666666667,0.297413088909257,0.3,45,0.25,0.84,1.42,0.827777777777778,0.401428635619022,0.77,45,0.19,0.78,1.36,0.765777777777778,0.398990139368295,0.75,45,6.8,6.9,7.2,6.92222222222222,0.129490064358918,0.3,45,18,27,46,28.0444444444444,7.08697767212883,10,45,0,45,0
"niwwswq",2016-05-12,96,23.3,23.8,25.7,23.9125,0.512629957848944,0.399999999999999,96,0.59,2.46,10.71,3.691875,3.0531772277761,5.3525,96,0.3,1.3,6.1,1.996875,1.73086246375067,2.925,96,67.8,74.05,94.3,74.4822916666667,4.53245593450677,3.07499999999999,96,5.7,6.2,7.6,6.21458333333333,0.324760370497408,0.3,96,0.25,0.84,1.5,0.839375,0.406185885628994,0.7475,96,0.19,0.805,1.45,0.793541666666667,0.407779556459942,0.75,96,6.8,6.9,7.2,6.96145833333333,0.119092879867302,0.199999999999999,96,12,22,43,23.9583333333333,7.58796369142975,11,96,0,96,0
"niwwswq",2016-05-13,96,23.6,24.1,24.8,24.1041666666667,0.300846758217243,0.5,96,0.41,2.7,10.48,3.790625,2.91007209623115,4.8025,96,0.2,1.4,5.9,2.04895833333333,1.64834812314866,2.675,96,70.7,74.65,88,76.0322916666667,4.18041787867563,4.52499999999999,96,5.8,6.2,7.2,6.31979166666667,0.318754084941145,0.4,96,0.28,0.865,1.45,0.8628125,0.393236779146717,0.755,96,0.27,0.86,1.43,0.861875,0.391951426904702,0.755,96,6.8,6.95,7.3,6.96458333333333,0.10154508116483,0.0999999999999996,96,10,20,47,21.75,7.57419441608357,9.25,96,0,96,0
"niwwswq",2016-05-14,96,23.5,24.1,25.4,24.1739583333333,0.396098018615187,0.400000000000002,96,1.13,3.725,11.88,5.15333333333333,3.3658106606743,5.3,96,0.6,2,6.8,2.82395833333333,1.94399181239702,3.025,96,69.7,74.55,86.6,75.4104166666667,4.15865563213242,5.02500000000001,96,5.8,6.2,7,6.22604166666667,0.286630072123659,0.3,96,0.27,0.9,1.39,0.85375,0.388671827476194,0.765,96,0.29,0.935,1.41,0.882604166666667,0.392380708768965,0.765,96,6.8,6.9,7.2,6.965625,0.123823409911475,0.199999999999999,96,9,16,45,18.1145833333333,7.52521346669304,11,96,0,96,0
"niwwswq",2016-05-15,96,23.1,23.9,24.5,23.8645833333333,0.320519041774979,0.199999999999999,96,0.78,4.085,11.82,4.59197916666667,2.70440444647019,4.02,96,0.4,2.2,6.8,2.49583333333333,1.55210666119288,2.225,96,70.8,75.45,96.9,77.4802083333333,6.4965354295747,6.55,96,5.9,6.3,7.9,6.44791666666667,0.486443411901586,0.5,96,0.32,0.94,1.48,0.920208333333333,0.35885190954272,0.6375,96,0.27,0.925,1.45,0.892395833333333,0.371210664523718,0.68,96,6.8,6.95,7.4,6.98020833333333,0.143358066001601,0.0999999999999996,96,8,15,36,16.2604166666667,5.99165172142684,8.25,96,0,96,0
"niwwswq",2016-05-16,96,23.1,23.7,24,23.66875,0.194293592277254,0.199999999999999,96,2.14,5.415,16.1,6.31833333333333,3.31368570966773,4.0375,96,1.1,2.9,9.4,3.484375,1.96159591981416,2.35,96,69.3,76.9,89.7,78.76875,5.20993610426523,7.40000000000002,96,5.8,6.4,7.4,6.546875,0.420263858220423,0.7,96,0.45,1.055,1.56,1.03583333333333,0.356171651895592,0.665,96,0.35,0.98,1.47,0.948958333333333,0.360752077476359,0.6725,96,6.9,7,7.3,7.040625,0.13885101822874,0.199999999999999,96,9,14,25,15.2604166666667,4.4656461586242,7,96,0,96,0
"niwwswq",2016-05-17,96,23.1,23.4,23.6,23.428125,0.118502165203404,0.100000000000001,96,1.22,4.375,12.91,5.33833333333333,3.09194391814963,3.39,96,0.6,2.35,7.4,2.91979166666667,1.80704002179002,1.95,96,71.7,77,85.4,77.4760416666667,3.47540970069995,4.64999999999998,96,6.1,6.5,7,6.484375,0.248925321712102,0.324999999999999,96,0.3,0.94,1.43,0.923020833333333,0.36457941100647,0.685,96,0.24,0.89,1.4,0.8646875,0.367532177252264,0.7025,96,6.8,7,7.4,7.00416666666667,0.147909408025508,0.199999999999999,96,9,15.5,34,16.8229166666667,5.77288542588114,7.25,96,0,96,0
"niwwswq",2016-05-18,96,23.2,23.4,23.7,23.3677083333333,0.128550454290312,0.0999999999999979,96,0.5,2.815,13.88,3.80333333333333,2.84755025524403,3.695,96,0.2,1.5,8,2.05625,1.62116348732371,2.025,96,67.3,71.75,79,72.2958333333333,3.56588858540319,6.17500000000001,96,5.7,6.05,6.6,6.09375,0.258665604085356,0.399999999999999,96,0.19,0.885,1.46,0.847395833333333,0.394168664918343,0.7175,96,0.18,0.875,1.45,0.842604166666667,0.394795736103639,0.7225,96,6.8,6.9,7.3,6.92916666666667,0.1160006049591,0.2,96,9,17,39,18.5208333333333,5.97006420959328,9.25,96,0,96,0
"niwwswq",2016-05-19,96,23.1,23.3,23.6,23.2947916666667,0.118205700874781,0.199999999999999,96,1.51,3.785,12.81,4.86520833333333,3.1246190434462,3.8875,96,0.8,2,7.4,2.659375,1.81546445413027,2.175,96,65.8,72.25,79.2,71.7979166666667,3.65069507921485,6.75000000000001,96,5.6,6,6.6,6.03854166666667,0.270815451501442,0.5,96,0.3,0.98,1.51,0.930416666666667,0.394191822571773,0.75,96,0.26,0.925,1.47,0.8878125,0.392603196289641,0.76,96,6.8,6.9,7.2,6.95104166666667,0.117871287219904,0.0999999999999996,96,9,18,40,19.84375,6.91349271923732,11,96,0,96,0
"niwwswq",2016-05-20,96,22.7,22.9,23.1,22.909375,0.0929947649913129,0,96,2.25,4.985,17.54,5.6821875,3.12316411862107,2.9275,96,1.2,2.7,10.4,3.11458333333333,1.85148470532032,1.65,96,67.8,77.05,86.6,76.496875,5.37382453487076,7.925,96,5.8,6.5,7.3,6.46145833333333,0.41278764558896,0.525,96,0.39,1.055,1.6,1.011875,0.397310199638572,0.765,96,0.35,1,1.56,0.961145833333333,0.398438715598421,0.78,96,6.9,7,7.5,7.03854166666667,0.160505642902388,0.199999999999999,96,8,22,52,22.9791666666667,7.79200557476655,9.25,96,0,96,0
