"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"nocecwq",2002-01-01,48,6.9,8.8,9.5,8.67291666666667,0.611499581020832,0.85,48,48.79,49.225,51.33,49.5122916666667,0.706764397179546,0.672499999999999,48,31.5,31.9,33.5,32.0895833333333,0.526424949019663,0.599999999999998,48,93.8,103.35,113.2,103.04375,4.89193458011963,6.87500000000001,48,9,9.75,10.6,9.76041666666667,0.420607252663227,0.699999999999999,48,0.7,1.18,2.01,1.23916666666667,0.36966824306272,0.5975,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.1,8.0875,0.0334218682391595,0,48,3,6,37,8.0625,6.40281271304244,5,48,0,48,0
"nocecwq",2002-01-02,48,4.8,6.3,8.1,6.39791666666667,0.813317237661919,0.925000000000001,48,48.94,49.595,50.82,49.7285416666667,0.460744030950741,0.530000000000001,48,31.5,31.9,32.9,32.0229166666667,0.394774152149901,0.624999999999996,48,92.2,100.4,103.1,99.7416666666667,2.6753272484922,3.92500000000001,48,9.3,9.9,10.6,9.96041666666667,0.280379365596832,0.399999999999999,48,0.73,1.16,2.05,1.22708333333333,0.38127980641537,0.545,0,NA,NA,NA,NA,NA,NA,48,8,8,8.1,8.04375,0.0501328023587392,0.0999999999999996,48,4,11,63,15.125,13.8987600855218,10,48,0,48,0
"nocecwq",2002-01-03,48,4.1,5.15,7.2,5.44583333333333,0.900344693645654,1.45,48,47.96,48.585,49.45,48.6070833333333,0.372147067321929,0.414999999999999,48,30.6,31.1,31.9,31.1208333333333,0.348222436451512,0.450000000000006,48,98,100,101.9,100.2,1.01750633852383,1.52500000000001,48,10,10.3,10.7,10.2979166666667,0.176839370957283,0.200000000000001,48,0.75,1.215,2.11,1.28,0.390553344491655,0.585,0,NA,NA,NA,NA,NA,NA,48,8,8,8.1,8.02291666666667,0.0424744395393793,0,48,10,19.5,111,23.8958333333333,18.0533954881757,12.25,48,0,48,0
"nocecwq",2002-01-04,48,2.6,4.35,5.5,4.19166666666667,0.859943920322303,1.35,48,47.78,48.285,49.6,48.415,0.476181620991626,0.632499999999993,48,30.4,30.6,31.8,30.8166666666667,0.408595588094058,0.625000000000004,48,97.8,102.7,108.2,102.7125,3.21311309242001,5.3,48,10.4,10.9,11.7,10.8895833333333,0.282270116093993,0.4,48,0.78,1.21,1.91,1.26166666666667,0.320600057958698,0.53,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8.1,7.99166666666667,0.0498223795452012,0,48,8,13.5,232,21.875,33.8674669727297,6.5,48,0,48,0
"nocecwq",2002-01-05,48,3.2,5.3,6,4.86458333333333,0.967886397266841,1.675,48,47.5,48.01,49.72,48.2920833333333,0.700270337869091,1.16,48,30.3,30.55,32,30.8354166666667,0.538117120579705,0.925000000000004,48,99.2,104.75,112.2,105.275,3.6762897577556,5.25,48,10.5,10.9,11.5,10.9916666666667,0.253346397572811,0.399999999999999,48,0.8,1.315,1.92,1.34333333333333,0.353717842434811,0.625,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8,7.99791666666667,0.0144337567297406,0,48,4,8,28,9.60416666666667,5.18073182759961,3.25,48,0,48,0
"nocecwq",2002-01-06,48,5.3,7.7,9.1,7.38333333333333,1.36885312040709,2.625,48,45.19,47.51,49.64,47.3383333333333,1.2714480492116,1.82999999999999,48,29,30.4,32,30.4145833333333,0.840210101215402,1.2,48,96.9,105.25,107.6,104.0625,3.02216105573619,5,48,9.3,10.35,11,10.26875,0.448712697732506,0.65,48,0.67,1.195,1.77,1.21520833333333,0.339329687066756,0.6025,0,NA,NA,NA,NA,NA,NA,48,8,8,8.1,8.025,0.0437594974493682,0.0250000000000004,48,5,13,41,15.9791666666667,10.0265383673133,17,48,0,48,0
"nocecwq",2002-01-07,48,7.6,8.5,10,8.42708333333333,0.473888209877596,0.550000000000001,48,44.5,46.48,48.43,46.521875,0.74220962872946,0.724999999999994,48,28.5,29.9,31.3,29.9416666666667,0.533488452619187,0.600000000000001,48,93,100.85,115.2,102.283333333333,5.33069526954389,6.50000000000001,48,9.2,9.8,10.9,9.87291666666667,0.423128964462817,0.525,48,0.68,1.05,1.6,1.084375,0.273775076574168,0.475,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8.1,7.99791666666667,0.032548381881755,0,48,6,11,39,13.2291666666667,7.0778034317463,6,48,0,48,0
"nocecwq",2002-01-08,48,5.7,7.05,9.4,7,0.664286531358781,0.5,48,45.92,46.655,47.81,46.7747916666667,0.500391291926089,0.622500000000002,48,29.4,29.9,30.7,29.9895833333333,0.337852783836539,0.399999999999999,48,92.4,105.5,121.5,105.045833333333,7.23310822606223,8.30000000000003,48,9.1,10.5,12,10.475,0.643296033902,0.825000000000001,48,0.66,1.1,1.6,1.12854166666667,0.259999914757215,0.4475,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.2,8.1,0.0291729982995788,0,48,3,7,19,7.66666666666667,3.36017561175662,4,48,0,48,0
"nocecwq",2002-01-09,34,5.2,6.65,10,7.09117647058824,1.16498605715647,1.225,34,46.39,46.77,48.67,47.1147058823529,0.710553498696477,0.907499999999992,34,29.7,30,31.3,30.2470588235294,0.474332254167929,0.525000000000002,34,99.4,103.6,118.6,106.832352941176,6.36489998913241,12.325,34,10,10.5,11.6,10.6117647058824,0.442968434392444,0.675000000000001,34,0.71,1.145,1.77,1.18764705882353,0.318681553064834,0.5175,0,NA,NA,NA,NA,NA,NA,34,8.1,8.1,8.2,8.13823529411765,0.049327021805638,0.0999999999999996,34,4,8.5,37,10.5,7.79762978750789,5.75,34,0,34,0
"nocecwq",2002-01-10,25,8.8,10.2,12,10.404,0.766202758195679,0.800000000000001,25,48.4,48.83,49.78,48.9676,0.444890248638171,0.800000000000004,25,31.5,31.7,32.4,31.836,0.302599845780969,0.600000000000001,25,102.3,109.5,121.9,111.316,7.03667061424175,13.9,25,9.4,10,11.1,10.172,0.607947366142827,1.2,25,0.37,0.66,1.03,0.6836,0.210967612048232,0.32,0,NA,NA,NA,NA,NA,NA,25,8,8.1,8.2,8.1,0.0288675134594812,0,25,5,11,26,11.48,5.27667824803951,7,25,0,25,0
