"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"noclcwq",2002-02-26,24,12.3,13.4,16.4,13.7083333333333,1.27276373936088,2.125,24,52.86,53.855,54.92,54.0120833333333,0.669321390057427,1.16999999999999,24,34.9,35.6,36.3,35.6708333333333,0.462017472534899,0.75,24,92.5,102.85,125.9,106.283333333333,10.5646937306856,17.45,24,7.9,8.75,10,8.82916666666667,0.68045966986945,1.25,24,0.34,1.115,1.8,1.09916666666667,0.500624971729178,0.875,0,NA,NA,NA,NA,NA,NA,24,8.1,8.1,8.1,8.1,0,0,24,4,7,18,8,3.87859230402856,6.25,24,0,24,0
"noclcwq",2002-02-27,48,9.4,12.05,13.6,12.1208333333333,1.09018021803802,1.725,48,50.81,52.945,54.18,52.7508333333333,0.98603619400432,1.78249999999999,48,33.3,34.8,35.7,34.6708333333333,0.699531251361371,1.22499999999999,48,89.7,99.2,137,101.6125,10.2857808276301,8.55,48,7.6,8.6,11.7,8.78958333333333,0.847082498264041,0.475000000000001,48,0.11,1.12,1.94,1.04645833333333,0.577454021687546,1.065,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.2,8.11875,0.0445127282776892,0,47,4,10,29,12.063829787234,6.09134901643002,8,48,0,48,0
"noclcwq",2002-02-28,48,5.4,10.7,12.2,10.1520833333333,1.53276132176655,1.3,48,51.03,53.245,54.15,52.889375,0.995396651933716,1.72250000000001,48,33.1,34.9,35.6,34.6458333333333,0.799456819142697,1.425,48,88,100.15,128.1,102.385416666667,10.5149132104214,9.22500000000001,48,8.5,8.95,11.1,9.22708333333333,0.747403899275674,1.025,48,0.09,1.24,2.02,1.13729166666667,0.641586264189908,1.175,0,NA,NA,NA,NA,NA,NA,48,8.1,8.2,8.2,8.1625,0.048924605479008,0.0999999999999996,48,4,11,638,32.5208333333333,96.4082607883108,8,48,0,48,0
"noclcwq",2002-03-01,48,7.8,11.05,13.2,10.7479166666667,1.4007580900892,1.725,48,51.8,52.955,53.97,53.1075,0.63205339122712,1.01250000000001,48,33.8,34.75,35.5,34.8458333333333,0.507374691933076,0.724999999999994,48,88.3,103.75,142.5,106.985416666667,13.2840808518322,18.275,48,8.4,9.1,12.1,9.49583333333333,0.923904373179466,1.325,48,0.2,1.165,1.99,1.141875,0.606814690946862,1.105,0,NA,NA,NA,NA,NA,NA,48,8.1,8.2,8.2,8.16041666666667,0.0494203994978269,0.0999999999999996,48,3,6,34,7.66666666666667,6.41253205651921,3.25,48,0,48,0
"noclcwq",2002-03-02,48,9.7,11.4,12,11.0854166666667,0.696492606101895,1,48,51.81,53.23,53.72,53.0804166666667,0.548553061237387,0.527500000000003,48,34,34.9,35.3,34.8583333333333,0.391306232222139,0.5,48,94.2,104.55,128.3,103.575,5.86643898655554,7.375,48,8.6,9.1,11.2,9.13541666666667,0.426509625908851,0.4,48,0.31,1.2,1.98,1.19354166666667,0.551618468143665,1.0275,0,NA,NA,NA,NA,NA,NA,48,8.1,8.1,8.1,8.1,0,0,48,3,6,17,6.625,3.63566845385865,4.25,48,0,48,0
"noclcwq",2002-03-03,48,11.8,13.45,16,13.575,1.40886252594825,2.475,48,46.59,50.02,53.95,50.1614583333333,1.85740953169723,2.8675,48,30.3,32.7,35.6,32.8375,1.31854610453607,2.025,48,92.8,101.95,110.9,101.652083333333,4.48192538334185,5.34999999999999,48,7.8,8.65,9.1,8.63333333333333,0.342290988148061,0.5,48,0.19,0.995,1.73,0.940208333333333,0.502129463611677,0.9375,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.1,8.05833333333333,0.0498223795452012,0.0999999999999996,47,6,14,298,41.468085106383,67.5997977434039,23.5,48,0,48,0
"noclcwq",2002-03-04,48,11,12.15,13.4,12.2458333333333,0.714279381937483,1.225,48,47.73,49.495,53.66,50.3977083333333,1.95636902012575,3.45500000000001,48,31.1,32.35,35.3,32.9666666666667,1.41064846011123,2.5,48,87.4,99.4,146.1,102.641666666667,12.5728656381356,10.375,48,7.6,8.7,12.6,8.94791666666667,1.1027990660777,1.225,48,0.23,0.97,1.75,0.955625,0.457546213222274,0.8075,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.1,8.06666666666667,0.0476393067340329,0.0999999999999996,47,9,28,953,71.2340425531915,153.967135505962,40,48,0,48,0
"noclcwq",2002-03-05,48,7.4,11.05,12.7,10.6416666666667,1.47024868837682,2.15,48,49.53,51.04,53.74,51.5252083333333,1.4009160978162,2.7375,48,32.3,33.3,35.3,33.6916666666667,1.05685872026962,2,48,90.2,107.05,124.1,105.825,9.82576941927964,11.775,48,8.6,9.5,10.7,9.48541666666667,0.667159613851595,1.125,48,0.57,1.085,1.79,1.11958333333333,0.395732331272268,0.715,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.1,8.09375,0.024462302739504,0,48,4,10,232,24.0833333333333,44.3265605662249,12.5,48,0,48,0
"noclcwq",2002-03-06,48,9.2,11.25,14.8,11.7041666666667,1.78777864465081,2.4,48,46.73,50.33,53.45,50.536875,1.96741449975082,3.295,48,30.3,32.75,35.1,33.0270833333333,1.41010631609643,2.375,48,94.5,109.85,150.6,111.283333333333,12.7985759402869,16.225,48,8.7,9.7,13,9.79583333333333,0.974124447756195,1.1,48,0.49,0.985,1.79,1.043125,0.390766601994135,0.65,0,NA,NA,NA,NA,NA,NA,48,8.1,8.1,8.2,8.12708333333333,0.0449092860289628,0.0999999999999996,48,3,8,58,13.1458333333333,12.7228887114177,9.25,48,0,48,0
"noclcwq",2002-03-07,30,11.2,11.7,13.1,11.9566666666667,0.675013835532961,1.25,30,45.45,49.195,53.24,49.621,2.5080633413329,4.09500000000001,30,29.4,32.05,35,32.39,1.81323677058648,3.02500000000001,6,101.5,104.85,109.3,105.133333333333,2.85703809331739,3.55,6,8.8,9.15,9.7,9.2,0.316227766016838,0.325000000000001,30,0.54,1.155,1.63,1.10666666666667,0.359504767925155,0.5825,0,NA,NA,NA,NA,NA,NA,30,8.1,8.1,8.3,8.13666666666667,0.0614947899858379,0.0999999999999996,30,3,7.5,29,9.36666666666667,6.44062180192272,4.5,6,0,6,0
