"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"nocrcmet",2002-01-01,96,1.6,5.2,9.4,5.19479166666667,2.11293608599711,3.275,96,30,48,64,46.0104166666667,8.90357088821129,11,96,1015,1019,1023,1018.75,2.5505417381205,4,96,0.2,2.55,6.8,2.80208333333333,1.58406400499785,2.35,0,NA,NA,NA,NA,NA,NA,96,0,31,355,154.729166666667,161.683933333667,328,96,29661.7,96,0
"nocrcmet",2002-01-02,96,-0.3,1.1,3.2,1.20833333333333,0.983299137080093,1.3,96,47,57.5,97,65.4895833333333,16.0374527388509,29.25,96,1013,1024,1026,1021.79166666667,3.83314263446331,6,96,2,5.2,11.6,5.34270833333333,1.70366445866529,2.1,0,NA,NA,NA,NA,NA,NA,96,0,22,355,35.3020833333333,65.1770253018115,14,96,10407.6,96,2.4
"nocrcmet",2002-01-03,96,-1.6,0.3,1.1,0.109375,0.767234010140185,0.925,96,91,95,99,94.2083333333333,2.17602567064321,4,96,1008,1010,1013,1010.1875,1.46044333571765,2,96,0.2,1.7,11.9,2.52291666666667,2.08647167128809,3.125,0,NA,NA,NA,NA,NA,NA,96,0,284,355,194.604166666667,148.131554559251,304.5,96,7887.4,96,1.2
"nocrcmet",2002-01-04,96,-2.4,-1.1,4.3,0.109375,2.08043913001179,3.175,96,53,79,99,78.46875,15.2308227133768,29.5,96,1013,1022,1026,1021.09375,3.8143168664775,5.25,96,0.2,1.5,5.3,1.70208333333333,1.10681897599112,1.6,0,NA,NA,NA,NA,NA,NA,96,0,291.5,355,249.552083333333,115.916927585565,72.75,96,30209.4,96,2.8
"nocrcmet",2002-01-05,96,-1.7,4.45,10,3.71875,4.00397992791646,7.225,96,33,80,95,71.7604166666667,18.2518894720039,29.25,96,1020,1024,1026,1023.625,1.80787749934324,3,96,0.2,2.2,5.4,2.10520833333333,1.2045850818013,1.625,0,NA,NA,NA,NA,NA,NA,96,192,246.5,306,244.958333333333,27.5325325910493,41,96,28614.5,96,0.3
"nocrcmet",2002-01-06,96,4.4,13.1,16.2,11.515625,4.01243666944611,7,96,56,86.5,96,82.6458333333333,11.1892609855838,16,96,999,1004,1020,1006.67708333333,6.67200718109336,12,96,0.2,4.8,13.9,4.54375,2.96075426023061,4.4,0,NA,NA,NA,NA,NA,NA,96,0,234,355,203.8125,95.1393783655825,111.5,96,12385.7,96,24.3
"nocrcmet",2002-01-07,96,3.1,6.1,9.7,6.43958333333333,1.98199682227514,3.75,96,43,67,84,65.5104166666667,13.5638798918045,25.5,96,1005,1008,1015,1008.55208333333,3.18506313798996,5,96,0.6,3,8.4,3.26770833333333,1.35999185691577,1.725,0,NA,NA,NA,NA,NA,NA,96,240,279.5,344,280.583333333333,18.2933215692254,26,96,24382,96,0
"nocrcmet",2002-01-08,96,-0.9,2.4,7.8,2.75,2.44307829979871,3.6,96,33,71.5,88,65.59375,16.263991951871,27,96,1015,1019.5,1022,1019.14583333333,1.71051956813784,1.25,96,0.2,1.7,3.5,1.734375,0.694463537749217,0.9,0,NA,NA,NA,NA,NA,NA,96,13,280,355,259.072916666667,71.6954442935961,50,96,28071.2,96,0
"nocrcmet",2002-01-09,96,0.5,9.8,12.6,7.46145833333333,4.26923806320881,8.1,96,34,63,88,59.7604166666667,13.0494966966197,22.25,96,1015,1017.5,1020,1017.39583333333,1.88332945194446,3,96,0.8,3.8,8.6,3.771875,1.64064833943298,2,0,NA,NA,NA,NA,NA,NA,96,202,242.5,280,242.302083333333,15.3143343870799,19,96,27403.1,96,0
"nocrcmet",2002-01-10,96,8.7,12.85,20.3,13.1177083333333,3.29851624671223,5.35,96,38,58,80,60.5833333333333,11.3755663055485,20,96,1013,1015,1017,1014.58333333333,1.0922373625455,1,96,1.7,3.5,6.8,3.62708333333333,1.04029137281383,1.425,0,NA,NA,NA,NA,NA,NA,96,174,246,285,243.604166666667,20.1282619673076,26.25,96,41535.6,96,0
"nocrcmet",2002-01-11,96,8.9,13.6,19,14.328125,2.99489752482627,5.25,96,47,67,77,65.875,9.08121253207035,13.25,96,1011,1012,1017,1013.125,1.89320113202897,2,96,0.2,3.5,8.3,3.33020833333333,1.90346607903453,2.625,0,NA,NA,NA,NA,NA,NA,96,0,251,353,231.9375,95.7035788254546,57.25,96,36992.1,96,0
"nocrcmet",2002-01-12,96,4,9.95,14.5,8.84583333333333,2.80581789057803,4.55,96,54,70,96,72.625,12.5373127314555,24.25,96,1003,1017,1019,1013.35416666667,5.10310363079829,8.25,96,0.2,2.3,5.3,2.378125,1.05143542234814,1.05,0,NA,NA,NA,NA,NA,NA,96,0,65,353,92.71875,92.93763648983,68,96,36396.7,96,5.2
