"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"noczbwq",2002-03-01,23,8.1,10,11.5,10.1173913043478,0.959475317752101,1.55,23,40.89,41.32,42.61,41.444347826087,0.50378409956283,0.800000000000004,23,26,26.3,27.2,26.4478260869565,0.34094729693684,0.5,23,108.2,126,147.6,126.534782608696,13.1539005171177,21.55,23,10.3,12.1,13.6,12.0260869565217,1.07077601057464,1.75,23,0.31,0.57,1.21,0.649565217391304,0.287504596973044,0.45,0,NA,NA,NA,NA,NA,NA,23,8.1,8.3,8.4,8.31304347826087,0.0757048564917913,0.0999999999999996,23,3,6,11,6.30434782608696,2.61872249577564,4.5,23,0,23,0
"noczbwq",2002-03-02,48,9.1,10.7,12.8,10.7729166666667,1.26956846133408,2.575,48,40.04,42.235,44.12,42.0095833333333,0.913391990920664,0.8675,48,25.5,26.95,28.4,26.8791666666667,0.624996453890649,0.599999999999998,48,74.1,97.3,111,97.0520833333333,10.0633311515247,16.15,48,7.1,9.3,10.5,9.08958333333333,1.01525378513303,1.825,48,0.24,0.555,1.37,0.641041666666667,0.336895965906349,0.5425,0,NA,NA,NA,NA,NA,NA,48,7.8,8.2,8.3,8.16875,0.146092727766932,0.200000000000001,48,3,6,459,74.2291666666667,128.269702494448,50,48,0,48,0
"noczbwq",2002-03-03,48,12.6,14.05,15.8,14.3354166666667,1.00137981047288,1.725,48,37.39,41.58,42.87,41.0685416666667,1.37631792094107,1.7775,48,23.8,26.7,27.6,26.3270833333333,0.959108536296682,1.2,48,72.9,89.9,118.5,91.9041666666667,11.9434119351416,14.075,48,6.4,7.85,10.1,7.99791666666667,0.990699212212271,1.125,48,0.13,0.445,1.31,0.521875,0.31793654023566,0.5025,0,NA,NA,NA,NA,NA,NA,48,7.8,8.1,8.2,8.03125,0.109459503830062,0.125,48,10,20,177,40.2291666666667,40.8209581044759,35.75,48,0,48,0
"noczbwq",2002-03-04,48,7,12.6,15.1,12.3895833333333,2.07212909144947,2.9,48,40.04,40.95,42.74,41.0597916666667,0.651321045729316,0.752499999999998,48,25.6,26.2,27.4,26.2583333333333,0.459339643185104,0.524999999999999,48,62.3,98.2,143.6,103.958333333333,25.0068997570869,43.175,48,5.6,9.45,13.1,9.47291666666667,2.37771028632038,4.375,48,0.21,0.45,1.12,0.522916666666667,0.266386044722119,0.42,0,NA,NA,NA,NA,NA,NA,48,7.7,8.2,8.4,8.13333333333333,0.217660025096072,0.300000000000001,48,4,7.5,17,8.54166666666667,3.74142044554667,6.25,48,0,48,0
"noczbwq",2002-03-05,48,5.7,9.8,12.7,9.68958333333333,1.88038470298119,3.2,48,40.91,41.55,42.2,41.6775,0.378398079253818,0.702500000000008,48,25.9,26.5,26.9,26.5708333333333,0.209313298042883,0.400000000000002,48,84.4,125.7,228.4,128.547916666667,37.6894419979995,66.85,48,8.4,11.95,21.4,12.2416666666667,3.2587579759932,5.525,48,0.31,0.55,1.09,0.601875,0.231200900480467,0.36,0,NA,NA,NA,NA,NA,NA,48,8.1,8.3,8.7,8.35,0.176249339820704,0.300000000000001,48,2,3,7,3.33333333333333,1.13612505554801,1,48,0,48,0
"noczbwq",2002-03-06,48,7.5,13.1,15.6,11.79375,2.74089644055961,5.05,48,40.29,40.78,41.66,40.7852083333333,0.225784585563351,0.177500000000009,48,25.6,26,26.4,26.025,0.129647640311338,0.100000000000001,48,96.5,138.8,243.4,148.0625,44.6662642222793,72.7,48,9.7,12.55,21.3,13.46875,3.4495856211213,5.35,48,0.22,0.52,1.17,0.582291666666667,0.250380472892104,0.335,0,NA,NA,NA,NA,NA,NA,48,8.3,8.4,8.7,8.4375,0.146773816437024,0.225,48,2,3,5,2.75,0.699543924373345,1,48,0,48,0
"noczbwq",2002-03-07,48,10.8,16.35,21.1,15.3583333333333,3.0830927642398,5.525,48,39.66,40.125,41.04,40.2495833333333,0.352377688653798,0.354999999999997,48,25.4,25.7,26.2,25.7375,0.216966513741422,0.199999999999999,48,85.3,154.75,329.2,168.039583333333,60.5953749361491,75.55,48,7.9,12.9,25.3,14.15625,4.27381469196742,5.525,48,0.21,0.455,1.03,0.507083333333333,0.223644458844013,0.3125,0,NA,NA,NA,NA,NA,NA,48,8.2,8.5,9,8.54791666666667,0.204200134758675,0.299999999999999,48,1,3,6,2.77083333333333,1.05668255128227,1,48,0,48,0
"noczbwq",2002-03-08,48,13.3,17.9,21.6,17.125,2.47063606247288,4.425,48,38.97,39.845,40.37,39.7985416666667,0.38467996968651,0.627499999999998,48,24.9,25.45,25.8,25.4479166666667,0.273658883278368,0.424999999999997,48,77.4,128.55,269.5,139.266666666667,46.944976090545,45.75,48,6.3,10.55,20.5,11.4229166666667,3.39400219306423,3.075,48,0.21,0.46,1.02,0.507916666666667,0.223215937177275,0.3175,0,NA,NA,NA,NA,NA,NA,48,8.2,8.6,9.1,8.61458333333333,0.218300576829223,0.325000000000001,48,1,3,11,3.27083333333333,1.91010285267611,2,48,0,48,0
"noczbwq",2002-03-09,48,16,18.5,23.8,18.8479166666667,2.34175689485692,4,48,33.9,37.27,40.29,37.2702083333333,1.9887518694465,2.9475,48,21.3,23.6,25.8,23.6729166666667,1.39874405417075,2.025,48,36,99.35,275.7,120.789583333333,64.4438110511895,61.45,48,3,8.2,20.4,9.62291666666667,4.70329172114429,4.675,48,0.22,0.52,1.11,0.554791666666667,0.257177722996518,0.42,0,NA,NA,NA,NA,NA,NA,48,8,8.4,9.2,8.525,0.288429348995039,0.324999999999999,48,2,5,12,5.47916666666667,2.3967139146449,3,48,0,48,6
"noczbwq",2002-03-10,48,17.4,18.5,22.6,19.1125,1.42673932671073,1.3,48,33.93,36.055,37.99,36.0208333333333,1.0162108035064,1.7425,48,21.4,22.8,24.2,22.7979166666667,0.703332366978597,1.2,48,53.2,99.8,205.9,114.610416666667,46.1294904500841,70.125,48,4.4,8.25,15.6,9.175,3.40384638501298,5.425,48,0.2,0.5,1.08,0.539375,0.26666902148783,0.4375,0,NA,NA,NA,NA,NA,NA,48,7.9,8.4,8.9,8.45,0.269751658839772,0.424999999999999,48,3,8,45,11.0833333333333,8.83135934052162,4.5,48,0,48,3
"noczbwq",2002-03-11,48,10.6,14.5,18.1,14.5541666666667,1.92375500865711,2.25,48,33.99,34.75,36.27,34.9075,0.635199750790454,1.055,48,21.4,21.9,23,21.9958333333333,0.442410386806876,0.725000000000001,48,41.4,95.6,238.8,111.4125,48.4049611709115,53.45,48,3.8,8.65,19.8,9.84166666666667,3.96199140414575,4.5,48,0.22,0.55,1.13,0.5875,0.280292400516379,0.47,0,NA,NA,NA,NA,NA,NA,48,7.8,8.4,9.2,8.46666666666667,0.29124336050022,0.299999999999999,48,3,6,15,6.3125,3.0677197158996,3.25,48,0,48,3
"noczbwq",2002-03-12,48,12.8,14.05,16.2,14.3458333333333,0.973906005629608,1.6,48,31.51,33.785,34.84,33.5422916666667,0.967110721253322,1.4125,48,19.7,21.25,21.9,21.05625,0.662331873488131,0.975000000000005,48,48.7,90.7,200.8,98.675,35.3030557414065,22.55,48,4.5,8.15,17.5,8.82708333333333,3.02364719765493,1.9,48,0.23,0.57,1.23,0.617083333333333,0.302598380930639,0.4925,0,NA,NA,NA,NA,NA,NA,48,8,8.2,8.8,8.26666666666667,0.206627770304461,0.125000000000002,48,2,6,14,6.3125,2.93298373964488,4,48,0,48,2
"noczbwq",2002-03-13,48,14.9,15.65,18.9,16.2229166666667,1.21326701264463,1.825,48,19.36,29.875,32.22,28.706875,3.59180874025828,4.395,48,11.6,18.55,20.2,17.7875,2.40351028750194,2.95,48,68.4,86.2,113.7,87.7770833333333,12.5663048205895,17.5,48,5.9,7.65,9.8,7.73333333333333,1.03765966899195,1.375,48,0.16,0.49,1.08,0.536041666666667,0.282411647515612,0.4925,0,NA,NA,NA,NA,NA,NA,48,7.5,8.05,8.3,8.00833333333333,0.199822616373083,0.199999999999999,48,5,18,260,54.6041666666667,66.7241828575981,66.25,48,0,48,0
"noczbwq",2002-03-14,47,14.8,16.6,18,16.2936170212766,0.927456609864978,1.55,47,28.16,32.15,33.69,31.1412765957447,1.97530472830339,3.65,47,17.4,20.1,21.2,19.431914893617,1.34554116848118,2.5,47,31.4,76.7,133.1,80.8127659574468,27.9684264299187,44.05,47,2.9,6.8,11.3,7.03191489361702,2.3561304296017,3.75,47,0.13,0.44,1.08,0.51468085106383,0.288992636161861,0.505,0,NA,NA,NA,NA,NA,NA,47,7.3,7.8,8.3,7.83191489361702,0.288252895440583,0.5,47,4,7,17,8.02127659574468,2.85512020383615,3,47,0,47,10
"noczbwq",2002-03-15,48,16.5,17.45,20.6,18.1375,1.55599390142654,2.8,48,28.14,33.75,34.43,32.2227083333333,2.42148252425002,4.8225,48,17.4,21.2,21.7,20.1729166666667,1.65911275742307,3.325,48,0.4,18.95,166.6,50.61875,58.5158740283171,86.275,48,0,1.6,13.5,4.14791666666667,4.75381099452126,6.975,48,0.27,0.545,1.14,0.617708333333333,0.27234395948782,0.4975,0,NA,NA,NA,NA,NA,NA,48,7,7.8,8.4,7.70833333333333,0.406245567351704,0.724999999999999,48,3,5,11,5.02083333333333,1.50869230867977,2,48,26,48,31
"noczbwq",2002-03-16,48,17.2,19.3,21.7,19.3375,1.18494546063557,1.525,48,29.39,31.625,32.59,31.2433333333333,0.885460172064253,1.2375,48,18.2,19.75,20.4,19.4895833333333,0.603620136761147,0.824999999999996,48,9,74.65,124.6,65.2041666666667,37.6247143670975,73.85,48,0.8,6.15,10,5.31041666666667,3.00327761261588,5.85,48,0.25,0.525,1.05,0.581458333333333,0.25047180657017,0.41,0,NA,NA,NA,NA,NA,NA,48,7.1,7.8,8.2,7.73125,0.279175267148138,0.6,48,3,10,202,19.75,35.081364392788,11.5,48,10,48,20
"noczbwq",2002-03-17,48,17,18.1,19.6,18.2541666666667,0.748888064622033,0.600000000000001,48,32.63,33.555,34.41,33.5695833333333,0.647853931308638,1.3225,48,20.4,21.1,21.7,21.1,0.45288672201636,1,48,0.4,49.35,121.6,45.8395833333333,35.9223378591859,65.525,48,0,4.2,10.3,3.82708333333333,3.02245071644408,5.45,48,0.27,0.51,1.17,0.568125,0.248883945012744,0.4025,0,NA,NA,NA,NA,NA,NA,48,7.3,7.7,7.9,7.68125,0.189799726475601,0.3,48,3,5.5,21,6.45833333333333,3.98378806864604,3,48,17,48,28
"noczbwq",2002-03-18,48,16.1,17.3,18.7,17.3458333333333,0.813962813028278,1.2,48,34.25,34.675,35.31,34.7454166666667,0.392476904501877,0.792499999999997,48,21.6,21.85,22.3,21.9229166666667,0.26915121379352,0.5,48,0.4,10.55,196.1,36.9895833333333,55.1549007856397,48.525,48,0,0.9,16.1,3.07916666666667,4.58131999622395,3.975,48,0.3,0.565,1.1,0.619166666666667,0.24454763564445,0.4025,0,NA,NA,NA,NA,NA,NA,48,7.2,7.7,8.3,7.77083333333333,0.329382616119033,0.525,48,3,4,10,4.5,1.6111314908632,2,48,31,48,39
"noczbwq",2002-03-19,48,15,16.2,17.6,16.3270833333333,0.793253355823235,1.025,48,34.37,34.96,35.26,34.9283333333333,0.217444865433852,0.272500000000001,48,21.7,22.1,22.3,22.0375,0.149644969916388,0.125,48,0.4,42.85,139.8,41.14375,30.6835315607991,44.875,48,0,3.7,12.2,3.55416666666667,2.67032218418974,3.8,48,0.33,0.595,1.2,0.646875,0.25493558844406,0.4225,0,NA,NA,NA,NA,NA,NA,48,7.4,7.8,8.1,7.78125,0.151104092626608,0.2,48,2,5,21,5.5,2.9822167964916,3,48,16,48,32
"noczbwq",2002-03-20,48,15.3,17,19.3,16.94375,1.42663213734976,2.825,48,34.84,35.345,35.7,35.3010416666667,0.251482748304999,0.412500000000001,48,22,22.3,22.6,22.2916666666667,0.181990569469647,0.299999999999997,48,5.2,66.45,115.1,58.2645833333333,36.2310228511972,70.4,48,0.5,5.5,9.5,4.86041666666667,2.96150763670626,5.625,48,0.35,0.705,1.36,0.748958333333333,0.294786179872754,0.48,0,NA,NA,NA,NA,NA,NA,48,7.2,7.6,7.8,7.5625,0.196376754701859,0.325,48,3,12,882,106.833333333333,230.805558151789,23.5,48,13,48,22
"noczbwq",2002-03-21,48,14.9,16.7,18.5,16.9604166666667,0.983640563857168,1.525,48,35.07,35.27,36.07,35.4241666666667,0.280939406909409,0.529999999999994,48,22.1,22.3,22.8,22.38125,0.192028643696716,0.400000000000002,48,4.6,58.35,133,59.6666666666667,35.9259719561337,65.275,48,0.4,4.85,11.5,5.0875,3.10994458457847,5.7,48,0.27,0.585,1.18,0.635,0.265682581368356,0.4525,0,NA,NA,NA,NA,NA,NA,48,7.2,7.6,7.9,7.58333333333333,0.17422574416279,0.2,48,4,8.5,64,10.3125,8.78624711113182,5,48,9,48,24
"noczbwq",2002-03-22,48,12.9,15,15.6,14.7333333333333,0.820050162797097,1.1,48,35.04,35.78,36.02,35.7358333333333,0.177857620959388,0.127499999999998,48,22.1,22.6,22.8,22.5791666666667,0.130397646064991,0.0249999999999986,48,3.3,75,202.1,86.15625,53.067960868538,78.65,48,0.3,6.75,17.6,7.62083333333333,4.6804236184588,7.1,48,0.35,0.72,1.36,0.760833333333333,0.302161245760796,0.545,0,NA,NA,NA,NA,NA,NA,48,7.2,8,8.4,7.84375,0.408893811320458,0.799999999999999,48,2,3,13,3.83333333333333,1.8603743998995,2,48,6,48,16
"noczbwq",2002-03-23,48,11,13.9,15.9,13.9083333333333,1.3417729353095,2.4,48,35.03,35.71,36.11,35.6875,0.25931579367841,0.257500000000007,48,22,22.55,22.8,22.5354166666667,0.18735514499103,0.199999999999999,48,0.5,22.25,116.2,35.4354166666667,32.6853502845992,48.725,48,0,2,10,3.12708333333333,2.82471912242038,4.25,48,0.38,0.72,1.43,0.784583333333333,0.293133898192453,0.48,0,NA,NA,NA,NA,NA,NA,48,7.2,7.75,8.4,7.74583333333333,0.400509427377733,0.649999999999999,48,3,4,12,4.83333333333333,1.75442702452885,2,48,22,48,36
"noczbwq",2002-03-24,48,12.6,15.25,18.9,15.6645833333333,2.09594233956475,4.125,48,34.79,35.18,35.63,35.2233333333333,0.218752102320192,0.332499999999996,48,21.9,22.2,22.5,22.2375,0.156592709267528,0.299999999999997,48,0.6,37.5,152.7,49.84375,46.2360543955021,78.925,48,0.1,3.3,12.7,4.21666666666667,3.80236954863637,6.6,48,0.35,0.645,1.28,0.708958333333333,0.277383209721607,0.445,0,NA,NA,NA,NA,NA,NA,48,7.5,8,8.5,7.91458333333333,0.290260032599775,0.525,48,2,4,9,3.97916666666667,1.24609318550033,2,48,17,48,33
"noczbwq",2002-03-25,48,15.6,17.35,21.9,18.46875,2.36689546641506,4.75,48,35.19,35.555,35.8,35.5266666666667,0.145460871880472,0.202500000000008,48,22.2,22.5,22.6,22.4458333333333,0.105100424788772,0.100000000000001,48,0.4,10.25,120.7,29.9375,36.1811613435806,55.25,48,0,0.8,9.3,2.3875,2.83576137098866,4.625,48,0.3,0.635,1.3,0.691458333333333,0.295958519112833,0.485,0,NA,NA,NA,NA,NA,NA,48,7.5,8.1,8.6,8.02083333333333,0.298904619621721,0.399999999999999,48,2,4,8,3.8125,1.49689394726604,2,48,28,48,38
"noczbwq",2002-03-26,48,18.7,20.1,21.1,20.0020833333333,0.721844441111186,1.125,48,34.95,35.58,36.07,35.5233333333333,0.316646882547342,0.450000000000003,48,22.1,22.5,22.8,22.4479166666667,0.216342501636143,0.300000000000001,48,0.3,22.6,149,38.78125,46.5980214001008,56.05,48,0,1.8,11.6,3.04375,3.65460398937408,4.475,48,0.31,0.685,1.34,0.728958333333333,0.332714429870379,0.595,0,NA,NA,NA,NA,NA,NA,48,7.4,7.8,8.2,7.8125,0.203819903815818,0.2,48,3,6,17,6.77083333333333,3.55647197483706,5,48,25,48,36
"noczbwq",2002-03-27,48,18.8,19.35,21.2,19.3895833333333,0.49389445996959,0.625,48,34.55,35.15,37.04,35.5110416666667,0.764558667254358,0.755000000000003,48,21.8,22.2,23.5,22.4375,0.528999457024215,0.474999999999998,48,0.5,29,129.6,37.8395833333333,32.458521744917,52,48,0,2.35,10.2,3.04791666666667,2.58802393879991,4.175,48,0.28,0.67,1.48,0.760416666666667,0.393202661910284,0.675,0,NA,NA,NA,NA,NA,NA,48,7.2,7.5,8,7.50416666666667,0.176199033172092,0.199999999999999,48,3,6.5,36,9.27083333333333,7.35350425461868,6.25,48,21,48,35
"noczbwq",2002-03-28,48,15.4,17.4,18.8,17.15,0.968218368195232,1.7,48,36.39,40.595,42.05,40.3354166666667,1.46464861566721,0.785000000000004,48,23.1,26,27,25.8354166666667,1.02821671350405,0.5,48,0.5,24.7,141.9,32.3395833333333,30.5774269375395,42.775,48,0,2.05,11.7,2.68125,2.52221249125918,3.6,48,0.33,0.75,1.71,0.878125,0.447535360542796,0.7675,0,NA,NA,NA,NA,NA,NA,48,7.2,7.5,8.4,7.58541666666667,0.248390207205238,0.3,48,3,5,14,5.47916666666667,2.80569014025437,3,48,24,48,40
"noczbwq",2002-03-29,48,15.2,16.75,19.6,17.0854166666667,1.29401068484084,2.2,48,37.94,39.435,40.26,39.3627083333333,0.38540798820975,0.542500000000004,48,24.1,25.2,25.8,25.1520833333333,0.27828470293303,0.300000000000001,48,0.3,0.5,125.5,21.7291666666667,37.1018893728535,26.675,48,0,0,10,1.74583333333333,3.01224157244736,2.25,48,0.38,0.835,1.8,0.940208333333333,0.459669120514539,0.8025,0,NA,NA,NA,NA,NA,NA,48,7.1,7.4,7.8,7.40625,0.227293277600885,0.399999999999999,48,3,5,32,6.66666666666667,5.3884562717821,2.25,48,35,48,38
"noczbwq",2002-03-30,48,18.2,18.65,20.3,19.0666666666667,0.790995422784006,1.625,48,38.56,38.89,39.83,38.9322916666667,0.232509341686804,0.189999999999998,48,24.6,24.8,25.5,24.8375,0.167109341195798,0.0999999999999979,48,34.7,75.9,116.5,75.1833333333333,21.9471544545639,33.625,48,2.8,6.1,9.1,5.98958333333333,1.67309619763026,2.55,48,0.39,0.83,1.64,0.913958333333333,0.407894122595836,0.7,0,NA,NA,NA,NA,NA,NA,48,7.1,7.4,7.7,7.41875,0.169675848655668,0.325,48,5,10,80,17.125,17.5676503956998,11.25,48,0,48,13
"noczbwq",2002-03-31,48,19.3,20,22.4,20.5541666666667,1.19109431774267,2.225,48,38.58,39.24,39.84,39.3277083333333,0.277467572062213,0.412500000000001,48,24.6,25.05,25.5,25.11875,0.205929392981228,0.300000000000001,48,0.5,62.05,138.1,63.0083333333333,44.8300992795961,78.675,48,0,4.9,10.4,4.83125,3.39061007816111,5.975,48,0.32,0.735,1.59,0.818541666666667,0.380268603743338,0.6375,0,NA,NA,NA,NA,NA,NA,48,7,7.5,7.9,7.45416666666667,0.248363437653614,0.5,46,3,7,601,24.6086956521739,88.2545505936271,6.5,48,14,48,24
"noczbwq",2002-04-01,48,20,20.8,21.4,20.83125,0.37877532216454,0.625,48,37.71,38.615,39.81,38.795625,0.448353518620714,0.557499999999997,48,24,24.6,25.5,24.7416666666667,0.313411790388635,0.349999999999994,48,0.5,16.2,94.5,28.3375,29.7670718047608,50.75,48,0,1.25,7.4,2.19375,2.30848630980415,3.875,48,0.32,0.645,1.52,0.728958333333333,0.336687490578514,0.555,0,NA,NA,NA,NA,NA,NA,48,6.9,7.4,7.7,7.34166666666667,0.220090245835786,0.324999999999999,47,3,7,48,9.1063829787234,7.34916156872213,5.5,48,27,48,39
"noczbwq",2002-04-02,48,18.6,20.6,21.2,20.3458333333333,0.781149816271496,0.899999999999999,48,37.89,38.62,38.75,38.49,0.274699061643984,0.247499999999995,48,24.1,24.6,24.7,24.5229166666667,0.197041504790054,0.224999999999998,48,0.2,0.5,78.1,5.90208333333333,13.6146118248683,2.725,48,0,0,6.1,0.439583333333333,1.06506209654815,0.2,48,0.37,0.7,1.54,0.773125,0.324864333386081,0.53,0,NA,NA,NA,NA,NA,NA,48,7,7.2,7.7,7.25,0.186798332490621,0.300000000000001,48,2,5,17,6.22916666666667,3.21723803399374,3,48,44,48,47
"noczbwq",2002-04-03,48,20.5,21.45,23.6,21.825,1.01844687762946,1.825,48,37.63,38.14,38.94,38.15625,0.264137496431833,0.360000000000007,48,23.9,24.3,24.8,24.2791666666667,0.185608067200564,0.199999999999999,48,0.3,17.3,89.1,30.43125,31.7978666235411,60.125,48,0,1.3,6.6,2.275,2.38982773348722,4.625,48,0.37,0.665,1.49,0.755208333333333,0.327589452349706,0.505,0,NA,NA,NA,NA,NA,NA,48,7,7.35,7.7,7.41875,0.220884344436226,0.35,48,3,7.5,216,40.1875,60.6916364422855,47.75,48,26,48,38
