"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"owcsuwq",2002-03-12,56,2.9,4.7,5.6,4.60714285714286,0.738021222374618,0.825,56,0.72,0.73,0.74,0.730714285714286,0.00709856396671964,0.01,56,0.4,0.4,0.4,0.4,0,0,56,98.3,126.3,136.4,122.6125,13.0922747867171,21.325,56,13.1,16.25,17.3,15.7642857142857,1.4311379542713,2.375,56,0.08,0.095,0.12,0.0978571428571429,0.0169184445571621,0.0325,56,8,8.3,8.4,8.26964285714286,0.132005017614198,0.225000000000001,56,4,7.5,351,22.125,51.7880514474842,15.75,56,0,56,0
"owcsuwq",2002-03-13,96,4.2,5.25,8.6,6.00625,1.63371146714918,3.2,96,0.71,0.72,0.74,0.723854166666667,0.0131685264065232,0.03,96,0.4,0.4,0.4,0.4,0,0,96,96.6,117.25,144.7,119.541666666667,15.7777636108988,27.325,96,12.4,14.95,16.9,14.809375,1.44244515539267,2.225,96,0.08,0.1,0.12,0.0970833333333333,0.01160006049591,0.01,96,8.1,8.3,8.4,8.26770833333333,0.10612285994784,0.200000000000001,96,3,4,20,5.88541666666667,3.73284085880888,2,96,0,96,0
"owcsuwq",2002-03-14,96,6.4,7.5,9.4,7.70104166666667,1.00341467438539,1.8,96,0.68,0.69,0.71,0.696145833333333,0.0125127128336001,0.0299999999999999,96,0.3,0.3,0.4,0.3375,0.0486664263392288,0.1,96,92.9,116.25,140.3,117.830208333333,16.4210142631271,32.3,96,11.4,13.9,16.4,14.0083333333333,1.69026106153468,3.25,96,0.09,0.17,0.24,0.156666666666667,0.0519851530761512,0.1,96,8.2,8.3,8.5,8.33229166666667,0.13649352532681,0.300000000000001,96,6,10,43,11.90625,4.89269729720788,5,96,0,96,0
"owcsuwq",2002-03-15,96,7.4,8.85,10.7,8.91145833333333,1.25403515368058,2.6,96,0.67,0.69,0.7,0.690520833333333,0.00944455194297263,0.0199999999999999,96,0.3,0.3,0.3,0.3,0,0,96,104.3,115.8,134.3,115.516666666667,7.54288324974597,11.925,96,12,13.3,16,13.3739583333333,1.00107781827669,1.1,96,0.24,0.29,0.33,0.287083333333333,0.0262344356530703,0.05,96,8.3,8.3,8.5,8.32916666666667,0.0521468910445677,0.0999999999999996,96,10,13,79,15.6979166666667,10.143309738746,4,96,0,96,0
"owcsuwq",2002-03-16,96,6.6,8,9.8,8.11458333333333,0.762127101800117,0.825000000000001,96,0.69,0.72,0.79,0.723958333333333,0.0256896115258849,0.04,96,0.3,0.4,0.4,0.375,0.0435285750066007,0.025,96,87.9,104.3,117.3,101.963541666667,8.56890485899197,14.125,96,10.5,12.2,13.4,12.0166666666667,0.927437518583971,1.7,96,0.33,0.37,0.4,0.3665625,0.0203044265331997,0.0325000000000001,96,8.1,8.2,8.3,8.17708333333333,0.0640380917343926,0.0999999999999996,96,12,13.5,90,14.9270833333333,8.17215399250363,1,96,0,96,0
"owcsuwq",2002-03-17,96,4.9,5.8,6.5,5.63125,0.423348183190298,0.600000000000001,96,0.71,0.76,0.81,0.761458333333333,0.0356290587100109,0.0700000000000001,96,0.4,0.4,0.4,0.4,0,0,96,105.7,110.55,114.4,110.03125,2.38633444958228,3.75,96,13.4,13.8,14.3,13.7979166666667,0.217632798740721,0.4,96,0.4,0.43,0.47,0.4315625,0.0230481475451533,0.04,96,8.2,8.3,8.3,8.271875,0.0451969374835817,0.100000000000001,96,5,6,21,8.17708333333333,3.59822994984059,4.25,96,0,96,0
"owcsuwq",2002-03-18,96,5.5,5.7,6.5,5.86145833333333,0.372860857825336,0.8,96,0.71,0.72,0.73,0.7209375,0.00782413607136008,0.02,96,0.4,0.4,0.4,0.4,0,0,96,108,112.3,115.2,112.397916666667,1.54197270551764,2.24999999999997,96,13.5,14,14.4,14.0166666666667,0.136626010212794,0.125,96,0.47,0.49,0.51,0.49,0.0138412046935381,0.02,96,8.2,8.2,8.2,8.2,0,0,96,4,5,39,7.15625,5.78624162174923,3.25,96,0,96,0
"owcsuwq",2002-03-19,96,5.4,5.9,6.2,5.85520833333333,0.23163937110434,0.4,96,0.71,0.72,0.72,0.716041666666667,0.00491596040125088,0.01,96,0.4,0.4,0.4,0.4,0,0,96,105.8,113.3,120,114.001041666667,3.57351352362192,6.05000000000001,96,13.2,14.15,14.9,14.2197916666667,0.397788568983619,0.625,96,0.51,0.53,0.55,0.5315625,0.0127591556394449,0.02,96,8.2,8.2,8.3,8.23541666666667,0.0480770580295009,0.100000000000001,96,5,6,12,5.94791666666667,1.30076731740734,1,96,0,96,0
"owcsuwq",2002-03-20,96,5.7,5.8,6,5.80520833333333,0.0838165812846457,0.124999999999999,96,0.7,0.72,0.74,0.719791666666667,0.0128946473323066,0.02,96,0.3,0.4,0.4,0.376041666666667,0.0429069781262888,0,96,102.5,110.7,114.9,110.23125,3.41166150292293,6.25,96,12.8,13.8,14.4,13.7677083333333,0.416121134101134,0.799999999999999,96,0.55,0.58,0.6,0.5765625,0.0150667375017742,0.0299999999999999,96,8.1,8.2,8.3,8.18125,0.0653935454725748,0.0999999999999996,96,5,12,23,12.0104166666667,4.46623541385022,7,96,0,96,0
"owcsuwq",2002-03-21,96,3.9,5.2,5.7,5.13645833333333,0.416279205813817,0.325000000000001,96,0.71,0.755,0.8,0.754270833333333,0.0339890010589081,0.0700000000000001,96,0.4,0.4,0.4,0.4,0,0,96,93.5,103.6,106.9,103.629166666667,1.68503735186879,1.45000000000002,96,11.8,13.1,13.6,13.1697916666667,0.278764111435747,0.5,96,0.6,0.63,0.66,0.63125,0.0177259844949664,0.03,96,8,8.1,8.2,8.10625,0.0283307532364984,0,96,6,8,176,13.9583333333333,19.2588553338959,6,96,0,96,0
