"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"pdbbpwq",2002-01-01,48,4.9,7.3,7.6,6.875,0.804640794709439,0.925000000000001,48,45.02,45.78,46.03,45.6764583333333,0.30091696446619,0.5,48,28.7,29.3,29.5,29.2020833333333,0.280947926827468,0.424999999999997,48,86.1,87.85,100.5,89.5020833333333,3.94253885062056,4.45,48,8.6,8.8,10.2,9.01458333333333,0.481570826559197,0.6,48,0.5,3.525,4.14,2.93520833333333,1.14118450889124,1.7025,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8.1,7.99583333333333,0.0354804910933733,0,48,2,3,32,6.4375,7.44027639042781,3.5,48,0,48,0
"pdbbpwq",2002-01-02,48,6.6,7.8,8.1,7.67083333333333,0.451926530148964,0.3,48,44.37,45.92,46.25,45.7902083333333,0.50373705393146,0.390000000000001,48,28.3,29.5,29.7,29.3604166666667,0.400393202130177,0.300000000000001,48,90.3,97.3,102.4,96.5416666666667,3.47592530667571,6.2,48,8.9,9.5,10.4,9.52708333333333,0.397727364833737,0.525,48,0.69,3.48,4.29,3.01020833333333,1.09376665134235,1.5325,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.1,8.05833333333333,0.0498223795452012,0.0999999999999996,48,4,13,139,17.8125,21.0406458217362,13,48,0,48,0
"pdbbpwq",2002-01-03,48,7.3,7.8,7.9,7.7125,0.173358563357458,0.0999999999999996,48,44.79,45.505,46.11,45.465,0.312995139653652,0.357499999999995,48,28.7,29.1,29.6,29.125,0.221695593483977,0.199999999999999,48,94,99.05,102.2,98.5729166666667,2.4528524067049,4.075,48,9.2,9.75,10.2,9.725,0.264575131106459,0.4,48,0.95,3.22,4.3,2.95145833333333,0.9997765486163,1.27,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.1,8.09791666666667,0.0144337567297406,0,48,4,8,43,11.3541666666667,9.40006696067896,3.25,48,0,48,0
"pdbbpwq",2002-01-04,48,7.4,7.8,8,7.75833333333333,0.179637144115852,0.2,48,45.16,45.48,46.03,45.47875,0.1861779633645,0.232500000000009,48,28.9,29.15,29.5,29.1416666666667,0.13812318481847,0.0999999999999979,48,91.2,97.3,100.3,96.6041666666667,2.49816599395103,2.99999999999999,48,8.9,9.6,10,9.52708333333333,0.278093496701741,0.299999999999999,48,1.11,2.93,4.25,2.83645833333333,0.920380332076777,0.97,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.1,8.06875,0.0468417435218865,0.0999999999999996,48,2,3,22,5.08333333333333,4.88956045247829,1.25,48,0,48,0
"pdbbpwq",2002-01-05,48,7,7.7,7.9,7.61875,0.26630349827122,0.3,48,44.75,45.735,46.12,45.5895833333333,0.359934736006956,0.490000000000002,48,28.6,29.3,29.6,29.2083333333333,0.27431410271868,0.324999999999996,48,92.2,95.75,100.1,96.3395833333333,2.71581182434428,5.69999999999999,48,9.1,9.5,9.9,9.52083333333333,0.268928791756221,0.5,48,1.47,2.77,4.29,2.81333333333333,0.822782857870577,1.0375,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.1,8.05416666666667,0.0503533612870857,0.0999999999999996,48,2,3.5,14,5.52083333333333,3.64948019226833,5.25,48,0,48,0
"pdbbpwq",2002-01-06,48,7.6,7.8,8.5,7.95208333333333,0.268953514399425,0.325,48,45.25,45.75,46.33,45.8285416666667,0.299432012553508,0.495000000000012,48,29,29.35,29.7,29.4020833333333,0.197311270809988,0.300000000000001,48,96.9,100.65,101.7,100.291666666667,1.25898191448206,1.72499999999999,48,9.5,9.85,10,9.82708333333333,0.139512194743935,0.200000000000001,48,2.03,2.695,4.14,2.85770833333333,0.671619952003421,0.9925,0,NA,NA,NA,NA,NA,NA,48,8.1,8.1,8.1,8.1,0,0,48,5,9,28,11.4166666666667,7.05248811785474,8,48,0,48,0
"pdbbpwq",2002-01-07,48,8.5,8.8,9.5,8.91666666666667,0.319130023080258,0.425000000000001,48,41.74,45.205,45.93,44.51375,1.17918945295378,1.84249999999999,48,26.6,29,29.5,28.54375,0.814994126072032,1.3,48,97.9,100.15,102.3,100.147916666667,1.12684639655032,1.34999999999999,48,9.4,9.65,9.9,9.65833333333333,0.121748490896031,0.0999999999999996,48,1.9,2.89,4.23,2.98354166666667,0.71039841857972,0.8625,0,NA,NA,NA,NA,NA,NA,48,8.1,8.1,8.1,8.1,0,0,48,7,18,41,18.3125,8.43285431600082,13.5,48,0,48,0
"pdbbpwq",2002-01-08,48,8.7,9.1,9.3,9.0375,0.179390220089697,0.299999999999999,48,39.37,43.35,44.86,42.7070833333333,1.72981730474678,2.91,48,25,27.75,28.8,27.2854166666667,1.20795053853463,2.1,48,88.1,97.15,100.3,96.1541666666667,3.06635540356836,2.44999999999999,48,8.5,9.4,9.8,9.33125,0.324959080893763,0.425000000000001,48,1.43,3.245,4.24,3.02395833333333,0.868166911060882,1.24,0,NA,NA,NA,NA,NA,NA,48,8,8,8.1,8.04583333333333,0.0503533612870857,0.0999999999999996,48,2,6,21,6.5625,3.78634865935676,2.25,48,0,48,0
"pdbbpwq",2002-01-09,48,8.1,8.5,8.9,8.48333333333333,0.158896906673335,0.0999999999999996,48,35.54,44.69,45.37,43.23875,2.53623244202892,4.625,48,22.2,28.65,29.1,27.61875,1.78595659450246,3.2,48,87.4,92.45,98,92.55,2.78063210324865,4.55,48,8.5,9,9.9,9.06458333333333,0.348546882180883,0.6,48,1.1,3.4,3.96,2.930625,0.955729433469536,1.5325,0,NA,NA,NA,NA,NA,NA,48,8,8,8.1,8.00625,0.024462302739504,0,48,2,3,30,5.27083333333333,5.84093982285252,4,48,0,48,0
"pdbbpwq",2002-01-10,48,6.8,8.3,8.4,8.05416666666667,0.481998646300445,0.55,48,36.26,42.38,44.73,41.9620833333333,2.17835577104573,4.135,48,22.7,27,28.7,26.6833333333333,1.54552660354635,2.975,48,87.2,91.1,97.1,91.4916666666667,2.71080056741769,5.05,48,8.5,8.9,9.9,9.11458333333333,0.421239095866617,0.799999999999999,48,0.88,3.5,3.92,2.920625,1.03267140919157,1.4575,0,NA,NA,NA,NA,NA,NA,48,8,8,8,8,0,0,48,2,3,25,5.83333333333333,5.03744841411033,5.25,48,0,48,0
"pdbbpwq",2002-01-11,48,7.2,8.1,8.2,7.92083333333333,0.330672000071378,0.699999999999999,48,39.99,42.45,42.68,41.9454166666667,0.872082268062769,1.45750000000001,48,25.3,27,27.2,26.6708333333333,0.631768316452921,1.1,48,89.5,91.75,100.2,92.4083333333333,2.68096785741312,1.8,48,8.9,9.1,10.2,9.225,0.355802957661753,0.4,48,0.74,3.52,4,2.88875,1.08581496993556,1.6,0,NA,NA,NA,NA,NA,NA,48,8,8,8,8,0,0,48,1,2.5,39,7,9.34674821141875,4,48,0,48,0
"pdbbpwq",2002-01-12,48,6.6,8,8.1,7.7875,0.455521678957215,0.424999999999999,48,41.19,42.94,43.35,42.5870833333333,0.689004704098241,1.3625,48,26.1,27.4,27.7,27.10625,0.518757209639723,0.924999999999997,48,95.7,99.85,104.6,99.8083333333333,2.5711851173732,4.15000000000001,48,9.5,9.9,10.6,9.97083333333333,0.351869374537752,0.5,48,0.71,3.53,4.15,2.93791666666667,1.11723815692572,1.68,0,NA,NA,NA,NA,NA,NA,48,8,8.1,8.1,8.07291666666667,0.0449092860289628,0.0999999999999996,48,11,21.5,125,36.1041666666667,32.2300504573336,21.5,48,0,48,0
"pdbbpwq",2002-01-13,48,6.2,7.75,8,7.46875,0.52558225058278,0.7,48,36.64,41.58,42.22,40.6304166666667,1.90930973194039,2.175,48,22.9,26.4,26.9,25.7270833333333,1.35281260725742,1.525,48,83.8,94.95,103.2,95.1604166666667,4.31512626887233,6.22499999999999,48,8.4,9.5,10.7,9.66666666666667,0.583581507491905,1.025,48,0.68,3.395,4.06,2.82770833333333,1.06916598950798,1.57,0,NA,NA,NA,NA,NA,NA,48,8,8,8.1,8.03333333333333,0.0476393067340329,0.0999999999999996,48,3,6,218,14.3958333333333,31.6884700041778,6.25,48,0,48,0
"pdbbpwq",2002-01-14,48,4.9,7.75,7.9,7.26666666666667,0.850615129944665,1.125,48,36.82,42.605,43.09,41.5772916666667,1.96124118275911,2.0775,48,23,27.1,27.5,26.36875,1.41544012401827,1.525,48,89.7,93,102.8,95.2020833333333,4.24497147239159,6.22499999999998,48,8.9,9.3,11,9.67916666666667,0.682909399720747,1.2,48,0.74,3.31,4.06,2.80791666666667,1.04082201215813,1.525,0,NA,NA,NA,NA,NA,NA,48,8,8,8.1,8.03541666666667,0.0483321105250061,0.0999999999999996,48,3,7.5,28,11,7.87400787401181,11.25,48,0,48,0
