"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"pdbjlwq",2002-01-03,17,8.2,8.3,8.6,8.33529411764706,0.149754701389423,0.200000000000001,17,0.42,8.43,10.25,6.41117647058824,3.55015119810576,4.57,17,0.2,4.7,5.8,3.55294117647059,2.0180800427197,2.7,17,43.5,63.7,65,58.4705882352941,8.75448204534985,13.2,17,5.1,7.3,7.4,6.71176470588235,0.943982489867514,1.4,17,0.79,1.5,1.65,1.40529411764706,0.271365013567032,0.26,17,7,7.1,7.3,7.09411764705882,0.0899346167730626,0.0999999999999996,17,51,58,62,57.7058823529412,2.95306421117017,4,17,0,17,0
"pdbjlwq",2002-01-04,48,8.5,8.75,8.9,8.74583333333333,0.118426444238758,0.100000000000001,48,0.36,2.065,12.44,3.948125,4.10699644677589,6.5075,48,0.2,1.1,7.1,2.1875,2.34026957894334,3.625,48,39.6,50.1,55.4,49.6520833333333,3.60849998796183,1.87500000000001,48,4.6,5.8,6.3,5.69791666666667,0.396521890857337,0.300000000000001,48,0.47,1.155,1.41,1.02104166666667,0.318294922676153,0.5775,48,6.9,7,7.1,6.99375,0.0319990026440319,0,48,33,49,65,48.4583333333333,7.26096627217575,10.25,48,0,48,4
"pdbjlwq",2002-01-05,48,8.2,8.4,8.8,8.45625,0.142778283705444,0.199999999999999,48,0.38,0.68,7.8,2.02,2.410083427531,2.1825,48,0.2,0.3,4.3,1.075,1.33440559721261,1.2,48,40.1,48.9,57.6,48.8083333333333,3.82454743996821,4.84999999999999,48,4.7,5.75,6.6,5.68333333333333,0.431392270190533,0.525,48,0.39,0.93,1.25,0.876875,0.26738414671572,0.395,48,6.9,7,7,6.99375,0.024462302739504,0,48,37,48,83,50.6458333333333,10.8735274539029,10.25,48,0,48,3
"pdbjlwq",2002-01-06,48,8.3,8.6,9.2,8.61666666666667,0.303408532491511,0.35,48,0.4,0.64,9.08,2.3625,2.77889500463917,4.2075,48,0.2,0.3,5.1,1.26875,1.54935212952918,2.25,48,48.6,53.15,61.7,54.1104166666667,3.67245292154888,4.95,48,5.7,6.2,7.1,6.2625,0.381277248764638,0.5,48,0.5,0.9,1.23,0.897916666666667,0.218222591155866,0.36,48,7,7,7.1,7.03541666666667,0.0483321105250061,0.0999999999999996,48,36,44,54,44.5625,3.95133292888534,3,48,0,48,0
"pdbjlwq",2002-01-07,48,9.3,10,11.2,10.1104166666667,0.669149852292216,1.25,48,0.37,7.275,16.19,7.39375,6.0744153470528,13.01,48,0.2,4,9.5,4.225,3.57512088770466,7.675,48,54.1,60.35,75.7,63.0583333333333,6.47380427909059,9.77500000000001,48,6.1,6.75,8,6.9125,0.566296291142457,0.9,48,0.44,1.12,1.44,1.0425,0.297768294898581,0.425,48,7,7.1,7.3,7.12291666666667,0.0778421297442495,0.100000000000001,48,35,46,71,47.7083333333333,8.73232764498051,7,48,0,48,0
"pdbjlwq",2002-01-08,48,10.2,10.8,11.2,10.7979166666667,0.238336061086409,0.300000000000001,48,0.36,9,17.2,8.01479166666667,6.45001335627294,14.1575,48,0.2,5.05,10.1,4.61666666666667,3.7843649982152,8.3,48,40.4,64.5,69.1,59.8729166666667,9.44920889592696,18.025,48,4.5,6.9,7.2,6.43333333333333,0.869417347896104,1.6,48,0.47,1.16,1.63,1.10479166666667,0.371122446865419,0.5925,48,7,7.1,7.2,7.1125,0.0841098572410297,0.2,48,26,44,89,47.875,15.0271031735073,16.25,48,0,48,4
"pdbjlwq",2002-01-09,48,9,9.8,10.2,9.7875,0.289258038377428,0.250000000000002,48,0.35,2.995,10.12,3.935,3.69818932118397,6.98,48,0.2,1.6,5.7,2.17083333333333,2.08009393541298,3.85,48,26.8,48.95,53.1,45.5583333333333,8.16040866032738,10.55,48,3.1,5.5,5.8,5.09166666666667,0.864878132685272,1,48,0.43,1.225,1.64,1.12291666666667,0.401518173899552,0.6775,48,6.9,7,7.1,6.975,0.0483779446846895,0.0999999999999996,48,34,47,73,48.9791666666667,9.12207885818992,6.5,48,0,48,15
"pdbjlwq",2002-01-10,48,8.3,8.5,9,8.55,0.179834439226514,0.225,48,0.35,0.9,9.62,3.625625,3.60439265474427,7.1725,48,0.2,0.45,5.4,2,2.01631642231412,3.975,48,35.3,44.45,48.3,43.4,3.999468049735,6.45,48,4.1,5.1,5.6,5.0125,0.44940859482923,0.725,48,0.48,1.095,1.61,1.06229166666667,0.366932306258098,0.685,48,6.9,7,7,6.96875,0.0468417435218865,0.0999999999999996,48,37,45,65,46.2083333333333,6.13659526272018,3.5,48,0,48,17
"pdbjlwq",2002-01-11,48,8,8.2,8.6,8.21458333333333,0.214366541662633,0.4,48,0.36,1.075,9.75,3.42979166666667,3.425128970756,6.4575,48,0.2,0.55,5.5,1.88333333333333,1.90891896926131,3.55,48,36.8,43.45,49.7,43.4291666666667,3.38651633803846,5.29999999999999,48,4.3,5.05,5.7,5.06041666666667,0.364802239245958,0.524999999999999,48,0.31,1.075,1.5,0.993958333333333,0.388624084531587,0.695,48,6.9,6.9,7,6.92916666666667,0.0459339643185102,0.0999999999999996,48,36,45,68,46.875,7.81603643363533,7.25,48,0,48,20
"pdbjlwq",2002-01-12,48,8.2,8.3,8.7,8.38541666666667,0.148738787645841,0.199999999999999,48,0.34,0.645,8.94,3.23479166666667,3.25601962301535,5.995,48,0.2,0.35,5,1.76875,1.80462246302171,3.325,48,42.2,53.35,60,52.2520833333333,4.55252978927865,6.57500000000001,48,4.9,6.1,7.1,6.06875,0.530417840109458,0.650000000000001,48,0.26,0.975,1.63,0.980833333333333,0.410027675938419,0.7175,48,7,7,7.1,7.00625,0.024462302739504,0,48,34,49.5,103,53.9791666666667,15.2866087737411,13.25,48,0,48,2
