"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"rkbhcmet",2002-01-01,96,13.1,16.65,22.2,17.4645833333333,2.74364257172896,4.525,96,48,74,97,75.6041666666667,18.2914873307758,39,96,1016,1017,1020,1017.75,1.02597835208515,1,96,0.2,2,4,1.946875,0.838162542331988,1.1,96,33,114.5,252,115.5,36.9318005888806,49.5,0,NA,96,0
"rkbhcmet",2002-01-02,96,13.8,17.05,21.8,17.103125,2.43571898495787,4.325,96,77,92,96,91.1770833333333,4.38896892739218,5.25,96,1011,1015,1018,1014.97916666667,1.96270043115503,4,96,0.2,1.9,5.8,1.94479166666667,1.14034803474679,1.1,96,85,159.5,267,171.989583333333,48.8517617614041,76,0,NA,96,8.4
"rkbhcmet",2002-01-03,96,10.3,17.15,21.3,16.496875,2.8286672749957,3.3,96,68,84,97,84.6041666666667,9.17947271351931,15.25,96,1013,1017,1023,1017.13541666667,2.5406994133057,3,96,0.2,2.2,5.6,2.23020833333333,1.42127591244566,1.9,96,0,62,354,87.4270833333333,80.947513182005,51.25,0,NA,96,0
"rkbhcmet",2002-01-04,96,4,9.05,14.3,8.91770833333333,3.13620604826803,5.875,96,39,71,86,66.3229166666667,15.5024580676856,29,96,1023,1026,1029,1025.97916666667,1.65420781910011,2,96,0.2,2.5,6.5,2.66145833333333,1.44268534641894,1.7,96,11,89,201,87.3229166666667,35.7910588045517,45.5,0,NA,96,0
"rkbhcmet",2002-01-05,96,3.1,14.7,20.2,11.8739583333333,6.38467317370965,13.225,96,51,74,93,71.03125,11.0353051850103,17.25,96,1020,1025,1027,1024.03125,2.65747456293218,5,96,0.2,1.4,4.3,1.60833333333333,0.955941714438443,1.325,96,52,130.5,290,133.677083333333,43.3416038834857,56.25,0,NA,96,0
"rkbhcmet",2002-01-06,96,15,19,22.3,18.5760416666667,2.15654425274212,3.85,96,71,84.5,95,85.625,5.82237065120385,8,96,1014,1016,1019,1016.0625,1.18599281084179,2,96,0.2,1.7,6.5,1.94166666666667,1.12246595697215,1.2,96,0,239.5,355,209.916666666667,116.467991235601,120,0,NA,96,4.3
"rkbhcmet",2002-01-07,96,11.9,17.6,21.1,17.2020833333333,2.04342226703232,1.625,96,56,71,88,70.9583333333333,8.09017164175041,9,96,1016,1017.5,1023,1018.04166666667,2.02571191730952,3,96,0.2,3.4,8.8,3.60416666666667,1.61381644209369,2.025,96,0,39,355,61.2708333333333,82.0597316678742,45.75,0,NA,96,0.3
"rkbhcmet",2002-01-08,96,4.8,9.45,15.4,9.72708333333333,3.39849747502029,6.2,96,43,70,87,66.4270833333333,13.6472436327608,26,96,1023,1024,1027,1024.36458333333,1.13434230113328,2,96,0.2,2.5,6.2,2.603125,1.4293504689746,1.4,96,17,81,175,80.78125,33.4233461189851,46.75,0,NA,96,0
"rkbhcmet",2002-01-09,96,2.7,8.8,17.7,9.99791666666667,5.02865429663719,9.625,96,35,81,92,72.2916666666667,17.4735388918075,31.25,96,1024,1025,1027,1025.33333333333,0.947758204414548,1,96,0.2,1.4,3.7,1.475,0.752539560072216,0.8,96,0,85,354,88.75,47.6679302985494,46.75,0,NA,96,0
"rkbhcmet",2002-01-10,96,5.6,14,22.4,13.375,6.18379886647784,12.725,96,45,82,95,75.0833333333333,18.5249002649019,39.25,96,1022,1023,1026,1023.59375,1.28618673441669,2,96,0.2,1.1,3.5,1.26979166666667,0.669189579254232,0.65,96,7,129.5,352,146.833333333333,80.7293941988871,64.75,0,NA,96,0
