"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"sapcawq",2004-08-30,25,28.8,29.5,30.3,29.568,0.402823369067221,0.5,25,51.28,51.73,52.14,51.7088,0.297871896402911,0.519999999999996,25,33.5,33.9,34.2,33.868,0.228619042659764,0.299999999999997,25,48.1,68.7,83.9,66.42,13.803109553044,30.1,25,3,4.4,5.3,4.2,0.877971146071062,1.9,25,1.29,2.3,3.62,2.4276,0.864124219465388,1.7,0,NA,NA,NA,NA,NA,NA,25,7.3,7.7,7.9,7.62,0.221735578260835,0.399999999999999,25,2,11,54,12.44,11.2066944278855,7,25,0,25,17
"sapcawq",2004-08-31,48,28.3,28.9,30.3,29.06875,0.6088553089479,0.824999999999996,48,49.2,51.395,52.07,51.2139583333333,0.712898606927286,0.599999999999994,48,32.1,33.6,34.2,33.53125,0.516187435032185,0.5,48,28.4,63.35,77.2,59.475,14.8201056647682,18.4,48,1.8,4,5,3.80625,0.965006063259532,1.25,48,1.33,2.39,3.63,2.446875,0.824244738107482,1.6225,0,NA,NA,NA,NA,NA,NA,48,7.2,7.6,7.8,7.5625,0.24023481420778,0.5,48,2,11,45,12.875,8.91001110394036,9.25,48,3,48,46
"sapcawq",2004-09-01,48,28.2,28.95,31.4,29.2541666666667,0.988865314352303,1.15,48,49.14,50.24,51.41,50.3245833333333,0.739485037419538,1.47,48,32,32.8,33.7,32.86875,0.531219492240421,1,48,27.3,67.6,80.8,62.3833333333333,16.0355633134649,16.525,48,1.8,4.3,5.1,3.98541666666667,1.01687664963228,1.125,48,1.37,2.5,3.59,2.47791666666667,0.793451813371073,1.5625,0,NA,NA,NA,NA,NA,NA,48,7.1,7.65,7.9,7.59166666666667,0.261609855150865,0.399999999999999,48,2,16,33,16.4791666666667,8.50278948804533,13.25,48,3,48,41
"sapcawq",2004-09-02,48,28.7,29.25,30.5,29.3458333333333,0.51610584982826,0.700000000000003,48,49.42,50.2,51.58,50.36875,0.65940858415027,1.0925,48,32.2,32.8,33.8,32.9041666666667,0.483761121520773,0.725000000000001,48,29.4,67.7,79,63.0104166666667,14.7972142229159,19.825,48,1.9,4.35,5.1,4.03541666666667,0.967666546956797,1.325,48,1.44,2.585,3.61,2.56270833333333,0.736477353245822,1.4075,0,NA,NA,NA,NA,NA,NA,48,7.2,7.7,7.9,7.6375,0.257339084196939,0.5,48,3,17,39,17.5,8.86782373935908,12.25,48,1,48,38
"sapcawq",2004-09-03,48,27.8,28.5,30.7,28.8854166666667,0.874944273808054,1.1,48,49.12,50.375,52.15,50.426875,0.768317189181323,1.13999999999999,48,32,32.9,34.2,32.9479166666667,0.562664475559581,0.824999999999996,48,34.9,76.05,84.9,69.7895833333333,14.0682264542257,14.125,48,2.3,4.8,5.5,4.4875,0.88477067590205,0.924999999999999,48,1.76,2.755,3.7,2.73125,0.635856350029109,1.2,0,NA,NA,NA,NA,NA,NA,48,7.3,7.7,7.9,7.65625,0.17247417321307,0.3,48,5,28,77,31.2708333333333,20.0560274628016,30.25,48,0,48,28
"sapcawq",2004-09-04,48,27.7,28.45,30,28.6020833333333,0.652813740772851,0.799999999999997,48,49.07,50.49,52.26,50.6810416666667,1.0100205171359,1.56,48,32,33,34.3,33.14375,0.733950618664702,1.15,48,46.4,73.85,82.2,70.1479166666667,10.3126237366314,13.35,48,3,4.7,5.3,4.52291666666667,0.677052304253545,0.899999999999999,48,1.82,2.75,3.65,2.75625,0.569294542917587,1.0075,0,NA,NA,NA,NA,NA,NA,48,7.4,7.7,7.8,7.63958333333333,0.118032781838998,0.100000000000001,48,5,27.5,96,35.375,26.5198640925884,30.5,48,0,48,33
"sapcawq",2004-09-05,48,27.3,27.9,28,27.8166666666667,0.146350400465157,0.199999999999999,48,48.91,51.73,52.31,51.296875,1.04096958945505,0.869999999999997,48,31.9,33.9,34.4,33.6229166666667,0.766378491939721,0.625,48,52.6,72.2,82.8,70.9979166666667,8.66694600272693,13,48,3.4,4.7,5.4,4.63125,0.573587534361119,0.825,48,2.1,2.97,3.75,2.958125,0.492607721235951,0.9075,0,NA,NA,NA,NA,NA,NA,48,7.4,7.7,7.9,7.70208333333333,0.156408607443035,0.225,48,8,28.5,81,32,18.0236251578251,28,48,0,48,29
"sapcawq",2004-09-06,48,25.9,26.6,27.2,26.5541666666667,0.415117688174644,0.724999999999998,48,38.23,45.94,51.44,45.511875,4.13394441297588,7.21000000000001,48,24.3,29.75,33.8,29.4604166666667,2.97262256754503,5.225,48,59.5,71.15,83,71.65,7.8047448743179,15.25,48,4.2,4.85,5.6,4.87708333333333,0.431346029497341,0.8,48,2.32,3.025,3.79,3.06770833333333,0.460310901333571,0.845,0,NA,NA,NA,NA,NA,NA,48,7.4,7.7,8,7.69583333333333,0.207270337742286,0.4,48,8,36.5,72,37.875,17.9403562667725,21.75,48,0,48,25
"sapcawq",2004-09-07,48,25.9,26.5,26.9,26.3875,0.337465522273616,0.699999999999999,48,35.73,41.74,49.05,42.7833333333333,4.79129189407037,10.08,48,22.5,26.75,32,27.5125,3.4298827596116,7.175,48,52,68.1,82.6,68.5604166666667,9.24838662372221,15.75,48,3.7,4.75,5.5,4.72916666666667,0.539486885188862,0.9,48,2.05,2.69,3.36,2.71020833333333,0.466688148568382,0.9375,0,NA,NA,NA,NA,NA,NA,48,7.3,7.55,7.9,7.60833333333333,0.231400300973832,0.5,48,7,14,40,16.8333333333333,8.16670285127315,12,48,0,48,28
"sapcawq",2004-09-08,48,26.3,27.2,27.9,27.0375,0.62044081789534,1.225,48,36.12,43.76,47.97,42.5739583333333,3.92716547640636,6.985,48,22.8,28.15,31.2,27.3333333333333,2.79972136404894,5.025,48,52.9,69.35,81.6,69.3625,8.12002056909668,13.35,48,3.8,4.7,5.5,4.73333333333333,0.478176204206675,0.725000000000001,48,1.67,2.51,3.27,2.44854166666667,0.49370500962095,0.8975,0,NA,NA,NA,NA,NA,NA,48,7.3,7.65,7.8,7.60833333333333,0.179637144115852,0.399999999999999,48,5,11,35,14.3958333333333,8.14428290100677,11,48,0,48,31
