"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"sapfdwq",2002-06-17,18,29.4,30.5,30.8,30.4111111111111,0.402768199119819,0.475000000000001,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,18,78.9,93.65,125.5,93.1833333333333,12.9335973795565,19.175,18,5.1,6,8.1,5.98888888888889,0.844977471950924,1.2,18,1.41,1.7,1.81,1.66611111111111,0.0987652528139259,0.0475000000000001,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,18,0,18,0
"sapfdwq",2002-06-18,48,28.2,28.9,30.1,28.9291666666667,0.450983951846066,0.350000000000001,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,39.4,52.7,80.4,55.6041666666667,12.5536628262276,21.7,48,2.6,3.45,5.2,3.64791666666667,0.804770241649113,1.425,48,1.35,1.75,1.95,1.716875,0.12826429247224,0.13,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,45
"sapfdwq",2002-06-19,48,27.1,28,28.3,27.8291666666667,0.391917454038656,0.625,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,28.4,49.55,68.1,48.7104166666667,12.0983248283588,18.625,48,1.9,3.3,4.5,3.25208333333333,0.793856620135735,1.15,48,1.41,1.79,2.12,1.77166666666667,0.147739467829724,0.1225,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,2,48,48
"sapfdwq",2002-06-20,48,26.8,27.8,27.9,27.6083333333333,0.349366194112499,0.525000000000002,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,38.1,52.4,74.8,54.69375,10.2494297973211,11.775,48,2.6,3.5,5,3.66458333333333,0.663161218270821,0.75,48,1.46,1.79,2.19,1.78541666666667,0.167610977314471,0.14,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,0,48,0,48,47
"sapfdwq",2002-06-21,48,25.7,26.7,27.7,26.8,0.591068271968357,1.125,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,38.3,48.05,63.2,49.7375,6.92465914361993,10,48,2.7,3.25,4.3,3.4,0.462187214531726,0.625,48,1.32,1.795,2.36,1.79958333333333,0.207794480435094,0.1425,0,NA,NA,NA,NA,NA,NA,6,0,4.5,25,7.66666666666667,9.1796877216312,6.75,48,0,48,48
"sapfdwq",2002-06-22,48,25.4,25.75,26.1,25.7458333333333,0.186750867534324,0.299999999999997,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,39.7,49.05,64.8,51.2916666666667,7.54881513411727,12.4,48,2.8,3.5,4.5,3.61875,0.518449509226329,0.825,48,1.37,1.755,2.27,1.76125,0.193430673710027,0.12,0,NA,NA,NA,NA,NA,NA,8,0,9.5,17,8.75,6.06512277581537,6.5,48,0,48,48
"sapfdwq",2002-06-23,48,25.6,26.25,26.8,26.0833333333333,0.374923159976181,0.699999999999999,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,35.5,49.15,64,49.6854166666667,8.51234371764768,11.875,48,2.5,3.5,4.5,3.5,0.57648974451582,0.8,48,1.33,1.755,2.22,1.75770833333333,0.162588628313107,0.1,0,NA,NA,NA,NA,NA,NA,2,1,2.5,4,2.5,2.12132034355964,1.5,48,0,48,48
"sapfdwq",2002-06-24,48,26.1,27.1,28.3,26.93125,0.705647808603721,1.15,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,34.2,51.6,79.8,51.9854166666667,12.2491856365583,21.825,48,2.4,3.55,5.4,3.6,0.804244061612082,1.425,48,1.34,1.725,2.15,1.73145833333333,0.146940277104206,0.0975000000000001,0,NA,NA,NA,NA,NA,NA,2,1,1.5,2,1.5,0.707106781186548,0.5,48,0,48,46
"sapfdwq",2002-06-25,48,26.9,27.75,29.7,27.8479166666667,0.770738685007685,1.125,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,32.6,55.5,95.9,56.5708333333333,18.1371366800373,29.875,48,2.3,3.8,6.3,3.84375,1.1767076771428,1.925,48,1.4,1.75,2.09,1.73333333333333,0.129472470306918,0.1325,0,NA,NA,NA,NA,NA,NA,2,1,2,3,2,1.4142135623731,1,48,0,48,41
"sapfdwq",2002-06-26,48,27.7,28.15,29.1,28.2270833333333,0.391255253969663,0.625,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,35.5,53.85,68.8,52.7875,10.0640211285845,16.825,48,2.4,3.65,4.6,3.57083333333333,0.677592211934109,1.225,48,1.34,1.735,1.91,1.709375,0.104543714769815,0.0950000000000002,0,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,0,48,0,48,48
