"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"saphdwq",2002-01-01,37,9.4,10.2,10.4,10.1054054054054,0.25379994959498,0.200000000000001,37,49.09,49.76,50.29,49.6845945945946,0.33727333618788,0.579999999999998,37,31.9,32.4,32.7,32.3243243243243,0.241988757091231,0.399999999999999,37,87,97,107,97.627027027027,4.81292522788888,5.8,37,8,8.9,9.8,8.94324324324324,0.408615916193884,0.5,37,0.04,1.59,2.41,1.3627027027027,0.779090098372057,1.43,0,NA,NA,NA,NA,NA,NA,37,7.5,7.6,7.7,7.62702702702703,0.0607757656775603,0.100000000000001,0,NA,NA,NA,NA,NA,NA,37,0,37,0
"saphdwq",2002-01-02,43,8.3,9.7,10.2,9.3953488372093,0.642892825390898,1.2,43,48.61,49.13,49.94,49.1974418604651,0.398951560630848,0.685000000000002,43,31.5,31.8,32.5,31.9186046511628,0.309574065261632,0.550000000000001,43,90.7,94.8,100.5,95.2837209302326,2.9270438713876,5.05,43,8.4,8.9,9.3,8.89302325581395,0.191976373592478,0.199999999999999,43,0.06,1.36,2.66,1.32744186046512,0.84000876702697,1.515,0,NA,NA,NA,NA,NA,NA,43,7.5,7.6,7.7,7.62790697674419,0.0503586252854695,0.100000000000001,0,NA,NA,NA,NA,NA,NA,43,0,43,0
"saphdwq",2002-01-03,41,6.7,7.7,8.9,7.75609756097561,0.610347761725971,1,41,48.72,49.08,49.38,49.0409756097561,0.177887673519679,0.25,41,31.5,31.7,31.8,31.6780487804878,0.0821954838234777,0.0999999999999979,41,83.9,91.4,95.7,90.9634146341463,3.0822683284848,4.59999999999999,41,8.2,8.8,9.4,8.8219512195122,0.288541327301611,0.4,40,0,1.395,2.4,1.2465,0.782407690959001,1.37,0,NA,NA,NA,NA,NA,NA,41,7.5,7.6,7.7,7.61951219512195,0.0557651871471888,0.100000000000001,0,NA,NA,NA,NA,NA,NA,41,0,41,0
"saphdwq",2002-01-04,40,5.8,7.3,7.5,6.9625,0.565543759217396,0.825000000000001,40,48.37,49.135,49.57,49.1535,0.234865482503911,0.217499999999994,40,31.2,31.7,31.8,31.685,0.133108785277114,0.125000000000004,40,84.1,94,98.3,93.2325,3.62995991360221,5.35000000000001,40,8.5,9.2,9.6,9.205,0.265976671427382,0.4,40,0.11,1.225,2.33,1.2085,0.711432466117589,1.2475,0,NA,NA,NA,NA,NA,NA,40,7.6,7.6,7.7,7.6375,0.0490290337845463,0.100000000000001,0,NA,NA,NA,NA,NA,NA,40,0,40,0
"saphdwq",2002-01-05,42,6.2,7.4,7.8,7.20238095238095,0.473949722165267,0.699999999999999,42,48.41,49.055,49.45,49.0385714285714,0.241131190166433,0.202500000000001,42,31.1,31.7,31.8,31.6214285714286,0.157008177953414,0.0999999999999979,42,86,95,99,93.9190476190476,3.06349378860135,3.825,42,8.6,9.3,9.6,9.22619047619048,0.222030017537207,0.275,42,0.06,1.165,2.28,1.21142857142857,0.755156489770042,1.4575,0,NA,NA,NA,NA,NA,NA,42,7.6,7.65,7.7,7.65,0.0506060827347477,0.100000000000001,0,NA,NA,NA,NA,NA,NA,42,0,42,0
"saphdwq",2002-01-06,23,7.7,7.7,8.4,7.87391304347826,0.233972397953161,0.350000000000001,23,48.31,48.92,49.02,48.864347826087,0.184657572204153,0.139999999999993,23,31.2,31.6,31.7,31.5608695652174,0.119617308092337,0.0500000000000007,23,92.8,95.4,99,95.8869565217391,1.69230997263452,2.39999999999999,23,9,9.3,9.6,9.26956521739131,0.18199596051635,0.300000000000001,23,0.01,0.92,2.15,1.06347826086957,0.802839328970805,1.54,0,NA,NA,NA,NA,NA,NA,23,7.6,7.6,7.7,7.64782608695652,0.0510753918455252,0.100000000000001,0,NA,NA,NA,NA,NA,NA,23,0,23,0
"saphdwq",2002-01-07,17,9.4,9.5,9.8,9.55294117647059,0.106757008311068,0.0999999999999996,17,56.26,56.33,56.37,56.3241176470588,0.0267064653991815,0.0200000000000031,17,37.1,37.1,37.2,37.1058823529412,0.0242535625036336,0,17,96.6,100.8,104,100.635294117647,2.12512975382405,2.7,17,8.7,9.1,9.4,9.05882352941176,0.197036873228756,0.299999999999999,14,0.14,0.965,1.53,0.917142857142857,0.488804327241147,0.855,0,NA,NA,NA,NA,NA,NA,17,7.2,7.4,7.4,7.35882352941177,0.0618346942400844,0.100000000000001,17,1,3,4,2.58823529411765,0.712287119900726,1,17,0,17,0
"saphdwq",2002-01-08,38,8,8.8,9.1,8.76842105263158,0.247260955440499,0.200000000000001,38,56.31,56.45,56.63,56.4560526315789,0.0723557081811875,0.107499999999995,38,37.1,37.2,37.2,37.1578947368421,0.0500355492401831,0.100000000000001,38,91.1,99.1,104.9,98.6736842105263,3.26063202383818,4.00000000000003,38,8.5,9.05,9.6,9.02894736842105,0.273028950783357,0.399999999999999,34,0.05,1.07,1.71,0.992647058823529,0.523700752069691,0.945,0,NA,NA,NA,NA,NA,NA,38,7.2,7.3,7.4,7.31052631578947,0.0605804075196672,0,37,0,1,2,1.27027027027027,0.560190872662001,1,38,0,38,0
"saphdwq",2002-01-09,38,7.6,8.5,8.8,8.4,0.297739229273955,0.299999999999999,38,56.35,56.51,56.69,56.5126315789474,0.0943737311860673,0.152500000000003,38,37.1,37.2,37.3,37.1631578947368,0.054132233648469,0.100000000000001,38,89.4,98.95,106.1,98.3157894736842,4.08712720860822,6.99999999999997,38,8.4,9.1,9.7,9.07894736842105,0.341821744865885,0.574999999999999,34,0.08,1.075,1.8,1.02382352941176,0.550388373654306,0.935,0,NA,NA,NA,NA,NA,NA,38,7.1,7.3,7.4,7.27631578947368,0.0751006910621237,0.0999999999999996,37,0,0,5,0.648648648648649,1.00598807747011,1,38,0,38,0
"saphdwq",2002-01-10,36,8.3,8.6,10.7,9.00833333333333,0.620771409503646,1,36,56.26,56.47,56.67,56.4638888888889,0.108950258054577,0.182499999999997,36,37.1,37.2,37.3,37.175,0.0603560862122213,0.100000000000001,36,91.3,99.8,108.8,99.3083333333333,4.79281456229755,7.47499999999999,36,8.4,9,9.8,9.03611111111111,0.39724247922596,0.700000000000001,33,0.01,1,1.78,0.973939393939394,0.557768653845052,1.03,0,NA,NA,NA,NA,NA,NA,36,7.2,7.3,7.5,7.30555555555556,0.0860047986848723,0.2,36,0,1,4,0.75,0.840917865872082,1,36,0,36,0
