"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"sapldwq",2002-01-01,48,11.3,11.6,12,11.6541666666667,0.179785135746705,0.300000000000001,48,39.26,40.945,42.56,40.9847916666667,0.994294338850173,1.9025,48,25,26.15,27.3,26.1916666666667,0.715432716355078,1.3,48,89.6,95.8,99.2,95.2583333333333,2.65617172391966,3.94999999999997,48,8.3,8.85,9,8.775,0.216843899143473,0.300000000000001,48,2.52,3.97,5.38,3.99229166666667,0.96944432336225,1.8475,0,NA,NA,NA,NA,NA,NA,48,7.6,7.7,7.8,7.70625,0.083554670597899,0.2,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"sapldwq",2002-01-02,48,10.1,11.2,11.8,10.9375,0.535396055430195,1,48,39.45,41,43.24,40.98,0.824907473857239,1.32749999999999,48,25.1,26.2,27.8,26.15625,0.585609793110766,0.924999999999997,48,89.7,95.55,101.2,96.01875,2.96932231325601,5.44999999999997,48,8.3,8.95,9.5,8.98125,0.284833844809454,0.399999999999999,48,2.82,4.145,5.64,4.18583333333333,0.900219437393457,1.6125,0,NA,NA,NA,NA,NA,NA,48,7.6,7.7,7.9,7.71666666666667,0.103827461896994,0.2,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"sapldwq",2002-01-03,48,8.7,9.5,10.4,9.43541666666667,0.485749950267004,0.725,48,39.42,46.57,50.37,44.86125,3.84314179152776,7.3075,48,25,30,32.8,28.8479166666667,2.71034186297308,5.125,48,92.6,104.2,109.5,101.583333333333,5.98652150387118,11.425,48,9,10,10.2,9.65625,0.463523163827068,1,48,2.4,3.945,5.18,3.896875,0.87977065737297,1.585,0,NA,NA,NA,NA,NA,NA,48,7.6,7.8,8,7.76458333333333,0.129630544294871,0.149999999999999,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"sapldwq",2002-01-04,48,8,8.6,9.1,8.59375,0.261262279564816,0.324999999999999,48,46.32,47.515,50.72,47.88,1.33254675380034,1.51499999999999,48,29.8,30.65,33,30.9208333333333,0.961594051857319,1.05,48,103.5,108.7,111.3,107.8125,2.27956929489164,3.64999999999998,48,10.1,10.3,10.5,10.3104166666667,0.150516251095926,0.225000000000001,48,2.79,3.91,5.22,3.92125,0.794040636186142,1.4525,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,8,7.84375,0.087290783311091,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"sapldwq",2002-01-05,48,8,8.5,8.8,8.4625,0.216966513741421,0.299999999999999,48,47.15,48.01,50.51,48.3891666666667,1.08796087487015,2.1375,48,30.4,31,32.8,31.2708333333333,0.791432402815901,1.55,48,106,109.85,111,109.077083333333,1.65133596248398,3.17499999999998,48,10.3,10.45,10.6,10.43125,0.109459503830062,0.199999999999999,48,2.88,3.955,5.18,3.991875,0.795737731437967,1.5675,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,8,7.85208333333333,0.0850271129056963,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"sapldwq",2002-01-06,48,8.5,9.15,9.9,9.09166666666667,0.409375930511638,0.700000000000001,48,44.61,47.05,50.33,47.3722916666667,1.4174628811731,1.59499999999999,48,28.6,30.35,32.7,30.5958333333333,1.00381365002257,1.075,48,108.4,111.45,114.2,111.195833333333,1.76441881617298,3.02500000000002,48,10.4,10.5,10.7,10.54375,0.123609284922893,0.299999999999999,48,2.39,3.65,5.07,3.68333333333333,0.815408351773419,1.2875,0,NA,NA,NA,NA,NA,NA,48,7.8,7.8,8,7.85208333333333,0.0683843435277135,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"sapldwq",2002-01-07,48,8.6,9.1,9.3,9.08125,0.121438628226491,0.199999999999999,48,44.77,46.36,47.6,46.6116666666667,0.652466134552276,1.00750000000001,48,28.7,29.85,30.8,30.05,0.474453773279045,0.699999999999999,48,110.7,112.8,115.1,112.852083333333,1.26187796276336,2.09999999999999,48,10.6,10.75,10.9,10.7375,0.119618186904408,0.200000000000001,48,2.47,3.545,4.66,3.54708333333333,0.752756518328818,1.375,0,NA,NA,NA,NA,NA,NA,48,7.8,7.8,7.9,7.84583333333333,0.0503533612870862,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"sapldwq",2002-01-08,48,8.5,8.7,9.1,8.71666666666667,0.154827746885608,0.200000000000001,48,46.13,46.93,47.96,46.9266666666667,0.592169948770579,1.1675,48,29.7,30.25,31,30.24375,0.425218967371831,0.825000000000003,48,111.7,113.95,116.6,114.097916666667,1.56769102244159,2.77499999999998,48,10.7,10.9,11.1,10.9270833333333,0.134859396178348,0.299999999999999,48,2.61,3.805,4.81,3.78125,0.722167614774982,1.3,0,NA,NA,NA,NA,NA,NA,48,7.8,7.9,8,7.88125,0.0641018139617866,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"sapldwq",2002-01-09,48,8.3,8.65,9,8.63958333333333,0.196500861709261,0.300000000000001,48,45.79,46.835,48.2,46.9383333333333,0.717419528687256,1.25,48,29.5,30.2,31.2,30.25,0.518590561245349,0.899999999999999,48,112.7,115.35,118.9,115.427083333333,1.61702900450748,2.575,48,10.9,11,11.3,11.06875,0.115143296476192,0.199999999999999,48,2.47,3.8,4.93,3.78020833333333,0.77222113904545,1.4275,0,NA,NA,NA,NA,NA,NA,48,7.8,7.9,8,7.9,0.0714589601010497,0.0499999999999998,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"sapldwq",2002-01-10,48,8.6,9,9.8,9.07708333333333,0.347782998699472,0.6,48,45.44,46.61,48.24,46.7504166666667,0.802766382734247,1.4575,48,29.2,30,31.2,30.14375,0.570519080554363,1.025,48,114.4,116.95,121.5,117.202083333333,2.09776878259932,3.62500000000001,48,11,11.1,11.4,11.1458333333333,0.116615997102207,0.199999999999999,48,2.48,3.72,4.89,3.69541666666667,0.782801728472345,1.4525,0,NA,NA,NA,NA,NA,NA,48,7.8,7.9,8,7.92291666666667,0.0660096167504864,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,48,0,48,0
