"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"sapmlwq",2002-06-19,17,27.4,27.8,27.9,27.7058823529412,0.210566462890266,0.399999999999999,17,44.94,45.55,48.91,46.5194117647059,1.67383343925043,3.48,17,29,29.4,31.9,30.1411764705882,1.22783285890701,2.6,17,73,77.8,99,82.2117647058824,8.95445994693016,14.9,17,4.9,5.2,6.6,5.47647058823529,0.580441008807857,0.9,17,1.49,1.59,1.67,1.6,0.0597913037155069,0.0899999999999999,17,7.5,7.6,7.9,7.67058823529412,0.182909492243954,0.4,2,12,18.5,25,18.5,9.19238815542512,6.5,17,0,17,3
"sapmlwq",2002-06-20,48,27.1,27.55,27.8,27.5,0.18101369408641,0.225000000000005,48,43.98,45.655,49.7,46.3322916666667,1.66268078790917,2.735,48,28.3,29.5,32.5,30.00625,1.20820004155998,2,48,64,74.6,97.5,76.7645833333333,9.00098078777218,10.75,48,4.3,5,6.4,5.13333333333333,0.568811127959695,0.7,48,1.39,1.6,1.68,1.58395833333333,0.0775074350128393,0.13,48,7.4,7.6,8,7.62291666666667,0.193775021262412,0.3,4,0,10,42,15.5,19.4164878389476,22.5,48,0,48,21
"sapmlwq",2002-06-21,48,26.1,26.9,27.6,26.775,0.433933027482843,0.749999999999996,48,42.84,44.975,50.6,45.6958333333333,2.09303285325928,2.7375,48,27.5,29,33.2,29.56875,1.53583524299224,1.95,48,61.8,72.65,93.3,74.4416666666667,9.16551894813668,10.55,48,4.2,4.9,6.3,5.04375,0.605262823165592,0.624999999999999,48,1.31,1.59,1.68,1.57229166666667,0.0904419311370639,0.125,48,7.4,7.5,8,7.60416666666667,0.195653116111069,0.225000000000001,9,0,8,40,14.1111111111111,14.0039676917333,14,48,0,48,26
"sapmlwq",2002-06-22,48,25.3,25.8,26.2,25.8520833333333,0.211367969285122,0.300000000000001,48,40.29,42.995,48.01,43.6520833333333,2.17584315604694,3.78,48,25.7,27.6,31.3,28.1166666666667,1.56250390070435,2.65,48,63,77.5,93.8,76.81875,9.64997312861433,17.35,48,4.4,5.4,6.4,5.33125,0.631498134294173,1.125,48,1.37,1.54,1.65,1.54104166666667,0.0790162812022653,0.1325,48,7.3,7.5,7.9,7.5625,0.188640150506139,0.325,12,3,18.5,46,21.5,12.6527036277196,17,48,0,48,13
"sapmlwq",2002-06-23,48,25.6,25.85,26.3,25.9,0.227848400514512,0.400000000000002,48,39.63,41.735,47.42,42.6647916666667,2.23772965262271,3.82999999999999,48,25.2,26.75,30.8,27.4083333333333,1.60250247562903,2.725,48,60.7,72.65,98.9,74.3270833333333,10.8390103101504,16.075,48,4.3,5.1,6.7,5.17291666666667,0.695804932108202,1.025,48,1.37,1.58,1.66,1.564375,0.0768504004059393,0.1225,48,7.3,7.5,7.9,7.51666666666667,0.191670521083661,0.3,8,0,9.5,30,12.625,10.1409706495131,13.5,48,0,48,22
"sapmlwq",2002-06-24,48,25.9,26.35,27.1,26.3645833333333,0.396521890857338,0.724999999999998,48,39.06,41.23,46.74,42.2327083333333,2.16891358193141,3.3375,48,24.8,26.35,30.3,27.0854166666667,1.54630507894242,2.325,48,59.1,70.8,98.6,73.8270833333333,11.5809223089019,14.85,48,4.1,4.9,6.7,5.10208333333333,0.742763552576095,1,48,1.41,1.57,1.64,1.555625,0.0706476498231322,0.13,48,7.3,7.45,7.9,7.5125,0.199600665158999,0.249999999999998,5,0,6,16,6.6,5.81377674149945,1,48,0,48,25
"sapmlwq",2002-06-25,48,26.3,26.8,28.2,26.9416666666667,0.425682597434832,0.699999999999999,48,39.67,41.35,46.68,42.23625,2.0604240681048,3.48,48,25.2,26.45,30.3,27.0854166666667,1.47431766883955,2.45,48,59.5,70.25,102.5,75.54375,13.0997792128544,17.95,48,4.1,4.85,6.9,5.17708333333333,0.837991413994844,1.15,48,1.38,1.58,1.64,1.56583333333333,0.070885983769963,0.0925,48,7.3,7.5,8,7.54583333333333,0.218270116991839,0.3,4,2,7.5,32,12.25,13.5738719604982,11.25,48,0,48,26
"sapmlwq",2002-06-26,48,26.9,27.3,27.6,27.25625,0.182075796702035,0.199999999999999,48,39.44,41.315,45.99,42.1129166666667,1.86072961934615,2.8875,48,25.1,26.4,29.8,26.98125,1.33984061452862,2.1,48,63.1,73.8,97.6,75.9083333333333,9.50112721942593,13.2,48,4.3,5.05,6.6,5.17916666666667,0.620212157706841,0.825,48,1.45,1.585,1.64,1.569375,0.0502930243460496,0.0825,48,7.3,7.5,8,7.55625,0.190079770488435,0.3,3,0,1,2,1,1,1,48,0,48,22
"sapmlwq",2002-06-27,48,26.8,27.4,28.1,27.4145833333333,0.354898597044842,0.550000000000001,48,39.61,40.96,46.12,41.8229166666667,1.71966468568895,2.36499999999999,48,25.2,26.15,29.8,26.7708333333333,1.22456389689908,1.65,48,63,78.1,105,79.24375,10.9579837066357,14.125,48,4.3,5.3,7,5.39375,0.706627064660446,0.924999999999999,48,1.44,1.59,1.62,1.57104166666667,0.045393765779358,0.0425000000000002,48,7.4,7.6,8,7.59375,0.168101096734686,0.2,0,NA,NA,NA,NA,NA,NA,48,0,48,14
"sapmlwq",2002-06-28,48,27.3,27.65,28.3,27.78125,0.328540453806277,0.625,48,39.47,41.295,45.37,42.0025,1.67834201368303,2.555,48,25.1,26.4,29.3,26.8895833333333,1.20021976415551,1.85,48,70.9,89.15,102.7,87.0458333333333,8.53765024062275,13.725,48,4.8,6,6.9,5.89166666666667,0.541012971619898,0.825,48,1.48,1.6,1.64,1.58958333333333,0.0346998272932935,0.05,48,7.4,7.7,8,7.68333333333333,0.158896906673335,0.2,0,NA,NA,NA,NA,NA,NA,48,0,48,3
