"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"sfbgcwq",2006-01-01,96,11.7,12.2,13.4,12.2166666666667,0.323684923690557,0.5,96,1.11,10.065,14.26,8.16447916666667,4.70880672554191,8.9575,96,0.6,5.7,8.3,4.64166666666667,2.76148955482426,5.225,96,79.2,87.1,96,87.4416666666667,4.32893974296774,6.44999999999999,96,8.4,9.2,10,9.11666666666667,0.408248290463863,0.5,96,0.48,1.93,2.95,1.86479166666667,0.692420588897979,0.775,0,NA,NA,NA,NA,NA,NA,96,7.2,7.4,7.7,7.4125,0.178443563243839,0.399999999999999,96,42,99,961,132.59375,121.164314541952,94.5,96,0,96,0
"sfbgcwq",2006-01-02,96,11.7,11.9,12.5,11.978125,0.226275623730743,0.399999999999999,96,0.93,4.225,10.02,4.59947916666667,2.91488606612828,5.23,96,0.5,2.25,5.7,2.515625,1.66178902486383,2.95,96,75.9,82.9,90.7,83.3458333333333,3.9320522742862,5.35000000000001,96,8.1,8.85,9.5,8.85208333333333,0.373032852134943,0.6,96,0.49,1.945,2.78,1.8415625,0.652872725768684,0.845,0,NA,NA,NA,NA,NA,NA,96,7.1,7.2,7.5,7.28229166666667,0.137645457352666,0.2,96,39,102,238,102.760416666667,36.6875125153151,37.25,96,0,96,0
"sfbgcwq",2006-01-03,96,10.4,10.8,12.1,10.9625,0.433407550999239,0.425000000000001,96,1.02,2.985,6.63,3.52739583333333,2.01720768170765,3.82,96,0.5,1.55,3.6,1.884375,1.1276737233419,2.125,96,78.3,83.85,89.1,83.865625,2.7867667787146,3.59999999999999,96,8.6,9.2,9.6,9.153125,0.251711248520162,0.300000000000001,96,0.59,1.96,2.72,1.86572916666667,0.59089182337364,0.755,0,NA,NA,NA,NA,NA,NA,96,7.1,7.3,7.5,7.3125,0.112624200446955,0.2,96,55,94.5,209,99.34375,31.2382451575999,39.5,96,0,96,0
"sfbgcwq",2006-01-04,96,10.9,11.6,12.9,11.7697916666667,0.655843336823773,1.325,96,0.98,2.98,5.66,2.88197916666667,1.49413493351886,2.5025,96,0.5,1.6,3.1,1.52708333333333,0.827358404698086,1.4,96,82.7,88.1,93.2,87.5635416666667,2.99888118757529,4.75,96,8.8,9.4,10.1,9.40729166666667,0.385048128684595,0.6,96,0.72,1.905,2.5,1.83854166666667,0.519242320809175,0.71,0,NA,NA,NA,NA,NA,NA,96,7.1,7.3,7.6,7.31875,0.141653766182492,0.2,96,64,92.5,249,106.864583333333,38.7033576108182,57.25,96,0,96,0
"sfbgcwq",2006-01-05,96,11.2,12.1,13,12.140625,0.539117822294709,1,96,0.95,2.09,3.51,2.11604166666667,0.716784455844538,1.0675,96,0.5,1.1,1.9,1.10104166666667,0.379055555341282,0.6,96,78.4,81.45,86.5,81.6333333333333,2.15346314311899,2.65000000000002,96,8.3,8.6,9.1,8.71875,0.217793963475381,0.300000000000001,96,0.78,1.79,2.51,1.76447916666667,0.467307787205024,0.675,0,NA,NA,NA,NA,NA,NA,96,7.2,7.3,7.4,7.27916666666667,0.066358938899969,0.0999999999999996,96,58,140.5,261,143.572916666667,59.0620984159744,104,96,0,96,0
"sfbgcwq",2006-01-06,96,11.2,12.1,13.5,12.19375,0.652575867740981,0.800000000000001,96,1.48,2.38,3.11,2.37354166666667,0.51092069457045,0.93,96,0.8,1.2,1.6,1.23645833333333,0.269549250129942,0.5,96,74.7,77.5,85.1,78.0979166666667,2.76808804114117,3.09999999999999,96,7.9,8.2,9.1,8.32395833333333,0.337715168578078,0.4,96,0.96,1.68,2.48,1.6890625,0.442457439225871,0.6475,0,NA,NA,NA,NA,NA,NA,96,7.2,7.3,7.5,7.29895833333333,0.0911849383530863,0.2,96,60,132,336,126.010416666667,46.4192552586955,73.5,96,0,96,0
"sfbgcwq",2006-01-07,96,12.3,12.55,13.3,12.7145833333333,0.348826353020243,0.625,96,2.08,2.665,3.19,2.62135416666667,0.405396803123133,0.8,96,1.1,1.4,1.7,1.36354166666667,0.220582860271631,0.5,96,71.5,75.15,83.3,76.578125,3.66305029995494,6.22499999999999,96,7.5,8,8.8,8.05625,0.359184016758453,0.625000000000001,96,1.01,1.67,2.55,1.6759375,0.470604489488058,0.71,0,NA,NA,NA,NA,NA,NA,96,7.2,7.3,7.5,7.31979166666667,0.102207005287429,0.2,96,68,116.5,157,109.541666666667,26.6193110222306,50.75,96,0,96,0
"sfbgcwq",2006-01-08,96,11.5,12.6,13.1,12.3895833333333,0.485251788503262,0.699999999999999,96,2.39,2.805,3.19,2.78052083333333,0.273785816370414,0.5225,96,1.2,1.5,1.7,1.46145833333333,0.161160130675357,0.3,96,70.3,76.5,85,77.0229166666667,4.50292254025192,7.72499999999999,96,7.4,8.05,9.2,8.16458333333333,0.537044380537276,0.8,96,0.82,1.58,2.52,1.6396875,0.492979028325162,0.5975,0,NA,NA,NA,NA,NA,NA,96,7.2,7.35,7.5,7.37708333333333,0.0923142991337822,0.2,96,67,107.5,158,106.645833333333,25.3057011120405,43.25,96,0,96,0
"sfbgcwq",2006-01-09,96,10.8,11.85,12.6,11.7604166666667,0.550498179482943,0.849999999999998,96,2.66,3.09,3.35,3.05708333333333,0.18119438045583,0.24,96,1.4,1.6,1.8,1.61666666666667,0.107278944485041,0.0999999999999999,96,71.7,76.35,82.4,76.4854166666667,3.05779346542453,4.02500000000001,96,7.7,8.1,9.1,8.21458333333333,0.399467847771894,0.5,96,0.66,1.64,2.53,1.62291666666667,0.536932646303674,0.68,0,NA,NA,NA,NA,NA,NA,96,7.2,7.4,7.5,7.39166666666667,0.0913831340728827,0.2,96,61,115.5,147,107.583333333333,24.4693865307854,34.25,96,0,96,0
"sfbgcwq",2006-01-10,95,10.5,11.3,12,11.3136842105263,0.429400999492388,0.799999999999999,95,2.89,3.29,3.57,3.20115789473684,0.164063189421577,0.285,95,1.5,1.7,1.9,1.69263157894737,0.0981120779681334,0.2,95,73.3,76.5,87.1,78.34,3.70567132919259,5.8,95,8,8.3,9.3,8.49052631578947,0.344276510656004,0.5,95,0.55,1.72,2.55,1.63231578947368,0.584664756881693,0.69,0,NA,NA,NA,NA,NA,NA,95,7.1,7.4,7.5,7.35052631578947,0.106064697448269,0.2,95,53,109,205,108.936842105263,32.1730065679871,32.5,95,0,95,0
