"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"sosvawq",2002-01-01,48,10.2,10.5,10.6,10.475,0.108176372926691,0.199999999999999,48,26.74,41.035,45.99,39.5333333333333,5.74541531685226,8.05,48,16.4,26.2,29.7,25.16875,3.9876488166721,5.625,48,81.4,93.7,99.8,92.7395833333333,5.80563701063809,10.4,48,8.2,8.8,9.3,8.81666666666667,0.342912018573671,0.6,48,0.36,2.17,3.54,2.09770833333333,0.905059630299111,1.1125,0,NA,NA,NA,NA,NA,NA,48,7.5,7.9,8,7.86875,0.167784372766598,0.2,48,2,6,18,7.625,4.69325001940882,7.25,48,0,48,0
"sosvawq",2002-01-02,48,10,10.6,10.9,10.5833333333333,0.211713710079109,0.199999999999999,48,26.23,40.645,45.65,39.0616666666667,5.92487806978709,8.025,48,16,25.9,29.5,24.8354166666667,4.11300426428349,5.65,48,85.8,94.55,101.1,94.0145833333333,4.78463807668069,9.00000000000001,48,8.4,8.95,9.3,8.93333333333333,0.233687674210717,0.4,48,0.4,2.255,3.43,2.13520833333333,0.880749172358356,1.145,0,NA,NA,NA,NA,NA,NA,48,7.5,7.9,8,7.88541666666667,0.145849796436496,0.2,48,2,7,73,9.77083333333333,11.1072902709491,6.5,48,0,48,0
"sosvawq",2002-01-03,48,9.4,10.4,10.7,10.2208333333333,0.382577114091983,0.525,48,25.22,38.105,45.23,37.74875,5.87215703055439,8.58500000000001,48,15.3,24.1,29.2,23.9083333333333,4.070173467647,5.975,48,85,93.3,101.4,93.975,5.38905510211364,10.9,48,8.4,9.1,9.5,9.05625,0.27437065316675,0.425000000000001,48,0.51,2.135,3.17,2.053125,0.787917147199541,1.115,0,NA,NA,NA,NA,NA,NA,48,7.6,7.9,8,7.88958333333333,0.127562389130054,0.2,48,3,6,17,6.72916666666667,3.48699458067743,4,48,0,48,0
"sosvawq",2002-01-04,48,9.2,10,10.5,9.92708333333333,0.448515083516535,0.9,48,27.45,37.875,45.12,37.6260416666667,5.36096202052029,8.8725,48,16.8,23.95,29.1,23.80625,3.73137395549477,6.175,48,85.5,93.1,101.3,93.6979166666667,4.94804881309164,8.99999999999997,48,8.7,9.1,9.4,9.09375,0.212789227450896,0.4,48,0.72,2.055,2.97,2.01041666666667,0.682152283283324,1.125,0,NA,NA,NA,NA,NA,NA,48,7.7,7.9,8,7.90416666666667,0.107105701088568,0.2,48,2,5,123,7.97916666666667,17.6520622426514,3,48,0,48,0
"sosvawq",2002-01-05,48,9.4,10.35,10.7,10.20625,0.332883117944972,0.4,48,29.07,38.52,44.97,37.874375,4.52620732982408,6.40499999999999,48,17.9,24.4,29,23.9729166666667,3.15424331441391,4.55,48,87.3,92,101,93.51875,4.12525466654239,6.925,48,8.6,9,9.4,9.01458333333333,0.213371699785852,0.299999999999999,48,1.01,2.06,3.06,2.05541666666667,0.60301356088394,1.045,0,NA,NA,NA,NA,NA,NA,48,7.7,7.9,8,7.9125,0.091384155244699,0.2,48,2,4,14,4.6875,2.51088057792396,2.25,48,0,48,0
"sosvawq",2002-01-06,48,10.7,11.4,12.5,11.3270833333333,0.514777201686212,0.699999999999999,48,17.82,35.51,44.38,34.0658333333333,6.57637643009846,9.3575,48,10.6,22.35,28.6,21.4125,4.48670020431545,6.375,48,90.8,95.9,101,95.6958333333333,2.75178536500132,4.02499999999999,48,8.9,9.2,9.4,9.15,0.128824472367835,0.0999999999999996,48,1.14,2.11,3.15,2.10833333333333,0.5698649833871,0.9275,0,NA,NA,NA,NA,NA,NA,48,7.6,7.9,8,7.85625,0.118332833881675,0.125000000000001,46,2,9,22,9.58695652173913,4.63117977268822,7,48,0,48,0
"sosvawq",2002-01-07,48,11.3,11.95,12.5,11.9020833333333,0.350980137240825,0.525,48,16.65,28.945,43.24,29.109375,7.71111974269433,9.9375,48,9.8,17.9,27.8,18.075,5.20259755089664,6.7,48,88.3,95,102.9,95.41875,4.04609905380374,5.20000000000002,48,8.7,9.2,9.5,9.19791666666667,0.219757684089344,0.4,48,1.35,2.205,3.3,2.20291666666667,0.598309527569252,0.8775,0,NA,NA,NA,NA,NA,NA,48,7.4,7.8,8,7.77708333333333,0.187071022277333,0.2,48,3,10,27,10.1666666666667,4.86993963584125,5.25,48,0,48,0
"sosvawq",2002-01-08,48,11.3,11.8,12.5,11.7958333333333,0.380346053702909,0.699999999999999,48,13.54,24.28,41.46,24.981875,7.89334722738888,11.73,48,7.8,14.75,26.5,15.3125,5.26415518267025,7.775,48,90.6,95,104.8,96.13125,4.309374059795,6.52500000000001,48,8.9,9.4,9.9,9.45625,0.244867528233081,0.399999999999999,48,1.06,2.165,3.31,2.143125,0.655299691874041,0.8375,0,NA,NA,NA,NA,NA,NA,48,7.3,7.75,8,7.73125,0.211535671756638,0.300000000000001,48,5,9,16,9.41666666666667,2.90145475861886,5,48,0,48,0
"sosvawq",2002-01-09,48,10.9,11.1,11.8,11.19375,0.274758114123306,0.300000000000001,48,10.8,22.405,36.72,23.136875,7.09058685451983,10.64,48,6.1,13.5,23.2,14.0666666666667,4.65381716275975,6.95,48,87.5,91.7,103.4,93.7916666666667,4.93497432933604,8.42499999999998,48,8.8,9.4,10,9.42083333333333,0.320211587849203,0.5,48,0.72,2.005,3.26,2.03375,0.718999378569258,0.85,0,NA,NA,NA,NA,NA,NA,48,7.2,7.7,8,7.69166666666667,0.252505178656254,0.4,48,5,8.5,16,9.39583333333333,3.17396043180992,5,48,0,48,0
"sosvawq",2002-01-10,48,10.6,10.7,10.9,10.7145833333333,0.0824868353992591,0.100000000000001,48,11.91,25.5,37.71,25.253125,7.79127503187639,12.075,48,6.8,15.55,23.9,15.475,5.15815817367797,8,48,87.4,92.9,103.5,94.3666666666667,4.33993496045654,6.79999999999998,48,8.7,9.5,9.9,9.49166666666667,0.289411238980498,0.399999999999999,48,0.56,2.03,3.28,1.9975,0.76298545760102,0.9625,0,NA,NA,NA,NA,NA,NA,48,7.3,7.8,8,7.76458333333333,0.21386969917908,0.4,48,5,8,14,8.39583333333333,2.74241377865072,4,48,0,48,0
"sosvawq",2002-01-11,48,10,10.45,10.9,10.4395833333333,0.223834649584487,0.299999999999999,48,15.18,29.395,39.79,28.8945833333333,7.19503905873607,11.28,48,8.9,18.15,25.3,17.8833333333333,4.81696175689364,7.65,48,90.1,95.35,104.6,96.6354166666667,4.52677564001525,8.25000000000001,48,9.1,9.6,10,9.62916666666667,0.247505283273362,0.5,48,0.39,2.065,3.28,1.97479166666667,0.811282120521594,0.95,0,NA,NA,NA,NA,NA,NA,48,7.4,7.9,8,7.84583333333333,0.172538411798936,0.3,48,4,7,22,8.27083333333333,3.80223665045974,4.5,48,0,48,0
"sosvawq",2002-01-12,48,10,10.3,10.7,10.35,0.229708418319417,0.325000000000001,48,15.93,31.31,41.2,30.4689583333333,7.93004715168921,12.115,48,9.3,19.45,26.3,18.9541666666667,5.34550749270918,8.22499999999999,48,93.9,98.15,104,99.0479166666667,2.74443263006999,3.74999999999999,48,9.4,9.7,10.5,9.83125,0.30117235469751,0.225000000000001,48,0.33,2.035,3.27,1.96041666666667,0.83335762375946,1.0475,0,NA,NA,NA,NA,NA,NA,48,7.6,7.9,8,7.88125,0.136297937106819,0.2,48,3,8,19,8.77083333333333,3.73733084486397,3,48,0,48,0
"sosvawq",2002-01-13,48,8.5,9.7,10.6,9.62916666666667,0.66106243736828,1.125,48,15.69,31.385,40.36,30.0270833333333,7.56619355614684,11.1775,48,9.2,19.45,25.7,18.6333333333333,5.08378035471985,7.55,48,91.3,98.2,103.9,98.0916666666667,3.60819595008148,4.87500000000001,48,9.2,9.8,10.8,9.92708333333333,0.407242717805578,0.375000000000002,48,0.2,1.92,3.13,1.85166666666667,0.846299412167739,1.1375,0,NA,NA,NA,NA,NA,NA,48,7.6,7.9,8,7.88125,0.134727858086889,0.2,48,4,7,18,7.64583333333333,3.34848065472021,4,48,0,48,0
"sosvawq",2002-01-14,23,8.8,9.8,10.4,9.66086956521739,0.531497994894689,0.85,23,27.93,36.21,42.1,35.5208695652174,4.66929225028559,6.115,23,17.1,22.8,26.9,22.3304347826087,3.22947149948841,4.2,23,91.4,97,101.2,96.8304347826087,3.35998306037514,6.20000000000002,23,9.2,9.6,9.8,9.55652173913044,0.147173635721156,0.0999999999999996,23,1.49,2.14,2.84,2.10565217391304,0.410983588335864,0.71,0,NA,NA,NA,NA,NA,NA,23,7.9,8,8,7.96521739130435,0.0486984753557672,0.0999999999999996,23,3,5,12,5.65217391304348,2.49742950855427,3,23,0,23,0
"sosvawq",2002-01-15,24,7,8.2,10,8.48333333333333,1.09213260329889,2.15,24,20.21,30.79,43.71,32.00625,8.60669194264859,16.5425,24,12,19.05,28,19.95,5.88417184154827,11.4,24,95.8,98.75,104.5,98.95,2.49538704848349,3.20000000000002,24,9.6,10.15,10.9,10.1916666666667,0.449073119510249,0.799999999999999,24,0.3,1.445,2.99,1.5775,0.965767322774554,1.8,0,NA,NA,NA,NA,NA,NA,24,7.7,7.9,8,7.89166666666667,0.113890361720181,0.2,23,2,4,11,5.1304347826087,2.56381015865923,3.5,24,0,24,0
"sosvawq",2002-01-16,48,6.9,8.15,9.9,8.36458333333333,1.01928000941285,2.025,48,24.44,36.815,45.28,36.2316666666667,6.53062127093565,12.05,48,14.7,23.1,29.1,22.7916666666667,4.53111387054016,8.375,48,90.9,96.95,100.3,96.40625,2.63312824634542,2.625,48,9.2,9.6,10.7,9.78125,0.438884587165081,0.625,48,0.43,1.905,2.84,1.82125,0.699840787364937,0.93,0,NA,NA,NA,NA,NA,NA,48,7.8,8,8,7.95416666666667,0.0617418556377166,0.0999999999999996,48,2,4,20,4.3125,2.67499254323876,2,48,0,48,0
"sosvawq",2002-01-17,48,7.1,8.25,9.6,8.40833333333333,0.810262193795956,1.6,48,24.59,36.84,44.45,35.9108333333333,6.1008893085033,10.5925,48,14.9,23.1,28.5,22.5541666666667,4.20652777080157,7.35,48,91.7,97.95,103.1,97.7645833333333,3.34259992981214,4.79999999999998,48,9.4,9.8,10.7,9.91666666666667,0.374355237670894,0.525,48,0.57,1.925,2.7,1.82291666666667,0.639161546300701,0.915,0,NA,NA,NA,NA,NA,NA,48,7.8,8,8,7.95416666666667,0.0682870453847279,0.0999999999999996,48,1,4,22,3.89583333333333,3.04742362991131,2,48,0,48,0
"sosvawq",2002-01-18,48,7.6,8.5,9.7,8.59375,0.632928435334769,1.225,48,26.58,37.67,45.04,36.6822916666667,5.4496821065138,10.27,48,16.2,23.7,29,23.0916666666667,3.77110138736137,7.17499999999999,48,91.5,97.4,102.3,97.1583333333333,2.78031326363984,3.55,48,9.3,9.7,10.3,9.78541666666667,0.263357683585549,0.4,48,0.76,1.885,2.6,1.83333333333333,0.56344054542334,0.805,0,NA,NA,NA,NA,NA,NA,48,7.8,8,8,7.95833333333333,0.0577350269189625,0.0999999999999996,48,1,2,4,2.27083333333333,0.843992117875197,1,48,0,48,0
"sosvawq",2002-01-19,48,7.6,8.45,9.5,8.52083333333333,0.548870535962924,0.800000000000001,48,24.8,35.93,43.85,35.728125,5.24833009156246,8.4,48,15,22.55,28.1,22.4291666666667,3.62250403188084,5.9,48,92.3,97.3,101.4,97.0166666666667,2.41760681150502,3.14999999999998,48,9.5,9.7,10.7,9.82708333333333,0.349309095174505,0.300000000000001,48,0.94,1.865,2.66,1.83916666666667,0.498400989263957,0.7475,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8,7.95208333333333,0.0504852341308645,0.0999999999999996,48,1,3,10,3.5625,1.71236119176529,2,48,0,48,0
"sosvawq",2002-01-20,48,7.9,8.5,9.3,8.59166666666667,0.381393488287099,0.6,48,27.27,35.255,44.28,35.898125,5.24712795048143,9.59999999999999,48,16.7,22.05,28.4,22.54375,3.63048008372142,6.67499999999999,48,93.7,98.25,101.4,98.125,1.58537196118739,1.92500000000001,48,9.2,9.9,10.4,9.91458333333333,0.272099468149748,0.4,48,1.21,1.875,2.64,1.86875,0.421676618053178,0.69,0,NA,NA,NA,NA,NA,NA,48,7.9,8,8,7.95208333333333,0.0504852341308645,0.0999999999999996,48,2,4,12,4.58333333333333,2.11210627284742,2,48,0,48,0
