"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"soswiwq",2002-01-01,48,9.6,10.15,10.3,10.0541666666667,0.209313298042883,0.199999999999999,48,0.67,22.05,38.26,17.6866666666667,13.6960462276346,26.7725,48,0.3,13.25,24.2,10.8229166666667,8.60369142901312,16.675,48,75.9,86.45,89.7,85.13125,3.60367166485587,5.325,48,7.7,8.8,10.2,8.98958333333333,0.725885983466348,1.325,43,0.06,1.28,2.5,1.28790697674419,0.693598477711348,1.035,0,NA,NA,NA,NA,NA,NA,48,6.4,6.95,7.6,6.8875,0.393903001344347,0.624999999999999,48,24,46,153,48.875,21.7780144846498,12.5,48,0,48,0
"soswiwq",2002-01-02,48,9.2,10.4,10.8,10.2479166666667,0.41666843971254,0.4,48,0.45,18.955,36.38,16.4585416666667,14.1283020602127,28.3175,48,0.2,11.25,22.9,10.08125,8.86927894716099,17.625,48,77.2,86.7,92.6,86.84375,3.8325540758978,5.27500000000001,48,7.8,9.15,10.5,9.16666666666667,0.757187779440036,1.225,48,0.09,1.2,2.38,1.19979166666667,0.715888050154918,1.115,0,NA,NA,NA,NA,NA,NA,48,6.4,7,7.5,6.9125,0.377914208433832,0.7,48,40,77,172,81.7916666666667,34.0162403849849,37,48,0,48,0
"soswiwq",2002-01-03,48,8.6,9.25,10,9.33125,0.428831291530533,0.625,48,0.3,6.145,31.84,13.2664583333333,13.2360671811441,26.3225,48,0.1,3.4,19.8,8.07083333333333,8.17106879473101,16.15,48,80.9,89.1,94.2,88.7854166666667,3.56871689101657,4.77500000000001,48,8.3,9.95,11,9.71458333333333,0.928276734080662,1.725,48,0.13,1.1,2.13,1.115,0.634128653300078,1.065,0,NA,NA,NA,NA,NA,NA,48,6.4,6.8,7.3,6.84166666666667,0.322776078982196,0.6,48,43,142.5,353,152.395833333333,71.2032570326438,97,48,0,48,0
"soswiwq",2002-01-04,48,8,8.8,9.4,8.73958333333333,0.384674265814783,0.425000000000001,48,0.27,6.16,29.39,12.4672916666667,12.6296979865818,25.6175,48,0.1,3.35,18.1,7.53958333333333,7.7611893030104,15.65,48,81.8,90.65,95.5,90.3333333333333,3.76028141394454,5.92500000000001,48,8.5,10.3,11.2,10.0541666666667,0.939660041136049,1.8,48,0.02,1.02,1.95,1.0175,0.608673129621642,1.04,0,NA,NA,NA,NA,NA,NA,48,6.5,6.85,7.3,6.86041666666667,0.287127804098671,0.524999999999999,48,45,137.5,348,140.0625,61.6404834676664,76.75,48,0,48,0
"soswiwq",2002-01-05,48,8.7,9.35,10.5,9.41041666666667,0.465964834456802,0.6,48,0.26,8.91,32.17,13.874375,13.1307828850961,27.385,48,0.1,5,20,8.42291666666667,8.1284957019049,16.85,48,82.3,90.05,94.8,89.7416666666667,3.57936362662851,6.17500000000001,48,8.4,9.75,11,9.77291666666667,0.855704160285012,1.6,48,0.04,1.025,2.04,1.02583333333333,0.586688627893272,0.995,0,NA,NA,NA,NA,NA,NA,48,6.5,6.85,7.3,6.91458333333333,0.318900760481158,0.7,48,51,112,193,118.375,33.3955182367016,41.75,48,0,48,0
"soswiwq",2002-01-06,48,10.5,11.2,11.8,11.2479166666667,0.373020781654453,0.699999999999999,48,0.14,0.305,30.48,5.76583333333333,10.2273793638685,1.7625,48,0.1,0.15,18.9,3.475,6.26644220210643,0.875,48,80.8,83.95,95.4,86.7291666666667,5.25121904117889,10.65,48,8.4,9.1,10.5,9.30625,0.563199919154975,0.425000000000001,48,0.08,1.065,2.12,1.08333333333333,0.542928753342162,0.8625,0,NA,NA,NA,NA,NA,NA,48,6.1,6.3,7.5,6.50208333333333,0.424008020464755,0.5,45,38,157,712,201.777777777778,131.389062933662,105,48,0,48,0
"soswiwq",2002-01-07,48,11.2,11.3,12.3,11.4770833333333,0.315041087042345,0.299999999999999,48,0.12,0.16,16.16,1.663125,4.3519460827826,0.04,48,0.1,0.1,9.5,0.975,2.531629699654,0,48,77.7,83.8,92.4,83.8020833333333,2.88049120983368,1.625,48,8.5,9.15,9.4,9.08958333333333,0.226198541422892,0.199999999999999,48,0.45,1.175,2.29,1.20291666666667,0.560770588103789,0.825,0,NA,NA,NA,NA,NA,NA,48,5.9,6.1,6.9,6.21041666666667,0.208581412579738,0.100000000000001,39,32,200,844,256.128205128205,207.855488701972,359,48,0,48,0
"soswiwq",2002-01-08,48,10.3,11.1,11.8,11.0770833333333,0.375437097506889,0.324999999999999,48,0.12,0.14,18.71,3.05958333333333,6.39837078941704,0.1675,48,0.1,0.1,11.1,1.80416666666667,3.77088275309491,0.025,48,81,87.2,89.7,86.3458333333333,2.52265971877651,4.05,48,8.4,9.3,9.9,9.41458333333333,0.393018641392835,0.700000000000001,48,0.35,1.125,2.27,1.16229166666667,0.590291091492185,0.835,0,NA,NA,NA,NA,NA,NA,48,6.1,6.2,7,6.30833333333333,0.268037257916144,0.0999999999999996,48,14,46.5,558,78.5,91.9481815214764,65.5,48,0,48,0
"soswiwq",2002-01-09,48,9.5,9.9,11.1,10.00625,0.438278183300797,0.325000000000001,48,0.13,0.15,13.64,1.84520833333333,4.13607378302811,0.0925,48,0.1,0.1,7.9,1.05833333333333,2.37646557990691,0,48,82.2,89.4,92.6,89.1770833333333,2.57072219204108,3.55,48,8.8,10.2,10.5,10.0145833333333,0.491627597918853,0.5,48,0.23,0.995,2.22,1.080625,0.610456425858833,0.8175,0,NA,NA,NA,NA,NA,NA,48,6.2,6.3,6.8,6.35208333333333,0.177439930900613,0.2,48,7,29.5,79,32.2708333333333,18.7125394109317,24.5,48,0,48,0
"soswiwq",2002-01-10,48,9.2,9.7,10,9.63333333333333,0.27392601372069,0.6,48,0.13,0.195,14.66,2.164375,4.32715124521159,0.59,48,0.1,0.1,8.5,1.23333333333333,2.49410652857622,0.25,48,85.7,91.55,95.1,91.4854166666667,2.83180940452321,4.02499999999999,48,9.2,10.5,10.8,10.35,0.459416836638835,0.324999999999999,48,0.18,0.99,2.28,1.05625,0.632891456526853,0.9225,0,NA,NA,NA,NA,NA,NA,48,6.3,6.4,7,6.45,0.185655824326583,0.2,48,4,11.5,33,13.8125,6.70869949663645,8.25,48,0,48,0
