"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"tjrsbwq",2008-01-01,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"tjrsbwq",2008-01-02,44,12.4,14.95,15.5,14.7727272727273,0.762603751649307,0.549999999999999,44,51.44,51.685,52.22,51.7490909090909,0.22420731873848,0.362499999999997,44,33.8,34,34.3,34.0409090909091,0.152983023557612,0.300000000000004,44,92.1,100.5,106.7,100.684090909091,4.16491118763002,7.05,44,7.6,8.2,8.8,8.28181818181818,0.363620507053859,0.699999999999999,44,0.48,1.08,1.3,1.01909090909091,0.230498127741155,0.25,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,44,8.1,8.2,8.3,8.21363636363636,0.0408679614715669,0,44,6,9,11,8.86363636363636,1.40747025398629,2,44,0,44,0
"tjrsbwq",2008-01-03,96,12.9,14.5,15.5,14.3510416666667,0.781899817471141,0.950000000000001,96,50.76,51.42,52.05,51.455,0.240263013777555,0.222499999999997,96,33.3,33.8,34.2,33.8145833333333,0.167318899216699,0.199999999999996,96,80.5,89.4,108.4,91.396875,6.56819214291998,9.02500000000001,96,6.6,7.45,9.3,7.6,0.609745417108001,0.6,96,0.31,1.235,2.01,1.19895833333333,0.480058064835948,0.625,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.3,8.21354166666667,0.037331492749115,0,96,7,9,17,9.63541666666667,1.94730470497945,2,96,0,96,0
"tjrsbwq",2008-01-04,96,14.1,15.1,16.7,15.2375,0.750894203775178,1.225,96,49.57,51.19,51.67,51.1476041666667,0.368883792261171,0.115000000000009,96,32.5,33.6,34,33.6083333333333,0.267017313322629,0.100000000000001,96,79.3,89.4,127.5,93.4625,10.3181725228127,10.025,96,6.6,7.3,10.5,7.63541666666667,0.837160509877434,0.7,96,0.18,1.245,2.11,1.205625,0.547973899685781,0.725,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.4,8.20104166666667,0.0552407013688216,0,96,6,10,40,11.40625,5.88946986265809,4,96,0,96,0
"tjrsbwq",2008-01-05,96,14.9,15.7,17.3,15.7114583333333,0.529124359408351,0.5,96,31.89,50.205,51.17,47.87125,5.14288107868281,2.6175,96,19.9,32.9,33.6,31.2625,3.67246511215559,1.9,96,82.8,91.35,95.7,90.8395833333333,2.67221489707328,2.90000000000001,96,6.9,7.4,8.4,7.47083333333333,0.336832510828271,0.2,96,0.1,1.27,2.21,1.21958333333333,0.595677264555877,0.7725,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.1,8.1,8.4,8.14791666666667,0.0767486213374092,0.0999999999999996,96,8,11,22,12.40625,3.56762673584496,4,96,0,96,0
"tjrsbwq",2008-01-06,96,15.2,15.5,16.1,15.5239583333333,0.239184928088209,0.399999999999999,96,6.31,49.17,50.53,42.3441666666667,13.9722646822509,5.005,96,3.5,32.2,33.2,27.5145833333333,9.50079197991484,3.675,96,54.2,85.25,91.8,81.6760416666667,9.30553592779636,5.97499999999999,96,5,7,7.6,6.86354166666667,0.53016775729687,0.4,96,0.1,1.255,2.32,1.214375,0.635333004270823,0.79,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.5,8.1,8.1,7.99270833333333,0.212872480566315,0,96,7,11,53,15,9.16285407156755,7.25,96,0,96,0
"tjrsbwq",2008-01-07,96,13.1,15.1,17,14.9166666666667,0.838377714984396,0.199999999999999,96,3.09,46.68,49.38,37.0754166666667,18.3779314978686,10.5025,96,1.6,30.4,32.3,24.028125,12.1873938591869,7.47499999999999,96,54.5,88.55,91.7,81.225,13.7568432731534,7.69999999999999,96,5.5,7.3,7.6,7.01145833333333,0.680691566549733,0.525,96,0.22,1.255,2.34,1.23645833333333,0.638826191940165,0.84,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.3,8.1,8.1,7.93333333333333,0.259419054068962,0.199999999999999,96,6,13,269,41.2604166666667,62.8453816570003,16.75,96,0,96,0
"tjrsbwq",2008-01-08,96,13,15.3,18.4,15.2572916666667,1.13469168468719,0.825000000000001,96,3.09,45.725,47.87,37.0076041666667,17.0171604251827,3.7375,96,1.6,29.7,31.2,23.91875,11.2627313925643,2.7,96,61.5,83.5,100.4,81.2375,9.86724778990415,5.72500000000001,96,5.9,7,8.4,7.01145833333333,0.406750872070146,0.4,96,0.19,1.225,2.39,1.2125,0.646374504447693,0.8075,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.4,8,8.1,7.93229166666667,0.234181572229605,0.0999999999999996,96,6,10.5,99,20.6145833333333,22.6015229070808,7.25,96,0,96,0
"tjrsbwq",2008-01-09,96,12.7,15.8,18.3,15.7166666666667,1.31218312799834,0.9,96,4,46.33,47.54,37.4639583333333,16.6771269442322,5.52500000000001,96,2.1,30.1,31,24.2229166666667,11.0847593727098,3.975,96,70.3,84.65,93.9,83.084375,6.35365337299813,6.87500000000001,96,6.2,7.1,7.9,7.11666666666667,0.337378958151674,0.399999999999999,96,0.16,1.17,2.33,1.184375,0.640407456644842,0.805,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.6,8,8.1,7.940625,0.186139803147499,0.0999999999999996,96,5,12,77,18.4791666666667,15.4012844075911,10,96,0,96,0
"tjrsbwq",2008-01-10,96,13.1,16.5,17.8,16.128125,1.16118842253597,0.624999999999996,96,6.68,46.275,48.01,39.4592708333333,14.0602033559294,4.25749999999999,96,3.7,30.1,31.3,25.4916666666667,9.44882801606596,3.05,96,77.2,84.8,95.8,84.9270833333333,4.56288180329901,6.72500000000001,96,6.2,7,8.8,7.190625,0.733280749709643,1,96,0.1,1.13,2.21,1.1434375,0.628045972378657,0.795,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.7,8,8.1,7.96354166666667,0.107722637670392,0,96,8,13,57,16.78125,9.75834662980202,9,96,0,96,0
"tjrsbwq",2008-01-11,96,13.3,16.6,17.8,16.4229166666667,1.08068975699652,0.924999999999997,96,9.48,46.74,48.12,41.7454166666667,11.1872783874944,3.19750000000001,96,5.4,30.4,31.4,27.0020833333333,7.62415799204865,2.25,96,78.6,86.15,98.2,86.4208333333333,5.53241008996159,8.72500000000001,96,6.4,7.1,9.2,7.21041666666667,0.77302946994504,1,96,0.07,1.1,2.09,1.10114583333333,0.582417592619748,0.7525,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.8,8,8.1,7.98541666666667,0.0894181974493319,0,96,8,11,76,14.1875,8.49310866154685,7.25,96,0,96,0
"tjrsbwq",2008-01-12,96,14.4,16.7,17.4,16.5458333333333,0.714646274912011,0.600000000000001,96,17.1,47.235,48.09,43.9629166666667,7.63887245973778,2.16,96,10.1,30.8,31.4,28.4958333333333,5.31203037139912,1.525,96,78.8,89.45,102.2,89.5541666666667,5.31274369926078,6.77500000000002,96,6.4,7.3,8.8,7.36770833333333,0.571331739132661,0.8,96,0.16,1.09,1.88,1.0975,0.504704186419603,0.705,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.8,8.1,8.1,8.02916666666667,0.0905150951838439,0.0999999999999996,96,7,12,41,13.0104166666667,5.08971055255325,6,96,0,96,0
"tjrsbwq",2008-01-13,96,15.3,16.3,17.4,16.41875,0.421354332698989,0.699999999999999,96,31.2,47.48,48.37,46.1544791666667,3.41871871036709,1.75,96,19.5,31,31.6,30.0104166666667,2.4340773315859,1.3,96,77.8,93.5,112.4,92.6,7.49363238461759,8.57500000000002,96,6.3,7.6,8.9,7.55416666666667,0.566413772257975,0.6,96,0.34,1.125,1.71,1.10489583333333,0.419056571464664,0.7025,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7.9,8.1,8.2,8.08020833333333,0.0705165776204306,0.0999999999999996,96,7,13,29,13.2708333333333,4.42832786944443,5,96,0,96,0
"tjrsbwq",2008-01-14,96,15.3,16.5,17.8,16.3614583333333,0.557507572130152,0.799999999999999,96,38.48,47.755,48.69,47.3422916666667,1.5867401068438,1.1375,96,24.5,31.15,31.8,30.8552083333333,1.14348219710135,0.800000000000001,96,83.9,101.6,114.1,100.522916666667,7.58010525085471,10.225,96,7,8.3,9.1,8.17083333333333,0.534871684891101,0.625,96,0.52,1.115,1.79,1.12229166666667,0.353125828674699,0.5725,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.2,8.17083333333333,0.0456915670364412,0.0999999999999996,96,7,13,71,14.4895833333333,7.61300105659518,6,96,0,96,0
"tjrsbwq",2008-01-15,96,14.2,17,18.3,16.7020833333333,1.15010106344632,1.475,96,41.71,47.95,48.39,47.2811458333333,1.34720597400825,1.35249999999999,96,26.8,31.3,31.6,30.815625,0.981870194550873,1,96,81.5,104.5,120,102.977083333333,10.9376556630527,13.1,96,6.9,8.3,9.5,8.30208333333333,0.703072829448537,0.925,96,0.71,1.055,1.83,1.12604166666667,0.336143700996015,0.405,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.3,8.21458333333333,0.0597876358748933,0.100000000000001,96,9,14.5,29,14.6041666666667,4.01439296496905,4,96,0,96,0
"tjrsbwq",2008-01-16,96,15,17.85,18.9,17.5354166666667,1.00765273536458,1.225,96,40.42,48.04,48.83,47.4642708333333,1.79328381221165,0.815000000000005,96,25.9,31.4,32,30.9541666666667,1.29857546781619,0.599999999999998,96,82.5,101.1,114.5,100.575,8.95285899646176,14.6,96,7,7.95,8.9,7.971875,0.553401562586956,0.925000000000001,96,0.53,1.05,1.95,1.14135416666667,0.408152757243675,0.445,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.3,8.19895833333333,0.0397221711037173,0,96,8,17,31,17.15625,5.22811856064976,8,96,0,96,0
"tjrsbwq",2008-01-17,96,14.6,16.9,18.3,16.6864583333333,1.19010125988167,2.125,96,31.37,48.065,49.01,45.963125,4.70480120112479,1.065,96,19.6,31.4,32.1,29.8864583333333,3.34801181509789,0.724999999999998,96,79.3,93.7,119.3,95.078125,9.46757572621307,10.825,96,6.5,7.5,9.8,7.725,0.785124864356988,0.750000000000001,96,0.29,1.12,2.07,1.15572916666667,0.512298730268862,0.7075,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,8.1,8.2,8.3,8.17916666666667,0.0541278538407308,0.0999999999999996,96,9,22,35,20.40625,6.43113827200786,9,96,0,96,0
"tjrsbwq",2008-01-18,95,14.3,16.4,19.3,16.6378947368421,1.48231984283466,2.2,95,29.77,48.5,49.27,46.0673684210526,5.56746766426256,1.89,95,18.5,31.7,32.3,29.9694736842105,3.94351268201793,1.4,95,76.1,86,146,93.3968421052632,17.5820293447332,13.6,95,6.4,7,12.7,7.61789473684211,1.59780294283148,0.65,95,0.09,1.22,2.18,1.17947368421053,0.602777910516382,0.795,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,57,8.1,8.1,8.3,8.14035087719298,0.0650814026618288,0.0999999999999996,95,9,20,36,20.1684210526316,5.49594169728697,6,95,0,95,0
"tjrsbwq",2008-01-19,96,14.6,16.2,18.3,16.2385416666667,0.887974607468464,0.824999999999999,96,33.3,49.03,49.55,46.2330208333333,5.56986215832307,1.92249999999999,96,20.9,32.1,32.5,30.084375,3.96472148421152,1.475,96,78.6,85.35,165.7,95.428125,23.2034285267229,11.55,96,6.4,7,13.9,7.8375,2.06143792431144,0.725000000000001,96,0.08,1.22,2.34,1.18635416666667,0.676498912422461,0.925,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,6,12.5,76,15.34375,13.0890296572519,6,96,0,96,0
"tjrsbwq",2008-01-20,96,14.2,15.5,17.8,15.7416666666667,1.05328225503515,1.225,96,35.39,49.355,49.86,46.9577083333333,4.88392303037903,0.872500000000002,96,22.4,32.3,32.7,30.59375,3.48152454506567,0.650000000000002,96,77,86.8,179.9,97.2552083333333,25.7433603899465,10.975,96,6.5,7.1,15,8.02916666666667,2.20549155120942,0.9,96,0.01,1.225,2.42,1.18760416666667,0.724244426305849,0.9175,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,6,10,33,10.9270833333333,4.30237337601778,4,96,0,96,0
"tjrsbwq",2008-01-21,96,14.7,15.5,16.7,15.5333333333333,0.575950777623934,0.800000000000001,96,38.05,49.62,49.93,47.5332291666667,4.23015652187498,0.637500000000003,96,24.2,32.5,32.7,31.0010416666667,3.03757156438691,0.524999999999999,96,80.1,85.75,161.6,95.6177083333333,22.8627805777341,7,96,6.5,7,13.6,7.90625,1.98726537840584,0.6,96,0.06,1.225,2.54,1.2103125,0.746597126793857,0.9575,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,5,11,43,11.9791666666667,6.24749072435303,6,96,0,96,0
"tjrsbwq",2008-01-22,96,14.9,15.5,16.9,15.7333333333333,0.561889044425689,0.725000000000001,96,36.39,49.635,49.96,47.2783333333333,4.68279283888684,0.740000000000002,96,23.1,32.5,32.7,30.821875,3.34066501810012,0.5,96,78,89.3,180.5,98.684375,27.406185733286,12.8,96,6.5,7.2,15.3,8.15,2.3844231344731,1.025,96,0.07,1.14,2.55,1.20395833333333,0.742015007887189,0.9475,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,5,10,28,10.1354166666667,4.02261970589386,5,96,0,96,0
"tjrsbwq",2008-01-23,96,13.1,15,17,14.9604166666667,0.611207461835594,0.9,96,39.55,49.69,50.14,47.9357291666667,3.57643478599971,1.13499999999999,96,25.2,32.5,32.9,31.2760416666667,2.58256277415596,0.800000000000004,96,81.8,90.35,128.8,95.4583333333333,14.1156029135859,10.775,96,6.9,7.4,11.3,7.990625,1.3863301137213,0.925000000000001,96,0,1.155,2.45,1.18104166666667,0.734433514839361,1.025,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,6,11,50,14.65625,9.82995221383684,10,96,0,96,0
"tjrsbwq",2008-01-24,96,12.8,14.7,16.3,14.590625,0.591176903793566,0.800000000000001,96,16.24,48.62,49.75,44.0582291666667,10.2896988851438,2.365,96,9.6,31.75,32.6,28.6,7.10048182205005,1.7,96,91.5,96.65,108,97.69375,4.69855100844371,8.575,96,7.6,8.1,10.7,8.36875,0.751463484422931,0.899999999999999,96,0.06,1.185,2.31,1.17479166666667,0.663026520334343,0.98,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,6,12,44,13.5104166666667,6.44979769844584,7.5,96,0,96,0
"tjrsbwq",2008-01-25,96,13,14.55,15.5,14.434375,0.70574009305648,1.3,96,9.81,48.455,49.66,43.1673958333333,11.8769455797703,2.1975,96,5.6,31.6,32.5,28.0052083333333,8.09403119642938,1.625,96,94.9,105.7,122.3,106.108333333333,7.60737407722778,9.52500000000002,96,8,8.7,12,9.16875,1.15031460227649,1.05,96,0.17,1.19,2.12,1.1709375,0.573071278977994,0.945,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,6,10,22,11.2395833333333,3.30786874195986,4,96,0,96,0
