"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"tjrtlwq",2002-09-27,33,19.6,22,23.7,21.9030303030303,1.26503084164104,1.7,33,47.54,50.71,52.31,50.5742424242424,1.47937493198781,2.71,33,31,33.3,34.5,33.2151515151515,1.07561645467878,1.90000000000001,33,27.3,79.1,164.8,92.9181818181818,44.4459675796456,67.2,33,2.1,5.7,11.5,6.64545454545455,3.04272605046557,4.6,33,0.01,0.34,0.75,0.35,0.272901080979904,0.54,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,33,0,33,12
"tjrtlwq",2002-09-28,48,19.6,21.3,22.7,21.3916666666667,0.904323735417641,1.4,48,46.08,49.575,52.74,49.6645833333333,2.27380266208378,4.6625,48,29.9,32.45,34.8,32.5604166666667,1.67392259198914,3.45,48,21.8,60.5,156.3,70.2354166666667,47.2509348757377,82.575,48,1.6,4.45,11,5.06458333333333,3.31190564050838,5.875,48,0.04,0.25,0.71,0.325416666666667,0.215978311887267,0.3525,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,15,48,26
"tjrtlwq",2002-09-29,48,19.9,21.5,24.3,21.88125,1.43046730201276,2.4,48,46.65,50.835,52.95,50.3979166666667,1.78568177376685,1.92,48,30.4,33.4,34.9,33.0916666666667,1.29726936347793,1.325,48,23,39.6,160.5,68.8520833333333,49.9570197805535,86.55,48,1.7,2.85,11.1,4.8875,3.43155724218364,6.125,48,0.04,0.42,0.75,0.413958333333333,0.216635192749444,0.335,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6,48,32
"tjrtlwq",2002-09-30,48,19.5,21.2,24,21.4354166666667,1.3447280170043,1.55,48,49.52,51.24,52.39,51.1883333333333,0.845695819097929,1.45999999999999,48,32.4,33.7,34.5,33.6770833333333,0.609931835512487,1.05,48,20.2,26.6,198.3,66.00625,56.2381236871489,83.7,48,1.5,2,14,4.72083333333333,3.93819044379918,6,48,0.13,0.52,0.75,0.480416666666667,0.181165944070016,0.2025,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,24,48,30
"tjrtlwq",2002-10-01,48,19,20.2,22,20.4791666666667,0.825641809238801,1.125,48,51.75,52.225,53.22,52.3702083333333,0.502777348392643,1.035,48,34.1,34.45,35.2,34.55,0.382043776036871,0.799999999999997,48,19.6,44.9,139.9,57.8416666666667,41.5883311853234,59.175,48,1.5,3.35,10,4.23125,2.96577328368383,4.3,48,0.17,0.435,0.8,0.451041666666667,0.178828808942523,0.2075,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,20,48,29
"tjrtlwq",2002-10-02,48,16.8,19,24.4,19.625,2.38679879978148,3.55,48,50.27,52.92,53.66,52.6514583333333,0.850339080260598,0.93,48,33,34.95,35.5,34.7479166666667,0.635472544339981,0.725000000000001,48,16.8,56.3,298.3,82.6875,86.3137907794774,83.05,48,1.3,4.2,21,5.9625,6.02111974459264,6.2,48,0.05,0.35,0.87,0.387708333333333,0.258104708946082,0.4075,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,19,48,29
"tjrtlwq",2002-10-03,27,16.1,17.8,23,18.1703703703704,1.76827051855213,1.95,27,49.64,52.41,53.82,52.3137037037037,1.16353952082609,1.99,27,32.5,34.6,35.6,34.5111111111111,0.855899586729719,1.45,27,15.7,17.6,326,59.8259259259259,85.4358490447324,27.4,27,1.2,1.3,23,4.42962962962963,6.07642448097024,2.1,27,0.06,0.14,0.63,0.25,0.207104581533842,0.34,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,27,17,27,21
"tjrtlwq",2002-10-04,19,17.3,22.1,24,21.0736842105263,2.61721694962483,4.65,19,45.45,50.41,51.91,49.5289473684211,2.09117961058889,2.66499999999999,19,29.4,33.1,34.2,32.4421052631579,1.56535966384502,2,19,55.4,135.4,342.1,176.378947368421,100.068579700498,182.55,19,4.2,9.7,24.3,12.7894736842105,6.90361376678444,12.35,19,0.01,0.61,0.9,0.498947368421053,0.344204311691667,0.7,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,19,0,19,3
"tjrtlwq",2002-10-05,48,15.6,18.2,23.5,18.9458333333333,2.57854967757387,4.65,48,46.2,50.94,52.4,50.3914583333333,1.66383048131935,2.075,48,30,33.5,34.5,33.0854166666667,1.22786609279838,1.55,48,18.6,69.6,318.2,110.252083333333,103.465854146625,102.3,48,1.5,5.35,22.7,8.13958333333333,7.30979347681991,7.375,47,0,0.28,0.88,0.357234042553191,0.330142934312974,0.67,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6,48,22
"tjrtlwq",2002-10-06,48,15.5,18.2,24.1,19.1416666666667,2.77426113094911,4.45,48,45.75,50.845,52.14,50.2589583333333,1.58025885246062,1.76500000000001,48,29.7,33.4,34.4,33,1.16326759146883,1.34999999999999,48,16.9,70.1,299.9,104.679166666667,91.758883756435,100.3,48,1.4,5.5,20.8,7.69791666666667,6.38710434785237,7.1,48,0,0.245,0.89,0.359583333333333,0.335977192319457,0.6675,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,8,48,22
