"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"welhtwq",2002-03-12,17,1.8,2.5,2.8,2.42352941176471,0.349158652629263,0.6,17,0.1,0.1,0.11,0.102941176470588,0.00469668218313862,0.01,17,0.1,0.1,0.1,0.1,0,0,17,98.6,98.9,99.6,99,0.239791576165635,0.299999999999997,17,13.4,13.5,13.7,13.5294117647059,0.104670350878083,0.0999999999999996,17,0.15,0.16,0.2,0.161764705882353,0.0128623938856882,0.02,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,17,6,6,6,6,0,0,0,NA,NA,NA,NA,NA,NA,17,0,17,0
"welhtwq",2002-03-13,48,1.1,2.5,3.4,2.31458333333333,0.885819630872852,1.625,48,0.11,0.11,0.11,0.11,0,0,48,0.1,0.1,0.1,0.1,0,0,48,97.5,98.6,99.2,98.46875,0.467294726807533,0.725000000000009,48,13.1,13.55,14,13.5166666666667,0.366311885096731,0.800000000000001,48,0.02,0.14,0.36,0.118125,0.0658708035927713,0.1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6,6.1,6.2,6.11666666666667,0.0663111085759196,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"welhtwq",2002-03-14,48,2.6,4,5.6,3.975,1.07594589755623,2.025,48,0.11,0.11,0.11,0.11,0,0,48,0.1,0.1,0.1,0.1,0,0,48,97.5,98.6,99.7,98.3145833333333,0.569430317532202,1.02499999999999,48,12.4,13,13.3,12.9020833333333,0.314534159653053,0.6,38,0,0.07,0.26,0.0760526315789474,0.0600242956973983,0.0675,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.2,6.2,6.2,6.2,0,0,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"welhtwq",2002-03-15,48,3,3.4,3.8,3.41458333333333,0.212372197696897,0.325000000000001,48,0.11,0.11,0.11,0.11,0,0,48,0.1,0.1,0.1,0.1,0,0,48,98.4,99,99.5,98.9979166666667,0.338010187013384,0.525000000000006,48,13,13.2,13.4,13.1875,0.100265604717479,0.200000000000001,48,0.02,0.13,0.34,0.110416666666667,0.0648716681867619,0.09,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.2,6.3,6.3,6.28333333333333,0.0376621788577353,0,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"welhtwq",2002-03-16,48,2.4,3.1,3.6,3.1625,0.269455716173778,0.25,48,0.11,0.12,0.12,0.118333333333333,0.00376621788577355,0,48,0.1,0.1,0.1,0.1,0,0,48,98.1,98.8,100,98.8520833333333,0.553130196413464,0.72499999999998,48,13.1,13.2,13.7,13.2479166666667,0.136817292880709,0,43,0,0.1,0.33,0.0990697674418605,0.0829174561863835,0.135,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.3,6.4,6.4,6.38541666666667,0.0356673957637418,0,1,0,0,0,0,NA,0,48,0,48,0
"welhtwq",2002-03-17,48,1.1,2.35,3.7,2.36875,0.871573839354308,1.6,48,0.12,0.12,0.12,0.12,0,0,48,0.1,0.1,0.1,0.1,0,0,48,100,100.7,101.4,100.716666666667,0.363981138939295,0.525000000000006,48,13.3,13.8,14.3,13.80625,0.329671822633203,0.6,48,0.2,0.23,0.38,0.231875,0.0316668999618133,0.01,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.3,6.4,6.4,6.36458333333333,0.0483321105250065,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"welhtwq",2002-03-18,48,1.7,2.1,2.8,2.17083333333333,0.351264180956008,0.525,48,0.12,0.12,0.12,0.12,0,0,48,0.1,0.1,0.1,0.1,0,0,48,100.2,100.8,101.3,100.770833333333,0.277495128064063,0.5,48,13.6,13.9,14.1,13.875,0.137608757761874,0.199999999999999,48,0.15,0.21,0.38,0.203958333333333,0.0422625825822893,0.05,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.4,6.4,6.5,6.44791666666667,0.0504852341308645,0.0999999999999996,4,0,2.5,5,2.5,2.08166599946613,2,48,0,48,0
"welhtwq",2002-03-19,48,1.5,1.95,2.7,2.01458333333333,0.465850667029287,0.825,48,0.12,0.12,0.13,0.120208333333333,0.00144337567297407,0,48,0.1,0.1,0.1,0.1,0,0,48,100.4,101.1,101.3,100.9,0.324856760578591,0.625000000000014,48,13.7,14,14.1,13.9479166666667,0.151572724393744,0.299999999999999,48,0.15,0.18,0.3,0.18875,0.031999002644032,0.04,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.5,6.5,6.5,6.5,0,0,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"welhtwq",2002-03-20,48,0.1,1.8,2.7,1.74375,0.712175644722684,0.625,48,0.12,0.12,0.13,0.122291666666667,0.00424744395393795,0,48,0.1,0.1,0.1,0.1,0,0,48,99.6,101.1,101.5,100.772916666667,0.624921980946025,0.950000000000017,48,13.7,14.1,14.5,14.04375,0.2258847851676,0.199999999999999,48,0.02,0.155,0.34,0.14125,0.0706993935993736,0.1025,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.5,6.5,6.5,6.5,0,0,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"welhtwq",2002-03-21,48,0.1,1.7,2.9,1.42291666666667,1.05593350518671,2.1,48,0.12,0.12,0.13,0.1225,0.00437594974493684,0.0025,48,0.1,0.1,0.1,0.1,0,0,48,99.4,99.6,100.3,99.7395833333333,0.296604603437205,0.425000000000011,48,13.4,13.95,14.5,14.0270833333333,0.405672325234287,0.800000000000001,48,0,0.01,0.26,0.034375,0.0628712378849939,0.01,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.3,6.5,6.5,6.48125,0.0445127282776893,0,1,0,0,0,0,NA,0,48,0,48,0
