"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"wkbfrwq",2002-01-01,48,8.6,11.2,12.6,10.8,1.19822563853853,2.125,48,12.37,18.905,21.01,17.64875,2.45935956461944,4.05,48,7.1,11.25,12.6,10.4416666666667,1.55602238857893,2.6,48,89.3,113.5,124.9,110.2375,11.2676079698267,22.1,48,9.3,12.25,13,11.4416666666667,1.25746000881096,2.525,48,1.43,1.8,2.23,1.79916666666667,0.246713144940688,0.445,0,NA,NA,NA,NA,NA,NA,48,7,8.35,8.6,8.03333333333333,0.493072578203135,0.800000000000001,48,2,4,9,4.25,1.31278492348105,2,48,0,48,0
"wkbfrwq",2002-01-02,48,8.3,9.9,11.1,9.76666666666667,0.831643677108026,1.3,48,13.45,19.995,33.08,21.1764583333333,5.31093351956987,6.09,48,7.8,11.9,20.7,12.7333333333333,3.4790762611943,3.875,48,67.9,102.85,123,100.333333333333,13.3556320629695,13.5,48,6.6,10.85,12.8,10.5375,1.58458330652546,1.525,48,1.48,1.74,2.1,1.78541666666667,0.203709830483119,0.4,0,NA,NA,NA,NA,NA,NA,48,7.2,8.05,8.4,7.98125,0.296544819187984,0.399999999999999,48,2,4,8,4.41666666666667,1.36574090769456,1.25,48,0,48,0
"wkbfrwq",2002-01-03,48,7.9,9.25,10.4,9.07291666666667,0.933932336911555,1.9,48,14.65,23.545,31.99,22.9633333333333,4.59093432910823,6.93,48,8.5,14.2,19.9,13.86875,3.01507956565561,4.5,48,92.6,105,129.4,107.033333333333,8.83509282623714,5.65000000000001,48,10,11.3,12.9,11.2833333333333,0.689845290498308,0.550000000000001,48,1.6,1.825,2.22,1.87270833333333,0.189217195738444,0.3,0,NA,NA,NA,NA,NA,NA,48,7.4,8.1,8.3,7.99166666666667,0.270408149610707,0.425,48,2,4,7,3.85416666666667,0.9450787051168,1,48,0,48,0
"wkbfrwq",2002-01-04,48,8.7,9.7,11.6,9.90833333333333,1.00717285662421,1.775,48,18.06,27.34,32.27,27.1164583333333,4.46538101568592,8.5225,48,10.7,16.75,20,16.63125,2.94763924652587,5.625,48,108.3,114.5,157.4,119.177083333333,10.5088258668269,11.05,48,11.1,11.7,15.5,12.1229166666667,0.987418638357554,1.1,48,1.35,1.635,1.94,1.63104166666667,0.179030956354853,0.2625,0,NA,NA,NA,NA,NA,NA,48,8.1,8.3,8.7,8.35208333333333,0.147301374859371,0.300000000000001,48,1,4,6,3.6875,1.03463941709383,1,48,0,48,0
"wkbfrwq",2002-01-05,48,10,10.3,11.2,10.40625,0.330960079870798,0.425000000000001,48,20.36,23.72,29.16,23.78375,1.97768253051125,2.18,48,12.2,14.35,18,14.41875,1.30850836792745,1.45,48,105.4,124.75,139.6,124.145833333333,7.78440771967266,8.00000000000001,48,11,12.8,13.8,12.6625,0.667362225800601,0.6,48,1.52,1.75,2.32,1.75979166666667,0.199227119226929,0.265,0,NA,NA,NA,NA,NA,NA,48,8.4,8.5,8.6,8.51875,0.0532207366400599,0.0250000000000004,48,2,4,33,4.625,4.33994313130699,1.25,48,0,48,0
"wkbfrwq",2002-01-06,48,9.9,10.95,11.6,10.8041666666667,0.513626378545328,0.924999999999999,48,11.54,18.255,21.37,18.0508333333333,2.69524785370619,3.945,48,6.6,10.85,12.8,10.7083333333333,1.71213855739432,2.525,48,79.7,95.3,105.7,95.06875,7.66556700793826,12.875,48,8.3,9.8,11,9.85208333333333,0.799198956225048,1.425,48,1.57,1.73,2.42,1.88666666666667,0.275552314478003,0.47,0,NA,NA,NA,NA,NA,NA,48,7,7.6,8.4,7.7125,0.460630927168194,0.925,48,3,6.5,31,8.16666666666667,6.34582567883008,5,48,0,48,0
"wkbfrwq",2002-01-07,48,9.7,10.6,11.5,10.525,0.43686504075033,0.449999999999999,48,5.58,10.055,18.69,10.8425,4.00531216410343,7.09,48,3,5.7,11.1,6.2125,2.46357507043312,4.35,48,79,84.75,112.3,88.6479166666667,9.30353375058246,13.4,48,8.3,9.15,12,9.52083333333333,1.00846593700496,1.125,48,1.43,1.58,1.71,1.56395833333333,0.0837864454414693,0.1425,0,NA,NA,NA,NA,NA,NA,48,6.7,7.05,8.1,7.15416666666667,0.364346300859985,0.5,48,4,27,43,24.25,12.0203727771699,22.25,48,0,48,0
"wkbfrwq",2002-01-08,48,8.9,9.7,10.1,9.67083333333333,0.363176490319194,0.325000000000001,48,9.92,13.26,17.11,13.7466666666667,2.07367525857213,3.075,48,5.6,7.65,10.1,7.96458333333333,1.29524327515875,1.925,48,89.3,103.4,111.3,102.308333333333,6.59063918164961,9.69999999999999,48,9.8,11.15,12,11.05625,0.651318221403267,1.1,48,1.3,1.52,1.85,1.564375,0.182953386110675,0.3275,0,NA,NA,NA,NA,NA,NA,48,7.2,7.7,8.1,7.67291666666667,0.245590546055944,0.3,48,7,18.5,28,16.6458333333333,5.79614539314187,10.25,48,0,48,0
"wkbfrwq",2002-01-09,48,8.8,9.75,11.1,9.825,0.632623715930289,0.824999999999999,48,11.22,13.055,16.1,13.541875,1.41566262396576,2.2275,48,6.4,7.5,9.4,7.83541666666667,0.884016362449256,1.425,48,89.9,103.05,117.9,104.73125,9.19604809317105,16.975,48,9.6,11.25,12.5,11.2916666666667,0.942345045297721,1.7,48,1.35,1.61,1.92,1.63645833333333,0.196419975403696,0.3775,0,NA,NA,NA,NA,NA,NA,48,7.4,7.7,8.1,7.76041666666667,0.206015474871488,0.4,48,8,14,21,14.0416666666667,3.44536897528937,6,48,0,48,0
"wkbfrwq",2002-01-10,48,9.8,10.9,13.4,11.3229166666667,1.09432570967937,1.725,48,11.53,12.395,15.6,12.903125,1.11804380123918,1.675,48,6.6,7.15,9.1,7.44166666666667,0.693383113324785,1.1,48,88.3,118.1,136.5,115.925,12.4756869934063,22.55,48,9.4,12.5,13.8,12.0958333333333,1.08842230800704,1.8,48,1.37,1.65,2.07,1.68875,0.231200612897664,0.4225,0,NA,NA,NA,NA,NA,NA,48,7.4,8.05,8.4,7.97083333333333,0.276727328221116,0.499999999999999,48,7,13,17,12.625,2.68664942007382,3.25,48,0,48,0
