"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"wkbmrwq",2003-05-05,28,26,27.15,27.6,27.0321428571429,0.477690099005444,0.699999999999999,28,2.74,3.865,7.27,4.3725,1.33370446223764,1.215,28,1.4,2,4,2.31785714285714,0.762089511330804,0.625,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,28,1.11,1.43,1.65,1.4025,0.193076937265184,0.365,0,NA,NA,NA,NA,NA,NA,28,7.2,7.5,8.1,7.54285714285714,0.255934846206306,0.4,28,10,16.5,47,22.8928571428571,12.281691540254,23.5,0,NA,0,NA
"wkbmrwq",2003-05-06,48,26.1,26.8,27.6,26.81875,0.367658635612474,0.5,48,3.13,5.28,11.59,6.14375,2.9613917264433,5.0125,48,1.6,2.85,6.6,3.36875,1.72134982289073,2.825,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.08,1.36,1.67,1.36770833333333,0.200002548742625,0.385,0,NA,NA,NA,NA,NA,NA,48,7.1,7.3,7.7,7.3375,0.136249146005522,0.125000000000001,48,12,23.5,74,26.3333333333333,11.5470053837925,15.5,0,NA,0,NA
"wkbmrwq",2003-05-07,48,26.7,27.25,28.1,27.3729166666667,0.405672325234287,0.649999999999995,48,4.47,6.895,9.97,6.978125,1.32122228427622,1.9875,48,2.4,3.75,5.6,3.82083333333333,0.781149816271497,1.2,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.08,1.39,1.62,1.38229166666667,0.179837273765649,0.335,0,NA,NA,NA,NA,NA,NA,48,7,7.5,8.4,7.48541666666667,0.346403763512879,0.6,48,11,23,47,24.1666666666667,8.14060830319819,10.25,0,NA,0,NA
"wkbmrwq",2003-05-08,48,26.9,27.8,29,27.8458333333333,0.513626378545328,0.850000000000001,48,4.17,6,9.16,5.97729166666667,1.01035645612809,1.47,48,2.2,3.25,5.1,3.23333333333333,0.588663590427534,0.925000000000001,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.12,1.385,1.63,1.374375,0.175376873824175,0.3325,0,NA,NA,NA,NA,NA,NA,48,7,7.4,8.4,7.4625,0.317989026975139,0.399999999999999,48,10,21.5,71,26.4166666666667,14.6995923135438,13.25,0,NA,0,NA
"wkbmrwq",2003-05-09,48,28.2,28.5,29.6,28.7,0.41667375880489,0.600000000000001,48,5.18,7.87,9.79,8.22041666666667,1.26710250527147,2.085,48,2.8,4.3,5.5,4.54791666666667,0.747190363773725,1.225,26,86.6,109.65,140,109.746153846154,15.093580907637,23.5,26,6.5,8.3,10.5,8.26923076923077,1.1238395724548,1.675,48,1.12,1.3,1.45,1.29958333333333,0.117617452991582,0.225,0,NA,NA,NA,NA,NA,NA,48,7.3,7.7,8.4,7.71458333333333,0.264968551593077,0.324999999999999,48,11,22,62,27.0833333333333,10.9812864675442,14.5,26,0,26,0
"wkbmrwq",2003-05-10,48,28,29.2,30.7,29.175,0.761437610078825,1.125,48,4.18,5.515,8.14,5.54020833333333,0.757618018566571,1.1725,48,2.2,3,4.5,2.98125,0.437427805593544,0.7,48,78.5,116.45,157.2,115.333333333333,19.1029721797235,29.775,48,5.8,8.85,11.6,8.70416666666667,1.38701552144797,2.05,48,1.11,1.32,1.44,1.29583333333333,0.108742000602506,0.2075,0,NA,NA,NA,NA,NA,NA,48,7.2,7.8,8.8,7.84791666666667,0.509480161989643,1.025,48,8,23,74,24,9.26902873104951,6.75,48,0,48,0
"wkbmrwq",2003-05-11,48,27.6,29.35,30.1,29.1270833333333,0.796198302930025,1.125,48,5.01,6.45,8.93,6.52291666666667,1.0852707444009,1.4475,48,2.7,3.5,5,3.55,0.634806051801852,0.825,48,50.2,102.7,139.5,105.677083333333,23.4480615683271,36.625,48,3.8,7.85,10.3,7.94583333333333,1.69755247258019,2.4,48,1.16,1.355,1.42,1.31979166666667,0.0856636068940556,0.1575,0,NA,NA,NA,NA,NA,NA,48,6.8,7.4,8.6,7.7,0.638148918790271,1.3,48,12,23.5,72,26.7916666666667,11.2286835084676,16.75,48,0,48,3
"wkbmrwq",2003-05-12,48,27.9,29.15,30,29.03125,0.59721205115315,0.699999999999999,48,4.9,7.215,9.25,7.19833333333333,1.01229953798761,0.7175,48,2.6,3.95,5.2,3.94166666666667,0.598520634861163,0.424999999999999,48,64.2,115.6,149.5,110.341666666667,29.3919502175111,54.95,48,4.8,8.85,11.1,8.30416666666667,2.18738728179702,4.05,48,1.04,1.12,1.16,1.11333333333333,0.0339795516315035,0.0499999999999998,0,NA,NA,NA,NA,NA,NA,48,6.9,8,8.7,7.90833333333333,0.62461335558218,1.225,48,10,27.5,63,29.4791666666667,11.6381426889443,13.25,48,0,48,4
"wkbmrwq",2003-05-13,48,26.5,27.6,29.2,27.76875,0.812444760806359,1.2,48,3.92,5.925,7.28,5.93020833333333,0.890695376403234,1.4925,48,2.1,3.2,4,3.20625,0.517114025040529,0.9,48,93.2,117.3,172.2,119.627083333333,16.4842896139935,18.925,48,7.3,9.25,13,9.24166666666667,1.23043554532762,1.65,48,0.97,1.11,1.25,1.115625,0.0815776943334755,0.1325,0,NA,NA,NA,NA,NA,NA,48,7.5,8.2,9,8.22916666666667,0.314174591205058,0.425000000000001,48,13,23,77,26.2083333333333,11.0664498397968,6.25,48,0,48,0
"wkbmrwq",2003-05-14,48,25.2,26.35,27.7,26.3520833333333,0.729321918629152,1.225,48,3.97,5.59,7.72,5.9125,0.96268352768087,1.41,48,2.1,3,4.3,3.20625,0.56206543497309,0.825,48,77.6,105.15,147.7,107.16875,19.4753434542134,29.175,48,6.2,8.35,11.7,8.48125,1.48060600732814,2.125,48,0.96,1.135,1.37,1.15208333333333,0.131018243545866,0.21,0,NA,NA,NA,NA,NA,NA,48,7.6,8.1,8.8,8.16875,0.370253650836081,0.624999999999999,48,9,22,39,22.6458333333333,7.66170244770463,11.75,48,0,48,0
"wkbmrwq",2003-05-15,48,26.5,27.3,29,27.45,0.640478544494229,0.899999999999999,48,3.35,4.815,5.63,4.7475,0.597165289495901,0.72,48,1.7,2.6,3,2.52291666666667,0.346557282934019,0.5,48,69.6,99.75,128.3,98.9541666666667,15.3559047944671,23.425,48,5.5,7.75,9.8,7.71458333333333,1.13230880370611,1.725,48,0.88,1.245,1.51,1.21458333333333,0.206747439031537,0.345,0,NA,NA,NA,NA,NA,NA,48,6.9,7.9,9,7.90208333333333,0.505497262375874,0.800000000000001,48,12,21,102,23.5208333333333,15.6381823824558,5,48,0,48,0
"wkbmrwq",2003-05-16,48,26.9,27.65,28.7,27.6916666666667,0.56937193218767,0.975000000000005,48,3.32,4.93,5.54,4.65916666666667,0.706477125658017,1.1475,48,1.7,2.6,3,2.4875,0.397130666100525,0.6,48,77.7,96.15,124.4,96.8229166666667,12.4450834448932,21.25,48,6.1,7.45,9.5,7.51458333333333,0.900824582856182,1.55,48,0.87,1.185,1.57,1.20104166666667,0.231886248556277,0.4275,0,NA,NA,NA,NA,NA,NA,48,7.9,8.25,9.3,8.475,0.459648339216711,0.825000000000001,48,11,18,37,19.2291666666667,6.06433446325889,6,48,0,48,0
"wkbmrwq",2003-05-17,48,27.1,28.3,28.9,28.2333333333333,0.512952792541269,0.899999999999999,48,3.42,5.25,5.81,4.90541666666667,0.717848316619715,1.1775,48,1.8,2.8,3.1,2.62291666666667,0.403832482297877,0.7,48,81.9,98.8,115.5,98.99375,8.86588984025712,12.4,48,6.4,7.6,8.8,7.60833333333333,0.626653840218819,0.899999999999999,48,0.96,1.28,1.72,1.325,0.235064499975935,0.3925,0,NA,NA,NA,NA,NA,NA,48,8.1,8.9,9.2,8.79375,0.347272809553698,0.5,48,13,20,37,21.4791666666667,5.73154608874219,7,48,0,48,0
"wkbmrwq",2003-05-18,48,26.4,26.85,28,26.9270833333333,0.383566457019321,0.224999999999998,48,2.8,4.715,6,4.611875,0.827332695049502,1.0425,48,1.5,2.5,3.2,2.4625,0.462014552593867,0.6,48,73.1,83.65,91.4,83.625,3.62570609410789,5.09999999999999,48,5.8,6.6,7.1,6.57916666666667,0.256787297801228,0.399999999999999,48,0.96,1.38,1.87,1.40604166666667,0.272277546001755,0.4275,0,NA,NA,NA,NA,NA,NA,48,7.6,8.2,8.9,8.175,0.265378092379333,0.300000000000001,48,13,27.5,76,35.1666666666667,17.567297147769,29.25,48,0,48,0
"wkbmrwq",2003-05-19,48,25.4,26.2,27.1,26.16875,0.498575097311904,0.724999999999998,48,1.76,3.615,5.06,3.53270833333333,0.950081160213646,1.3075,48,0.9,1.9,2.7,1.86041666666667,0.527434409891494,0.725,48,65.9,84.75,105,84.6583333333333,11.9774759059668,21.525,48,5.3,6.8,8.3,6.78333333333333,0.931330170522153,1.725,48,0.94,1.355,1.73,1.33208333333333,0.266425977371651,0.495,0,NA,NA,NA,NA,NA,NA,48,7.4,7.9,8.7,8.0125,0.358854560713224,0.525000000000001,48,12,23,50,25.8333333333333,9.91095103179356,15.25,48,0,48,0
"wkbmrwq",2003-05-20,48,25.5,26.45,27.3,26.4333333333333,0.498650661555265,0.699999999999999,48,1.56,2.98,5.16,3.26,0.914525804342617,1.235,48,0.8,1.6,2.8,1.71458333333333,0.507387796351592,0.7,48,67.7,87.45,110.8,87.9166666666667,10.1804638387272,13.825,48,5.5,6.95,8.7,7.01875,0.74908632289539,0.950000000000001,48,1,1.325,1.59,1.28979166666667,0.201235435136583,0.36,0,NA,NA,NA,NA,NA,NA,48,7.5,8,8.6,8.01041666666667,0.296245716969368,0.425,48,18,28.5,177,35.6458333333333,24.2842121756689,15.75,48,0,48,0
"wkbmrwq",2003-05-21,48,25.6,26.15,27.1,26.1979166666667,0.353998186876793,0.600000000000001,48,1.07,2.025,2.9,2.01895833333333,0.480581383651153,0.7275,48,0.5,1,1.5,1.02916666666667,0.264139174576774,0.4,48,62.1,76.7,98.1,79.425,9.66671190989657,15.725,48,5,6.2,7.8,6.38333333333333,0.74157203157494,1.175,48,0.99,1.37,1.63,1.3275,0.208260270876449,0.3475,0,NA,NA,NA,NA,NA,NA,48,7.3,7.7,8,7.6875,0.20589710299389,0.4,48,16,27.5,112,32.8958333333333,16.6876685052719,15.25,48,0,48,0
"wkbmrwq",2003-05-22,48,25.3,25.9,26.7,25.9125,0.316648002436157,0.400000000000002,48,0.41,1.55,1.9,1.38354166666667,0.414171768166421,0.6325,48,0.2,0.8,1,0.69375,0.222563641388447,0.4,48,53.4,70.4,104.4,74.4625,14.261518301195,19.95,48,4.4,5.7,8.4,6.025,1.12278150050325,1.625,48,1.07,1.28,1.46,1.27145833333333,0.122178620258321,0.2225,0,NA,NA,NA,NA,NA,NA,48,7,7.5,8.1,7.51458333333333,0.250946788742438,0.3,48,16,26,45,27.4583333333333,7.60447330091948,11.25,48,0,48,9
