"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"wkbshmet",2008-01-01,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"wkbshmet",2008-01-02,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"wkbshmet",2008-01-03,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"wkbshmet",2008-01-04,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"wkbshmet",2008-01-05,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"wkbshmet",2008-01-06,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"wkbshmet",2008-01-07,54,17.3,19.55,22.6,19.7611111111111,1.79972918997073,3.4,54,65,88.5,95,83.3703703703704,11.0526976068532,22,54,1022,1023,1025,1022.98148148148,0.900539476484622,1,54,0.2,1.7,2.6,1.52222222222222,0.569894616761587,0.775,54,1.3,4,8.3,3.97592592592593,1.30325212741704,1.325,54,87,108,136,109.759259259259,13.8195038345594,24.25,54,10945.6,54,0
"wkbshmet",2008-01-08,96,15.2,20.1,23.7,19.8458333333333,2.61042108588136,5,96,68,94,99,88.1875,11.4921597988414,23.25,96,1019,1020,1022,1020.05208333333,1.03993716071963,2,96,0.1,0.9,3.3,1.203125,0.774386429442861,1.2,96,0.6,2.7,8.2,3.32083333333333,2.03448773672323,3.175,96,8,137,217,134.03125,34.4696519839516,52.25,73,17968.9,96,0
"wkbshmet",2008-01-09,96,15.9,18.9,22.9,19.1010416666667,1.94126897139429,2.75,96,71,98.5,99,92.6875,9.28985014892456,11.25,96,1017,1018,1021,1018.33333333333,1.08255707681461,1,96,0,0.8,2.7,0.84375,0.669927333058554,1.125,96,0,2,4.8,1.98854166666667,1.25755567349117,1.925,96,0,190.5,357,171.875,95.3771737008279,64.75,52,17209.9,96,0
"wkbshmet",2008-01-10,96,17.7,19.7,23.1,19.9635416666667,1.50473776639454,2.125,96,72,93,99,90.75,8.44673714644019,14,96,1010,1014,1017,1013.54166666667,2.32567666063547,5,96,0,1.9,3.9,1.68541666666667,1.17697016611715,2.525,96,0.1,4.2,8.9,4.04166666666667,2.45608446051698,4.8,96,20,171,219,161.5625,41.4768959149168,44.25,67,12029.8,96,1.1
