"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"wkbwbmet",2002-01-01,1,3.7,3.7,3.7,3.7,NA,0,1,81,81,81,81,NA,0,1,1022,1022,1022,1022,NA,0,1,0.2,0.2,0.2,0.2,NA,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,0,0,NA,1,0
"wkbwbmet",2002-01-02,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"wkbwbmet",2002-01-03,95,-0.7,2.8,5.3,2.44421052631579,1.58159062066559,2.2,95,52,74,93,70.1578947368421,11.1176644852155,18,95,1020,1024,1028,1023.94736842105,2.27553323679487,3,95,0.2,2.5,6.8,2.78210526315789,1.62572268364593,2.1,0,NA,NA,NA,NA,NA,NA,95,0,326,354,285.547368421053,103.223035572436,38.5,0,NA,95,3.6
"wkbwbmet",2002-01-04,96,-4.2,-0.05,9.8,1.53645833333333,4.32435257805122,6.825,96,32,81,100,73.9479166666667,23.5869588373106,47,96,1026,1029,1032,1029.04166666667,1.47196014438797,2,96,0.2,1.1,4,1.29375,0.961228654543647,0.95,0,NA,NA,NA,NA,NA,NA,96,0,42,354,104.8125,127.414310730574,125.25,0,NA,96,0
"wkbwbmet",2002-01-05,96,-2.5,13.05,16.1,8.01041666666667,7.14949360248191,13.05,96,72,94.5,100,92.6770833333333,8.31168459923697,14,96,1006,1022,1027,1019.5,6.73248214178647,12,96,0.2,2.85,8,2.971875,2.21989583088937,3.8,0,NA,NA,NA,NA,NA,NA,96,6,92,354,94.09375,67.9112544932142,75.75,0,NA,96,1.8
"wkbwbmet",2002-01-06,96,6,7.8,15.9,8.859375,2.16038876252936,2.45,96,92,98,100,97.6041666666667,2.48142220114814,5,96,1005,1014,1019,1012.94791666667,4.37064319406475,7.25,96,0.2,2.95,9.1,3.11145833333333,1.8611184974105,2.4,0,NA,NA,NA,NA,NA,NA,96,0,286.5,334,270.208333333333,56.3531938415238,63,0,NA,96,6.6
"wkbwbmet",2002-01-07,96,-1.1,4.7,6.1,4.17708333333333,1.57389755345509,1.425,96,74,94.5,100,90.2395833333333,9.38615418320396,19,96,1017,1023,1027,1022.04166666667,3.21809576471509,6.25,96,0.2,2.8,7.7,2.58125,1.84620877532994,3.05,0,NA,NA,NA,NA,NA,NA,96,0,303,351,231.875,129.866834630101,232.25,0,NA,96,1.2
"wkbwbmet",2002-01-08,96,-3.3,1.3,7.2,1.765625,3.3956265408998,6.675,96,62,100,100,91.28125,12.0067552258148,20,96,1024,1026,1029,1026.07291666667,1.41603443064494,2,96,0.2,0.7,5,1.25520833333333,1.41278893955159,1.775,0,NA,NA,NA,NA,NA,NA,96,4,59,355,121.71875,104.047024098165,177.25,0,NA,96,11.6
"wkbwbmet",2002-01-09,96,-1.1,7.45,14.6,6.34479166666667,5.95613562094482,13.325,96,74,100,100,97.2395833333333,5.47096602971044,3.25,96,1022,1023,1026,1023.0625,1.15906041802469,2,96,0.2,0.2,6.3,1.36666666666667,1.61112361358327,2.65,0,NA,NA,NA,NA,NA,NA,96,4,48,343,98.5416666666667,84.2739788355334,156.5,0,NA,96,0
"wkbwbmet",2002-01-10,96,4.7,14.35,18.7,11.9177083333333,5.39463661117843,11.125,96,87,100,100,99.1458333333333,2.10252563244487,0,96,1019,1020,1023,1020.23958333333,1.19423872837506,2,96,0.2,0.2,4.4,0.788541666666667,1.22490556385008,0,0,NA,NA,NA,NA,NA,NA,96,4,155.5,349,117.28125,87.8911651299193,158.25,0,NA,96,0.3
"wkbwbmet",2002-01-11,96,11.9,15.15,20.5,15.271875,2.10146330596463,3.35,96,87,100,100,99.5104166666667,1.96813987343469,0,96,1018,1019,1021,1019.29166666667,0.780238380127869,1,96,0.2,0.2,6.1,0.751041666666667,1.10701065384182,0.475,0,NA,NA,NA,NA,NA,NA,96,4,175,346,147.895833333333,89.1892699667005,149.25,0,NA,96,0
"wkbwbmet",2002-01-12,96,5.2,12,15.3,11.3895833333333,2.34962389674185,2.05,96,97,100,100,99.84375,0.637893325515201,0,96,1012,1017,1020,1016.30208333333,2.0678989676362,3,96,0.2,0.2,5.4,0.520833333333333,0.870682329726661,0,0,NA,NA,NA,NA,NA,NA,96,0,67,354,146.708333333333,139.33979041531,293.5,0,NA,96,2.9
"wkbwbmet",2002-01-13,96,1.3,7.25,13.8,7.428125,4.23180198335364,8.875,96,60,100,100,92.5729166666667,12.373779401083,15.75,96,1016,1017,1020,1017.22916666667,1.0410436733512,1,96,0.2,0.2,6.5,0.865625,1.54469060945788,0,0,NA,NA,NA,NA,NA,NA,96,1,52,343,94.4791666666667,93.3287318727864,119,0,NA,96,0.3
"wkbwbmet",2002-01-14,96,7.4,13.4,15.3,12.7770833333333,2.01193696493633,2.925,96,100,100,100,100,0,0,96,1014,1015,1018,1015.55208333333,1.15958061081688,1,96,0.2,0.2,2.9,0.478125,0.709959691220491,0,0,NA,NA,NA,NA,NA,NA,96,2,71,343,129.75,121.541156122438,192,0,NA,96,14.5
"wkbwbmet",2002-01-15,96,3.9,9.6,15.7,9.63854166666667,3.9298686141602,7.525,96,48,100,100,85.7395833333333,20.7050691945445,35.25,96,1018,1023,1025,1022.48958333333,2.10760423562753,3,96,0.2,0.2,4.4,0.925,1.22465892136717,1.225,0,NA,NA,NA,NA,NA,NA,96,0,35,354,107.427083333333,133.086576079093,275.25,0,NA,96,0.3
"wkbwbmet",2002-01-16,96,0.2,7.1,14.3,7.2875,5.17056955022212,10.875,96,48,100,100,87.6458333333333,17.3593470448793,25.25,96,1021,1024,1026,1023.52083333333,1.22241492367119,2,96,0.2,0.2,3.5,0.614583333333333,0.881145088317847,0,0,NA,NA,NA,NA,NA,NA,96,0,79,354,130.239583333333,121.142521092582,184.25,0,NA,96,0
"wkbwbmet",2002-01-17,96,4.5,10.85,19.6,10.865625,5.2625154706611,10.15,96,68,100,100,94.2708333333333,10.9932794462097,3,96,1019,1021,1023,1021.04166666667,1.07523967136504,2,96,0.2,0.2,4.4,0.711458333333333,1.13970169612068,0,0,NA,NA,NA,NA,NA,NA,96,0,53,355,128.010416666667,129.720305985947,199.25,0,NA,96,0.3
"wkbwbmet",2002-01-18,96,12.1,16.8,21.3,16.75625,2.5938718265619,4.225,96,88,100,100,98.5729166666667,2.85341823328356,1.25,96,1018,1019,1022,1019.54166666667,1.04545801261473,1,96,0.2,0.2,4.1,0.867708333333333,1.094819840182,1.225,0,NA,NA,NA,NA,NA,NA,96,1,172,353,162.822916666667,90.8357679136151,106.5,0,NA,96,0
"wkbwbmet",2002-01-19,96,7.1,19.15,21.2,17.0635416666667,4.15398653905699,5.2,96,99,100,100,99.9583333333333,0.200875277704805,0,96,1010,1015,1018,1014.5625,2.41840530319595,3.25,96,0.2,4.7,10.7,4.96875,3.1823299144197,5.1,0,NA,NA,NA,NA,NA,NA,96,0,184,354,202.40625,87.731837601565,87.75,0,NA,96,5
"wkbwbmet",2002-01-20,96,3.8,9.05,13.3,8.34895833333333,3.14836615243916,6.15,96,88,100,100,97.78125,3.60760344710709,3,96,1016,1019,1021,1018.33333333333,1.38158312447155,2,96,0.2,1.7,4.4,1.59166666666667,1.20627016845243,2.4,0,NA,NA,NA,NA,NA,NA,96,0,50,354,74.96875,86.1352001063933,48.75,0,NA,96,0
"wkbwbmet",2002-01-21,96,10.6,17.5,20.8,16.71875,2.93907656460861,4.55,96,67,100,100,94.125,10.6694349477966,5,96,1015,1019,1023,1018.64583333333,2.46653034236852,4,96,0.2,1.5,7.8,1.65520833333333,1.58909903581055,2.4,0,NA,NA,NA,NA,NA,NA,96,0,65.5,355,128.864583333333,119.883770008302,190.25,0,NA,96,0
"wkbwbmet",2002-01-22,96,10.5,17.5,19.4,15.196875,3.55931552038931,7.325,96,80,97,100,95.5625,5.97681925618072,5.25,96,1021,1022,1024,1022.19791666667,0.924745104756943,1.25,96,0.2,2.3,6.1,2.228125,1.6306087416732,3.3,0,NA,NA,NA,NA,NA,NA,96,2,71.5,142,72.59375,34.4703009087075,56.25,0,NA,96,0.3
"wkbwbmet",2002-01-23,96,19.4,20.85,23.1,21.1760416666667,1.16255116846453,2.1,96,99,100,100,99.9791666666667,0.143575886163796,0,96,1018,1021,1023,1020.20833333333,1.40612694393363,2,96,0.2,3.5,8.8,3.61458333333333,2.14623190813779,2.65,0,NA,NA,NA,NA,NA,NA,96,97,155.5,197,152.15625,20.3647415247143,27.5,0,NA,96,0
"wkbwbmet",2002-01-24,96,20.2,21,22.9,21.3260416666667,0.8714470472383,1.425,96,100,100,100,100,0,0,96,1012,1016,1018,1014.92708333333,1.9097797705311,4,96,3.8,6.3,11.1,6.55104166666667,1.4448452688358,1.85,0,NA,NA,NA,NA,NA,NA,96,131,172.5,209,173.083333333333,14.1344421941706,17.25,0,NA,96,0.5
"wkbwbmet",2002-01-25,96,10.9,15.15,21,14.921875,2.42453264622928,3.7,96,63,96.5,100,89,12.4891531886041,20,96,1013,1020,1023,1018.96875,2.78889951886327,5,96,0.2,2.95,7.6,3.07395833333333,1.60041078882344,1.875,0,NA,NA,NA,NA,NA,NA,96,0,32,355,129.520833333333,150.092952193784,314.5,0,NA,96,7.5
"wkbwbmet",2002-01-26,96,6.8,12.15,17.9,12.40625,3.81299198723743,7.625,96,77,88,100,89.78125,7.55220863477419,15.25,96,1022,1023,1025,1022.94791666667,0.955535580506574,1,96,0.2,1.7,4.7,1.6875,1.08997827114991,1.7,0,NA,NA,NA,NA,NA,NA,96,0,41,355,111.260416666667,116.326423191191,175.25,0,NA,96,0
"wkbwbmet",2002-01-27,96,10.6,14.3,15.6,13.5645833333333,1.73344677429053,3.5,96,100,100,100,100,0,0,96,1019,1022,1025,1022.30208333333,1.13434230113328,1,96,0.2,0.2,4.4,0.611458333333333,0.915925737240935,0.4,0,NA,NA,NA,NA,NA,NA,96,2,53,354,101.5,110.781719943699,79.25,0,NA,96,11.3
"wkbwbmet",2002-01-28,96,14.6,18.6,22.2,18.2270833333333,2.58308176477416,5.4,96,100,100,100,100,0,0,96,1020,1021,1023,1021.27083333333,0.672452959288708,0.25,96,0.2,0.2,4.3,0.663541666666667,0.965741579432932,0.075,0,NA,NA,NA,NA,NA,NA,96,12,99,331,96.3125,50.9929432682395,77,0,NA,96,0
"wkbwbmet",2002-01-29,96,17.9,18.55,22.1,19.428125,1.41865044283198,2.425,96,92,100,100,99.0208333333333,2.24770838465672,0,96,1020,1021,1023,1020.80208333333,0.865962095519886,1,96,0.2,1.2,5.4,1.38229166666667,1.27576559401686,2,0,NA,NA,NA,NA,NA,NA,96,14,101,204,106.4375,40.1813815224493,50.5,0,NA,96,0
"wkbwbmet",2002-01-30,96,18,20,22.8,19.8625,1.44055910198637,2.55,96,93,100,100,99.1875,1.64356800573438,1,96,1019,1020,1022,1020.23958333333,0.750365408060656,1,96,0.2,1.9,5.4,1.865625,1.46681381339211,2.8,0,NA,NA,NA,NA,NA,NA,96,28,113,191,113.020833333333,35.3291229699318,45.25,0,NA,96,0
"wkbwbmet",2002-01-31,96,19.8,21.7,24.1,21.7166666666667,1.36910778989489,2.575,96,100,100,100,100,0,0,96,1019,1019,1021,1019.53125,0.695142923585162,1,96,0.2,3,7.7,3.00833333333333,1.60732970231058,1.95,0,NA,NA,NA,NA,NA,NA,96,89,147.5,199,145.0625,21.9831574285023,31.75,0,NA,96,0
"wkbwbmet",2002-02-01,96,9.7,14.75,21.6,15.7104166666667,3.50111197874608,5.25,96,69,100,100,90.8854166666667,10.6394200392658,19,96,1019,1023,1026,1022.45833333333,2.30293481712571,3.25,96,0.2,3.5,7.3,3.571875,1.53470059655056,2,0,NA,NA,NA,NA,NA,NA,96,0,202.5,355,210.354166666667,137.545168019869,301.75,0,NA,96,0.6
"wkbwbmet",2002-02-02,96,4.5,7.8,15.3,8.78125,3.37434009142996,5.225,96,42,83,100,76.7291666666667,17.8546642390082,30.75,96,1024,1026,1028,1026.13541666667,1.06246774976855,1,96,0.2,2.85,6.5,2.68541666666667,1.5026278151549,2.225,0,NA,NA,NA,NA,NA,NA,96,0,30,355,142.4375,156.487552052451,317.75,0,NA,96,0
"wkbwbmet",2002-02-03,96,4.2,11.95,16,10.4625,3.93053498434474,7.65,96,44,75.5,100,74.4791666666667,20.0488766802619,40,96,1022,1024,1027,1024.28125,1.16712083891582,1,96,0.2,0.9,3.5,1.134375,0.928816805346855,1.7,0,NA,NA,NA,NA,NA,NA,96,0,49.5,354,155.145833333333,150.449920268413,308.75,0,NA,96,0
"wkbwbmet",2002-02-04,96,7.6,10.15,14,10.725,1.84008008979014,3.5,96,42,76,94,68.4583333333333,16.4744885180034,31.5,96,1024,1026,1028,1025.82291666667,1.2481126101916,2,96,0.2,2.4,5.8,2.38958333333333,1.19898897467971,1.5,0,NA,NA,NA,NA,NA,NA,96,0,33.5,354,126.21875,153.18054041074,330.25,0,NA,96,0
"wkbwbmet",2002-02-05,96,3.7,5.6,9.7,5.96145833333333,1.5101320814779,2.325,96,46,53.5,100,67.6458333333333,22.300332386792,46,96,1021,1027,1029,1026.35416666667,1.80046290344085,2,96,1.4,3.7,7.7,3.77604166666667,1.33855733743984,1.8,0,NA,NA,NA,NA,NA,NA,96,0,36.5,322,40.6354166666667,33.5757179777186,27.25,0,NA,96,1.2
"wkbwbmet",2002-02-06,96,3.8,7.45,9,6.81770833333333,1.7299829504281,3.125,96,89,100,100,99.03125,2.70847840367205,0,96,1012,1016,1021,1016.26041666667,2.12377415622911,2,96,0.2,3.1,6.2,2.55729166666667,1.93829793981957,3.95,0,NA,NA,NA,NA,NA,NA,96,0,48,354,126.875,136.99314235622,285.5,0,NA,96,22.6
"wkbwbmet",2002-02-07,96,4.8,5.7,8.2,5.92604166666667,0.856092074692248,1.025,96,83,94,100,94.1458333333333,5.39391307360566,10,96,1016,1021,1025,1020.14583333333,2.72214762996026,5,96,0.2,2.8,7.4,2.88541666666667,1.84253710477052,2.45,0,NA,NA,NA,NA,NA,NA,96,0,307.5,351,253.65625,122.143817571962,40.25,0,NA,96,6.6
"wkbwbmet",2002-02-08,96,1.5,5.5,12.9,6.70208333333333,3.50899533280026,6.25,96,67,98.5,100,91.6354166666667,10.9622508173484,18.25,96,1022,1024,1027,1024.23958333333,1.50609143265234,2,96,0.2,0.45,5.2,1.57604166666667,1.61654243056734,2.7,0,NA,NA,NA,NA,NA,NA,96,0,46,348,123.697916666667,117.360095414131,187.5,0,NA,96,0
"wkbwbmet",2002-02-09,96,2,12.95,18.1,10.1666666666667,6.24020355043625,13.1,96,72,100,100,93.90625,9.27938079263573,13,96,1021,1022,1024,1022.17708333333,0.794650425184316,1,96,0.2,0.2,5,1.24791666666667,1.45269109018703,2.15,0,NA,NA,NA,NA,NA,NA,96,0,60,354,86.9166666666667,79.3812475093479,122,0,NA,96,0.3
"wkbwbmet",2002-02-10,96,7.8,13.9,18.4,13.3947916666667,3.50131914363916,6.75,96,68,100,100,96.7083333333333,8.87565169339447,0,96,1020,1022,1025,1022.0625,1.10322493769761,2,96,0.2,0.2,6.2,1.234375,1.55812492742838,2.3,0,NA,NA,NA,NA,NA,NA,96,0,175,345,136.5,111.466114747228,184.5,0,NA,96,0
"wkbwbmet",2002-02-11,96,4.4,7.95,13.7,8.60520833333333,2.97729548032992,5.525,96,61,85.5,100,83.6458333333333,13.9079524140284,28.25,96,1023,1025,1028,1025.39583333333,1.20069424362186,1,96,0.2,1.95,7.7,2.09791666666667,1.77680844370293,3.3,0,NA,NA,NA,NA,NA,NA,96,0,293.5,354,188.083333333333,152.412298624257,313.25,0,NA,96,0
"wkbwbmet",2002-02-12,96,1.6,8.1,15.8,8.14270833333333,4.7492435916662,8.475,96,43,100,100,83.1770833333333,21.9088997978191,39.5,96,1020,1023,1025,1022.92708333333,1.38598087376996,2,96,0.2,0.2,4.8,0.8375,1.18190301498985,0.75,0,NA,NA,NA,NA,NA,NA,96,0,50,354,146.9375,143.39586814131,280.5,0,NA,96,0.3
"wkbwbmet",2002-02-13,96,7.6,9.55,16.6,11.115625,2.98206315457851,5.35,96,43,100,100,84.46875,21.071783640439,36.75,96,1021,1023,1024,1023.0625,0.892217816219194,2,96,0.2,0.2,4,0.479166666666667,0.771453401623969,0,0,NA,NA,NA,NA,NA,NA,96,0,40.5,354,110.385416666667,127.880731423066,169.25,0,NA,96,0
"wkbwbmet",2002-02-14,96,4,7.35,16.5,9.02708333333333,4.11460758931336,8.025,96,35,80,100,76.0520833333333,22.8985726016488,44.25,96,1023,1024,1027,1024.66666666667,1.0922373625455,1,96,0.2,0.7,5.9,1.51145833333333,1.60196391257512,2.625,0,NA,NA,NA,NA,NA,NA,96,0,35,352,84.09375,98.5433998030149,141,0,NA,96,0
"wkbwbmet",2002-02-15,96,4.8,13,18.3,11.5791666666667,4.6906831881859,9.95,96,57,100,100,89.8645833333333,13.104936628427,21,96,1019,1022,1024,1021.5625,1.55470423655366,3,96,0.2,0.2,4.4,0.722916666666667,1.17683600491153,0,0,NA,NA,NA,NA,NA,NA,96,0,49.5,354,107.34375,106.53912828282,172.75,0,NA,96,0
"wkbwbmet",2002-02-16,96,7.8,12.9,19.4,13.56875,3.07897154736345,5,96,39,84.5,100,82.1041666666667,19.0613851413997,33.5,96,1019,1020,1022,1020.20833333333,1.05547860599791,2,96,0.2,0.4,5.3,1.21041666666667,1.39136276753304,1.55,0,NA,NA,NA,NA,NA,NA,96,0,249,355,190.71875,143.137747651106,294.25,0,NA,96,0
"wkbwbmet",2002-02-17,96,2.8,9.3,20.1,10.9479166666667,6.2501870147459,12.95,96,25,88,100,71.90625,30.9182549126257,64.5,96,1020,1021,1023,1021.65625,0.84390227670719,1,96,0.2,0.2,4.3,1.02604166666667,1.3009506476878,1.725,0,NA,NA,NA,NA,NA,NA,96,0,38,352,108.604166666667,133.405553357672,265.5,0,NA,96,0.3
