"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"acebbwq",2002-01-01,48,8.7,11.25,11.6,10.7729166666667,0.938477622656476,1.05,48,51.23,52.445,53.52,52.4595833333333,0.627849956100888,0.935000000000009,48,33.5,34.3,35.2,34.375,0.472431465253641,0.699999999999996,48,77.2,100.2,107.6,96.9895833333333,9.12639938749899,11.275,48,7.2,8.8,9.4,8.63125,0.65139988372016,0.725,48,0.01,1.04,2.2,1.06104166666667,0.776366988192189,1.495,0,NA,NA,NA,NA,NA,NA,48,7.7,8.05,8.2,8.01875,0.172165494355891,0.299999999999999,48,4,11.5,34,13.75,7.43911456639262,11,48,0,48,0
"acebbwq",2002-01-02,16,7.8,8.7,10.5,8.94375,0.901826849603995,1.5,16,51.51,52.395,52.66,52.250625,0.405322402539016,0.630000000000003,16,33.7,34.2,34.3,34.09375,0.220510770711999,0.399999999999999,16,79.1,85.5,97,87.08125,5.60371528541556,7.09999999999999,16,7.5,8,8.8,8.08125,0.370978436030991,0.399999999999998,16,0.06,0.445,1.4,0.564375,0.484932555448006,0.855,0,NA,NA,NA,NA,NA,NA,16,7.7,7.85,8.1,7.8625,0.145487685618635,0.3,16,5,8,15,8.25,2.69567554922076,1,16,0,16,0
"acebbwq",2002-01-03,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"acebbwq",2002-01-04,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"acebbwq",2002-01-05,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"acebbwq",2002-01-06,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"acebbwq",2002-01-07,18,6.6,8.55,8.9,8.09444444444444,0.829225167903729,1.425,18,48.39,49.745,52.21,50.1444444444444,1.39818463066861,2.405,18,31.1,32.2,34,32.5,1.05272754980462,1.775,18,78.3,93.75,110.2,94.0111111111111,9.52191829961669,17.175,18,7.7,8.85,10.3,8.97777777777778,0.714188602175311,1.2,18,0.08,0.35,1.66,0.625555555555556,0.60570058825659,1.0725,0,NA,NA,NA,NA,NA,NA,18,7.7,7.85,8.1,7.90555555555556,0.139208781933182,0.274999999999999,18,4,7.5,11,7.55555555555556,2.28092401870053,3.75,18,0,18,0
"acebbwq",2002-01-08,48,5.4,8,8.5,7.51875,0.905692693643461,1.1,48,49.77,51.335,52.58,51.235625,0.779399403932966,1.3025,48,32,33.35,34.2,33.23125,0.627442037672244,1.05,48,83.5,95.75,101.6,93.9895833333333,5.42253923338399,8.77499999999998,48,8.3,9.2,9.6,9.06458333333333,0.369294660263712,0.5,48,0.12,0.975,1.81,0.955416666666667,0.590527922244456,1.1375,0,NA,NA,NA,NA,NA,NA,48,7.8,8.1,8.2,8.00416666666667,0.121966743519792,0.199999999999999,48,3,6,17,7.04166666666667,2.89503120428068,3,48,0,48,0
"acebbwq",2002-01-09,48,5.2,8,8.8,7.71458333333333,0.924372031425805,0.675000000000001,48,50.33,51.415,53.76,51.5995833333333,0.85505744073153,0.884999999999991,48,32.6,33.4,35.1,33.50625,0.652460563738562,0.624999999999993,48,80.1,97.85,104.9,95.2916666666667,5.55394562961662,6.72499999999999,48,7.8,9.3,10,9.13333333333333,0.448796657425512,0.5,48,0.1,1.005,1.96,0.979791666666667,0.62643363943033,1.1475,0,NA,NA,NA,NA,NA,NA,48,7.8,8.1,8.2,8.02708333333333,0.133272370815165,0.199999999999999,48,4,7,22,7.6875,3.26265946867132,3.25,48,0,48,0
"acebbwq",2002-01-10,48,7.6,8.55,12.9,9.02916666666667,1.38640179207833,1.575,48,50.78,51.275,53.34,51.5235416666667,0.63133930447572,0.582500000000003,48,33.2,33.45,34.8,33.55625,0.424217051028101,0.424999999999997,47,80,98.6,117.6,97.263829787234,7.15315149554543,7.05,47,7.6,9.3,10.2,9.06808510638298,0.568027243291362,0.5,48,0.08,0.92,1.86,0.901875,0.620256145612611,1.175,0,NA,NA,NA,NA,NA,NA,48,7.7,8,8.2,7.97083333333333,0.166258365117762,0.3,48,4,6,16,7.14583333333333,2.94625318012869,4,47,0,47,0
