"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"acefjwq",2020-07-22,39,29.3,30.8,32.1,30.6487179487179,1.05253373364412,2.2,39,37.49,45.21,51.13,44.495641025641,5.25912680108129,10.995,39,23.6,29.1,33.5,28.625641025641,3.80634635898894,7.95,39,71.8,86.9,95.1,85.7384615384615,6.21452523421055,10.1,39,4.6,5.5,6.1,5.48205128205128,0.410309122794404,0.6,39,0.68,2.2,2.71,1.90102564102564,0.758449925043783,1.45,39,0.61,2.12,2.64,1.83205128205128,0.755928078892985,1.44,39,7.8,7.9,8.1,7.91282051282051,0.110452388360175,0.2,39,11,16,81,22.8974358974359,17.4835183617312,7.5,39,0,39,5
"acefjwq",2020-07-23,96,29.1,30.65,32,30.6125,0.793957442847305,0.924999999999997,96,37.36,43.51,51.02,43.4639583333333,4.259701121012,7.585,96,23.5,27.9,33.4,27.8739583333333,3.0774303974058,5.525,96,49.8,79.4,98.4,78.89375,11.3432921286454,18.2,96,3.2,5.1,6.3,5.06875,0.704916941729196,1.125,96,0.73,1.74,2.65,1.6921875,0.636583319266552,1.255,96,0.67,1.655,2.57,1.61510416666667,0.629962396190467,1.2475,96,7.5,7.9,8,7.84166666666667,0.134294779195985,0.2,96,7,17,150,22.4583333333333,22.3973291014173,12,96,0,96,41
"acefjwq",2020-07-24,96,29.1,30.7,31.8,30.646875,0.704564535163761,0.850000000000001,96,36.62,42.53,50.7,42.7605208333333,4.11113260608613,7.325,96,23,27.2,33.1,27.371875,2.95612488608064,5.25,96,53.1,72.55,98.1,74.2677083333333,10.5634074924182,11.625,96,3.5,4.65,6.3,4.78125,0.658117330764531,0.699999999999999,96,0.68,1.635,2.52,1.60270833333333,0.625322618488235,1.23,96,0.61,1.55,2.44,1.52197916666667,0.619773506663042,1.215,96,7.5,7.8,8,7.80104166666667,0.134942320361558,0.2,96,7,15,86,19.21875,12.740489228812,10.25,96,0,96,66
"acefjwq",2020-07-25,96,28.9,30.65,32,30.5885416666667,0.794304699810061,1.2,96,36.02,41.11,50.72,41.8123958333333,4.14384025926413,7.51499999999999,96,22.6,26.15,33.2,26.6958333333333,2.97922337695994,5.35,96,51.2,70.3,112,74.3583333333333,13.6589023729979,11.625,96,3.4,4.55,7.1,4.80833333333333,0.854297700689583,0.7,96,0.66,1.63,2.43,1.59854166666667,0.604237630436145,1.19,96,0.59,1.555,2.35,1.52291666666667,0.599002533456846,1.1775,96,7.5,7.8,8,7.79479166666667,0.120847700295317,0.2,96,5,14,48,16.2291666666667,8.61636040719437,10,96,0,96,70
"acefjwq",2020-07-26,96,28.7,30.4,31.4,30.3541666666667,0.666951693455762,0.924999999999997,96,36.39,40.125,50.65,41.7217708333333,4.49622882794522,7.88499999999999,96,22.9,25.5,33.1,26.6427083333333,3.22880928978851,5.625,96,53.8,69.8,96.9,71.6270833333333,10.5570378537549,11.9,96,3.5,4.55,6.3,4.65,0.669485269677974,0.800000000000001,96,0.69,1.635,2.43,1.58916666666667,0.585021217189089,1.1175,96,0.61,1.555,2.35,1.51552083333333,0.580980785607936,1.1175,96,7.5,7.8,8,7.784375,0.127591556394449,0.2,96,6,11,56,14.8958333333333,10.1995656942282,6,96,0,96,73
"acefjwq",2020-07-27,96,28.8,30.3,31.3,30.253125,0.639235254445745,0.824999999999999,95,36.85,41.04,50.14,42.3314736842105,4.36303280436438,8.03999999999999,95,23.2,26.1,32.7,27.0768421052632,3.12986481359815,5.75,96,53.8,69.3,100.6,72.315625,10.6749320532781,12.55,96,3.5,4.5,6.5,4.69583333333333,0.676199389259623,0.825,96,0.72,1.6,2.44,1.59447916666667,0.580844883345607,1.1175,96,0.66,1.57,2.39,1.54822916666667,0.580145162944344,1.125,96,7.6,7.8,8,7.80208333333333,0.124798082531379,0.2,96,5,10,69,13.59375,9.7198420227578,5.25,96,0,96,69
"acefjwq",2020-07-28,96,29.1,30.4,31.2,30.2729166666667,0.579378826469697,0.825000000000003,96,35.93,40.815,50.44,42.2711458333333,4.49028632771058,8.30499999999999,96,22.5,26,33,27.0375,3.22396454205394,5.95,96,55.6,73.65,96.3,74.3135416666667,7.94884460047221,7.625,96,3.6,4.8,6.2,4.82291666666667,0.510825784838765,0.6,96,0.67,1.525,2.44,1.54510416666667,0.58619557503702,1.155,96,0.63,1.49,2.42,1.51479166666667,0.592027700572882,1.155,96,7.6,7.8,8,7.81145833333333,0.10038849972578,0.2,96,5,9,67,13.6145833333333,12.7472348222677,6,96,0,96,63
"acefjwq",2020-07-29,96,29.3,30.2,31.1,30.2114583333333,0.438866912248653,0.700000000000003,96,36.03,40.84,50.65,42.2260416666667,4.41328675208629,7.86,96,22.6,26,33.1,27.0010416666667,3.16897774623621,5.6,96,54.7,75.05,90.5,74.7854166666667,7.13181130261733,9.75,96,3.5,4.9,5.9,4.86666666666667,0.477419966655568,0.7,96,0.62,1.65,2.47,1.55510416666667,0.602239670408746,1.1325,96,0.57,1.615,2.45,1.51770833333333,0.610924199220314,1.145,96,7.6,7.8,8,7.81354166666667,0.105251369953996,0.2,96,4,12,72,14.46875,12.1810492374966,7,96,0,96,50
"acefjwq",2020-07-30,96,29.3,29.9,30.9,29.9291666666667,0.391465980686812,0.724999999999998,96,35.73,41.08,51.23,42.6395833333333,4.38412180887891,7.21999999999999,96,22.4,26.15,33.5,27.3083333333333,3.14939147561345,5.15,96,53.9,76.95,94.7,75.615625,7.97158543466137,11.55,96,3.5,5,6.2,4.92916666666667,0.518685923964877,0.7,96,0.6,1.565,2.57,1.541875,0.597791219494953,1.06,96,0.56,1.53,2.56,1.51760416666667,0.604909292533172,1.0525,96,7.7,7.8,8,7.82708333333333,0.0945673434973213,0.100000000000001,96,4,10.5,124,16.78125,19.7682377485756,8,96,0,96,40
"acefjwq",2020-07-31,96,29.3,29.8,30.6,29.88125,0.346808759678117,0.599999999999998,96,36.5,42.575,51.55,43.1251041666667,4.32341507188148,6.955,96,22.9,27.25,33.7,27.6520833333333,3.10524104214545,4.95,96,55.3,77.85,89.9,76.9020833333333,8.16233943717849,12.7,96,3.6,5.1,5.8,5.00729166666667,0.521383744253625,0.800000000000001,96,0.57,1.56,2.48,1.53010416666667,0.587889167484496,1.055,96,0.55,1.545,2.48,1.51895833333333,0.595116050896871,1.0725,96,7.6,7.8,8,7.83541666666667,0.0928826839753038,0.100000000000001,96,5,13.5,117,19.1875,18.2643238669213,10,96,0,96,39
