"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"acejiwq",2015-01-01,96,11.8,12.2,12.5,12.1760416666667,0.163349667998095,0.200000000000001,96,0.23,3.54,15.92,4.52458333333333,4.06575892227209,5.6125,96,0.1,1.9,9.4,2.50520833333333,2.36551406638084,3.2,96,77.5,80.2,85.8,80.5614583333333,1.87394151409419,1.72499999999999,96,8.3,8.5,8.7,8.52291666666667,0.0934476117423598,0.0999999999999996,96,2.39,3.81,4.67,3.6965625,0.676937108366952,1.2025,96,2.26,3.675,4.53,3.55947916666667,0.67943687176904,1.2275,96,6.5,6.8,7.4,6.821875,0.262057898383665,0.4,94,28,54,247,62.0957446808511,36.810490892707,19.5,96,0,96,0
"acejiwq",2015-01-02,96,11.8,12.2,12.5,12.1541666666667,0.188577314406511,0.300000000000001,96,0.22,2.265,14.22,3.524375,3.58837210195727,4.0625,96,0.1,1.15,8.3,1.93229166666667,2.07107878279929,2.25,96,76.3,77.9,82.7,78.3239583333333,1.6191449850017,1.44999999999999,96,8.1,8.3,8.5,8.31770833333333,0.0739769404564576,0.0999999999999996,96,2.33,3.72,4.62,3.6146875,0.711067326925554,1.3075,96,2.2,3.59,4.5,3.4875,0.711268695989594,1.305,96,6.4,6.7,7.3,6.73854166666667,0.235916930815942,0.4,95,32,68,266,86.3473684210526,55.0212277064068,27.5,96,0,96,0
"acejiwq",2015-01-03,96,11.6,12.3,12.7,12.2645833333333,0.305038105183656,0.4,96,0.22,2.355,14,3.579375,3.59887082071732,4.4625,96,0.1,1.2,8.1,1.96354166666667,2.07202518739348,2.45,96,74.6,77.7,82,77.8270833333333,1.39498946735633,1,96,7.7,8.2,8.4,8.23958333333333,0.1061073603942,0.100000000000001,96,2.3,3.775,4.66,3.6675,0.726189767861933,1.3075,96,2.17,3.665,4.54,3.55635416666667,0.728044417082924,1.315,96,6.4,6.7,7.3,6.7375,0.233621376094785,0.4,90,32,71.5,272,82.1,44.465881378216,27,96,0,96,0
"acejiwq",2015-01-04,96,11.9,13,13.3,12.8510416666667,0.451196022674395,0.6,96,0.2,0.78,10.19,1.84552083333333,2.43192359202672,1.2925,96,0.1,0.4,5.8,0.982291666666667,1.368825450536,0.7,96,77,81.25,84.5,81.3041666666667,2.14117118304159,3.90000000000001,96,8.1,8.6,8.9,8.546875,0.212232804151231,0.299999999999999,96,2.23,3.52,4.52,3.44645833333333,0.744086835858723,1.355,96,2.17,3.44,4.44,3.36791666666667,0.740149226300334,1.3625,96,6.4,6.6,7.1,6.6625,0.179032487495838,0.2,94,40,72,286,87.3617021276596,42.6071958847051,34.25,96,0,96,0
"acejiwq",2015-01-05,96,12.9,13.2,13.7,13.25,0.208755712181538,0.200000000000001,96,0.15,0.45,2.14,0.642604166666667,0.476109772374898,0.61,96,0.1,0.2,1.1,0.320833333333333,0.242754659196077,0.3,96,80.4,84.2,86.6,84.4,1.17186311397481,1.8,96,8.4,8.8,9,8.83125,0.114535675894595,0.0999999999999996,96,1.98,3.415,4.36,3.30385416666667,0.798240657276879,1.5525,96,1.87,3.245,4.2,3.15270833333333,0.783872276339733,1.525,96,6.4,6.6,6.8,6.5875,0.113554994791534,0.2,96,26,82,152,81.15625,25.897095193741,26.25,96,0,96,0
"acejiwq",2015-01-06,96,12.9,13.2,13.6,13.2020833333333,0.171666240844302,0.200000000000001,96,0.16,0.55,3.97,0.970729166666667,0.908930250108007,1.0125,96,0.1,0.3,2.1,0.496875,0.481981245540355,0.5,96,79.1,83.9,85.1,83.5729166666667,1.12871414186015,1,96,8.2,8.8,8.9,8.740625,0.121029030880155,0.100000000000001,96,2.18,3.495,4.45,3.39958333333333,0.749367335496265,1.435,96,2.1,3.365,4.3,3.27979166666667,0.750502960009124,1.42,96,6.4,6.6,6.9,6.59791666666667,0.139909118371566,0.2,96,28,69,156,72.8958333333333,25.7532743617366,31.25,96,0,96,0
"acejiwq",2015-01-07,96,12.5,12.7,13.1,12.7458333333333,0.1746676041223,0.225000000000001,96,0.16,0.59,3.7,0.991770833333333,0.882096778067573,1.11,96,0.1,0.3,2,0.5125,0.466397165288849,0.525,96,77.8,80.8,85.7,81.1416666666667,1.85010194124066,3.5,96,8.2,8.6,9,8.578125,0.185927617495004,0.299999999999999,96,2.11,3.42,4.4,3.40927083333333,0.744559558667746,1.4,96,2.03,3.355,4.27,3.324375,0.731826572064002,1.3625,95,6.3,6.6,6.9,6.61157894736842,0.143558986241876,0.2,96,26,68.5,201,73.1041666666667,30.8123280750337,37,96,0,96,0
"acejiwq",2015-01-08,96,10.1,10.9,12.4,10.890625,0.490558891791587,0.425000000000001,96,0.15,2.525,7.28,2.61583333333333,1.98966046649418,3.685,96,0.1,1.3,4,1.39583333333333,1.08219238163886,2.025,96,80.1,83.5,84.8,82.9489583333333,1.33495474330281,1.72499999999999,96,8.5,9.1,9.4,9.09375,0.203036164784814,0.125,96,2.64,3.77,4.78,3.77104166666667,0.691018286248508,1.3325,96,2.43,3.58,4.54,3.56645833333333,0.686683837717516,1.3425,96,6.5,6.75,7.1,6.78541666666667,0.163500630397411,0.300000000000001,96,18,40.5,148,50.75,28.4164518693328,30.25,96,0,96,0
"acejiwq",2015-01-09,96,9.1,9.85,10.7,9.778125,0.449140260591511,0.75,96,0.17,3.41,10.68,3.68197916666667,3.08727323728669,5.04,96,0.1,1.8,6.1,2.00520833333333,1.73043163411644,2.725,96,79.5,83.45,84.8,83.3083333333333,0.748565880329168,0.924999999999997,96,8.7,9.3,9.7,9.340625,0.209549956360115,0.300000000000001,96,2.72,3.845,4.62,3.75145833333333,0.607680627973309,1.125,96,2.62,3.715,4.48,3.62197916666667,0.601156113871941,1.1025,96,6.6,6.85,7.2,6.84583333333333,0.182910197503795,0.3,96,14,32,90,36.7083333333333,15.4952737559531,17,96,0,96,0
"acejiwq",2015-01-10,96,8.4,9.15,10.1,9.15,0.506380343844011,0.825000000000001,96,0.15,2.295,12.35,3.81541666666667,3.83919616495204,5.7925,96,0.1,1.2,7.1,2.09791666666667,2.18867800361514,3.125,96,81.3,83.5,87.1,83.4947916666667,1.11519361469012,1.40000000000001,96,8.8,9.6,9.7,9.5,0.195205694481218,0.199999999999999,96,2.82,3.815,4.67,3.786875,0.600412687021887,1.1225,96,2.66,3.64,4.47,3.6025,0.592200179526804,1.1,96,6.5,6.8,7.3,6.83229166666667,0.220761739470487,0.324999999999999,96,10,26,66,29.25,11.8454965904214,13.25,96,0,96,0
"acejiwq",2015-01-11,96,8,8.8,9.7,8.846875,0.522937678685973,0.950000000000001,96,0.2,4.68,14.3,5.6334375,4.45589587616346,7.7925,96,0.1,2.55,8.3,3.14791666666667,2.58057436147221,4.45,96,82.3,84.85,88,84.78125,1.25180396144713,1.84999999999999,96,8.9,9.7,10,9.646875,0.251711248520162,0.300000000000001,96,3.01,3.925,4.68,3.87802083333333,0.55378623995311,1.0775,96,2.84,3.745,4.5,3.69489583333333,0.553380034622951,1.085,96,6.6,6.9,7.4,6.9375,0.244626460676595,0.424999999999999,96,9,20,92,24.2395833333333,13.1267062383016,12,96,0,96,0
"acejiwq",2015-01-12,96,8.1,8.85,9.6,8.834375,0.489431060679535,0.925000000000001,96,0.2,4.905,13.16,5.31854166666667,4.2122870345459,7.7175,96,0.1,2.6,7.6,2.953125,2.42972613249876,4.4,96,82.5,86.5,87.9,86.296875,0.770297703898681,0.799999999999997,96,9,9.9,10.2,9.83333333333333,0.292598761254588,0.5,96,2.77,3.785,4.53,3.7359375,0.570542822093228,1.11,96,2.7,3.68,4.39,3.63260416666667,0.561953818652606,1.09,96,6.6,6.9,7.3,6.90208333333333,0.217148586852252,0.399999999999999,96,7,15.5,36,16.5833333333333,5.05686956768329,5,96,0,96,0
"acejiwq",2015-01-13,96,8.3,9.1,9.7,9.02395833333333,0.426921610373039,0.800000000000001,96,0.22,6.345,15.76,6.41125,4.63542429784509,8.1375,96,0.1,3.45,9.2,3.59583333333333,2.70040607732543,4.725,96,81.6,86.7,88.5,86.74375,0.978915888005437,0.900000000000006,96,8.9,9.8,10.2,9.8,0.322490309931942,0.5,96,2.96,3.795,4.53,3.774375,0.50451187978293,0.995,96,2.87,3.685,4.43,3.67729166666667,0.510101082174002,1.005,96,6.6,6.9,7.4,6.94375,0.221864112038262,0.399999999999999,96,8,15,61,19.3333333333333,9.94264252353856,7.25,96,0,96,0
"acejiwq",2015-01-14,96,8.1,9,9.8,9.03645833333333,0.491211133010015,0.800000000000001,96,0.32,10.265,17.98,9.82697916666667,5.217788626126,8.4325,96,0.2,5.8,10.6,5.62916666666667,3.10866079362554,5.125,96,84.2,88.2,89.5,88.0697916666667,1.0587102174634,0.849999999999994,96,8.9,9.8,10.5,9.828125,0.384900021194842,0.699999999999999,96,2.98,3.94,4.65,3.886875,0.541256457357858,1.0225,96,2.88,3.845,4.54,3.78625,0.542433600108175,1.025,96,6.7,7.1,7.5,7.12708333333333,0.223125721778773,0.325,96,6,13,40,15.1354166666667,6.38521283767864,5,96,0,96,0
"acejiwq",2015-01-15,96,7.9,8.6,9.3,8.60104166666667,0.390275150352231,0.625,96,0.6,9.845,18.06,9.49625,4.9251080137768,8.2175,96,0.3,5.55,10.7,5.41145833333333,2.93941883950469,4.925,96,85.1,88.8,89.6,88.7,0.576924696354003,0.425000000000011,96,9.3,10,10.5,10.0083333333333,0.302851941129018,0.424999999999999,96,2.96,3.96,4.68,3.87947916666667,0.569946202062628,1.0875,93,2.89,3.9,4.59,3.81,0.56566044508206,1.08,96,6.8,7.1,7.5,7.140625,0.210552218801193,0.3,96,8,15,68,17.5,9.57408783617201,8,96,0,96,0
"acejiwq",2015-01-16,96,7.9,8.5,9.1,8.51875,0.344066242092084,0.600000000000001,96,0.47,9.46,19.31,9.17375,5.32410669551833,8.2475,96,0.2,5.3,11.5,5.22604166666667,3.17408071371743,4.925,96,86.1,88.6,89.8,88.5364583333333,0.503068435580283,0.5,96,9.2,10,10.5,10.0135416666667,0.293300561367082,0.5,96,2.67,3.98,4.68,3.85885416666667,0.619361079605285,1.0825,0,NA,NA,NA,NA,NA,NA,96,6.8,7.1,7.6,7.13333333333333,0.230636038936113,0.325,96,9,19,77,21.8229166666667,10.6167640938547,10,96,0,96,0
