"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"apadbwq",2002-01-01,48,9.8,11.1,13.7,11.4916666666667,1.09269008927768,0.350000000000001,48,33.86,37.49,46.39,38.8483333333333,3.61118730597919,1.765,48,21.2,23.7,30.1,24.7,2.58991497437041,1.225,48,86.8,103.1,107.4,100.775,5.33221841183286,5.22499999999998,48,7.5,9.8,10.6,9.43333333333333,0.813276361218198,0.525,48,0.75,1.285,1.44,1.17125,0.240103036392934,0.43,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,8.1,8.3,8.5,8.28958333333333,0.0778421297442498,0,48,1,2,9,2.64583333333333,1.91843889697286,3,48,0,48,0
"apadbwq",2002-01-02,48,9.7,10.2,11,10.3208333333333,0.380346053702909,0.724999999999998,48,33.39,36.35,38.02,36.109375,1.3864302949539,2.34999999999999,48,20.9,22.9,24.1,22.7354166666667,0.962375072485694,1.7,48,93.7,99.4,103.5,99.45625,2.42345860202824,3.09999999999998,48,9,9.7,9.9,9.65,0.172589785452538,0.0999999999999996,48,0.88,1.335,1.46,1.25479166666667,0.193280631420403,0.325,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,8.2,8.3,8.4,8.29791666666667,0.0251766806435432,0,48,3,8,30,9.89583333333333,6.11325585618012,5,48,0,48,0
"apadbwq",2002-01-03,48,7.6,8.75,10.9,8.91458333333333,0.855268922081245,1.125,48,33.93,36.65,41.63,36.7527083333333,1.87796147920448,2.3925,48,21.2,23.05,26.6,23.1229166666667,1.3204189508159,1.6,48,91.6,97.85,106.7,98.08125,3.54008391834659,4.25000000000001,48,8.6,9.9,11,9.79791666666667,0.525717173106691,0.6,48,0.73,1.035,1.47,1.09791666666667,0.269427749232958,0.535,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,8.2,8.2,8.3,8.24791666666667,0.0504852341308654,0.100000000000001,48,3,10.5,98,24.6875,24.0709556157482,29.25,48,0,48,0
"apadbwq",2002-01-04,48,5.5,6.95,8.8,7.05625,1.05767835878319,2.1,48,35.85,37.18,41,37.605,1.33508307176394,1.39250000000001,48,22.3,23.35,26.1,23.5895833333333,0.978544203838155,1.025,48,95.1,98.25,111.3,100.310416666667,4.46652988173114,7.92500000000001,48,9.9,10.3,11.9,10.4229166666667,0.338481957364042,0.4,48,0.7,0.91,1.21,0.905,0.133448531795213,0.1225,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,8.2,8.3,8.3,8.25208333333333,0.0504852341308654,0.100000000000001,48,1,24,48,21.7916666666667,15.1867219906962,28.5,48,0,48,0
"apadbwq",2002-01-05,48,7.1,8.8,10,8.4625,0.818827651831724,1.15,48,31.99,35.82,46.25,37.175,3.69084894806694,3.77249999999999,48,19.8,22.4,29.9,23.4020833333333,2.59594524934342,2.52500000000001,48,94.9,105.7,119.8,104.983333333333,5.90147234904348,6.37499999999999,48,8.9,10.7,12.2,10.5854166666667,0.773769327145504,0.525,48,1.11,1.2,1.53,1.22875,0.117774125684936,0.1325,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,8.2,8.3,8.4,8.28333333333333,0.0476393067340336,0,48,1,3,36,5.14583333333333,6.79170201879151,3,48,0,48,0
"apadbwq",2002-01-06,48,9,9.85,11.4,10.0854166666667,0.723169614115625,1.225,48,33.54,35.2,45.07,36.2147916666667,3.18727322235977,1.61,48,21,22.1,29.1,22.8104166666667,2.24169764538694,1.1,48,94.8,101.55,106.8,101.120833333333,2.57912720956539,2.625,48,8.8,10,10.7,9.8625,0.460168794192887,0.4,48,1.13,1.455,1.65,1.37583333333333,0.184446651842441,0.3525,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,8.1,8.25,8.3,8.24375,0.0615621118629093,0.100000000000001,48,11,41.5,139,47.3333333333333,28.275493737498,14,48,0,48,0
"apadbwq",2002-01-07,48,9.8,10.2,11,10.2645833333333,0.293540082683514,0.325000000000001,48,38.07,43.9,47.36,43.4979166666667,2.51055979036407,3.52,48,24.1,28.2,30.7,27.91875,1.78225965226313,2.47499999999999,48,91,98.1,104,97.8041666666667,3.15081606000281,3.575,48,8.4,9.3,9.6,9.18541666666667,0.303167381149272,0.300000000000001,48,0.84,0.92,1.22,0.940833333333333,0.0881689223323515,0.075,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,8.1,8.2,8.3,8.19166666666667,0.0453512688758814,0,48,4,25,118,37.4583333333333,28.8259327197425,31.25,48,0,48,0
"apadbwq",2002-01-08,48,6.9,9.8,11.1,9.87083333333333,1.10799000174714,1.55,48,44.35,49.81,51.12,49.0802083333333,1.85334486529526,3.27,48,28.3,32.5,33.4,31.875,1.4037184660447,2.45,48,87.6,102.5,116.8,102.133333333333,7.43898109396119,11.6,48,8.2,9.4,10.7,9.42708333333333,0.497114903166617,0.525,48,0.64,0.965,1.27,0.958125,0.220643702871895,0.435,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,8.1,8.5,8.6,8.325,0.198397838011556,0.4,48,2,5.5,98,21.6875,24.8314798918031,39,48,0,48,0
"apadbwq",2002-01-09,48,8.8,9.8,10.7,9.73958333333333,0.517662332780879,0.699999999999999,48,44.34,49.06,50.75,48.75125,1.17163756105209,0.879999999999995,48,28.4,31.9,33.1,31.61875,0.848943335702709,0.625,48,102.8,111.55,144.2,114.172916666667,8.99431829127826,13.7,48,9.6,10.45,13.2,10.5875,0.773944030083654,1.025,48,0.89,1.245,1.39,1.19208333333333,0.176598575128988,0.325,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,8.5,8.5,8.6,8.50833333333333,0.0279310193865463,0,46,0,1.5,10,1.54347826086957,1.54497783859159,1,48,0,48,0
"apadbwq",2002-01-10,48,9.8,10.45,12.2,10.5958333333333,0.647731995186784,1,48,40.03,47.89,49.75,47.513125,1.76707735173684,1.2625,48,25.4,31.1,32.4,30.7791666666667,1.26574481198937,0.899999999999999,48,109.7,123.6,154,129.304166666667,12.8534118052547,21.425,48,10.3,11.4,14,11.8354166666667,1.07693212479638,1.825,48,0.9,1.33,1.51,1.26020833333333,0.214857593445037,0.41,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,8.5,8.5,8.6,8.54166666666667,0.0498223795452012,0.0999999999999996,34,0,0.5,2,0.558823529411765,0.612554337507528,1,48,0,48,0
