"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"apalmwq",2017-01-01,96,16.1,17,17.9,16.9166666666667,0.506934370644121,0.800000000000001,96,2.75,6.215,18.79,8.82541666666667,5.14736313008733,8.09,96,1.4,3.4,11.2,5.03333333333333,3.14648230206257,4.85,96,63.7,78.7,94.9,79.3083333333333,5.5394027165517,4.52500000000001,96,5.9,7.4,8.7,7.44895833333333,0.482754114521792,0.399999999999999,96,1.68,2.07,2.18,2.01104166666667,0.157797199405917,0.225,96,1.61,2.01,2.13,1.95072916666667,0.161624938094451,0.23,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7,7.2,7.8,7.23541666666667,0.198403717424143,0.225,96,4,5,9,5.19791666666667,1.10138469465216,1.25,96,0,96,0
"apalmwq",2017-01-02,96,17.3,17.6,18.2,17.7229166666667,0.240822785539674,0.199999999999999,96,0.84,2.07,12.83,3.07010416666667,2.18930870838583,2.2125,96,0.4,1.1,7.4,1.63229166666667,1.26611671463879,1.2,96,64.8,78.5,84.6,78.1375,4.49416580866677,5.65000000000002,96,6.1,7.4,8,7.375,0.43286074094636,0.524999999999999,96,1.56,1.975,2.19,1.93135416666667,0.191088955816624,0.2825,96,1.5,1.93,2.12,1.87333333333333,0.191188342887688,0.2825,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,6.9,7.1,7.2,7.065625,0.072297812444157,0.0999999999999996,96,4,5,12,5.20833333333333,1.24745354658087,2,96,0,96,0
"apalmwq",2017-01-03,96,17.5,17.9,18.4,17.9552083333333,0.334308332835884,0.699999999999999,96,0.28,0.655,1.26,0.684791666666667,0.321227839019914,0.6525,96,0.1,0.3,0.6,0.338541666666667,0.152432757680346,0.3,96,78.5,83.15,87.9,83.5583333333333,2.87466855450252,5.30000000000001,96,7.5,7.9,8.3,7.90729166666667,0.228148055191622,0.399999999999999,96,1.52,1.87,2.08,1.83510416666667,0.161408242088299,0.2325,96,1.52,1.855,2.07,1.82645833333333,0.159710126671428,0.2425,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7,7.1,7.2,7.08854166666667,0.0432125509707944,0,96,4,5,8,5.34375,0.880527652813028,1,96,0,96,0
"apalmwq",2017-01-04,96,17.2,17.8,18.4,17.8135416666667,0.38651473497252,0.699999999999999,96,0.22,0.29,0.88,0.387916666666667,0.178602273025358,0.1725,96,0.1,0.1,0.4,0.177083333333333,0.102062072615966,0.1,96,82.5,85.3,90.1,85.5864583333333,2.37560495527114,4.2,96,7.8,8.1,8.5,8.12916666666667,0.174063912440331,0.300000000000001,96,1.43,1.73,1.89,1.71135416666667,0.140739548862554,0.205,96,1.44,1.725,1.89,1.71,0.136697899725905,0.205,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7,7.1,7.2,7.09375,0.0594934759802327,0,96,5,6,12,6.47916666666667,1.28127540625217,1,96,0,96,0
"apalmwq",2017-01-05,96,16.7,17.3,17.8,17.3229166666667,0.270857961093484,0.5,96,0.2,0.24,0.81,0.35875,0.190286487613864,0.265,96,0.1,0.1,0.4,0.170833333333333,0.102512301358542,0.1,96,84.6,87.85,90.8,87.61875,2.09029398587099,3.92499999999998,96,8.1,8.5,8.7,8.40416666666667,0.200481875630044,0.4,96,1.49,1.7,1.92,1.695625,0.124628395007339,0.22,96,1.48,1.685,1.9,1.6821875,0.119966689455646,0.1925,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,7,7.1,7.2,7.146875,0.0541987084716972,0.100000000000001,40,6,8,9,7.725,0.750640751932333,1,96,0,96,0
"apalmwq",2017-01-06,96,16.3,16.7,17.4,16.828125,0.363811149680131,0.699999999999999,96,0.17,0.22,0.69,0.284270833333333,0.137410217896837,0.15,96,0.1,0.1,0.3,0.145833333333333,0.0679266890678421,0.1,96,85.3,88.3,90.2,88.3354166666667,1.05041136469848,1.42500000000001,96,8.2,8.6,8.7,8.57291666666667,0.130165212158012,0.199999999999999,96,1.54,1.815,2.15,1.82135416666667,0.174353662311417,0.215,96,1.54,1.81,2.17,1.81760416666667,0.178052297412965,0.21,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,6.9,7,7.1,6.9625,0.0652928625099008,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,96,0,96,0
"apalmwq",2017-01-07,96,14,15.2,17.2,15.2333333333333,0.702726519638692,0.699999999999999,96,0.14,0.17,0.39,0.189895833333333,0.0486338585039523,0.06,96,0.1,0.1,0.2,0.102083333333333,0.0143575886163796,0,96,76.9,82.1,87.6,81.6572916666667,2.43763236257802,2.97500000000001,96,7.8,8.2,8.5,8.18541666666667,0.182946162150547,0.225000000000001,96,1.54,1.655,2.11,1.70052083333333,0.153871920708283,0.105,96,1.4,1.525,2.11,1.596875,0.2084949197917,0.2075,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,6.5,6.6,6.9,6.64791666666667,0.0767486213374091,0.100000000000001,0,NA,NA,NA,NA,NA,NA,96,0,96,0
"apalmwq",2017-01-08,96,11.9,13.1,14.1,13.0395833333333,0.548006754984619,0.5,96,0.11,0.13,0.16,0.129166666666667,0.0111134500462199,0.02,96,0.1,0.1,0.1,0.1,0,0,96,73,74.1,76.9,74.4,1.09304018320703,1.75,96,7.8,7.8,8,7.840625,0.0514589770184902,0.100000000000001,96,1.4,1.535,1.98,1.60104166666667,0.185497789271359,0.315,96,1.13,1.32,1.73,1.36166666666667,0.18622943781468,0.3325,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,6.3,6.4,6.5,6.40625,0.0677650740659073,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,96,0,96,0
"apalmwq",2017-01-09,96,11.2,11.5,11.9,11.4864583333333,0.195000562302383,0.399999999999999,96,0.11,0.12,0.12,0.115520833333333,0.00499890338851625,0.01,96,0.1,0.1,0.1,0.1,0,0,96,73.5,76.25,79.7,76.60625,1.94047267708832,3.25,96,7.9,8.3,8.7,8.35520833333333,0.226585544048886,0.325000000000001,96,1.61,1.88,2.08,1.83833333333333,0.136271143538915,0.235,96,1.34,1.645,1.87,1.60125,0.154253721272181,0.2725,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,6.3,6.4,6.4,6.35104166666667,0.0502515601573289,0.100000000000001,0,NA,NA,NA,NA,NA,NA,96,0,96,0
"apalmwq",2017-01-10,96,11.1,11.45,12.1,11.5822916666667,0.378916680653139,0.724999999999998,96,0.11,0.12,0.13,0.118541666666667,0.00597876358748928,0.01,96,0.1,0.1,0.1,0.1,0,0,96,79.5,80.4,84.1,81.4322916666667,1.71184694296551,3.52500000000001,96,8.7,8.8,9.1,8.85729166666667,0.120302068640977,0.199999999999999,96,1.68,2.045,2.21,1.98260416666667,0.171901102483631,0.3125,96,1.49,1.855,2.06,1.80979166666667,0.183469367393933,0.345,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96,6.2,6.4,6.6,6.41145833333333,0.0792992887293603,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,96,0,96,0
