"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"deldswq",2002-01-31,16,9.3,9.5,10.1,9.56875,0.218231528427952,0.225,16,0.24,0.25,0.25,0.246875,0.0047871355387817,0.01,16,0.1,0.1,0.1,0.1,0,0,16,89.6,96.75,107.9,98.3625,6.24327638343843,11.875,16,10.3,11,12.3,11.21875,0.681389511708734,1.25,16,0.14,0.17,0.26,0.1775,0.0337638860322683,0.0275,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16,6.7,6.75,6.9,6.775,0.0856348838577676,0.124999999999999,0,NA,NA,NA,NA,NA,NA,16,0,16,0
"deldswq",2002-02-01,48,9.1,9.95,12.9,10.4833333333333,1.29751535609055,2.4,48,0.24,0.25,0.25,0.246875,0.00468417435218867,0.01,48,0.1,0.1,0.1,0.1,0,0,48,81.8,89.3,113.6,93.2958333333333,10.4533199110675,16.1,48,9.4,10.15,12,10.3854166666667,0.834620459883855,1.25,48,0.01,0.095,0.17,0.0977083333333333,0.051745678546396,0.08,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.6,6.8,7.1,6.88125,0.153894478907782,0.2,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"deldswq",2002-02-02,48,7.6,8.65,9.9,8.61666666666667,0.62136888462502,1.025,48,0.24,0.25,0.25,0.249583333333333,0.00201940936523459,0,48,0.1,0.1,0.1,0.1,0,0,48,82.1,90.5,112,93.325,10.2945038010891,19.225,48,9.4,10.8,12.9,10.8833333333333,1.13537571498795,2.025,48,0.17,0.25,0.27,0.237708333333333,0.0267565528528504,0.025,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.8,6.95,7.3,6.95208333333333,0.111067515087902,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"deldswq",2002-02-03,48,6.7,7.6,8.7,7.71875,0.632676264229305,1.15,48,0.25,0.25,0.25,0.25,0,0,48,0.1,0.1,0.1,0.1,0,0,48,76,90.05,114.3,92.1541666666667,12.6141588521034,23.325,48,9.2,10.7,13.3,10.9666666666667,1.33517603163815,2.35,48,0.1,0.195,0.24,0.179375,0.0476872011019327,0.09,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.7,6.9,7.2,6.93541666666667,0.153663882068892,0.3,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"deldswq",2002-02-04,48,6,7.4,9.1,7.47083333333333,0.696788478949791,0.775,48,0.25,0.25,0.25,0.25,0,0,48,0.1,0.1,0.1,0.1,0,0,48,81.3,89.65,109.3,92.1229166666667,8.82525967512193,15.975,48,9.8,11,12.7,11.05,0.925754436443998,1.625,48,0.04,0.08,0.19,0.0908333333333333,0.039401551612894,0.0325,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.8,7,7.3,6.99375,0.139002908281224,0.199999999999999,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"deldswq",2002-02-05,48,3.8,5.5,7.3,5.50208333333333,0.822939614995583,1.025,48,0.25,0.25,0.26,0.254166666666667,0.00498223795452014,0.01,48,0.1,0.1,0.1,0.1,0,0,48,86.3,92.3,107.6,94.33125,7.20481978896692,12.2,48,10.9,11.7,13.4,11.8895833333333,0.739246189762257,1.225,48,0.16,0.215,0.25,0.205,0.0338331324453387,0.0625,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.8,6.9,7.1,6.95,0.103142124625879,0.0999999999999996,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"deldswq",2002-02-06,48,3.9,5.65,7.2,5.55416666666667,0.874936674506883,1.5,48,0.25,0.26,0.26,0.257083333333333,0.00459339643185104,0.01,48,0.1,0.1,0.1,0.1,0,0,48,78.9,92.25,107.3,92.4916666666667,9.1461847256362,18.575,48,10,11.55,13.3,11.6291666666667,0.952479034969661,1.725,48,0.16,0.18,0.2,0.184166666666667,0.0119988179086806,0.0125,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.6,6.8,7,6.82916666666667,0.0824061899485954,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"deldswq",2002-02-07,48,5,5.4,6.1,5.42291666666667,0.288974403146297,0.399999999999999,48,0.25,0.25,0.27,0.254791666666667,0.00583079985511033,0.01,48,0.1,0.1,0.1,0.1,0,0,48,86.3,94.1,105.4,94.8875,5.97486312493451,10.225,48,10.9,11.95,13.2,11.9875,0.707294816499321,1.3,48,0.11,0.13,0.16,0.126875,0.0170301672259752,0.03,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,6.9,7,7.3,7.03333333333333,0.134216930367086,0.3,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"deldswq",2002-02-08,48,4.4,5.5,7.3,5.50416666666667,0.895605900537739,1.525,48,0.25,0.25,0.26,0.250208333333333,0.00144337567297407,0,48,0.1,0.1,0.1,0.1,0,0,48,91,96.4,111.9,98.6583333333333,7.17216348656486,12.575,48,11.7,12.15,13.6,12.425,0.64097664842784,1.05,48,0.12,0.17,0.2,0.1675,0.0248827035542807,0.0325,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7,7.1,7.3,7.13541666666667,0.0729021008754669,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"deldswq",2002-02-09,48,4.9,5.65,7.4,5.89583333333333,0.85052132531918,1.525,48,0.25,0.25,0.26,0.250208333333333,0.00144337567297407,0,48,0.1,0.1,0.1,0.1,0,0,48,90.8,97.35,113.5,99.7229166666667,8.01685032817734,15,48,11.5,12.2,13.7,12.4333333333333,0.741858888151297,1.425,48,0.21,0.3,0.33,0.289166666666667,0.0368339189966596,0.0525,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7,7.1,7.3,7.125,0.0785507018807436,0.100000000000001,0,NA,NA,NA,NA,NA,NA,48,0,48,0
