"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"delslwq",2002-01-01,48,-0.6,0.4,0.6,0.260416666666667,0.275016118160785,0.3,48,10.29,22.32,42.68,23.1097916666667,8.90355140465018,11.77,48,5.7,13,26.2,13.5791666666667,5.63034930828748,7.35,48,78.2,83.75,92.6,84.1145833333333,3.89287344419033,5.02500000000001,48,10.8,11.1,11.3,11.09375,0.162959660848413,0.199999999999999,48,0.44,1.17,2.03,1.211875,0.491141337936227,0.855,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.2,7.4,7.8,7.42916666666667,0.176199033172092,0.2,48,47,147.5,213,139.9375,47.3719578824543,70,48,0,48,0
"delslwq",2002-01-02,48,-0.9,-0.2,-0.1,-0.266666666666667,0.184890230036962,0.225,48,11.25,22.69,40.35,23.3354166666667,8.13652363383599,13.1725,48,6.2,13.15,24.6,13.6479166666667,5.1233296015066,8.175,48,78.5,84.25,92.7,84.5229166666667,3.91675286611045,5.55,48,11,11.3,11.7,11.3020833333333,0.185069950356136,0.200000000000001,48,0.55,1.2,2.08,1.2375,0.478821692037816,0.8225,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.2,7.4,7.8,7.4375,0.169636658021434,0.225000000000001,48,53,125,226,120.229166666667,40.2667909120482,57.25,48,0,48,0
"delslwq",2002-01-03,48,-0.7,-0.4,-0.1,-0.379166666666667,0.159731601122518,0.225,48,13.08,26.1,41.74,26.7327083333333,8.26788962745899,12.525,48,7.3,15.3,25.5,15.7875,5.25132708657657,7.9,48,79.4,85.85,94.3,86.1604166666667,4.22911587678687,5.39999999999999,48,11,11.4,11.7,11.3875,0.177002223811009,0.199999999999999,48,0.53,1.24,1.97,1.255,0.463469799791905,0.87,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.2,7.45,7.8,7.47708333333333,0.174111218225756,0.3,48,45,128.5,526,177.375,124.499786379378,88.75,48,0,48,0
"delslwq",2002-01-04,48,-0.8,-0.5,-0.2,-0.5,0.159787092387392,0.2,48,17.54,28.765,39.46,28.4870833333333,6.9694576724611,11.7525,48,10,17,24,16.8729166666667,4.44166633401194,7.475,48,80.7,87.7,95.7,87.71875,4.18450313530313,6.625,48,11.1,11.55,12,11.5479166666667,0.218300576829223,0.299999999999999,48,0.72,1.34,2.01,1.34229166666667,0.427263631722743,0.7975,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.3,7.5,7.8,7.5,0.148753687599562,0.199999999999999,48,43,155,368,168.791666666667,82.4711318501964,81.75,48,0,48,0
"delslwq",2002-01-05,48,-0.7,-0.2,0.4,-0.2125,0.324611060232907,0.525,48,15.64,27.05,37.36,26.851875,6.72767724333039,10.8575,48,8.9,15.9,22.7,15.8541666666667,4.26629334027188,6.875,48,80.3,86.75,96.2,87.26875,4.28610601679824,6.22499999999999,48,11.1,11.45,11.9,11.48125,0.218949377225043,0.399999999999999,48,0.64,1.34,1.93,1.29479166666667,0.44344871652131,0.845,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.3,7.4,7.7,7.45833333333333,0.131817626002074,0.3,48,43,136.5,214,131.729166666667,41.8867467910506,51.5,48,0,48,0
"delslwq",2002-01-06,48,-0.3,0.1,0.8,0.125,0.303525385387233,0.325,48,15.97,26.385,40.87,27.004375,6.81657832248671,10.6,48,9.1,15.55,25.1,16.00625,4.37528874427102,6.725,48,80.2,87.35,97.9,87.86875,4.98402367784069,7.5,48,10.9,11.45,11.8,11.4375,0.254846637236276,0.5,48,0.63,1.315,1.8,1.271875,0.401431779265488,0.7275,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.2,7.4,7.8,7.46875,0.16393596310755,0.3,48,47,116,180,112.708333333333,31.0277558196798,39.25,48,0,48,0
"delslwq",2002-01-07,48,0.2,0.5,0.8,0.508333333333333,0.139655096932732,0.2,48,12.43,21.61,31.79,21.9022916666667,5.66883989016753,9.375,48,6.9,12.55,19.1,12.7875,3.5556742186168,5.9,48,80.1,84.15,92.2,85.1958333333333,3.56053775124126,6.05,48,10.9,11.2,11.6,11.225,0.214872550052252,0.4,48,0.57,1.21,1.74,1.205625,0.382232558429295,0.68,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.2,7.3,7.6,7.36875,0.118781490785355,0.2,48,37,86,127,82.8333333333333,21.3345522701409,23.5,48,0,48,0
"delslwq",2002-01-08,48,0.2,0.7,1.5,0.660416666666667,0.294444723225703,0.4,48,8.4,18.535,31.25,18.8529166666667,7.15959524540418,12.4,48,4.6,10.65,18.8,10.9270833333333,4.43121133159413,7.65,48,79.5,82.7,94.3,84.3166666666667,4.09651296100919,5.84999999999999,48,10.9,11.15,11.6,11.2145833333333,0.207302413830958,0.300000000000001,48,0.54,1.265,1.85,1.25916666666667,0.413818920895094,0.77,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.2,7.3,7.6,7.33125,0.120559422975084,0.2,48,37,92,395,116.770833333333,72.014253785115,74.5,48,0,48,0
"delslwq",2002-01-09,48,0.4,0.8,1.1,0.747916666666667,0.189050914377451,0.3,48,8.41,17.305,32.02,18.06125,6.92834990793685,10.38,48,4.6,9.9,19.3,10.4333333333333,4.29915050160622,6.375,48,79.2,82.4,92.7,83.81875,3.9129711326697,5.25,48,10.9,11.1,11.6,11.15625,0.203068220378422,0.224999999999998,48,0.5,1.12,1.87,1.145,0.422092054092066,0.73,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.2,7.3,7.6,7.32083333333333,0.132019233500973,0.2,48,37,107,389,131.270833333333,81.6296096631539,92.75,48,0,48,0
"delslwq",2002-01-10,48,0.9,1.4,1.8,1.40833333333333,0.243059692636186,0.4,48,5.4,16.745,34.42,17.2402083333333,8.43381453526506,14.7525,48,2.9,9.6,20.9,10.0145833333333,5.21964332291391,9.1,48,78.3,82.8,94,84.05,4.54687173265219,7.675,48,10.7,11,11.4,11.0125,0.20998986804332,0.399999999999999,48,0.33,1.155,1.79,1.105625,0.473649957157069,0.9075,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.1,7.3,7.7,7.31875,0.174619647452959,0.225000000000001,48,46,96.5,290,114.875,61.7464358520031,79,48,0,48,0
"delslwq",2002-01-11,39,1.7,2.6,2.9,2.3974358974359,0.417692394678428,0.8,39,7.64,17.84,45.2,20.6074358974359,10.3834034370515,13.12,39,4.2,10.3,28.4,12.2051282051282,6.68761418861484,8.25,39,77.8,87.1,99.8,86.8102564102564,6.07561107482397,8.94999999999999,39,10.4,11,11.4,10.9076923076923,0.247497597420147,0.4,39,0.51,1.37,1.96,1.2725641025641,0.482998953625967,0.9,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,39,7.1,7.3,7.9,7.33846153846154,0.224329861230457,0.2,39,45,84,225,99.3846153846154,44.2163433612834,58.5,39,0,39,0
"delslwq",2002-01-12,48,2.2,3,3.8,3,0.379248977894526,0.525,48,5.78,17.91,36.06,18.464375,8.892453627428,14.4225,48,3.1,10.35,22.1,10.8520833333333,5.5784154534806,9,48,82.4,86.6,95,87.2958333333333,3.41099338705381,4.82500000000002,48,10.7,10.9,11.1,10.91875,0.102430568077092,0.199999999999999,48,0.54,1.215,1.97,1.21354166666667,0.460958712247814,0.8325,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.1,7.3,7.7,7.30833333333333,0.14562168025011,0.2,48,56,89.5,190,101.875,35.9861823364043,53.5,48,0,48,0
"delslwq",2002-01-13,48,3,3.7,4.6,3.66666666666667,0.412224548048978,0.5,48,7.12,18.53,43.44,19.9485416666667,10.4779486764496,12.7,48,3.9,10.8,27.3,11.8520833333333,6.72363217390192,7.975,48,82,89.75,101.3,89.8375,5.21608090428053,6.175,48,10.5,11,11.5,10.95,0.269751658839772,0.425000000000001,48,0.46,1.095,1.9,1.13375,0.458872925440288,0.8275,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.1,7.3,7.9,7.38333333333333,0.200354296114736,0.125000000000001,48,54,110.5,253,121.416666666667,48.0902667788945,62.75,48,0,48,0
"delslwq",2002-01-14,48,3,4,4.7,3.94791666666667,0.409976430735799,0.6,48,4.79,12.225,26.82,13.39125,6.97552243906307,13.075,48,2.6,6.9,16.1,7.72083333333333,4.28043338098819,8.025,48,83.4,86.45,91.8,86.9291666666667,2.40866859429917,3.85000000000001,48,10.5,10.85,11.1,10.8375,0.153851268327426,0.300000000000001,48,0.38,0.96,1.81,1.013125,0.446047207929976,0.785,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.1,7.25,7.5,7.27916666666667,0.109074117555758,0.2,48,62,98.5,195,103.854166666667,31.2294116576389,43.25,48,0,48,0
"delslwq",2002-01-15,48,3.3,4.25,5,4.2125,0.433503785352439,0.6,48,5.36,18.22,41.09,19.179375,10.3459031682604,15.4225,48,2.9,10.65,25.7,11.3916666666667,6.57916871594792,9.625,48,80.3,88.15,97.3,88.16875,4.86214890982132,7.05000000000001,48,10.2,10.7,10.9,10.6416666666667,0.200884568668372,0.300000000000001,48,0.37,1.155,1.92,1.161875,0.474510526081037,0.8375,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.1,7.3,7.8,7.36458333333333,0.196229981587317,0.3,48,57,122,258,132.9375,50.2374812393754,69,48,0,48,0
"delslwq",2002-01-16,48,3.4,4.4,5.1,4.36666666666667,0.415309847587974,0.525,48,7.09,17.91,34.48,18.9335416666667,8.35549264870015,14.895,48,3.9,10.45,21.2,11.2,5.2764027075191,9.35,48,82.5,87.85,95.1,88.3520833333333,3.77421202616383,6.47500000000002,48,10.3,10.6,11,10.6395833333333,0.172268448764469,0.300000000000001,48,0.62,1.21,1.93,1.23041666666667,0.418512860237768,0.745,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.2,7.3,7.7,7.3625,0.153851268327425,0.3,48,64,117.5,180,118.104166666667,31.9788757292654,48,48,0,48,0
"delslwq",2002-01-17,48,3.6,4.25,4.7,4.20833333333333,0.318796495704954,0.5,48,10.32,22.005,40.46,22.6583333333333,8.87283238937427,13.895,48,5.8,13.05,25.3,13.5604166666667,5.71815844419406,8.875,48,82.1,87.85,98.5,88.5,4.90774463952726,7.77499999999999,48,10.2,10.5,11,10.5291666666667,0.261711497266395,0.399999999999999,48,0.72,1.28,1.94,1.296875,0.402804827085531,0.7175,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.2,7.4,7.8,7.41458333333333,0.190173026851454,0.2,48,54,106,149,101.270833333333,25.6595878835692,35.5,48,0,48,0
