"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"elkapwq",2002-01-01,48,10.9,12.85,13.6,12.58125,0.875106376512459,0.824999999999999,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,28,60,83.3,58.8895833333333,19.0044254597906,37.175,48,2.7,5.65,7.6,5.46041666666667,1.6644901568557,3.2,48,0.08,0.29,1.06,0.378333333333333,0.295687682654788,0.41,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,47,8,27,98,30.4042553191489,18.6695049822222,23,48,0,48,20
"elkapwq",2002-01-02,48,12.5,12.95,13.7,13.00625,0.323153510717989,0.399999999999999,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,27.5,60.7,82.6,61.6666666666667,14.6513863018957,25.275,48,2.5,5.8,7.5,5.76875,1.27865558552058,2.225,48,0.13,0.3,0.97,0.371458333333333,0.252249366516155,0.355,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,47,13,43,145,54.9574468085106,34.5297335304999,40,48,0,48,14
"elkapwq",2002-01-03,48,9,12.95,15.5,12.4770833333333,1.96308914001153,3,28,22.27,30.59,36.43,30.7332142857143,2.87858125236288,1.3825,28,13.5,19,23,19.1214285714286,1.9440997426891,1.025,48,23.4,40.35,65.4,42.1229166666667,11.7511111214494,20.075,48,2.4,4,6.1,4.01458333333333,1.05950401550218,1.925,48,0.14,0.29,0.75,0.347708333333333,0.177239345126845,0.255,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,28,7.3,7.6,8,7.62857142857143,0.197872279901555,0.225000000000001,47,6,22,72,25.3617021276596,16.4969371754339,25,48,0,48,38
"elkapwq",2002-01-04,48,6.9,11.7,14.3,11.1270833333333,2.27275627802252,3.8,48,22.69,31.145,35.91,31.1489583333333,2.84557232741805,2.885,48,13.7,19.4,22.7,19.3604166666667,1.96086602484104,2.125,48,23.7,39.9,70.2,41.31875,12.749929599305,19.5,48,2.5,3.85,6.3,3.97916666666667,1.06170443724077,1.45,48,0.16,0.25,0.54,0.303333333333333,0.122844536475352,0.2075,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.2,7.5,8,7.55208333333333,0.205239438096957,0.3,48,5,12.5,46,14.1666666666667,7.58030295620178,10,48,0,48,39
"elkapwq",2002-01-05,48,8.5,12.4,15.5,12.1895833333333,2.10098655482278,3.05,48,25.57,31.095,36.48,31.4439583333333,2.13287513433217,2.595,48,15.6,19.4,23.1,19.5791666666667,1.44780954626964,1.65000000000001,48,26.8,50.35,101,54.9479166666667,20.0804127022026,27.8,48,2.8,4.75,8.9,5.16875,1.75064197951081,2.275,48,0.18,0.24,0.59,0.288333333333333,0.125347743248886,0.1625,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.3,7.6,8,7.625,0.168219714482059,0.225000000000001,48,5,10.5,24,10.75,3.38645612792828,3,48,0,48,26
"elkapwq",2002-01-06,48,11.2,12.35,15.8,12.8708333333333,1.38255981107715,1.925,48,28.38,35.315,39.5,35.4397916666667,2.43709496543885,1.94749999999999,48,17.5,22.3,25.2,22.3479166666667,1.68055076880314,1.375,48,26.2,72.1,101,68.8479166666667,20.8452350755421,38.95,48,2.6,6.6,8.8,6.30625,1.83203250110537,3.35,48,0.16,0.2,0.67,0.290208333333333,0.162421694171649,0.1975,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.3,7.7,8.1,7.69791666666667,0.211870678474307,0.225000000000001,48,4,9,21,9.02083333333333,3.21889093714718,4,48,0,48,17
"elkapwq",2002-01-07,48,9.6,11.9,15.1,12.2625,1.62449664871988,2.6,48,31.59,37.22,40.36,37.4502083333333,1.79553523056062,1.81,48,19.6,23.6,25.7,23.7270833333333,1.2498067226462,1.225,48,32.3,63,116.3,70.8541666666667,26.8474093075072,43.15,48,3.2,5.8,10.1,6.48958333333333,2.30607334895925,3.825,48,0.14,0.19,0.76,0.30625,0.196594679696848,0.275,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.4,7.8,8.3,7.87291666666667,0.300169869165128,0.499999999999999,48,3,11,36,11.3333333333333,6.04709648397682,7,48,0,48,22
"elkapwq",2002-01-08,48,8.7,12.05,16.9,12.7958333333333,2.16047259736652,3.25,48,34.6,38.86,41.65,38.8510416666667,1.64047896428741,1.635,48,21.7,24.8,26.6,24.7083333333333,1.16378570326352,1.125,48,27.1,59.3,124.5,68.1958333333333,27.7880347611436,36.2,48,2.5,5.45,10.5,6.12291666666667,2.24387957951756,2.9,48,0.1,0.165,0.85,0.29875,0.237474522709638,0.325,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.5,7.8,8.4,7.925,0.312505319103668,0.524999999999999,48,4,9,26,9.89583333333333,3.79943771502503,3.25,48,0,48,21
"elkapwq",2002-01-09,48,10.5,12.75,17,13.3291666666667,1.66720026919043,1.9,48,34.56,40.255,43.23,40.3145833333333,1.78419414831045,1.56,48,21.7,25.75,27.8,25.7583333333333,1.25474984085298,1.15,48,23.3,54.4,120.3,64.0270833333333,26.6489530318742,29.55,48,2.1,4.95,10,5.63125,2.11188694994825,2.4,48,0.09,0.175,0.89,0.313958333333333,0.252491749040109,0.3475,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.4,7.8,8.4,7.89375,0.301348917722905,0.499999999999999,48,4,8,18,9.41666666666667,3.16787957361195,5,48,0,48,24
"elkapwq",2002-01-10,48,8.7,12.25,16.9,12.6270833333333,2.17527103552964,2.175,48,37.53,41.22,43.74,41.2808333333333,1.39975200437751,1.46250000000001,48,23.7,26.45,28.2,26.4208333333333,1.02769279566878,1.15,48,29.3,59.2,126,67.6020833333333,27.9288037816473,32.225,48,2.8,5.4,10.4,6,2.21167116943322,2.9,48,0.13,0.225,0.94,0.349166666666667,0.250453489403941,0.345,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.5,7.9,8.4,7.94375,0.305903788239987,0.524999999999999,48,5,12,21,12.0208333333333,4.27008188338118,6.5,48,0,48,16
