"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"elkcwmet",2002-01-01,96,11,13.5,15.9,13.08125,1.28908882548876,2.1,96,96,100,100,99.8020833333333,0.748609822715857,0,0,NA,NA,NA,NA,NA,NA,96,0.2,0.2,3,0.498958333333333,0.653652860013256,0,0,NA,NA,NA,NA,NA,NA,96,2,112,355,141.770833333333,106.562309834167,85.5,96,7745.8,96,1.2
"elkcwmet",2002-01-02,96,11.6,13.4,15.1,13.409375,0.748904902261682,0.9,96,97,100,100,99.84375,0.568064581206268,0,0,NA,NA,NA,NA,NA,NA,96,0.2,1.6,4.8,1.68958333333333,1.42765757111111,2.6,0,NA,NA,NA,NA,NA,NA,96,3,155.5,350,157.697916666667,84.1263610718601,76.75,96,4445,96,21.9
"elkcwmet",2002-01-03,96,6.9,10.7,13.6,10.34375,1.85158893357769,3.125,96,96,100,100,99.6770833333333,0.827103909550053,0,0,NA,NA,NA,NA,NA,NA,96,0.2,0.2,3.2,0.680208333333333,0.861164424872896,1.125,0,NA,NA,NA,NA,NA,NA,96,3,138.5,354,158.260416666667,97.9281417314883,183.5,96,16462.4,96,0.3
"elkcwmet",2002-01-04,96,6,9.65,17.1,10.3385416666667,3.20848774975858,4.35,96,61,100,100,92.90625,11.3462983762153,11.75,0,NA,NA,NA,NA,NA,NA,96,0.2,0.85,3.8,1.18541666666667,1.07497653993169,1.8,0,NA,NA,NA,NA,NA,NA,96,0,76.5,353,105.479166666667,83.7269973647646,96.5,96,13736.4,96,0.3
"elkcwmet",2002-01-05,96,7.5,10.3,16.9,11.0614583333333,2.96144949543886,4.625,96,70,95,100,91.5208333333333,9.67359854304125,15,0,NA,NA,NA,NA,NA,NA,96,0.2,0.2,3,0.826041666666667,0.861485228106445,1.2,0,NA,NA,NA,NA,NA,NA,96,0,105,346,113.770833333333,77.7495952491298,95.5,96,11742.1,96,0
"elkcwmet",2002-01-06,96,7,10.4,17.4,11.5,2.70512184763022,3.925,96,61,99,100,92.9479166666667,11.2571565930924,8.25,0,NA,NA,NA,NA,NA,NA,96,0.2,0.2,2.8,0.488541666666667,0.633099275771546,0,0,NA,NA,NA,NA,NA,NA,96,0,102.5,344,131.09375,93.3269384165715,122.75,96,8729.8,96,0
"elkcwmet",2002-01-07,96,5.4,8.05,12.9,8.54479166666667,2.36451262549819,4.325,96,97,100,100,99.90625,0.482932380577785,0,0,NA,NA,NA,NA,NA,NA,96,0.2,0.2,2.6,0.273958333333333,0.333796279398604,0,0,NA,NA,NA,NA,NA,NA,96,0,135,354,142,105.728052344832,190.75,96,9780.1,96,0
"elkcwmet",2002-01-08,96,5.9,11.55,16.6,10.484375,3.10182724161777,5.575,96,79,100,100,97.46875,5.52306765446427,0.5,0,NA,NA,NA,NA,NA,NA,96,0.2,0.2,6.5,1.04479166666667,1.43789830484903,1.3,0,NA,NA,NA,NA,NA,NA,96,0,151.5,352,167.760416666667,96.5395740825237,155.75,96,12874.7,96,0.3
"elkcwmet",2002-01-09,96,9.4,11.05,15.3,11.4635416666667,1.28481985562316,1.25,96,99,100,100,99.9895833333333,0.102062072615966,0,0,NA,NA,NA,NA,NA,NA,96,0.2,0.2,4,0.851041666666667,1.13777204188636,1.225,0,NA,NA,NA,NA,NA,NA,96,0,139.5,346,165.96875,92.129708692062,150.75,96,11575.2,96,0
"elkcwmet",2002-01-10,96,8.3,12.5,18.3,12.1395833333333,3.19197939469232,5.725,96,72,92.5,100,90.8125,9.67722502634543,17,0,NA,NA,NA,NA,NA,NA,96,0.2,2.3,7.1,2.07708333333333,1.58010520413685,2.8,0,NA,NA,NA,NA,NA,NA,96,3,75.5,355,82.7395833333333,63.5780903657966,35.25,96,16457.2,96,0.3
