"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"elksmwq",2002-01-01,48,12.1,12.4,12.8,12.4979166666667,0.186216053120337,0.225,48,39.04,41.79,45.75,42.3002083333333,1.86972576164497,2.0125,48,24.9,26.8,29.6,27.1604166666667,1.32387882445637,1.4,48,72.6,88.45,107,90.0729166666667,7.40269472451736,8.97499999999999,48,6.6,8,9.5,8.10208333333333,0.624836858140411,0.824999999999999,48,0.05,1.45,2.43,1.3725,0.677531501976264,0.8075,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,34,0,4,20,5.88235294117647,5.34713010469226,6,48,0,48,0
"elksmwq",2002-01-02,48,12.5,12.8,13.1,12.8104166666667,0.184782313942919,0.300000000000001,48,36.64,41.4,45.08,41.5739583333333,2.17554467582829,3.1525,48,23.2,26.5,29.1,26.6479166666667,1.53581215375814,2.2,48,73.9,89.3,106.3,89.45625,7.30155641379492,11,48,6.7,8,9.5,8.025,0.620054904912769,0.925000000000001,48,0.14,1.485,2.31,1.37229166666667,0.618313559451366,0.685,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,39,0,6,32,8.17948717948718,7.89027314206614,9,48,0,48,0
"elksmwq",2002-01-03,48,12.5,12.8,13.5,12.8645833333333,0.257227098381652,0.300000000000001,48,36.69,39.27,42.53,39.7402083333333,1.48944297682243,2.0275,48,23.2,25.05,27.3,25.3479166666667,1.05022582846745,1.425,48,76.3,89.8,103.1,90.7979166666667,6.62559478127615,11.425,48,7,8.15,9.2,8.19791666666667,0.540877767028049,0.925,48,0.25,1.455,2.11,1.3425,0.551560648465942,0.6875,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,4,16,5.125,3.89557850837249,5.25,48,0,48,0
"elksmwq",2002-01-04,48,11.8,12.3,13.2,12.375,0.365827537555666,0.425000000000001,48,36.87,39.235,41.96,39.62375,1.38838743902812,2.0875,48,23.3,25,26.9,25.2520833333333,0.981746074405153,1.5,48,84.8,93.6,106.2,94.0520833333333,5.82489118091519,8.47499999999999,48,7.7,8.5,9.6,8.5875,0.4836144939137,0.6,48,0.43,1.415,1.89,1.32854166666667,0.449159923106261,0.5625,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,8,48,10.625,8.66301750779863,6.25,48,0,48,0
"elksmwq",2002-01-05,48,11.6,12.2,12.7,12.2229166666667,0.317060691776044,0.6,48,36.17,38.74,42.23,39.1064583333333,1.346046203221,1.3475,48,22.8,24.6,27.1,24.8854166666667,0.944184796042605,0.925000000000004,48,73.9,94.75,105.4,94.7979166666667,5.43238866717079,6.24999999999997,48,6.8,8.7,9.6,8.69583333333333,0.462168033057396,0.5,48,0.58,1.365,1.93,1.32291666666667,0.39107031708863,0.5475,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,2,10.5,30,11.0625,6.74586161555144,8.25,48,0,48,0
"elksmwq",2002-01-06,48,12,12.2,12.5,12.2416666666667,0.125194883542612,0.100000000000001,48,36.86,39.22,43.27,39.6514583333333,1.54628585833078,0.730000000000004,48,23.3,25,27.8,25.26875,1.08493675666255,0.525000000000002,48,82.7,93.05,104.8,93.5020833333333,4.49361199469483,3.575,48,7.6,8.5,9.5,8.56041666666667,0.376286210293093,0.25,48,0.76,1.31,2.04,1.32041666666667,0.37968048343778,0.545,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,8,22,59,24.125,10.6483941452381,12,48,0,48,0
"elksmwq",2002-01-07,48,11.4,11.9,12.1,11.8791666666667,0.172538411798936,0.199999999999999,48,38.19,40.16,44.4,40.67,1.59602564902336,0.847500000000004,48,24.2,25.6,28.6,25.98125,1.12753850715015,0.574999999999999,48,81,90.2,108.8,91.7729166666667,6.37537615355289,5.25,48,7.5,8.3,9.8,8.425,0.524505846467628,0.5,48,0.69,1.3,2.13,1.32541666666667,0.421885122678661,0.62,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,9,26,90,31.3541666666667,17.1383476739418,15.75,48,0,48,0
"elksmwq",2002-01-08,48,11.4,12,12.7,11.9604166666667,0.30855847635956,0.425000000000001,48,39.77,41.48,45.15,41.8866666666667,1.48722694019144,0.997499999999995,48,25.3,26.55,29.2,26.8354166666667,1.06020664050334,0.650000000000002,48,83.1,92,109.6,93.3270833333333,6.36144435570886,6,48,7.7,8.4,9.9,8.50416666666667,0.531940779511969,0.5,48,0.47,1.31,2.21,1.32625,0.493108356311095,0.6,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,31,12,34,62,35.3225806451613,12.3918981510076,17.5,48,0,48,0
"elksmwq",2002-01-09,48,12,12.4,13.7,12.6020833333333,0.477800627580492,0.525,48,41.07,42.32,45.85,42.735,1.39557964774193,1.5325,48,26.3,27.2,29.7,27.4625,0.989008745093966,1.025,48,86.4,93.05,110.5,95.4020833333333,6.8426226645255,9.425,48,7.8,8.3,9.8,8.53958333333333,0.549947611947288,0.725000000000001,48,0.28,1.34,2.26,1.311875,0.559230688326345,0.6625,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"elksmwq",2002-01-10,48,12,12.4,13.7,12.5916666666667,0.530288293062241,0.650000000000002,48,41.84,43.32,46.58,43.6691666666667,1.4676016523325,1.85250000000001,48,26.8,27.9,30.2,28.1291666666667,1.04126729932928,1.35,48,81.8,101,114.5,100.802083333333,8.35567050630463,9.69999999999999,48,7.4,9.05,10,8.99375,0.675216671292623,0.800000000000001,48,0.18,1.37,2.29,1.30916666666667,0.607130794325605,0.685,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
