"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"elkvmwq",2002-01-01,48,12,12.4,13.3,12.4541666666667,0.31887991025325,0.700000000000001,48,43.65,48.85,49.55,47.9620833333333,1.96837113601018,1.8375,48,28.1,31.85,32.3,31.2041666666667,1.40862968471223,1.37500000000001,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0.88,2.205,3.16,2.11645833333333,0.662379622410289,0.7725,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.7,7.9,8,7.86875,0.0719226830730441,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"elkvmwq",2002-01-02,48,12.2,12.5,13.2,12.6395833333333,0.313348139834256,0.6,48,43.06,48.685,49.64,47.7477083333333,2.22517629192427,2.06,48,27.7,31.7,32.4,31.0583333333333,1.58702630169431,1.5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0.99,2.25,3.03,2.11833333333333,0.60534264372507,0.7725,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.7,7.9,7.9,7.85625,0.0741081728056748,0.100000000000001,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"elkvmwq",2002-01-03,48,12.4,12.55,13.5,12.7833333333333,0.434341435128521,0.749999999999998,48,41.08,48.39,49.65,47.193125,2.70262060076921,2.2975,48,26.3,31.5,32.4,30.6729166666667,1.92594155843962,1.675,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.08,2.205,2.84,2.10354166666667,0.538131082596738,0.745,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.7,7.9,8,7.87291666666667,0.0535528505442844,0.100000000000001,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"elkvmwq",2002-01-04,48,11.7,12.4,12.9,12.3479166666667,0.35728859741667,0.625,48,42.67,48.865,50.04,47.7066666666667,2.3145077444871,2.7025,48,27.4,31.85,32.7,31.0229166666667,1.65981793199612,1.95,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.24,2.185,2.62,2.095,0.435528536818173,0.5925,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.8,7.9,7.9,7.86875,0.0468417435218869,0.100000000000001,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"elkvmwq",2002-01-05,48,11.7,12.2,12.6,12.20625,0.239152982285754,0.325000000000001,48,41.3,48.37,49.72,47.1552083333333,2.5548027275996,3.3625,48,26.4,31.5,32.5,30.6229166666667,1.83804238871007,2.4,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.4,2.13,2.68,2.09291666666667,0.375827927655295,0.52,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.7,7.9,7.9,7.8625,0.0530956583551823,0.100000000000001,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"elkvmwq",2002-01-06,48,12,12.2,12.5,12.20625,0.152156484399058,0.225000000000001,48,43.84,47.26,49.09,46.818125,1.57111378876071,2.78749999999999,48,28.2,30.65,32,30.3708333333333,1.13117493677532,2.025,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,1.54,2.055,2.81,2.09229166666667,0.362616024474476,0.525,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,7.8,7.9,7.9,7.85625,0.0501328023587397,0.100000000000001,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"elkvmwq",2002-01-07,48,11.6,12.1,12.4,12.0375,0.259807621135332,0.5,48,42.64,46.9,49.43,47.0183333333333,1.73437012091193,2.63,48,27.4,30.4,32.3,30.5125,1.25199840255489,1.875,23,81.6,98.5,104.9,95.6304347826087,8.63352002280586,13.65,23,7.4,8.7,9.2,8.46521739130435,0.660308946735041,1,48,1.29,1.92,2.86,1.98583333333333,0.465690214505872,0.69,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,25,7.8,7.9,7.9,7.868,0.0476095228569526,0.100000000000001,0,NA,NA,NA,NA,NA,NA,23,0,23,0
"elkvmwq",2002-01-08,48,11.7,12.1,12.7,12.1104166666667,0.287498072765665,0.6,48,45.41,49.165,50.01,48.6379166666667,1.47774549147972,1.62,48,29.3,32.1,32.7,31.68125,1.0696303298585,1.2,48,82.1,100.55,105.6,97.7395833333333,7.60914174664708,11.475,48,7.4,8.8,9.3,8.61666666666667,0.590107575239134,0.9,48,1.17,1.895,2.87,1.92916666666667,0.486331614966899,0.5975,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"elkvmwq",2002-01-09,48,12.3,12.4,13,12.4916666666667,0.192224750253262,0.324999999999999,48,45.86,49.275,49.99,48.7391666666667,1.29269771249373,1.155,48,29.7,32.15,32.7,31.775,0.938196549747145,0.79999999999999,48,84.5,101.25,105.8,98.6645833333333,7.01443768187499,10.05,48,7.4,8.85,9.3,8.62916666666667,0.580520065199551,0.824999999999999,48,0.92,1.925,2.89,1.91895833333333,0.556876698921241,0.645,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
"elkvmwq",2002-01-10,48,12,12.3,12.8,12.3625,0.231208665080941,0.200000000000001,48,45.98,49.175,50.02,48.8854166666667,1.24139070663705,1.09249999999999,48,29.8,32.1,32.7,31.875,0.889776448137157,0.800000000000001,48,89.8,101.8,105.9,100.491666666667,3.96322635242644,4.875,48,7.9,8.9,9.2,8.80416666666667,0.342679264056325,0.425000000000001,48,0.81,1.955,2.9,1.91395833333333,0.604242939670663,0.7375,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,48,0,48,0
