"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"grbgbmet",2002-01-01,96,-7.2,-4.8,0.4,-4.13958333333333,2.11602801526906,3.55,96,33,48,80,51.28125,13.0921455963409,23,96,1009,1011,1013,1011.29166666667,1.160006049591,2,96,0.2,2.2,6.1,2.34166666666667,1.16949531775275,1.425,0,NA,NA,NA,NA,NA,NA,96,92,159,250,164.385416666667,28.9709000247768,34,96,11838.3,96,0
"grbgbmet",2002-01-02,96,-6.7,-2.15,3.2,-2.39166666666667,3.25077048896563,6.125,96,32,53.5,72,50.7604166666667,10.2256074756277,16.25,96,1012,1014,1016,1013.96875,0.787442562650562,0,96,0.5,2.8,7.1,2.97291666666667,1.33309921190132,1.7,0,NA,NA,NA,NA,NA,NA,96,7,162,218,158.875,28.04179211932,32.75,96,14972.6,96,0
"grbgbmet",2002-01-03,96,-4.6,-1.65,4,-1.21354166666667,2.69246980305274,4.05,96,34,61,76,57.78125,13.6421970178445,25.25,96,1007,1008.5,1012,1009.29166666667,2.13697605664328,5,96,0.2,2.5,6.1,2.54479166666667,1.20489089190827,1.3,0,NA,NA,NA,NA,NA,NA,96,67,158,284,162.572916666667,30.5044413648645,27.25,96,14817.3,96,0
"grbgbmet",2002-01-04,96,-6.7,-2.9,-0.1,-3.17604166666667,1.68864597216179,2.225,96,19,42,66,42.15625,14.5611799153199,27,96,1006,1010,1013,1009.79166666667,1.69777976791776,1.25,96,0.2,1.6,3.7,1.6875,0.797000957537561,1.2,0,NA,NA,NA,NA,NA,NA,96,77,163.5,312,170.385416666667,39.8719977696171,46,96,14198.2,96,0
"grbgbmet",2002-01-05,96,-3.1,1.4,5,0.953125,2.53862594931319,5.225,96,42,58.5,74,57.125,8.84872872225158,13.25,96,1009,1012,1013,1011.91666666667,1.0529823976803,2,96,0.2,1.6,5.4,1.70208333333333,1.17643342949573,1.7,0,NA,NA,NA,NA,NA,NA,96,80,158,350,169.583333333333,47.6276493484209,31,96,11359.8,96,0
"grbgbmet",2002-01-06,96,0.3,2.3,5.6,2.3375,1.41356212977599,2.5,96,38,62,76,59.6979166666667,9.3077441347081,10.5,96,994,1010,1013,1007.96875,4.78474137232097,6,96,0.2,1.1,4.7,1.33854166666667,1.03703725677037,1.55,0,NA,NA,NA,NA,NA,NA,96,64,141.5,346,184.53125,80.4198133644872,146,96,6858.1,96,0
"grbgbmet",2002-01-07,96,-3.3,0.6,2.4,0.398958333333333,1.5870856967322,2.15,96,77,90.5,98,90.125,6.40271324065862,10,96,991,997,1000,996.166666666667,3.20416395751944,6,96,0.2,1.3,4.6,1.54270833333333,1.01843479409561,1.5,0,NA,NA,NA,NA,NA,NA,96,0,274.5,355,243.71875,99.2132952810575,109.5,96,3276.4,96,7.5
"grbgbmet",2002-01-08,92,-6.5,-2.65,1.8,-2.88478260869565,1.98167066727556,2.925,92,43,72,91,70.9239130434783,13.1602412346808,22.25,92,1000,1007,1008,1005.57608695652,2.36380070027006,3.25,92,0.2,1.5,4.7,1.73913043478261,1.23581681150202,2.225,0,NA,NA,NA,NA,NA,NA,92,26,157.5,342,164.402173913043,52.2605601679538,41.75,92,10856.8,92,0.3
"grbgbmet",2002-01-09,96,-3.1,0,1.1,-0.914583333333333,1.52087088393921,2.9,96,61,78.5,90,77.6354166666667,7.68747414772432,12,96,996,1001,1006,1001.01041666667,3.43509684737959,6,96,0.2,3,5.6,2.8875,1.43418783178568,2.3,0,NA,NA,NA,NA,NA,NA,96,95,140,185,142.041666666667,14.7126273489398,21,96,5873.7,96,0
"grbgbmet",2002-01-10,96,-0.9,5.35,11,5.10208333333333,3.40908937267376,6.125,96,51,71,96,71.875,14.1616606222204,26.25,96,995,999,1005,999.5,3.38417369219539,7,96,0.2,2.55,6.9,2.59583333333333,1.34171270488735,1.85,0,NA,NA,NA,NA,NA,NA,96,51,149,330,152.395833333333,29.0417047370689,28.25,96,11307.7,96,0
