"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"grbglmet",2005-10-13,40,12.4,12.8,13,12.7525,0.148475155480208,0.100000000000001,40,86,88,93,89.125,2.30036229030704,3,40,1022,1024,1026,1024.175,0.984169570546531,1,40,0.8,3.3,4.3,3.16,0.671317113342619,0.725,40,4,6.35,8.6,6.355,0.93231171193176,1.15,40,83,97,335,132.775,84.4428155769578,7,40,864,40,0
"grbglmet",2005-10-14,96,12.3,13.6,14.4,13.5135416666667,0.600809943092904,0.825000000000001,96,93,98,99,97.1666666666667,1.74516876980071,3,96,1010,1018,1022,1017.04166666667,3.51213435382222,6,96,0.9,2.45,3.6,2.45833333333333,0.504645089807348,0.6,96,2.2,4.95,8.2,4.96354166666667,0.981311666963813,1.3,96,51,93,104,91.0833333333333,8.19327923126043,6,96,4476.5,96,0
"grbglmet",2005-10-15,96,10.9,13.6,14.5,13.44375,0.996922897298429,1,96,82,99,99,96.3333333333333,5.12099222841714,1,96,990,996,1010,998.21875,6.27476671824707,11,96,0.7,2.5,6.1,2.73125,1.36661799228684,1.325,96,2.2,5.2,11.3,5.79479166666667,2.02226396276246,2.25,96,4,100,357,186.6875,117.412033141053,222,96,3642.9,96,0
"grbglmet",2005-10-16,96,10.5,12.3,13.8,12.1072916666667,1.0416833332,2.1,96,62,67,83,68.9479166666667,5.86940289559996,10,96,988,989,992,989.28125,1.00213587690965,1.25,96,4.8,6.95,8.9,6.73854166666667,1.01487565135799,1.625,96,7.6,11.3,14.7,11.1552083333333,1.68859142742462,2.625,96,283,293.5,309,294.46875,6.31448314341095,9,96,11246.6,96,0
"grbglmet",2005-10-17,96,5,11.3,14.6,10.7729166666667,2.61580134311967,2.325,96,54,70.5,98,73.2083333333333,12.5990113786479,10.25,96,992,998,1002,997.6875,3.11975876260363,5,96,0.1,2.85,7,3.08958333333333,2.21475811518367,4.3,96,0.4,7.05,12.1,6.1,3.70973115780078,6.875,96,16,306,357,285.229166666667,64.2214063618021,4.25,96,17258.8,96,0
"grbglmet",2005-10-18,96,6.7,10.7,15.7,10.590625,2.83099677907939,4.825,96,67,88,96,85.5625,8.47884364012477,7,96,998,1001,1004,1000.375,1.59769570912216,2,96,0.3,1.75,4.7,2.028125,1.13115712762128,1.9,96,1,3.5,8.7,4,1.83601398916813,2.625,96,158,283.5,315,272.125,26.9546402606109,39.5,96,11788.6,96,0
"grbglmet",2005-10-19,96,9.4,13.05,15.2,12.4989583333333,1.7918819740072,3.3,96,62,75,87,75.3854166666667,7.66175710459582,14.25,96,1003,1005,1009,1005.375,2.09385064565642,4,96,0,2.4,4,2.28125,0.949605181114762,1.425,96,0.4,4.75,7.3,4.31875,1.51812297539463,1.925,96,29,273,310,263.364583333333,44.9587225403051,32,96,13530.1,96,0
"grbglmet",2005-10-20,96,1.8,8.6,13.9,8.37083333333333,3.49456470195364,4.8,96,39,61,95,65.09375,15.7320177211618,20.5,96,1005,1012,1015,1011.59375,2.73987370050826,3,96,0,1.95,5,1.86354166666667,1.28678463348863,2.125,96,0,4.9,9.5,4.259375,2.48378226543819,4.55,96,0,305,357,273.125,85.9811790910938,40.5,91,15649.3,96,0
"grbglmet",2005-10-21,96,0,4.05,14,6.14791666666667,4.70274229441921,8.925,96,36,88.5,99,76.5416666666667,23.8044297808829,47.75,96,1014,1015,1017,1015.22916666667,0.623726773290435,1,96,0.1,0.8,4.3,1.28020833333333,1.11058256800243,1.55,96,0.4,1.8,6.5,2.67916666666667,1.87166779928416,3.2,96,3,297.5,353,243.583333333333,95.4210245691407,134.75,96,28123.8,96,0
"grbglmet",2005-10-22,96,-1.1,7.05,8.9,4.88854166666667,3.58701957477577,7.225,96,70,91.5,100,87.4270833333333,11.1946836928274,24,96,1003,1013,1015,1011.53125,3.30853163487179,4,96,0,1.8,4.3,1.53229166666667,1.20240940498359,1.925,96,0.3,3.35,10.2,3.05625,2.1842408051167,3.225,96,5,96,359,144.520833333333,106.302743358834,140.25,96,9269.7,96,0
