"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"gtmpiwq",2002-01-01,48,13.3,13.8,14.5,13.8604166666667,0.297321076775656,0.425000000000001,48,42.38,45.325,50.04,45.6135416666667,2.02096510501141,2.82,48,27.2,29.35,32.8,29.56875,1.46246021949899,2.025,48,85.6,92.75,96.4,92.4458333333333,2.64888240852334,4.90000000000001,48,7.6,7.9,8.4,7.97916666666667,0.211336510256453,0.399999999999999,48,1.7,2.805,3.63,2.75895833333333,0.57126675061184,0.9025,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,8,7.81875,0.0641018139617866,0.100000000000001,48,5,11,16,10.5,2.12382633420728,3,48,0,48,0
"gtmpiwq",2002-01-02,48,13.3,13.8,15.1,13.9270833333333,0.454171953251813,0.425000000000001,48,43.48,46.2,51.6,46.6147916666667,2.29290486536865,2.97,48,28,30,33.9,30.2916666666667,1.66641842122857,2.125,48,91.5,94.2,96.1,94.125,1.28832730082171,2.22499999999999,48,7.8,8.1,8.2,8.05625,0.110907763095707,0.0999999999999996,48,1.8,2.935,3.72,2.88020833333333,0.54252949555402,0.89,0,NA,NA,NA,NA,NA,NA,48,7.8,7.8,8,7.86041666666667,0.0736281148120754,0.100000000000001,48,5,9,14,9.54166666666667,1.87886717039061,3,48,0,48,0
"gtmpiwq",2002-01-03,48,11.6,12.85,14.2,12.8604166666667,0.757301925042951,1.225,48,44.1,46.29,49.92,46.5891666666667,1.69570901926427,2.915,48,28.4,30,32.7,30.2291666666667,1.24404254106185,2.15000000000001,48,85.1,93.3,96.8,92.6895833333333,2.46983844620546,3.25000000000001,48,7.2,8.1,8.8,8.12916666666667,0.324173799808482,0.4,48,1.91,2.88,3.58,2.84208333333333,0.519860694651915,0.965,0,NA,NA,NA,NA,NA,NA,48,7.8,7.85,8,7.85416666666667,0.0581938555407275,0.100000000000001,48,4,9,15,9.20833333333333,1.99955668845737,2.25,48,0,48,0
"gtmpiwq",2002-01-04,48,10,10.9,12.1,11.0479166666667,0.583456167411726,0.725000000000001,48,44.38,46.325,49.25,46.4897916666667,1.3262127963512,2.16999999999999,48,28.5,29.95,32.1,30.0854166666667,0.974786301367296,1.55,48,92.3,95.6,99.4,96.0166666666667,1.99918423079327,3.65000000000002,48,8.2,8.7,9.2,8.74375,0.226824751923388,0.300000000000001,48,1.91,2.845,3.59,2.79895833333333,0.519173810043863,0.9025,0,NA,NA,NA,NA,NA,NA,48,7.8,7.9,8,7.89166666666667,0.0498223795452015,0,48,4,8.5,12,8.52083333333333,1.81001449780644,3,48,0,48,0
"gtmpiwq",2002-01-05,48,9.8,10.7,11.4,10.7104166666667,0.470960803054972,0.699999999999999,48,45.28,46.87,49.14,46.965625,1.11508020177159,1.99999999999999,48,29.1,30.35,32,30.3979166666667,0.827323185026425,1.45000000000001,48,94.3,98.45,100.1,97.9020833333333,1.57608315788456,2.32499999999997,48,8.6,8.9,9.2,8.97083333333333,0.114776996237261,0.199999999999999,48,1.89,2.88,3.5,2.81625,0.515081588249077,0.912500000000001,0,NA,NA,NA,NA,NA,NA,48,7.8,7.9,8,7.9125,0.0392753509403717,0,48,3,6,12,6.375,1.57945587183176,2,48,0,48,0
"gtmpiwq",2002-01-06,48,10.9,11.5,12.3,11.5708333333333,0.485955226609925,0.9,48,45.32,46.84,49.04,46.9127083333333,0.994154702596651,1.4325,48,29.3,30.35,31.9,30.4104166666667,0.707479669156297,1,48,94,99.75,102,99.53125,1.62783713049072,1.44999999999999,48,8.4,9,9.1,8.95,0.127162151467948,0.0999999999999996,48,1.43,2.6,3.39,2.51166666666667,0.567432940393816,0.947500000000001,0,NA,NA,NA,NA,NA,NA,48,7.8,7.9,8,7.90833333333333,0.0403881873046917,0,48,3,7,15,7.08333333333333,2.36852888477514,3,48,0,48,0
"gtmpiwq",2002-01-07,48,11,11.7,12.1,11.6770833333333,0.320398411113369,0.525,48,45.52,46.825,48.45,46.92375,0.872874012989957,1.51000000000001,48,29.4,30.35,31.5,30.4166666666667,0.644562636915763,1.125,48,92.1,98.35,104.5,97.75,2.53721240902504,3.55000000000001,48,8.2,8.9,9.4,8.77708333333333,0.20131438664314,0.300000000000001,48,1.52,2.555,3.15,2.47895833333333,0.507451872084703,0.845,0,NA,NA,NA,NA,NA,NA,48,7.7,7.9,8,7.83958333333333,0.0818394466957164,0.100000000000001,48,3,7,13,7.125,2.18919007660124,2.25,48,0,48,0
"gtmpiwq",2002-01-08,48,10,10.8,11.3,10.74375,0.391889177778073,0.6,48,46.29,47.54,49.03,47.599375,0.811993622891844,1.36,48,29.9,30.85,31.9,30.86875,0.598990729157824,1,48,90.2,94.3,96.7,94.29375,1.56984973532162,2.20000000000002,48,8.2,8.6,8.8,8.60416666666667,0.125407138371824,0.199999999999999,48,1.71,2.74,3.42,2.68791666666667,0.496326755501807,0.815,0,NA,NA,NA,NA,NA,NA,48,7.7,7.8,7.8,7.79375,0.024462302739504,0,48,3,6,12,5.91666666666667,1.7844879274236,2,48,0,48,0
"gtmpiwq",2002-01-09,48,9.8,10.4,10.7,10.3375,0.267076369666136,0.350000000000001,48,46.41,47.795,49.39,47.8997916666667,0.815173887162768,1.315,48,30,31,32.1,31.0520833333333,0.593578969394807,1.025,48,91.8,94.5,98,94.95,1.70031286232482,2.99999999999997,48,8.5,8.7,8.9,8.73541666666667,0.122889992898568,0.300000000000001,48,1.79,2.745,3.45,2.67020833333333,0.512729407227107,0.875,0,NA,NA,NA,NA,NA,NA,48,7.8,7.8,7.9,7.80625,0.0244623027395042,0,48,3,5,9,5.20833333333333,1.50118156772949,2,48,0,48,0
"gtmpiwq",2002-01-10,48,10.1,10.6,11.3,10.73125,0.413164358620202,0.799999999999999,48,46.7,47.95,49.37,48.0135416666667,0.782936343118575,1.2075,48,30.2,31.1,32.1,31.1604166666667,0.562948009138417,0.925000000000004,48,87.7,96.15,101,96.96875,2.83865088198377,4.72500000000001,48,8.1,8.8,9.1,8.82708333333333,0.193225238796078,0.300000000000001,48,1.58,2.665,3.38,2.56458333333333,0.548009777569759,0.935,0,NA,NA,NA,NA,NA,NA,48,7.8,7.8,7.9,7.82291666666667,0.0424744395393796,0,48,3,4,7,4.375,0.866025403784439,1,48,0,48,0
