"station","date","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total"
"hudnpwq",2018-01-01,96,0,0,0.1,0.0333333333333333,0.0473879102207274,0.1,96,0.23,0.24,0.24,0.235729166666667,0.00497251216116988,0.00999999999999998,96,0.1,0.1,0.1,0.1,0,0,96,93.6,94.2,94.7,94.1770833333333,0.265361388801512,0.400000000000006,96,13.7,13.8,13.8,13.7635416666667,0.0483839722628257,0.100000000000001,96,1.34,2.12,2.98,2.12302083333333,0.530880340946535,1.005,96,1.2,1.985,2.84,1.98854166666667,0.529993007236226,1,96,7.2,7.3,7.3,7.296875,0.0174905989786393,0,96,2,6.5,10,6.6875,1.4239492894578,1,96,0,96,0
"hudnpwq",2018-01-02,96,0,0,0.2,0.0260416666666667,0.0528050868097237,0,96,0.23,0.23,0.24,0.234791666666667,0.00502188194262011,0.00999999999999998,96,0.1,0.1,0.1,0.1,0,0,96,93.5,94.3,94.7,94.271875,0.289719692116363,0.400000000000006,96,13.7,13.8,13.8,13.7677083333333,0.0470045723793065,0.100000000000001,96,1.34,2.135,2.97,2.144375,0.535809888712503,1.01,96,1.2,2.02,2.85,2.02333333333333,0.53766290880883,1.0175,96,7.2,7.3,7.3,7.29375,0.0243332131696143,0,96,3,7,10,6.78125,1.23290948145989,1,96,0,96,0
"hudnpwq",2018-01-03,96,0,0,0.2,0.0302083333333333,0.0483839722628251,0.1,96,0.23,0.24,0.24,0.23625,0.00486664263392287,0.00999999999999998,96,0.1,0.1,0.1,0.1,0,0,96,93.8,94.6,95,94.5229166666667,0.332922993045307,0.5,96,13.7,13.8,13.9,13.803125,0.0551612468848807,0,96,1.35,2.165,3.05,2.18354166666667,0.547474544789968,1.0575,96,1.23,2.085,2.96,2.088125,0.547705861321856,1.045,96,7.2,7.3,7.3,7.25520833333333,0.0499890338851624,0.0999999999999996,96,5,7,10,6.78125,0.908476167749282,1,96,0,96,0
"hudnpwq",2018-01-04,96,0,0,0.1,0.00104166666666667,0.0102062072615966,0,96,0.23,0.24,0.24,0.239166666666667,0.00277836251155496,0,96,0.1,0.1,0.1,0.1,0,0,96,93.7,94.3,95.5,94.4010416666667,0.444023420830044,0.625000000000014,96,13.7,13.8,14,13.7916666666667,0.0803501110819223,0.100000000000001,96,1.14,1.985,2.87,1.97802083333333,0.568733810257333,1.1,96,1.26,2.115,2.86,2.09302083333333,0.546658981145162,1.0675,96,7.2,7.2,7.3,7.22395833333333,0.0429069781262886,0,96,5,7,9,6.92708333333333,1.00780941876994,1,96,0,96,0
"hudnpwq",2018-01-05,96,0,0,0.1,0.0125,0.0332454983102184,0,96,0.24,0.24,0.24,0.24,0,0,96,0.1,0.1,0.1,0.1,0,0,96,93.4,95,96.2,94.9260416666667,0.508712470058463,0.625000000000014,96,13.6,13.9,14.1,13.8697916666667,0.0809415535291934,0.0999999999999996,96,0.96,1.85,2.59,1.80291666666667,0.521870959381353,0.9825,96,0.96,1.92,2.73,1.87270833333333,0.553253495085717,0.99,96,7.2,7.2,7.2,7.2,0,0,96,4,7,9,7.0625,0.677650740659072,0,96,0,96,0
"hudnpwq",2018-01-06,96,0,0,0.1,0.003125,0.0174905989786393,0,96,0.24,0.24,0.25,0.240625,0.00243332131696144,0,96,0.1,0.1,0.1,0.1,0,0,96,95.7,96.3,97.2,96.3125,0.384228550406354,0.5,96,14,14.1,14.2,14.0697916666667,0.0617632008760566,0.0999999999999996,96,0.83,1.455,2.03,1.44208333333333,0.364806846273092,0.655,96,0.75,1.385,1.92,1.36135416666667,0.374976826769382,0.68,96,7.2,7.2,7.2,7.2,0,0,96,5,6,7,5.83333333333333,0.643455583330581,1,96,0,96,0
"hudnpwq",2018-01-07,96,0,0,0.1,0.009375,0.0293010687787826,0,96,0.24,0.24,0.24,0.24,0,0,96,0.1,0.1,0.1,0.1,0,0,96,95.8,96.4,97.3,96.4947916666667,0.374831833638462,0.599999999999994,96,14,14.1,14.2,14.0875,0.0652928625099008,0.0999999999999996,96,0.98,1.855,2.56,1.855,0.41225949926817,0.61,96,0.82,1.69,2.41,1.676875,0.423636667813103,0.6225,96,7.1,7.2,7.2,7.19895833333333,0.0102062072615966,0,96,4,5,14,5.65625,1.49263542980722,1,96,0,96,0
"hudnpwq",2018-01-08,96,0,0,0.1,0.00833333333333333,0.0277836251155497,0,96,0.24,0.24,0.25,0.2403125,0.00174905989786393,0,96,0.1,0.1,0.1,0.1,0,0,96,95.1,95.7,96.6,95.8239583333333,0.376058447771554,0.624999999999986,96,13.9,14,14.1,13.9958333333333,0.0709583520052306,0.0999999999999996,96,1.44,2.05,2.63,2.041875,0.367481650096838,0.6675,96,1.43,1.995,2.54,1.99041666666667,0.360180997384916,0.6875,96,7.1,7.2,7.2,7.19895833333333,0.0102062072615966,0,96,4,5,6,5.14583333333333,0.434781655223974,0,96,0,96,0
"hudnpwq",2018-01-09,96,0,0,0.1,0.00208333333333333,0.0143575886163796,0,96,0.24,0.24,0.25,0.240104166666667,0.00102062072615966,0,96,0.1,0.1,0.1,0.1,0,0,96,93.7,95.9,96.8,95.9135416666667,0.598352086399175,0.700000000000003,96,13.7,14,14.1,14.009375,0.091855865354369,0.0999999999999996,96,1.27,1.96,2.47,1.9225,0.374885245599798,0.68,96,1.27,1.88,2.44,1.85895833333333,0.360343342607302,0.6475,96,7.1,7.2,7.2,7.19583333333333,0.0200875277704806,0,96,4,4,6,4.47916666666667,0.522729006307367,1,96,0,96,0
"hudnpwq",2018-01-10,96,0,0,0.1,0.0270833333333333,0.0446722960579342,0.1,96,0.24,0.24,0.25,0.240104166666667,0.00102062072615966,0,96,0.1,0.1,0.1,0.1,0,0,96,93.8,95.85,96.8,95.86875,0.449400185042007,0.625000000000014,96,13.7,14,14.1,14.0020833333333,0.0725173905337508,0,96,1.48,2.25,2.77,2.20583333333333,0.39953833006732,0.74,96,1.33,2.09,2.59,2.04645833333333,0.394843017884234,0.705,96,7.1,7.2,7.2,7.19583333333333,0.0200875277704806,0,96,3,4,6,4.39583333333333,0.570856543259737,1,96,0,96,0
